MeasurementDateGMT,Westminster - Cavendish Square: Nitric Oxide (ug/m3),Westminster - Cavendish Square: Nitrogen Dioxide (ug/m3),Westminster - Cavendish Square: Oxides of Nitrogen (ug/m3),Westminster - Cavendish Square: PM10 Particulate (ug/m3)
2018-01-01,1416.0,2234.399999999999,4404.0,1080.0
2018-01-02,1416.0,2234.399999999999,4404.0,1080.0
2018-01-03,1416.0,2234.399999999999,4404.0,1080.0
2018-01-04,1416.0,2234.399999999999,4404.0,1080.0
2018-01-05,1416.0,2234.399999999999,4404.0,1080.0
2018-01-06,1416.0,2234.399999999999,4404.0,1080.0
2018-01-07,1416.0,2234.399999999999,4404.0,1080.0
2018-01-08,1416.0,2234.399999999999,4404.0,1080.0
2018-01-09,1416.0,2234.399999999999,4404.0,1080.0
2018-01-10,1416.0,2234.399999999999,4404.0,1080.0
2018-01-11,1416.0,2234.399999999999,4404.0,1080.0
2018-01-12,1416.0,2234.399999999999,4404.0,1080.0
2018-01-13,1416.0,2234.399999999999,4404.0,1080.0
2018-01-14,1416.0,2234.399999999999,4404.0,1080.0
2018-01-15,1416.0,2234.399999999999,4404.0,1080.0
2018-01-16,1416.0,2234.399999999999,4404.0,1080.0
2018-01-17,1416.0,2234.399999999999,4404.0,1080.0
2018-01-18,1416.0,2234.399999999999,4404.0,1080.0
2018-01-19,1416.0,2234.399999999999,4404.0,1080.0
2018-01-20,1416.0,2234.399999999999,4404.0,1080.0
2018-01-21,1416.0,2234.399999999999,4404.0,1080.0
2018-01-22,1416.0,2234.399999999999,4404.0,1080.0
2018-01-23,1416.0,2234.399999999999,4404.0,1080.0
2018-01-24,1416.0,2234.399999999999,4404.0,1080.0
2018-01-25,1416.0,2234.399999999999,4404.0,1080.0
2018-01-26,1416.0,2234.399999999999,4404.0,1080.0
2018-01-27,1416.0,2234.399999999999,4404.0,1080.0
2018-01-28,1416.0,2234.399999999999,4404.0,1080.0
2018-01-29,1416.0,2234.399999999999,4404.0,1080.0
2018-01-30,1416.0,2234.399999999999,4404.0,1080.0
2018-01-31,1416.0,2234.399999999999,4404.0,1080.0
2018-02-01,1416.0,2234.399999999999,4404.0,1080.0
2018-02-02,1416.0,2234.399999999999,4404.0,1080.0
2018-02-03,1416.0,2234.399999999999,4404.0,1080.0
2018-02-04,1416.0,2234.399999999999,4404.0,1080.0
2018-02-05,1416.0,2234.399999999999,4404.0,1080.0
2018-02-06,1416.0,2234.399999999999,4404.0,1080.0
2018-02-07,1416.0,2234.399999999999,4404.0,1080.0
2018-02-08,1416.0,2234.399999999999,4404.0,1080.0
2018-02-09,1416.0,2234.399999999999,4404.0,1080.0
2018-02-10,1416.0,2234.399999999999,4404.0,1080.0
2018-02-11,1416.0,2234.399999999999,4404.0,1080.0
2018-02-12,1416.0,2234.399999999999,4404.0,1080.0
2018-02-13,1416.0,2234.399999999999,4404.0,1080.0
2018-02-14,1416.0,2234.399999999999,4404.0,1080.0
2018-02-15,1416.0,2234.399999999999,4404.0,1080.0
2018-02-16,1416.0,2234.399999999999,4404.0,1080.0
2018-02-17,1416.0,2234.399999999999,4404.0,1080.0
