MeasurementDateGMT,Westminster - Duke Street (Grosvenor): Nitric Oxide (ug/m3),Westminster - Duke Street (Grosvenor): Nitrogen Dioxide (ug/m3),Westminster - Duke Street (Grosvenor): Oxides of Nitrogen (ug/m3)
2018-01-01,1106.4000000000003,1488.0,3184.799999999999
2018-01-02,1106.4000000000003,1488.0,3184.799999999999
2018-01-03,1106.4000000000003,1488.0,3184.799999999999
2018-01-04,1106.4000000000003,1488.0,3184.799999999999
2018-01-05,1106.4000000000003,1488.0,3184.799999999999
2018-01-06,1106.4000000000003,1488.0,3184.799999999999
2018-01-07,1106.4000000000003,1488.0,3184.799999999999
2018-01-08,1106.4000000000003,1488.0,3184.799999999999
2018-01-09,1106.4000000000003,1488.0,3184.799999999999
2018-01-10,1106.4000000000003,1488.0,3184.799999999999
2018-01-11,1106.4000000000003,1488.0,3184.799999999999
2018-01-12,1106.4000000000003,1488.0,3184.799999999999
2018-01-13,1106.4000000000003,1488.0,3184.799999999999
2018-01-14,1106.4000000000003,1488.0,3184.799999999999
2018-01-15,1106.4000000000003,1488.0,3184.799999999999
2018-01-16,1106.4000000000003,1488.0,3184.799999999999
2018-01-17,1106.4000000000003,1488.0,3184.799999999999
2018-01-18,1106.4000000000003,1488.0,3184.799999999999
2018-01-19,1106.4000000000003,1488.0,3184.799999999999
2018-01-20,1106.4000000000003,1488.0,3184.799999999999
2018-01-21,1106.4000000000003,1488.0,3184.799999999999
2018-01-22,1106.4000000000003,1488.0,3184.799999999999
2018-01-23,1106.4000000000003,1488.0,3184.799999999999
2018-01-24,1106.4000000000003,1488.0,3184.799999999999
2018-01-25,1106.4000000000003,1488.0,3184.799999999999
2018-01-26,1106.4000000000003,1488.0,3184.799999999999
2018-01-27,1106.4000000000003,1488.0,3184.799999999999
2018-01-28,1106.4000000000003,1488.0,3184.799999999999
2018-01-29,1106.4000000000003,1488.0,3184.799999999999
2018-01-30,1106.4000000000003,1488.0,3184.799999999999
2018-01-31,1106.4000000000003,1488.0,3184.799999999999
2018-02-01,1106.4000000000003,1488.0,3184.799999999999
2018-02-02,1106.4000000000003,1488.0,3184.799999999999
2018-02-03,1106.4000000000003,1488.0,3184.799999999999
2018-02-04,1106.4000000000003,1488.0,3184.799999999999
