MeasurementDateGMT,Westminster - Horseferry Road: Nitric Oxide (ug/m3),Westminster - Horseferry Road: Nitrogen Dioxide (ug/m3),Westminster - Horseferry Road: Oxides of Nitrogen (ug/m3),Westminster - Horseferry Road: PM10 Particulate (ug/m3),Westminster - Horseferry Road: PM2.5 Particulate (ug/m3)
2018-01-01,164.79999999999995,544.8,797.2,225.39999999999995,312.0
2018-01-02,127.19999999999999,653.2,848.3,344.3999999999999,312.0
2018-01-03,173.60000000000005,484.79999999999995,751.1000000000001,483.9999999999999,312.0
2018-01-04,207.29999999999995,649.2,966.6999999999999,251.69999999999996,312.0
2018-01-05,203.10000000000002,891.3,1203.5,249.0,312.0
2018-01-06,675.3000000000001,1136.6,2172.1000000000004,467.7,312.0
2018-01-07,154.9,511.7,748.9000000000001,267.6,312.0
2018-01-08,498.90000000000003,713.8,1479.2000000000003,422.74999999999994,312.0
2018-01-09,750.3,881.1000000000001,2031.3,697.1000000000001,312.0
2018-01-10,1031.0000000000002,1367.2,2948.2000000000003,446.29999999999995,312.0
2018-01-11,1017.0000000000002,1156.6999999999998,2716.1000000000004,577.1,312.0
2018-01-12,322.4,942.3999999999999,1436.4,487.6,312.0
2018-01-13,238.50000000000006,762.4999999999999,1128.1,536.5,312.0
2018-01-14,141.09999999999997,787.3999999999999,1003.6,554.5,312.0
2018-01-15,137.34999999999997,585.0500000000001,795.75,216.8,312.0
2018-01-16,185.6,567.3,851.9,200.00000000000003,312.0
2018-01-17,282.5999999999999,697.1,1130.6999999999998,348.2000000000001,312.0
2018-01-18,361.69999999999993,839.5,1393.9000000000003,208.50000000000003,312.0
2018-01-19,241.50000000000003,839.1000000000001,1209.5000000000002,277.0,312.0
2018-01-20,240.50000000000003,1036.0500000000002,1404.7,209.8,312.0
2018-01-21,245.80000000000004,1040.6000000000001,1417.7000000000005,317.6,312.0
2018-01-22,419.19999999999993,1061.8,1704.8,332.99999999999994,312.0
2018-01-23,108.69999999999999,576.6999999999999,743.3999999999997,174.90000000000003,312.0
2018-01-24,102.6,533.0000000000001,690.3,171.99999999999994,312.0
2018-01-25,145.7,768.65,992.1,349.3,312.0
2018-01-26,158.92173913043482,1157.4521739130435,1402.813043478261,382.3999999999999,312.0
2018-01-27,229.04347826086953,1273.904347826087,1626.3260869565217,307.8999999999999,312.0
2018-01-28,299.1652173913043,1390.3565217391306,1849.8391304347829,132.50000000000003,312.0
2018-01-29,341.3695652173913,1472.4869565217389,1996.371739130435,182.4,312.0
2018-01-30,689.0,1300.9,2357.2000000000003,379.9000000000001,312.0
2018-01-31,217.2,671.4000000000001,1004.7000000000002,172.5,312.0
2018-02-01,356.40000000000003,852.4000000000001,1398.6,258.29999999999995,312.0
2018-02-02,525.0999999999999,1043.6999999999998,1848.6000000000001,351.3,312.0
2018-02-03,344.3,1202.5,1730.4999999999998,300.40000000000003,312.0
2018-02-04,196.40000000000003,626.3,927.5999999999999,229.79999999999995,312.0
2018-02-05,354.2,873.0,1416.3999999999996,299.8999999999999,312.0
2018-02-06,465.1,1114.8999999999999,1828.3999999999999,453.8,312.0
2018-02-07,567.0,1177.4,2046.8,371.0,312.0
2018-02-08,440.50000000000006,1149.6000000000001,1825.3999999999996,361.70000000000005,312.0
2018-02-09,307.2,923.1,1394.2,236.79999999999998,312.0
2018-02-10,158.8,739.6000000000003,982.9000000000002,206.00000000000003,312.0
2018-02-11,123.69999999999999,484.09999999999997,674.1,133.49999999999994,312.0
2018-02-12,258.20000000000005,838.2999999999998,1233.8999999999999,241.19999999999996,312.0
2018-02-13,197.5,674.6000000000001,977.7,207.2,312.0
2018-02-14,294.29999999999995,790.9,1241.6999999999998,298.34999999999997,312.0
2018-02-15,244.5,863.9000000000001,1239.1,335.59999999999997,312.0
2018-02-16,273.09999999999997,980.0,1398.9,355.99999999999994,312.0
2018-02-17,472.5,1254.3,1978.5,539.3000000000001,312.0
2018-02-18,159.49999999999991,814.15,1059.0,444.09999999999997,312.0
2018-02-19,613.1999999999999,1060.2,2000.4999999999998,413.2999999999999,312.0
2018-02-20,346.5000000000001,926.7000000000002,1457.8,260.5,312.0
2018-02-21,501.30000000000007,1060.5,1829.6000000000004,966.6999999999999,312.0
2018-02-22,319.5,1040.5000000000002,1530.7000000000003,617.6,312.0
2018-02-23,345.40000000000003,1139.0,1668.7000000000003,586.7,312.0
2018-02-24,228.0,973.4000000000001,1323.0999999999997,715.5999999999999,312.0
2018-02-25,159.2,728.1999999999998,972.3000000000002,363.50000000000006,312.0
2018-02-26,266.79999999999995,791.3000000000001,1200.7,273.84999999999997,312.0
2018-02-27,486.50000000000006,1158.7999999999997,1905.1,290.1,312.0
2018-02-28,400.59999999999997,1067.85,1681.7,536.9999999999999,312.0
2018-03-01,327.70000000000005,880.6000000000001,1383.0,1009.4,312.0
2018-03-02,310.2,1042.2,1517.3999999999999,1150.8000000000002,312.0
2018-03-03,349.3,1263.3999999999999,1798.7000000000003,1797.2,312.0
2018-03-04,201.4,1056.2,1365.3,552.8000000000001,312.0
2018-03-05,231.39999999999998,995.0999999999999,1350.2999999999997,444.69999999999993,312.0
2018-03-06,211.19999999999996,1034.8,1359.2,320.2,312.0
2018-03-07,1047.5851851851855,1741.922222222222,3348.8740740740736,524.7,312.0
2018-03-08,499.01481481481494,931.7777777777778,1698.125925925926,266.59999999999997,312.0
2018-03-09,477.09999999999997,1066.4,1798.0000000000002,443.0999999999999,312.0
2018-03-10,101.59999999999998,529.6999999999999,685.5,504.9,312.0
2018-03-11,300.2,1208.6,1669.0000000000002,609.6,312.0
2018-03-12,520.9999999999999,1040.3000000000002,1838.8999999999999,285.3999999999999,312.0
2018-03-13,368.00000000000006,863.0000000000001,1427.4,349.3,312.0
2018-03-14,200.99999999999997,614.5,922.7999999999997,371.20000000000005,312.0
2018-03-15,188.19999999999996,818.4,1107.5,286.2,312.0
2018-03-16,166.2,708.2,963.3000000000002,479.2,312.0
2018-03-17,204.39999999999998,491.6000000000001,804.6999999999999,461.59999999999997,312.0
2018-03-18,172.49999999999997,504.8,769.0999999999999,666.5,312.0
2018-03-19,252.9,661.3,1049.0000000000002,567.9000000000001,312.0
2018-03-20,240.20000000000002,860.5,1229.5,406.0,312.0
2018-03-21,561.8000000000001,1243.7,2104.7999999999997,527.0999999999999,312.0
2018-03-22,281.8,716.5999999999999,1148.8000000000002,421.90000000000003,312.0
2018-03-23,117.10000000000001,402.4,582.0,380.8999999999999,312.0
2018-03-24,240.6,853.6,1222.0000000000002,660.6999999999999,312.0
2018-03-25,182.3,932.0000000000001,1211.3999999999999,756.3999999999997,312.0
2018-03-26,277.6,980.7,1406.3999999999996,312.1,312.0
2018-03-27,255.69999999999996,827.6,1219.4999999999998,248.0,312.0
2018-03-28,280.00000000000006,991.6999999999998,1420.7,234.3,312.0
2018-03-29,189.69999999999993,715.8,1007.1000000000001,240.29999999999998,261.0
2018-03-30,175.29999999999995,733.4999999999999,1001.9,233.70000000000002,268.0
2018-03-31,188.70000000000002,498.50000000000006,787.8,200.20000000000002,286.0
2018-04-01,86.39999999999999,459.0,591.3,272.30000000000007,344.0
2018-04-02,81.19999999999999,411.29999999999995,535.7,240.5,273.0
2018-04-03,93.49999999999997,367.75,511.80000000000007,268.59999999999997,243.0
2018-04-04,85.69999999999999,376.4,507.70000000000005,269.5,243.0
2018-04-05,187.6,486.1000000000001,773.8000000000001,171.79999999999998,180.0
2018-04-06,171.39999999999998,717.6500000000001,980.4000000000002,372.4,317.0
2018-04-07,195.59999999999997,929.3,1229.7,593.1,495.0
2018-04-08,136.9,827.2,1037.2,450.50000000000006,475.0
2018-04-09,364.09999999999997,1082.5,1640.2999999999997,601.5,609.0
2018-04-10,340.8999999999999,1171.95,1694.8999999999999,733.4,721.0
2018-04-11,410.20000000000005,966.7000000000002,1595.5000000000002,978.4000000000002,1073.0
2018-04-12,380.49999999999994,772.8000000000001,1356.3,843.3000000000001,870.0
2018-04-13,193.39999999999992,709.8000000000001,1006.4999999999999,539.9000000000001,589.0
2018-04-14,234.30000000000004,967.9999999999999,1326.8999999999999,910.0000000000001,876.0
2018-04-15,102.9,597.2,754.9,660.6,652.0
2018-04-16,102.30000000000003,470.3,627.5,385.59999999999997,257.0
2018-04-17,71.69999999999999,406.20000000000005,516.4,335.4000000000001,254.0
2018-04-18,164.9,929.5999999999999,1182.2,459.90000000000003,354.0
2018-04-19,541.9000000000001,1503.0000000000002,2333.8,830.7000000000002,629.0
2018-04-20,341.49999999999994,1147.1999999999998,1670.9,719.7,555.0
2018-04-21,277.1,1440.8000000000002,1865.7,1035.8,834.0
2018-04-22,91.80000000000001,648.8000000000001,789.9000000000001,684.8000000000001,605.0
2018-04-23,129.10000000000002,389.2000000000001,587.1000000000001,202.7,221.0
2018-04-24,139.6,379.1,592.9,237.79999999999998,201.0
2018-04-25,154.7,457.69999999999993,694.6,195.40000000000003,174.0
2018-04-26,145.2,504.09999999999997,726.8,280.79999999999995,160.0
2018-04-27,259.40000000000003,976.6999999999998,1374.1999999999996,404.40000000000003,252.0
2018-04-28,307.00000000000006,756.6,1227.4999999999998,239.0999999999999,210.0
2018-04-29,116.70000000000002,464.7,644.0000000000002,233.00000000000003,182.0
2018-04-30,209.80000000000004,759.1,1080.3,312.7,223.0
2018-05-01,218.7,625.6,960.9000000000001,281.49999999999994,191.0
2018-05-02,180.60000000000002,774.1999999999999,1051.0,236.80000000000004,157.0
2018-05-03,335.8,832.6,1347.3999999999999,387.7,230.0
2018-05-04,177.8,820.0999999999999,1093.1,502.20000000000005,278.0
2018-05-05,243.79999999999995,1238.9999999999998,1612.6000000000004,653.5,410.0
2018-05-06,74.89999999999999,1123.4,1238.2,812.6999999999999,545.0
2018-05-07,147.59999999999997,1499.2999999999997,1725.7000000000003,958.0999999999999,657.0
2018-05-08,344.69999999999993,1355.7000000000003,1884.1000000000004,847.9999999999999,545.0
2018-05-09,169.8,615.8,876.0999999999999,443.3,244.0
2018-05-10,180.29999999999998,616.9,893.1000000000001,333.65,208.0
2018-05-11,97.3,611.0999999999999,760.9000000000001,433.00000000000006,247.0
2018-05-12,116.50000000000001,728.3000000000002,907.1000000000001,356.5,246.0
2018-05-13,116.0,700.6999999999999,878.7,420.30000000000007,282.0
2018-05-14,166.5,676.3,931.5000000000002,290.05000000000007,169.0
2018-05-15,150.79999999999998,761.4,992.6999999999999,346.29999999999995,228.0
2018-05-16,233.70000000000005,708.6,1066.1,524.5,259.0
