MeasurementDateGMT,Westminster - Marylebone Road FDMS: PM10 Particulate (ug/m3),Westminster - Marylebone Road FDMS: PM2.5 Particulate (ug/m3)
2018-01-01,412.80000000000007,187.70000000000002
2018-01-02,589.5000000000001,241.19999999999996
2018-01-03,718.7000000000002,268.9
2018-01-04,511.5,224.9
2018-01-05,610.1,290.90000000000003
2018-01-06,515.1,357.80000000000007
2018-01-07,316.8,88.6
2018-01-08,624.3,361.90000000000003
2018-01-09,921.1,668.0000000000001
2018-01-10,771.8000000000001,442.5
2018-01-11,639.8000000000001,507.09999999999985
2018-01-12,782.5999999999999,572.3000000000001
2018-01-13,753.7,554.5
2018-01-14,870.0999999999999,619.1
2018-01-15,439.35,263.30000000000007
2018-01-16,539.0454545454546,251.71818181818182
2018-01-17,715.3870129870129,320.50909090909096
2018-01-18,803.657142857143,362.4
2018-01-19,880.5103896103898,409.27272727272725
2018-01-20,378.8,239.39999999999998
2018-01-21,530.5,410.7000000000001
2018-01-22,531.9999999999999,291.80000000000007
2018-01-23,480.6000000000001,265.2
2018-01-24,402.2,252.4
2018-01-25,719.4,334.70000000000005
2018-01-26,535.9,317.79999999999995
2018-01-27,623.3999999999999,392.4
2018-01-28,377.40000000000003,201.89999999999995
2018-01-29,349.99999999999994,183.2
2018-01-30,838.5000000000002,427.5
2018-01-31,486.29999999999995,242.79999999999998
2018-02-01,377.7,148.30000000000004
2018-02-02,417.00000000000006,215.2
2018-02-03,506.49999999999994,349.30000000000007
2018-02-04,255.6,153.89999999999998
2018-02-05,343.90000000000003,208.99999999999997
2018-02-06,543.8,388.4
2018-02-07,482.69999999999993,275.29999999999995
2018-02-08,871.1999999999999,382.9
2018-02-09,363.29999999999995,165.4
2018-02-10,560.2000000000002,251.39999999999998
2018-02-11,233.19999999999993,100.7
2018-02-12,654.8999999999999,287.4
2018-02-13,397.4,213.49999999999994
2018-02-14,530.0,317.40000000000003
2018-02-15,671.0000000000001,314.7
2018-02-16,821.2000000000002,354.20000000000005
2018-02-17,912.3,456.10000000000014
2018-02-18,756.9999999999998,427.1000000000001
2018-02-19,567.5,412.00000000000006
2018-02-20,238.20000000000002,174.69999999999996
2018-02-21,989.4,794.2999999999998
2018-02-22,753.0999999999999,558.7
2018-02-23,720.8000000000002,483.8
2018-02-24,820.5000000000001,538.8
2018-02-25,451.10000000000014,232.80000000000004
2018-02-26,364.19999999999993,150.60000000000002
2018-02-27,368.09999999999997,204.9
2018-02-28,586.9,421.40000000000003
2018-03-01,1027.1000000000001,708.1000000000001
2018-03-02,1247.4999999999998,917.1999999999998
2018-03-03,1897.9,1531.9000000000003
2018-03-04,718.4,514.45
2018-03-05,628.7,290.20000000000005
2018-03-06,566.5,344.2
2018-03-07,651.4,448.75000000000006
2018-03-08,547.6,228.55999999999997
2018-03-09,675.2,419.53999999999996
2018-03-10,624.6,371.30000000000007
2018-03-11,684.4,384.09999999999997
2018-03-12,329.5,241.4
2018-03-13,526.0,323.90000000000003
2018-03-14,505.6999999999999,264.6
2018-03-15,461.49999999999994,267.2
2018-03-16,679.8000000000002,329.29999999999995
2018-03-17,466.7000000000001,271.09999999999997
2018-03-18,676.2,415.8500000000001
2018-03-19,498.29999999999995,239.2
2018-03-20,407.2,150.80000000000004
2018-03-21,732.5000000000001,420.741935483871
2018-03-22,731.7,379.6580645161291
2018-03-23,830.6999999999998,324.69999999999993
2018-03-24,759.4,588.0
2018-03-25,820.1000000000001,613.3999999999999
2018-03-26,509.4,281.4
2018-03-27,489.69999999999993,268.7
2018-03-28,468.09999999999997,283.1
2018-03-29,566.7999999999998,270.6
2018-03-30,378.29999999999995,229.6
2018-03-31,312.6000000000001,237.20000000000002
2018-04-01,348.5,252.5
2018-04-02,405.1,302.79999999999995
2018-04-03,533.8,281.59999999999997
2018-04-04,486.30000000000007,251.60000000000002
2018-04-05,360.59999999999997,185.10000000000002
2018-04-06,592.8,326.4
2018-04-07,869.3,525.9999999999999
2018-04-08,627.9999999999999,449.9
2018-04-09,616.5,534.3
2018-04-10,763.9000000000001,545.5999999999999
2018-04-11,1020.2,888.5
2018-04-12,803.9999999999998,702.5
2018-04-13,888.8,641.2
2018-04-14,1202.6000000000001,865.5
2018-04-15,838.8,600.7
2018-04-16,694.5000000000001,305.8
2018-04-17,595.6,273.4
2018-04-18,727.9000000000001,410.5
2018-04-19,1318.5000000000002,765.8999999999999
2018-04-20,915.1999999999998,567.3000000000001
2018-04-21,1245.7,842.8
2018-04-22,843.1999999999999,562.0499999999998
2018-04-23,541.6000000000001,265.69999999999993
2018-04-24,509.6000000000001,290.7
2018-04-25,501.5,239.5
2018-04-26,618.1000000000001,288.59999999999997
2018-04-27,571.9000000000001,331.40000000000003
2018-04-28,269.59999999999997,207.3
2018-04-29,244.0,141.50000000000003
2018-04-30,340.0,179.99999999999997
2018-05-01,563.8000000000001,305.6000000000001
2018-05-02,364.09999999999997,229.7
2018-05-03,665.9,372.79999999999995
2018-05-04,694.7,380.7
2018-05-05,853.9999999999999,530.6
2018-05-06,815.6105263157896,619.55
2018-05-07,608.1894736842105,529.1142857142856
2018-05-08,434.6,400.53571428571416
2018-05-09,682.9,389.8
2018-05-10,440.1,244.20000000000002
2018-05-11,675.8,351.9000000000001
2018-05-12,595.9999999999999,386.0
2018-05-13,541.4000000000001,361.5
2018-05-14,313.49999999999994,174.3
2018-05-15,332.90000000000003,202.1
2018-05-16,463.49999999999994,225.79999999999998
2018-05-17,481.40000000000003,200.3
2018-05-18,495.8,197.42727272727274
2018-05-19,692.9999999999999,244.08671328671326
2018-05-20,746.9000000000001,320.2153846153846
2018-05-21,819.4999999999999,396.34405594405587
2018-05-22,629.8500000000001,472.4727272727272
2018-05-23,618.0,548.6013986013985
2018-05-24,810.7,666.3524475524475
2018-05-25,807.6,681.5999999999999
2018-05-26,1023.8999999999997,866.1999999999998
2018-05-27,953.3000000000002,606.5
2018-05-28,982.5999999999998,790.9999999999998
2018-05-29,549.1999999999999,495.79999999999995
2018-05-30,693.6,549.9499999999999
2018-05-31,1020.7,806.9999999999999
2018-06-01,861.2999999999998,670.6
2018-06-02,514.5,339.99999999999994
2018-06-03,522.9,328.00000000000006
2018-06-04,415.00000000000006,341.1
2018-06-05,395.0,221.89999999999995
2018-06-06,535.9000000000001,280.6
2018-06-07,509.6,252.71111111111108
2018-06-08,529.7,342.5888888888889
2018-06-09,515.4,357.0
2018-06-10,501.5,343.40000000000003
2018-06-11,400.19999999999993,231.3
2018-06-12,335.59999999999997,227.79999999999998
2018-06-13,586.3,306.0
2018-06-14,592.8,286.6
2018-06-15,533.6,304.7
2018-06-16,465.7,262.4
2018-06-17,456.6,257.53999999999996
2018-06-18,475.20000000000005,256.23999999999995
2018-06-19,364.90000000000003,283.12
2018-06-20,431.2999999999999,310.00000000000006
2018-06-21,344.40000000000003,336.87999999999994
2018-06-22,389.2999999999999,363.32
2018-06-23,439.99999999999994,232.4
2018-06-24,428.79999999999995,283.6
2018-06-25,586.38,346.72499999999997
2018-06-26,610.32,341.525
2018-06-27,533.9,330.7
2018-06-28,497.4,349.7
2018-06-29,479.54999999999995,311.0
2018-06-30,438.1999999999999,265.5
2018-07-01,560.5,363.09999999999997
2018-07-02,431.5999999999999,245.2
2018-07-03,449.0,248.59999999999997
2018-07-04,652.4,411.1
2018-07-05,797.0500000000001,578.6
2018-07-06,671.5999999999999,515.2
2018-07-07,813.1999999999999,620.2000000000002
2018-07-08,485.3,366.8
2018-07-09,458.49999999999994,337.29999999999995
2018-07-10,297.79999999999995,187.00000000000003
2018-07-11,360.89230769230767,256.0480769230769
2018-07-12,463.1076923076923,336.576923076923
2018-07-13,609.9999999999998,422.025
2018-07-14,703.4,456.7000000000001
2018-07-15,559.3000000000001,368.50000000000006
2018-07-16,557.8999999999999,403.09999999999997
2018-07-17,525.5,308.7653179190752
2018-07-18,554.3,371.2092485549133
2018-07-19,587.8000000000001,399.84277456647396
2018-07-20,611.8,428.4763005780347
2018-07-21,671.6999999999999,457.1098265895954
2018-07-22,499.70000000000005,485.74335260115606
2018-07-23,582.1999999999999,514.3768786127168
2018-07-24,618.4499999999999,516.2763005780347
2018-07-25,589.5000000000001,383.05000000000007
2018-07-26,932.2999999999998,667.1
2018-07-27,743.5999999999999,502.8
2018-07-28,602.3,273.00000000000006
2018-07-29,392.99999999999994,197.7
2018-07-30,443.4000000000001,257.2
2018-07-31,533.3000000000001,309.40000000000003
2018-08-01,569.4999999999999,336.40000000000003
2018-08-02,586.3,348.59999999999997
2018-08-03,451.4,297.4
2018-08-04,290.59999999999997,208.20000000000002
2018-08-05,427.7,274.7
2018-08-06,635.9,428.5
2018-08-07,690.1000000000001,448.6000000000001
2018-08-08,456.8,284.7
2018-08-09,410.90000000000003,268.0333333333333
2018-08-10,411.50000000000006,282.71666666666664
2018-08-11,445.70000000000005,277.69999999999993
2018-08-12,387.29999999999995,260.70000000000005
2018-08-13,386.4,265.90000000000003
2018-08-14,405.3,284.4
2018-08-15,530.9,339.2
2018-08-16,526.6999999999999,358.0
2018-08-17,529.0,322.09999999999997
2018-08-18,535.5,324.19999999999993
2018-08-19,420.2,287.70000000000005
2018-08-20,430.40000000000003,284.4
2018-08-21,409.6000000000001,295.4
2018-08-22,534.0000000000001,401.4999999999999
2018-08-23,383.8,267.05
2018-08-24,383.0,231.85000000000002
2018-08-25,321.40000000000003,218.4
2018-08-26,419.29999999999995,287.80000000000007
2018-08-27,360.3999999999999,256.1
2018-08-28,489.0999999999999,348.3
2018-08-29,352.70000000000005,293.9
2018-08-30,375.7,257.79999999999995
2018-08-31,510.3,369.5
2018-09-01,653.8,450.20000000000005
2018-09-02,636.9,499.1
2018-09-03,656.4999999999999,524.2
2018-09-04,428.69999999999993,351.2
2018-09-05,414.90000000000003,327.24999999999994
2018-09-06,465.8,377.70000000000005
2018-09-07,439.4000000000001,287.3
2018-09-08,583.1,337.6
2018-09-09,442.8,293.59999999999997
2018-09-10,517.5999999999999,315.30000000000007
2018-09-11,463.90000000000003,365.69999999999993
2018-09-12,250.49999999999997,227.19999999999996
2018-09-13,543.9999999999999,406.29999999999995
2018-09-14,502.0,377.59999999999997
2018-09-15,552.6999999999999,356.79999999999995
2018-09-16,472.3,320.1
2018-09-17,487.20000000000005,358.5
2018-09-18,513.8000000000001,344.59999999999997
2018-09-19,600.1999999999999,363.3
2018-09-20,602.3,371.20000000000005
2018-09-21,462.19999999999993,301.90000000000003
2018-09-22,442.1000000000001,340.06470588235294
2018-09-23,188.225,443.8823529411765
2018-09-24,340.72499999999997,515.0529411764707
2018-09-25,670.0000000000001,491.09999999999997
2018-09-26,681.3,490.2000000000001
2018-09-27,745.15,540.3500000000001
2018-09-28,358.19999999999993,199.19999999999996
2018-09-29,643.8000000000001,398.7
2018-09-30,456.5,316.8
2018-10-01,345.59999999999997,217.40000000000006
2018-10-02,398.3000000000001,251.70000000000002
2018-10-03,486.7,341.8999999999999
2018-10-04,696.4000000000001,504.2
2018-10-05,882.5,606.5000000000001
2018-10-06,362.79999999999995,289.7999999999999
2018-10-07,363.49999999999994,240.39999999999998
2018-10-08,552.0000000000001,357.9
2018-10-09,649.8000000000001,433.9
2018-10-10,1226.1000000000001,970.3
2018-10-11,595.4,396.6
2018-10-12,511.6,286.0
2018-10-13,533.7,329.20000000000005
2018-10-14,155.79999999999998,150.575
2018-10-15,309.9,293.125
2018-10-16,778.3000000000001,546.4
2018-10-17,549.6999999999999,378.3999999999999
2018-10-18,413.90000000000003,286.2
2018-10-19,535.1999999999999,378.19999999999993
2018-10-20,1106.3999999999999,822.5
2018-10-21,653.0,512.0
2018-10-22,484.3,272.40000000000003
2018-10-23,609.9,332.4999999999999
2018-10-24,544.1,342.29999999999995
2018-10-25,551.3,374.7
2018-10-26,328.0999999999999,210.19999999999996
2018-10-27,154.50000000000003,113.8
2018-10-28,159.25000000000003,129.0
2018-10-29,175.5,138.79999999999998
2018-10-30,430.0,309.90000000000003
2018-10-31,646.4000000000001,455.0000000000001
2018-11-01,572.8,454.09999999999997
2018-11-02,807.0999999999999,498.1
2018-11-03,644.8000000000001,433.0
2018-11-04,677.4000000000001,481.79999999999995
2018-11-05,1331.0,1057.8999999999999
2018-11-06,796.9999999999998,606.5000000000001
2018-11-07,431.7,286.6
2018-11-08,583.9,289.6000000000001
2018-11-09,531.3000000000001,312.19999999999993
2018-11-10,528.9000000000001,324.5000000000001
2018-11-11,422.79999999999995,273.2
2018-11-12,533.2,316.0999999999999
2018-11-13,674.5999999999999,343.5999999999999
2018-11-14,655.3000000000001,370.6
2018-11-15,820.1999999999999,611.7
2018-11-16,533.6,438.8999999999999
2018-11-17,777.1999999999998,622.2000000000002
2018-11-18,511.79999999999984,361.1000000000001
2018-11-19,233.6,171.5
2018-11-20,325.70000000000005,309.09999999999997
2018-11-21,718.9,619.4000000000001
2018-11-22,1257.8999999999999,1057.2
2018-11-23,1162.8,941.0999999999999
2018-11-24,735.9000000000001,630.8000000000001
2018-11-25,516.1,458.40000000000003
2018-11-26,376.19999999999993,289.09999999999997
2018-11-27,613.4,502.3999999999999
2018-11-28,432.5,291.20000000000005
2018-11-29,458.1999999999999,259.70000000000005
2018-11-30,623.6000000000001,356.29999999999995
2018-12-01,406.40000000000003,285.1
2018-12-02,319.2,221.3
2018-12-03,479.0,270.9
2018-12-04,665.1000000000001,430.5
2018-12-05,501.8,359.4000000000001
2018-12-06,485.70000000000005,336.29999999999995
2018-12-07,375.59999999999997,258.19999999999993
2018-12-08,489.29999999999995,271.0
2018-12-09,287.69999999999993,186.49999999999997
2018-12-10,484.1499999999999,302.4
2018-12-11,826.3499999999999,546.0999999999999
2018-12-12,598.3,422.7
2018-12-13,612.3928571428572,495.2
2018-12-14,768.9571428571429,641.6000000000001
2018-12-15,553.8,534.2
2018-12-16,475.05,302.50000000000006
2018-12-17,653.7499999999998,371.65000000000003
2018-12-18,509.29999999999984,313.7
2018-12-19,428.0,295.0
2018-12-20,502.50000000000006,307.1
2018-12-21,605.0,325.0999999999999
2018-12-22,540.9,330.9
2018-12-23,292.09999999999997,220.3
2018-12-24,476.8999999999999,417.40000000000003
2018-12-25,693.7999999999998,618.2999999999998
2018-12-26,550.6,473.90000000000003
2018-12-27,1108.8999999999999,1025.0
2018-12-28,907.7000000000003,794.1
2018-12-29,502.0000000000001,381.1
2018-12-30,390.6,374.00000000000006
2018-12-31,266.40000000000003,246.60000000000002
2019-01-01,338.99999999999994,231.6
2019-01-02,372.69999999999993,191.34999999999997
2019-01-03,380.79999999999995,274.79999999999995
2019-01-04,763.1999999999998,628.3
2019-01-05,670.2999999999998,571.3
2019-01-06,664.9,482.0999999999999
2019-01-07,604.2999999999998,371.09999999999997
2019-01-08,465.5,217.79999999999998
2019-01-09,336.1,214.9
2019-01-10,839.0,664.0
2019-01-11,569.6000000000001,442.40000000000003
2019-01-12,386.7000000000001,260.09999999999997
2019-01-13,280.8,193.6
2019-01-14,428.5,250.69999999999996
2019-01-15,517.8000000000001,319.09999999999997
2019-01-16,351.40000000000003,260.6
2019-01-17,337.0999999999999,223.1
2019-01-18,650.1999999999999,366.8000000000001
2019-01-19,617.4,385.3
2019-01-20,794.0000000000001,687.7
2019-01-21,1257.9999999999998,927.0
2019-01-22,528.4357142857143,349.7642857142856
2019-01-23,517.9142857142857,428.88571428571436
2019-01-24,955.7,813.9
2019-01-25,692.2,577.2
2019-01-26,462.6,271.90000000000003
2019-01-27,321.90000000000003,179.0
2019-01-28,535.4000000000001,244.79999999999998
2019-01-29,768.8,359.59999999999985
2019-01-30,502.20000000000005,346.7
2019-01-31,889.4,617.8999999999999
2019-02-01,333.30000000000007,296.8051724137931
2019-02-02,364.0,401.44137931034487
2019-02-03,664.3999999999999,439.10344827586204
2019-02-04,467.99999999999994,421.44642857142856
2019-02-05,531.0,437.80357142857144
2019-02-06,595.8000000000001,443.5
2019-02-07,508.9,354.00000000000006
2019-02-08,380.9000000000001,331.40000000000003
2019-02-09,469.50000000000006,339.79999999999995
2019-02-10,246.79999999999998,258.49999999999994
2019-02-11,411.40000000000003,328.5
2019-02-12,761.7,502.3999999999999
2019-02-13,825.9000000000002,565.0000000000001
2019-02-14,1099.4000000000003,774.7
2019-02-15,1299.4,936.3000000000001
2019-02-16,1054.9,764.3000000000001
2019-02-17,914.3999999999999,627.0999999999999
2019-02-18,646.9999999999999,400.99999999999994
2019-02-19,737.4000000000001,367.99999999999994
2019-02-20,682.5,407.7
2019-02-21,848.9999999999999,563.4
2019-02-22,1042.6999999999998,820.0000000000002
2019-02-23,990.7,920.6
2019-02-24,1140.2,1030.5
