MeasurementDateGMT,Westminster - Oxford Street East: Nitric Oxide (ug/m3),Westminster - Oxford Street East: Nitrogen Dioxide (ug/m3),Westminster - Oxford Street East: Oxides of Nitrogen (ug/m3),Westminster - Oxford Street East: PM10 Particulate (ug/m3)
2018-01-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-05,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-06,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-07,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-08,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-09,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-10,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-11,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-12,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-13,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-14,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-15,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-16,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-17,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-18,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-19,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-20,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-21,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-22,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-23,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-24,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-25,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-26,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-27,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-28,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-29,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-30,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-01-31,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-05,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-06,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-07,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-08,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-09,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-10,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-11,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-12,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-13,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-14,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-15,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-16,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-17,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-18,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-19,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-20,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-21,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-22,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-23,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-24,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-25,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-26,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-27,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-02-28,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-05,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-06,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-07,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-08,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-09,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-10,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-11,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-12,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-13,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-14,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-15,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-16,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-17,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-18,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-19,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-20,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-21,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-22,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-23,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-24,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-25,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-26,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-27,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-28,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-29,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-30,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-03-31,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-05,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-06,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-07,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-08,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-09,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-10,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-11,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-12,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-13,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-14,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-15,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-16,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-17,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-18,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-19,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-20,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-21,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-22,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-23,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-24,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-25,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-26,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-27,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-28,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-29,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-04-30,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-05,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-06,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-07,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-08,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-09,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-10,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-11,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-12,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-13,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-14,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-15,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-16,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-17,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-18,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-19,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-20,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-21,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-22,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-23,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-24,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-25,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-26,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-27,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-28,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-29,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-30,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-05-31,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-06-01,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-06-02,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-06-03,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-06-04,2577.6000000000013,2131.1999999999994,6084.0,1440.0
2018-06-05,2328.100000000001,2123.5,5693.499999999999,1244.0
2018-06-06,1985.9000000000003,2015.8,5061.1,1037.0
2018-06-07,1669.4000000000003,1840.6999999999998,4400.499999999999,905.0
2018-06-08,1738.7,1918.8,4584.800000000001,867.0
2018-06-09,840.6999999999999,1383.4,2672.499999999999,768.0
2018-06-10,500.5,889.1999999999998,1657.0000000000002,663.0
2018-06-11,1369.9,1585.6999999999998,3685.7999999999997,740.0
2018-06-12,2344.5,1892.4,5487.200000000001,735.0
2018-06-13,938.0000000000001,1402.7000000000003,2840.6000000000004,664.0
2018-06-14,1307.8,1505.5000000000002,3510.9,829.0
2018-06-15,1342.1,1746.4,3804.2,791.0
2018-06-16,729.5,1138.7,2256.9000000000005,552.0
2018-06-17,445.40000000000003,837.0999999999999,1520.4000000000003,489.0
2018-06-18,367.93202247191016,675.5983146067414,1210.0702247191014,432.49162011173183
2018-06-19,537.1348314606744,993.6876404494383,1711.9483146067416,577.1396648044692
2018-06-20,707.0224719101125,1327.314606741573,2230.024719101124,715.5083798882681
