MeasurementDateGMT,Westminster - Oxford Street: Nitric Oxide (ug/m3),Westminster - Oxford Street: Nitrogen Dioxide (ug/m3),Westminster - Oxford Street: Oxides of Nitrogen (ug/m3),Westminster - Oxford Street: PM10 Particulate (ug/m3)
2018-01-01,2942.0,1769.8000000000002,6280.4,840.0
2018-01-02,2179.2999999999997,1633.7,4975.900000000001,840.0
2018-01-03,2761.9000000000005,1770.8,6005.899999999999,840.0
2018-01-04,2777.3000000000006,1811.3000000000002,6069.9,840.0
2018-01-05,3003.0999999999995,1856.9,6461.5,840.0
2018-01-06,1263.8000000000002,1259.8000000000002,3197.4,840.0
2018-01-07,348.59999999999997,596.3,1130.7,840.0
2018-01-08,2243.1,1310.2,4749.799999999999,840.0
2018-01-09,3129.500000000001,1388.1000000000001,6186.7,840.0
2018-01-10,3152.6,1748.4,6582.400000000001,840.0
2018-01-11,2358.0,1253.0000000000002,4868.900000000001,840.0
2018-01-12,2900.4999999999995,1694.6000000000001,6141.8,840.0
2018-01-13,2261.6,1357.3000000000002,4825.200000000001,840.0
2018-01-14,1715.2999999999997,1219.8000000000002,3849.3999999999996,840.0
2018-01-15,2426.8999999999996,1393.8000000000002,5114.4000000000015,840.0
2018-01-16,2404.3000000000006,1731.4,5418.2,840.0
2018-01-17,2721.9000000000005,1735.6,5909.599999999999,840.0
2018-01-18,2592.0,1614.1,5588.099999999999,840.0
2018-01-19,2678.5000000000005,1861.3000000000002,5968.2,840.0
2018-01-20,1457.1,1582.4,3816.2000000000003,840.0
2018-01-21,2252.4,1558.3999999999999,5012.400000000001,840.0
2018-01-22,3925.5999999999995,2072.2000000000003,8090.9,840.0
2018-01-23,1844.4,1453.5000000000002,4281.7,840.0
2018-01-24,2033.6000000000001,1396.4,4514.3,840.0
2018-01-25,2274.6,1659.3500000000001,5146.85,840.0
2018-01-26,2470.3999999999996,1692.2999999999997,5480.700000000001,840.0
2018-01-27,2171.2,1548.6,4878.200000000001,840.0
2018-01-28,1648.3999999999999,1309.8999999999999,3837.2000000000003,840.0
2018-01-29,2244.7,1571.9999999999998,5013.4,840.0
2018-01-30,3661.5,1973.3000000000002,7587.700000000001,840.0
2018-01-31,3048.6,1811.6,6485.499999999999,840.0
2018-02-01,3472.4,1870.6000000000004,7194.599999999999,840.0
2018-02-02,3236.0,1814.0,6775.700000000001,840.0
2018-02-03,2887.1,1858.3,6285.0,840.0
2018-02-04,408.09999999999997,764.7,1390.6,840.0
2018-02-05,850.4,1050.2,2354.0,840.0
2018-02-06,1411.1,1371.1999999999998,3535.1,840.0
2018-02-07,2627.9,1712.1999999999998,5741.5,840.0
2018-02-08,2796.3,1918.8999999999999,6206.399999999999,840.0
2018-02-09,2856.6,1761.2999999999997,6141.199999999999,840.0
2018-02-10,2324.3,1718.5,5282.5,840.0
2018-02-11,1932.3,1627.3000000000004,4590.200000000001,840.0
2018-02-12,2986.1,2069.2,6648.200000000001,840.0
2018-02-13,2196.9000000000005,1650.6000000000004,5018.9,840.0
2018-02-14,1775.8999999999999,1540.0000000000005,4263.0,840.0
2018-02-15,3425.9,2155.0,7407.999999999999,840.0
2018-02-16,2927.9999999999995,2123.8,6613.900000000001,840.0
2018-02-17,3018.1999999999994,2099.5,6727.5,840.0
2018-02-18,1394.8000000000002,1567.6000000000001,3706.1999999999994,840.0
2018-02-19,3405.9000000000005,1775.7,6997.500000000001,840.0
2018-02-20,1348.7999999999997,1317.9999999999998,3386.0,840.0
2018-02-21,1268.8000000000002,1409.6000000000001,3354.799999999999,840.0
2018-02-22,1528.7,1629.2,3973.2,840.0
2018-02-23,1650.1999999999998,1702.4,4232.799999999999,840.0
2018-02-24,1887.0,1535.6999999999998,4429.0,840.0
2018-02-25,909.3000000000001,1102.8,2497.0,840.0
2018-02-26,845.5,1066.5,2362.6999999999994,840.0
2018-02-27,1653.6000000000001,1548.0999999999997,4082.899999999999,840.0
2018-02-28,1365.6000000000001,1317.7999999999995,3411.899999999999,840.0
2018-03-01,1352.3000000000002,1315.3999999999999,3389.1,840.0
2018-03-02,2051.2000000000003,1532.8000000000002,4677.700000000001,840.0
2018-03-03,2382.9000000000005,1851.6,5505.2,840.0
2018-03-04,1618.8000000000004,1487.3,3969.100000000001,840.0
2018-03-05,2018.4,1614.8,4710.4,840.0
2018-03-06,2638.2000000000003,1977.6000000000001,6023.0,840.0
2018-03-07,3328.1000000000004,2303.7000000000003,7406.200000000001,840.0
2018-03-08,2593.0999999999995,1704.1,5680.100000000001,840.0
2018-03-09,3369.8499999999995,1969.3500000000001,7135.799999999999,840.0
2018-03-10,1873.9999999999998,1389.2000000000003,4262.0,840.0
2018-03-11,1577.9999999999998,1651.7999999999997,4071.1,840.0
2018-03-12,2581.9,1544.4999999999995,5503.099999999999,840.0
2018-03-13,2527.8999999999996,1608.6,5484.699999999998,840.0
2018-03-14,2106.9,1805.3,5035.900000000001,840.0
2018-03-15,2928.2,1980.4,6469.800000000001,840.0
2018-03-16,2383.6000000000004,1740.1000000000001,5394.599999999999,840.0
2018-03-17,414.40000000000003,657.1,1292.7,840.0
2018-03-18,520.1,798.9999999999998,1596.2000000000003,840.0
2018-03-19,572.3,912.4,1789.5,840.0
2018-03-20,943.3,1299.1999999999998,2745.3,840.0
2018-03-21,3849.0,2218.9,8120.1,840.0
2018-03-22,3122.7000000000007,2062.5,6850.45,840.0
2018-03-23,1942.9500000000003,1633.0999999999997,4612.4,840.0
2018-03-24,1659.0,1455.6000000000001,3999.2999999999997,840.0
2018-03-25,1217.3,1252.6000000000001,3118.8,840.0
2018-03-26,2498.5000000000005,1926.6000000000001,5757.6,840.0
2018-03-27,2883.8999999999996,1875.1,6296.5999999999985,840.0
2018-03-28,3185.2999999999993,2145.4,7029.8,840.0
2018-03-29,2333.9999999999995,1910.2000000000003,5489.299999999999,840.0
2018-03-30,2144.0000000000005,1766.2999999999997,5054.0,840.0
2018-03-31,2000.1000000000001,1343.5,4410.2,840.0
2018-04-01,1338.7999999999997,1214.7,3267.6,840.0
2018-04-02,1393.6999999999996,1341.3000000000002,3478.000000000001,840.0
2018-04-03,1648.7000000000003,1359.1,3887.1,840.0
2018-04-04,1793.0,1542.75,4292.100000000001,840.0
2018-04-05,2291.1000000000004,1688.7,5201.900000000001,840.0
2018-04-06,2605.5,1915.3,5910.599999999999,840.0
2018-04-07,2516.3000000000006,2092.2,5950.800000000001,840.0
2018-04-08,1373.4,1397.6999999999998,3503.7999999999997,840.0
2018-04-09,2302.1,1660.8,5191.100000000001,840.0
2018-04-10,1346.6000000000006,1527.8999999999999,3593.1000000000004,840.0
2018-04-11,1148.3000000000002,1234.6999999999998,2995.5,840.0
2018-04-12,1181.3000000000002,1141.3,2952.8,840.0
2018-04-13,2444.1999999999994,1546.0,5293.099999999999,840.0
2018-04-14,2442.4,1994.9999999999998,5739.7,840.0
2018-04-15,1171.7,1301.6999999999998,3098.2,840.0
2018-04-16,1639.3999999999996,1506.1999999999996,4020.2,840.0
2018-04-17,1452.8000000000002,1316.3000000000002,3544.2999999999997,840.0
2018-04-18,2534.3,2105.2999999999997,5991.1,840.0
2018-04-19,3039.2499999999995,2677.7,7337.75,840.0
