MeasurementDateGMT,Westminster - Strand (Northbank BID): Nitric Oxide (ug/m3),Westminster - Strand (Northbank BID): Nitrogen Dioxide (ug/m3),Westminster - Strand (Northbank BID): Oxides of Nitrogen (ug/m3)
2018-01-01,1097.5,1661.1000000000001,3343.7999999999993
2018-01-02,2451.9000000000005,2014.3000000000002,5774.0
2018-01-03,1088.3,1616.7999999999997,3285.9000000000005
2018-01-04,2341.4000000000005,2159.1,5748.799999999999
2018-01-05,2995.2999999999997,2581.5000000000005,7174.0
2018-01-06,1695.7000000000005,1899.1999999999998,4499.0
2018-01-07,733.7000000000002,1132.1,2257.1000000000004
2018-01-08,3083.6000000000004,1783.2000000000003,6511.45
2018-01-09,4967.7,1939.0000000000002,9556.3
2018-01-10,3996.9,2441.2000000000003,8569.800000000001
2018-01-11,1945.0,1475.9999999999998,4457.999999999999
2018-01-12,4529.9,2124.4999999999995,9070.300000000001
2018-01-13,2671.4000000000005,1719.7,5815.900000000001
2018-01-14,2254.7999999999997,1710.8,5167.7
2018-01-15,1749.0999999999997,1733.7999999999997,4416.3
2018-01-16,1838.7999999999997,2053.4999999999995,4873.200000000001
2018-01-17,2101.8999999999996,1933.4,5156.4
2018-01-18,1645.6000000000006,1800.2000000000003,4323.4
2018-01-19,2605.0999999999995,2317.5000000000005,6311.8
2018-01-20,2155.7000000000003,2243.6,5548.6
2018-01-21,2423.2000000000003,1981.7000000000003,5697.3
2018-01-22,2547.2999999999997,2215.8999999999996,6122.199999999999
2018-01-23,2329.5,2092.9,5664.199999999999
2018-01-24,2277.0,2115.4,5607.0
2018-01-25,3541.6,2671.9,8102.200000000002
2018-01-26,2048.8,2070.7999999999997,5211.700000000001
2018-01-27,2338.1,1995.4,5580.299999999999
2018-01-28,1115.6999999999998,1600.4000000000003,3311.3000000000006
2018-01-29,1380.7,1851.1999999999998,3968.4999999999995
2018-01-30,5166.799999999999,2998.2000000000003,10920.300000000003
2018-01-31,2330.55,2274.8,5848.050000000001
2018-02-01,1571.8999999999999,1796.3000000000002,4206.500000000001
2018-02-02,1513.7,1684.3,4005.5
2018-02-03,2895.5,2336.8999999999996,6776.799999999998
2018-02-04,417.90000000000003,876.4999999999999,1517.3000000000002
2018-02-05,1625.5,1849.0000000000002,4341.8
2018-02-06,1394.4999999999998,1715.0000000000002,3853.7
2018-02-07,1809.9000000000003,1860.8999999999999,4636.200000000001
2018-02-08,3456.1000000000004,2467.1999999999994,7767.2
2018-02-09,1190.8000000000002,1610.1,3435.7000000000007
2018-02-10,2037.6999999999996,1949.4000000000003,5073.6
2018-02-11,849.3000000000002,1358.6000000000001,2660.7000000000003
2018-02-12,3242.899999999999,2461.7999999999997,7433.799999999999
2018-02-13,2395.8,1978.4,5651.8
2018-02-14,2898.0,2083.9999999999995,6527.599999999999
2018-02-15,2855.4,2309.7,6687.9
2018-02-16,4504.7,2828.5999999999995,9735.499999999998
2018-02-17,4291.9,2844.7999999999997,9425.599999999997
2018-02-18,2341.1,2265.9999999999995,5855.999999999999
2018-02-19,2681.5000000000005,1894.3,6006.299999999998
2018-02-20,834.5999999999999,1316.2,2596.2999999999997
2018-02-21,1700.5000000000002,1872.4000000000003,4479.900000000001
2018-02-22,3111.6999999999994,2582.9,7354.100000000001
2018-02-23,2806.2000000000003,2610.2000000000003,6913.0
2018-02-24,2206.2,2098.9999999999995,5481.599999999999
2018-02-25,1378.0,1680.1,3792.9
2018-02-26,1865.2,1836.1000000000004,4695.999999999999
2018-02-27,2569.850000000001,2231.5,6171.700000000001
2018-02-28,2282.6000000000004,2158.7,5658.400000000001
2018-03-01,2254.7000000000003,2092.7,5550.1
2018-03-02,2582.7999999999997,2083.6000000000004,6043.599999999999
2018-03-03,2400.2,2072.9,5752.900000000001
2018-03-04,2425.2999999999997,2123.3,5842.200000000001
2018-03-05,3323.0000000000005,2572.4999999999995,7667.400000000001
2018-03-06,3936.0999999999995,3016.7999999999997,9051.800000000001
2018-03-07,3018.6999999999994,2837.0999999999995,7465.499999999998
2018-03-08,2337.5,2373.3999999999996,5957.500000000001
2018-03-09,4484.7,2910.5999999999995,9787.300000000001
2018-03-10,2161.1,2112.6,5426.700000000001
2018-03-11,2207.3,2349.1,5733.300000000001
2018-03-12,1877.4999999999998,1946.3500000000001,4824.4
2018-03-13,3036.5,2404.3,7060.099999999999
2018-03-14,2684.4,2557.2000000000003,6672.799999999999
2018-03-15,3743.4,2944.5000000000005,8684.199999999999
2018-03-16,2912.4,2776.8999999999996,7242.799999999999
2018-03-17,757.9,1269.2000000000003,2431.0
2018-03-18,1029.3,1453.5999999999997,3032.0
2018-03-19,1245.8000000000004,1860.0000000000002,3769.8999999999996
2018-03-20,1046.0,1888.5999999999997,3492.4
2018-03-21,2699.899999999999,2727.8,6867.599999999999
2018-03-22,2266.5,2596.0,6071.500000000001
2018-03-23,2192.9,2538.1000000000004,5900.200000000001
2018-03-24,2180.8999999999996,2181.9,5525.4
2018-03-25,705.1999999999998,1362.4,2443.7
2018-03-26,2242.1,2722.95,6160.950000000001
2018-03-27,2281.8,2383.6,5881.900000000001
2018-03-28,2846.199999999999,3023.7000000000003,7388.1
2018-03-29,2977.7999999999997,3048.600000000001,7614.500000000002
2018-03-30,2182.2999999999997,2578.1,5924.500000000001
2018-03-31,1462.8000000000004,1819.8,4062.4000000000005
2018-04-01,1630.3999999999996,1994.3000000000002,4493.400000000001
2018-04-02,1367.5,1996.1000000000001,4092.800000000001
2018-04-03,1743.9999999999998,2299.2000000000003,4973.3
2018-04-04,1524.8999999999999,2255.5999999999995,4594.1
2018-04-05,1895.6999999999998,2326.4000000000005,5232.799999999999
2018-04-06,3102.4,3033.900000000001,7790.799999999998
2018-04-07,2226.6,2700.1999999999994,6114.000000000001
2018-04-08,1521.3,2119.1,4451.400000000001
2018-04-09,2653.2,2583.3,6651.499999999999
2018-04-10,2257.211111111111,2298.222222222222,5758.677777777779
2018-04-11,2040.888888888889,1994.377777777778,5123.222222222222
2018-04-12,1191.3999999999999,1337.5000000000002,3164.4
2018-04-13,3483.6000000000004,2329.6000000000004,7671.399999999998
2018-04-14,2296.8000000000006,2374.6,5896.3
2018-04-15,1271.9000000000003,1764.0000000000002,3714.2
2018-04-16,2098.6,2532.7000000000007,5750.7
2018-04-17,1801.4,2354.5000000000005,5116.5
2018-04-18,3214.4,3116.4000000000005,8044.800000000001
2018-04-19,3822.8999999999996,4194.599999999999,10055.9
2018-04-20,2111.3,2788.2000000000003,6025.899999999999
2018-04-21,2425.7,3025.3,6744.299999999999
2018-04-22,1066.6,2179.6000000000004,3814.4000000000005
2018-04-23,1904.1999999999998,2470.2,5390.2
2018-04-24,2404.2,2486.7999999999997,6173.099999999999
2018-04-25,2035.3000000000002,2486.0999999999995,5607.199999999999
2018-04-26,2196.7,2653.2,6021.5
2018-04-27,3351.0000000000005,3052.600000000001,8190.900000000002
2018-04-28,698.1,1486.9,2557.3
2018-04-29,420.30000000000007,962.0,1605.6999999999998
2018-04-30,737.9,1530.7,2662.2999999999997
2018-05-01,2457.9999999999995,2775.9,6544.599999999999
2018-05-02,1516.7,2094.3999999999996,4419.900000000001
2018-05-03,3445.1999999999994,3174.8999999999996,8457.5
2018-05-04,3032.3,3102.7000000000003,7751.999999999999
2018-05-05,2260.2000000000003,3230.0,6694.999999999999
2018-05-06,1543.4,2965.2,5331.5
2018-05-07,1082.3,3001.5,4661.0
2018-05-08,2562.1,3217.2000000000003,7145.499999999998
2018-05-09,2549.4500000000003,2510.7,6419.15
2018-05-10,1964.8,2274.8,5287.599999999999
2018-05-11,2623.2999999999997,2808.7,6831.400000000001
2018-05-12,2425.1,2597.4,6316.099999999999
2018-05-13,1190.5999999999997,1764.1,3589.8000000000006
2018-05-14,739.3000000000001,1395.2999999999997,2528.9999999999995
