Site_Code,Site_Name,Borough
A30,Kingston - Kingston Bypass A3,Kingston upon Thames
BG3,Barking and Dagenham - North Street,Barking and Dagenham
BN1,Barnet - Tally Ho Corner,Barnet
BN2,Barnet - Finchley,Barnet
BN3,Barnet - Strawberry Vale ,Barnet
BP0,Westminster - Bridge Place,Westminster
BQ5,Bexley - Manor Road West Gravimetric,Bexley
BQ6,Bexley - Manor Road East Gravimetric,Bexley
BQ9,Bexley - Slade Green FIDAS,Bexley
BT1,Brent - Kingsbury,Brent
BT2,Brent - Ikea Car Park,Brent
BT3,Brent - Harlesden,Brent
BT7,Brent - St Marys Primary School,Brent
BX3,Bexley - Thamesmead,Bexley
BX4,Bexley - Erith,Bexley
BX5,Bexley - Bedonwell ,Bexley
BX6,Bexley - Thames Road North FDMS,Bexley
BX7,Bexley - Thames Road North,Bexley
BX8,Bexley - Thames Road South,Bexley
BY1,Bromley - Rent Office,Bromley
BY4,Bromley - Tweedy Rd,Bromley
BY5,Bromley - Biggin Hill,Bromley
CD3,Camden - Shaftesbury Avenue,Camden
CD4,Camden - St Martins College (NOX 1),Camden
CD5,Camden - St Martins College (NOX 2),Camden
CR2,Croydon - Purley Way,Croydon
CR3,Croydon - Thornton Heath,Croydon
CR4,Croydon - George Street,Croydon
CR6,Croydon - Euston Road,Croydon
CT1,City of London - Senator House,City of London
CY1,Crystal Palace - Crystal Palace Parade,Croydon
EA0,Ealing - Acton Town Hall FDMS,Ealing
EA1,Ealing - Ealing Town Hall,Ealing
EA2,Ealing - Acton Town Hall,Ealing
EA7,Ealing - Southall,Ealing
EA9,Ealing - Court Way,Ealing
EI0,Ealing - Greenford,Ealing
EI2,Ealing - Southall Railway,Ealing
EI7,Ealing - Southall FDMS,Ealing
EN2,Enfield - Church Street,Enfield
EN3,Enfield - Salisbury School,Enfield
GN2,Greenwich - Millennium Village,Greenwich
GR5,Greenwich - Trafalgar Road,Greenwich
HF1,Hammersmith and Fulham - Broadway,Hammersmith and Fulham
HF2,Hammersmith and Fulham - Brook Green,Hammersmith and Fulham
HF3,Hammersmith and Fulham - Scrubs Lane,Hammersmith and Fulham
HF4,Hammersmith and Fulham - Shepherds Bush,Hammersmith and Fulham
HG2,Haringey - Priory Park,Haringey
HG3,Haringey - Bounds Green,Haringey
HI1,Hillingdon - South Ruislip,Hillingdon
HI2,Hillingdon - Hillingdon Hospital,Hillingdon
HI3,Hillingdon - Oxford Avenue,Hillingdon
HK4,Hackney - Clapton,Hackney
HS1,Hounslow - Brentford,Hounslow
HS2,Hounslow - Cranford,Hounslow
HS3,Hounslow - Brentford,Hounslow
HS4,Hounslow - Chiswick High Road,Hounslow
HS5,Hounslow - Brentford,Hounslow
HS6,Hounslow - Heston Road,Hounslow
HS7,Hounslow - Hatton Cross,Hounslow
HS8,Hounslow and Ealing - Gunnersbury Avenue,Hounslow
HS9,Hounslow - Feltham,Hounslow
HV2,Havering - Harold Hill,Havering
IS1,Islington - Upper Street,Islington
IS4,Islington - Foxham Gardens,Islington
IS5,Islington - Duncan Terrace,Islington
KC2,Kensington and Chelsea - Cromwell Road,Kensington and Chelsea
KC3,Kensington and Chelsea - Knightsbridge,Kensington and Chelsea
KC4,Kensington and Chelsea - Kings Road,Kensington and Chelsea
KC5,Kensington and Chelsea - Earls Court Rd,Kensington and Chelsea
KG1,Kensington and Chelsea - Green Screen RS,Kensington and Chelsea
KG2,Kensington and Chelsea - Green Screen BG,Kensington and Chelsea
KT1,Kingston - Chessington,Kingston upon Thames
KT2,Kingston - Town Centre,Kingston upon Thames
KT3,Kingston Upon Thames - Sopwith Way,Kingston upon Thames
LB1,Lambeth - Christchurch Road,Lambeth
LB2,Lambeth - Vauxhall Cross,Lambeth
LB3,Lambeth - Loughborough Junct,Lambeth
LH2,Heathrow Airport,Hillingdon
LW3,Lewisham - Mercury Way,Lewisham
ME1,Merton - Morden Civic Centre,Merton
ME7,Merton - Willow Lane Industrial Estate,Merton
NM1,Newham - Tant Avenue,Newham
RB1,Redbridge - Perth Terrace,Redbridge
RB2,Redbridge - Ilford Broadway,Redbridge
RB5,Redbridge - South Woodford,Redbridge
SK1,Southwark - Larcom Street,Southwark
SK2,Southwark - Old Kent Road,Southwark
SK7,Southwark - Heygate,Southwark
SK9,Southwark - A2 Old Kent Road FIDAS,Southwark
SKA,Southwark - Lower Road,Southwark
SKB,Southwark - Vicarage Grove,Southwark
ST1,Sutton - Robin Hood School,Sutton
ST2,Sutton - North Cheam,Sutton
ST3,Sutton - Carshalton,Sutton
ST7,Sutton - Therapia Lane,Sutton
ST9,Sutton - Beddington Village,Sutton
TD0,- National Physical Laboratory,Richmond upon Thames
TH1,Tower Hamlets - Poplar,Tower Hamlets
TH3,Tower Hamlets - Bethnal Green,Tower Hamlets
TH5,Tower Hamlets - Victoria Park,Tower Hamlets
TH6,Tower Hamlets - Millwall Park,Tower Hamlets
TL4,Greenwich - Tunnel Avenue,Greenwich
TL5,Newham - Hoola Tower,Newham
TL6,Newham - Britannia Gate,Newham
VS1,Westminster - Victoria Street,Westminster
WA1,Wandsworth - Garratt Lane,Wandsworth
WA3,Wandsworth - Roehampton,Wandsworth
WA4,Wandsworth - High Street,Wandsworth
WA6,Wandsworth - Tooting,Wandsworth
WE0,Kensington and Chelsea - Pembroke Road,Kensington and Chelsea
WL1,Waltham Forest - Dawlish Road,Waltham Forest
WL2,Waltham Forest - Mobile,Waltham Forest
WL3,Waltham Forest - Chingford,Waltham Forest
WL4,Waltham Forest - Crooked Billet,Waltham Forest
WL5,Waltham Forest - Leyton,Waltham Forest
WM4,Westminster - Charing Cross Library,Westminster
WM8,Westminster - Victoria,Westminster
WM9,Westminster - Victoria (Victoria BID),Westminster
WMD,Westminster - Elizabeth Bridge,Westminster
