MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2018-01-01,467.95,786.61,1504.15,269.3,803.7
2018-01-02,732.59,1081.42,2204.71,495.54,445.3
2018-01-03,518.34,720.09,1514.92,747.78,1075.5
2018-01-04,696.86,1053.76,2122.16,445.01,550.6
2018-01-05,1383.58,1435.02,3556.56,567.33,290.5
2018-01-06,1090.81,1108.24,2780.72,452.19,109.3
2018-01-07,360.66,509.91,1063.0,345.21,503.1
2018-01-08,512.99,782.4,1568.65,484.4,178.5
2018-01-09,1203.4,1151.26,2996.41,736.54,35.4
2018-01-10,2508.45,1829.94,5676.25,856.9,145.5
2018-01-11,1730.39,1254.5,3906.79,586.69,25.4
2018-01-12,928.8,1108.92,2532.91,704.2,162.1
2018-01-13,503.96,901.45,1674.18,637.92,374.3
2018-01-14,612.1,993.94,1932.5,674.79,146.9
2018-01-15,647.89,989.85,1983.56,431.15,530.0
2018-01-16,690.24,1097.1,2156.25,659.41,709.55
2018-01-17,760.48,1078.26,2244.25,677.08,829.6
2018-01-18,815.82,1105.59,2356.46,642.98,853.8
2018-01-19,1140.89,1550.05,3299.04,718.06,258.7
2018-01-20,603.96,1265.86,2191.95,260.12,152.8
2018-01-21,818.49,1322.06,2577.04,391.31,199.6
2018-01-22,1467.06,1544.82,3793.99,556.08,326.7
2018-01-23,742.9,1057.16,2196.33,307.65,525.5
2018-01-24,670.5,988.95,2017.12,357.9,761.9
2018-01-25,1030.66,1383.65,2964.01,592.24,320.92
2018-01-26,1743.7,1611.7,4285.09,611.74,168.32
2018-01-27,849.85,1162.99,2465.88,410.98,325.5
2018-01-28,436.31,687.14,1356.42,269.84,741.65
2018-01-29,988.24,1229.94,2745.29,564.74,634.4
2018-01-30,2708.31,1893.09,6045.58,782.01,158.4
2018-01-31,801.36,1188.57,2417.4,541.88,662.4
2018-02-01,1028.62,1191.07,2768.39,422.58,784.3
2018-02-02,1543.61,1446.0,3812.11,615.16,495.3
2018-02-03,975.99,1477.1,2973.21,409.59,95.2
2018-02-04,413.55,669.96,1304.06,228.11,451.6
2018-02-05,654.42,971.21,1974.64,409.86,314.9
2018-02-06,1010.01,1279.03,2827.84,684.59,240.0
2018-02-07,1777.71,1643.0,4368.86,736.12,299.6
2018-02-08,2100.54,1674.54,4894.95,803.08,356.5
2018-02-09,776.79,1101.76,2292.95,412.43,784.8
2018-02-10,878.89,1164.45,2511.81,355.4,483.3
2018-02-11,324.41,681.12,1178.39,317.13,1078.8
2018-02-12,1353.31,1638.14,3713.06,761.66,451.2
2018-02-13,525.17,1033.86,1839.09,239.08,661.25
2018-02-14,1059.0,1174.53,2798.24,371.02,487.8
2018-02-15,965.4,1434.41,2914.94,839.86,424.1
2018-02-16,2112.38,1855.32,5094.32,855.66,164.4
2018-02-17,1897.34,1631.64,4540.98,833.45,191.7
2018-02-18,832.9,1188.96,2466.2,539.38,357.9
2018-02-19,1550.34,1294.81,3672.09,582.24,227.7
2018-02-20,613.89,840.63,1782.16,333.94,445.7
2018-02-21,755.49,999.35,2157.76,996.9,224.0
2018-02-22,563.18,1027.99,1891.54,871.06,260.1
2018-02-23,675.6,1076.18,2112.06,816.43,276.9
2018-02-24,482.91,932.51,1672.46,841.1,342.0
2018-02-25,242.8,612.07,984.45,460.99,536.6
2018-02-26,469.96,794.42,1514.99,504.69,531.9
2018-02-27,857.11,1274.14,2588.57,704.53,372.2
2018-02-28,661.84,1013.96,2028.66,550.55,365.8
2018-03-01,360.09,783.04,1335.46,949.45,552.15
2018-03-02,382.14,988.84,1574.71,1028.65,411.3
2018-03-03,422.42,1103.7,1751.69,1452.91,201.7
2018-03-04,453.36,1164.49,1859.78,729.56,426.5
2018-03-05,622.7,1200.68,2155.83,561.86,525.9
