MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2018-01-01,4.8,132.0,141.6
2018-01-02,4.8,132.0,141.6
2018-01-03,4.8,132.0,141.6
2018-01-04,4.8,132.0,141.6
2018-01-05,4.8,132.0,141.6
2018-01-06,4.8,132.0,141.6
2018-01-07,4.8,132.0,141.6
2018-01-08,4.8,132.0,141.6
2018-01-09,4.8,132.0,141.6
2018-01-10,4.8,132.0,141.6
2018-01-11,4.8,132.0,141.6
2018-01-12,4.8,132.0,141.6
2018-01-13,4.8,132.0,141.6
2018-01-14,4.8,132.0,141.6
2018-01-15,4.8,132.0,141.6
2018-01-16,4.8,132.0,141.6
2018-01-17,4.8,132.0,141.6
2018-01-18,4.8,132.0,141.6
2018-01-19,4.8,132.0,141.6
2018-01-20,4.8,132.0,141.6
2018-01-21,4.8,132.0,141.6
2018-01-22,4.8,132.0,141.6
2018-01-23,4.8,132.0,141.6
2018-01-24,4.8,132.0,141.6
2018-01-25,4.8,132.0,141.6
2018-01-26,4.8,132.0,141.6
2018-01-27,4.8,132.0,141.6
2018-01-28,4.8,132.0,141.6
2018-01-29,4.8,132.0,141.6
2018-01-30,4.8,132.0,141.6
2018-01-31,4.8,132.0,141.6
2018-02-01,4.8,132.0,141.6
2018-02-02,4.8,132.0,141.6
2018-02-03,4.8,132.0,141.6
2018-02-04,4.8,132.0,141.6
2018-02-05,4.8,132.0,141.6
2018-02-06,4.8,132.0,141.6
2018-02-07,4.8,132.0,141.6
2018-02-08,4.8,132.0,141.6
2018-02-09,4.8,132.0,141.6
2018-02-10,4.8,132.0,141.6
2018-02-11,4.8,132.0,141.6
2018-02-12,4.8,132.0,141.6
2018-02-13,4.8,132.0,141.6
2018-02-14,4.8,132.0,141.6
2018-02-15,4.8,132.0,141.6
2018-02-16,4.8,132.0,141.6
2018-02-17,4.8,132.0,141.6
2018-02-18,4.8,132.0,141.6
2018-02-19,4.8,132.0,141.6
2018-02-20,4.8,132.0,141.6
2018-02-21,4.8,132.0,141.6
2018-02-22,4.8,132.0,141.6
2018-02-23,4.8,132.0,141.6
2018-02-24,4.8,132.0,141.6
2018-02-25,4.8,132.0,141.6
2018-02-26,4.8,132.0,141.6
2018-02-27,4.8,132.0,141.6
2018-02-28,4.8,132.0,141.6
2018-03-01,4.8,132.0,141.6
2018-03-02,4.8,132.0,141.6
2018-03-03,4.8,132.0,141.6
2018-03-04,4.8,132.0,141.6
2018-03-05,4.8,132.0,141.6
2018-03-06,4.8,132.0,141.6
2018-03-07,4.8,132.0,141.6
2018-03-08,4.8,132.0,141.6
2018-03-09,4.8,132.0,141.6
2018-03-10,4.8,132.0,141.6
2018-03-11,4.8,132.0,141.6
2018-03-12,4.8,132.0,141.6
2018-03-13,4.8,132.0,141.6
2018-03-14,4.8,132.0,141.6
2018-03-15,4.8,132.0,141.6
2018-03-16,4.8,132.0,141.6
2018-03-17,4.8,132.0,141.6
2018-03-18,4.8,132.0,141.6
2018-03-19,4.8,132.0,141.6
2018-03-20,4.8,132.0,141.6
2018-03-21,4.8,132.0,141.6
2018-03-22,4.8,132.0,141.6
2018-03-23,4.8,132.0,141.6
2018-03-24,4.8,132.0,141.6
2018-03-25,4.8,132.0,141.6
2018-03-26,4.8,132.0,141.6
2018-03-27,4.8,132.0,141.6
2018-03-28,4.8,132.0,141.6
2018-03-29,4.8,132.0,141.6
2018-03-30,4.8,132.0,141.6
2018-03-31,4.8,132.0,141.6
2018-04-01,4.8,132.0,141.6
2018-04-02,4.8,132.0,141.6
2018-04-03,4.8,132.0,141.6
2018-04-04,4.8,132.0,141.6
2018-04-05,4.8,132.0,141.6
2018-04-06,4.8,132.0,141.6
2018-04-07,4.8,132.0,141.6
2018-04-08,4.8,132.0,141.6
2018-04-09,4.8,132.0,141.6
2018-04-10,4.8,132.0,141.6
2018-04-11,4.8,132.0,141.6
2018-04-12,4.8,132.0,141.6
2018-04-13,4.8,132.0,141.6
2018-04-14,4.8,132.0,141.6
2018-04-15,4.8,132.0,141.6
2018-04-16,4.8,132.0,141.6
2018-04-17,4.8,132.0,141.6
2018-04-18,4.8,132.0,141.6
2018-04-19,4.8,132.0,141.6
2018-04-20,4.8,132.0,141.6
2018-04-21,4.8,132.0,141.6
2018-04-22,4.8,132.0,141.6
2018-04-23,4.8,132.0,141.6
2018-04-24,4.8,132.0,141.6
2018-04-25,4.8,132.0,141.6
2018-04-26,4.8,132.0,141.6
2018-04-27,4.8,132.0,141.6
2018-04-28,4.8,132.0,141.6
2018-04-29,4.8,132.0,141.6
2018-04-30,4.8,132.0,141.6
2018-05-01,4.8,132.0,141.6
2018-05-02,4.8,132.0,141.6
