MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Sulphur Dioxide (ug/m3)
2018-01-01,466.11,926.8,1641.31,913.3,223.01,119.15,24.0
2018-01-02,886.93,1163.14,2523.06,798.5,352.28,167.28,24.0
2018-01-03,372.27,793.21,1364.39,1131.0,448.46,186.18,24.0
2018-01-04,912.4,1188.39,2587.14,966.3,278.96,148.1,24.0
2018-01-05,1178.82,1534.2,3341.68,826.5,318.46,172.68,24.0
2018-01-06,1704.2,1507.01,4120.24,193.9,501.01,352.45,24.0
2018-01-07,789.29,948.1,2158.61,779.1,303.48,113.72,24.0
2018-01-08,1752.61,1214.67,3901.97,286.4,447.31,320.68,24.0
2018-01-09,2791.43,1427.86,5708.16,40.6,745.16,612.5,24.0
2018-01-10,1808.05,1748.3,4520.79,378.7,448.22,309.98,24.0
2018-01-11,3008.69,1575.09,6188.65,26.3,635.27,530.28,24.0
2018-01-12,2689.08,1617.29,5740.55,316.2,622.58,489.59,24.0
2018-01-13,1468.01,1273.76,3525.12,484.7,605.3,487.3,24.0
2018-01-14,1293.1,1295.55,3278.26,428.5,678.14,564.6,24.0
2018-01-15,641.99,1088.87,2073.31,770.5,227.35,145.75,24.0
2018-01-16,667.12,1195.58,2218.49,964.6,229.39,98.55,24.0
2018-01-17,669.58,1142.15,2168.6,851.0,302.63,114.28,25.4
2018-01-18,600.4,1079.99,2000.34,843.4,225.54,84.75,65.1
2018-01-19,1053.95,1550.39,3166.36,722.4,345.99,156.22,20.1
2018-01-20,1620.36,1765.58,4250.12,659.9,303.45,196.9,46.1
2018-01-21,1396.09,1549.94,3690.39,347.5,367.94,299.55,47.9
2018-01-22,1032.84,1431.44,3014.86,403.4,349.85,173.19,71.9
2018-01-23,897.88,1315.55,2691.67,982.7,295.96,150.06,30.3
2018-01-24,791.63,1319.01,2532.13,1162.7,228.64,118.04,33.4
2018-01-25,957.73,1437.68,2905.34,907.1,424.06,194.43,22.9
2018-01-26,1459.76,1639.75,3877.3,286.5,531.13,294.3,58.9
2018-01-27,725.31,1410.45,2521.75,586.0,359.3,247.87,37.0
2018-01-28,416.66,1212.74,1850.82,1105.9,172.07,106.61,18.3
2018-01-29,983.62,1511.1,3019.17,908.0,218.73,124.93,32.4
2018-01-30,2008.94,1917.79,4997.99,356.0,521.67,308.1,60.1
2018-01-31,653.16,1243.29,2244.92,961.2,217.2,116.58,43.65
2018-02-01,828.71,1210.42,2481.21,577.6,244.95,114.75,48.6
2018-02-02,1725.54,1546.41,4192.55,331.0,388.24,206.1,34.1
2018-02-03,2030.5,1999.46,5112.81,212.5,389.15,319.83,34.1
2018-02-04,1114.1,1170.11,2878.31,569.7,282.01,170.15,32.4
2018-02-05,2160.68,1576.71,4889.91,479.3,435.82,243.18,34.7
2018-02-06,3265.91,2113.37,7121.2,266.1,674.28,421.85,52.5
2018-02-07,2919.05,2133.81,6609.65,268.0,692.56,282.0,49.7
2018-02-08,1473.81,1818.24,4078.04,655.3,500.11,307.85,40.2
2018-02-09,851.26,1334.11,2639.31,666.2,326.36,186.72,71.8
2018-02-10,770.72,1422.01,2603.68,750.2,333.31,207.82,50.4
2018-02-11,364.58,883.72,1442.82,768.6,251.79,131.19,78.0
2018-02-12,943.84,1522.54,2969.71,781.6,387.7,193.79,27.5
2018-02-13,1582.65,1605.55,4032.45,878.9,367.81,209.37,66.6
