MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,453.5,1135.53,1831.05,398.0,232.5
2018-01-02,1424.05,1520.3,3703.8,516.25,251.5
2018-01-03,550.55,1171.88,2016.22,713.75,305.5
2018-01-04,1451.9,1556.83,3783.0,447.25,232.5
2018-01-05,1964.88,2035.2,5047.97,544.5,253.5
2018-01-06,1600.48,1613.08,4066.95,709.5,454.0
2018-01-07,583.45,871.7,1766.4,423.75,169.0
2018-01-08,3190.75,1588.55,6481.02,643.0,474.5
2018-01-09,3832.7,1631.0,7507.62,999.0,702.0
2018-01-10,3183.2,2146.43,7027.25,921.25,395.5
2018-01-11,2620.8,1485.68,5504.1,833.0,598.0
2018-01-12,3525.78,1784.25,7190.25,917.0,548.0
2018-01-13,1968.23,1471.57,4489.58,668.75,530.0
2018-01-14,1710.0,1535.2,4157.18,714.0,568.5
2018-01-15,1656.28,1582.25,4121.9,358.75,219.0
2018-01-16,1266.73,1615.88,3558.18,453.0,179.5
2018-01-17,1531.15,1664.62,4012.12,545.5,224.0
2018-01-18,1471.25,1663.82,3919.75,414.5,205.5
2018-01-19,2065.52,2010.28,5177.18,596.5,239.0
2018-01-20,3015.65,2270.68,6894.58,389.25,248.5
2018-01-21,2039.55,1929.25,5056.38,453.25,364.75
2018-01-22,2785.9,2119.8,6391.38,610.25,250.0
2018-01-23,1943.88,1696.55,4677.28,368.75,186.0
2018-01-24,1609.78,1671.78,4139.65,328.25,193.64
2018-01-25,2809.5,2166.45,6473.98,651.0,233.36
2018-01-26,3306.3,2190.93,7260.55,756.0,341.0
2018-01-27,1578.15,1692.35,4112.08,482.0,288.5
2018-01-28,548.6,1081.85,1922.97,286.75,150.0
2018-01-29,1305.68,1642.55,3644.45,402.75,125.5
2018-01-30,4091.28,2479.9,8753.2,816.0,295.5
2018-01-31,1521.7,1724.52,4057.7,448.0,155.5
2018-02-01,1624.9,1665.98,4157.82,511.25,182.5
2018-02-02,1779.25,1613.9,4342.35,572.06,236.0
2018-02-03,2082.9,1949.15,5143.05,558.1,335.5
2018-02-04,617.85,931.32,1878.68,479.57,202.5
2018-02-05,1604.18,1357.2,3817.18,896.77,241.5
2018-02-06,2022.05,1518.68,4619.25,901.75,424.5
2018-02-07,2346.0,1761.1,5358.46,929.25,290.5
2018-02-08,2837.92,2183.55,6534.92,838.5,271.0
2018-02-09,1409.18,1567.75,3728.42,470.25,205.88
2018-02-10,1825.6,1751.45,4550.45,432.0,233.12
2018-02-11,473.65,1042.12,1768.48,321.25,177.46
2018-02-12,1913.62,1856.0,4790.38,795.25,207.54
2018-02-13,2324.62,1806.62,5371.1,424.0,200.0
2018-02-14,2554.67,1840.25,5757.55,517.5,302.5
2018-02-15,1618.32,1857.42,4338.58,706.75,253.5
2018-02-16,3071.08,2328.0,7037.05,977.5,272.5
2018-02-17,2629.78,2315.23,6347.37,933.5,417.0
2018-02-18,1526.9,1822.08,4163.28,648.25,345.5
2018-02-19,2486.3,1791.93,5604.2,538.75,417.5
2018-02-20,1083.23,1199.3,2860.3,471.25,203.0
2018-02-21,2303.1,1749.8,5281.1,1363.5,874.0
2018-02-22,3136.9,2289.72,7099.72,889.5,565.5
2018-02-23,3090.15,2311.8,7049.82,817.75,498.0
2018-02-24,1952.35,1917.82,4911.2,844.75,514.5
2018-02-25,1146.85,1483.07,3241.47,601.25,245.5
2018-02-26,1914.2,1643.92,4579.05,1082.5,183.5
2018-02-27,3162.14,2189.78,7038.48,1632.3,211.0
2018-02-28,3135.64,2018.05,6826.02,715.45,426.5
2018-03-01,3223.6,1908.03,6851.02,1019.5,710.0
2018-03-02,2993.58,1859.02,6448.68,1125.5,984.5
2018-03-03,1813.45,1621.62,4402.48,1574.5,1622.0
2018-03-04,1147.05,1382.82,3141.42,601.0,459.5
2018-03-05,2230.88,1686.45,5107.05,757.25,263.0
2018-03-06,2312.88,1788.15,5334.47,1028.5,246.0
2018-03-07,2072.02,1824.85,5001.57,822.75,357.0
2018-03-08,1150.56,1382.55,3146.76,594.12,163.0
2018-03-09,2753.46,1749.45,5971.43,834.75,327.5
2018-03-10,1496.32,1381.98,3676.21,679.5,338.0
2018-03-11,1788.95,1726.6,4469.44,742.0,433.5
2018-03-12,2089.01,1593.35,4796.57,406.5,277.5
2018-03-13,2093.72,1685.1,4895.22,888.5,303.5
2018-03-14,2416.62,1804.79,5510.02,650.5,215.0
2018-03-15,2945.63,2027.02,6543.3,616.25,235.5
2018-03-16,2771.21,1973.24,6221.85,763.25,282.0
2018-03-17,1706.17,1225.11,3841.03,621.5,314.5
2018-03-18,2111.15,1544.39,4781.06,802.5,476.0
2018-03-19,2395.06,1625.46,5297.61,1232.0,299.0
2018-03-20,2192.84,1621.86,4983.76,965.25,209.5
2018-03-21,3123.25,2203.23,6991.46,1218.25,348.0
2018-03-22,2319.25,1990.35,5546.16,951.0,291.0
2018-03-23,1566.82,1728.45,4130.9,797.0,239.0
2018-03-24,1876.65,1666.45,4543.85,986.5,442.5
2018-03-25,723.25,1210.47,2319.35,1160.75,439.5
2018-03-26,2095.48,1940.17,5153.32,870.5,227.5
2018-03-27,2075.29,1825.18,5007.21,617.58,233.17
2018-03-28,2870.26,2296.66,6697.53,486.67,263.33
2018-03-29,2910.82,2231.05,6693.95,667.75,241.85
2018-03-30,1468.25,1664.18,3915.85,418.25,231.15
2018-03-31,825.92,1167.25,2433.43,354.5,207.51
2018-04-01,1052.47,1334.43,2948.4,474.75,276.87
2018-04-02,887.98,1271.05,2632.55,379.38,258.74
2018-04-03,1262.92,1469.18,3406.2,478.5,289.88
2018-04-04,1230.47,1463.87,3350.52,495.75,226.5
2018-04-05,1584.7,1619.78,4049.65,556.75,192.0
2018-04-06,2062.37,1919.02,5081.45,696.0,318.5
2018-04-07,1563.28,1711.13,4108.38,785.0,507.0
2018-04-08,1124.7,1510.08,3234.62,574.0,483.0
2018-04-09,2327.18,1843.25,5411.5,664.25,612.0
2018-04-10,2612.7,2020.65,6026.78,1030.5,731.0
2018-04-11,1849.38,1442.42,4277.82,1359.41,1065.0
2018-04-12,1568.12,1259.22,3663.65,1193.59,870.5
2018-04-13,2560.38,1920.63,5846.22,915.25,577.5
2018-04-14,1574.42,1974.63,4388.65,1055.0,868.0
2018-04-15,936.38,1503.55,2939.38,785.75,625.0
2018-04-16,1464.0,1775.73,4020.47,655.0,250.0
2018-04-17,1302.95,1668.55,3666.43,589.5,258.0
2018-04-18,3238.2,2568.62,7534.1,830.5,402.75
2018-04-19,3860.46,3175.45,9094.78,1400.38,684.21
2018-04-20,2453.48,2482.49,6244.0,1157.0,414.15
2018-04-21,1622.57,2221.88,4709.52,1236.0,585.24
2018-04-22,436.77,1175.29,1844.75,929.25,439.34
2018-04-23,1302.84,1501.75,3499.07,537.0,266.06
2018-04-24,1422.4,1456.58,3637.68,458.62,226.5
2018-04-25,1165.23,1497.88,3284.42,507.75,227.75
2018-04-26,1265.18,1618.4,3558.68,550.25,206.5
2018-04-27,3289.9,2364.3,7408.83,552.25,242.31
2018-04-28,1083.25,1319.85,2980.98,371.0,225.98
2018-04-29,393.12,840.68,1443.4,362.5,162.66
2018-04-30,700.72,1144.98,2219.42,452.25,197.83
2018-05-01,1809.88,1865.78,4640.9,518.25,167.75
2018-05-02,1523.38,1768.98,4105.18,382.75,164.21
2018-05-03,2856.42,2261.1,6640.8,750.0,283.0
2018-05-04,2683.35,2366.3,6480.5,870.25,345.0
2018-05-05,1855.22,2465.77,5310.22,762.75,453.5
2018-05-06,1037.63,2166.36,3756.86,915.5,615.5
2018-05-07,911.73,2233.04,3631.13,1006.0,851.54
2018-05-08,2291.67,2328.05,5841.84,1093.5,792.83
2018-05-09,2000.7,1864.35,4932.12,648.25,513.98
2018-05-10,1435.58,1704.05,3905.52,555.0,417.13
