MeasurementDateGMT, PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,175.0,272.3,488.67,906.0,231.3
2018-01-02,216.0,796.22,786.03,2006.93,411.9
2018-01-03,315.0,234.0,345.62,704.35,544.0
2018-01-04,205.0,576.55,676.7,1560.85,347.3
2018-01-05,226.0,935.46,1052.8,2487.18,356.9
2018-01-06,370.0,1282.6,1180.85,3147.43,396.9
2018-01-07,190.0,505.18,583.98,1358.72,380.9
2018-01-08,354.0,1178.57,790.85,2598.18,447.9
2018-01-09,570.0,1827.43,983.73,3785.47,730.8
2018-01-10,361.0,1891.8,1182.25,4082.98,534.4
2018-01-11,574.0,3287.0,1183.9,6223.72,694.4
2018-01-12,458.0,1719.82,1127.58,3764.25,644.1
2018-01-13,491.0,885.1,707.6,2064.75,599.6
2018-01-14,538.0,871.32,863.42,2199.33,692.3
2018-01-15,182.0,411.58,500.35,1131.32,302.5
2018-01-16,146.0,401.55,470.95,1086.65,267.6
2018-01-17,187.0,412.05,481.78,1113.85,408.2
2018-01-18,199.0,422.0,568.67,1215.88,251.4
2018-01-19,197.0,739.05,777.6,1910.78,351.1
2018-01-20,229.0,1109.65,1178.88,2880.4,269.2
2018-01-21,278.0,604.08,746.15,1672.33,323.9
2018-01-22,235.0,624.7,826.4,1784.5,394.7
2018-01-23,157.0,401.55,478.18,1094.0,249.2
2018-01-24,140.0,318.6,405.8,894.6,195.8
2018-01-25,205.0,769.28,795.1,1974.7,456.0
2018-01-26,364.0,2233.23,1366.15,4790.08,597.2
2018-01-27,297.0,846.9,779.92,2078.3,384.2
2018-01-28,177.67,219.67,314.75,651.55,169.6
2018-01-29,156.33,716.41,812.01,1910.69,295.3
2018-01-30,280.0,1808.8,1318.35,4091.6,629.8
2018-01-31,156.0,443.88,560.9,1241.75,292.3
2018-02-01,193.0,503.02,705.3,1476.57,304.5
2018-02-02,264.0,1064.35,1041.3,2673.2,533.4
2018-02-03,313.5,1170.4,1238.0,3033.05,343.5
2018-02-04,150.0,600.33,635.07,1555.5,269.2
2018-02-05,259.0,1252.15,1025.45,2945.3,403.6
2018-02-06,419.0,1659.28,1341.95,3886.02,699.3
2018-02-07,318.0,1943.12,1561.5,4541.0,756.7
2018-02-08,236.5,1365.5,1227.18,3320.92,620.2
2018-02-09,186.0,484.8,785.97,1529.4,279.9
2018-02-10,151.0,688.35,815.25,1870.85,274.6
2018-02-11,153.0,193.92,359.2,656.23,200.8
2018-02-12,182.0,896.32,997.12,2371.65,408.6
2018-02-13,200.0,1009.62,963.05,2511.2,284.7
2018-02-14,254.0,1076.47,994.42,2644.5,342.5
2018-02-15,229.0,560.7,748.75,1608.55,390.6
2018-02-16,241.0,1618.57,1355.58,3837.41,666.6
2018-02-17,355.0,1257.68,1387.7,3315.82,740.4
2018-02-18,292.0,758.18,1060.5,2223.23,660.3
2018-02-19,318.0,1281.32,1225.05,3189.82,440.5
2018-02-20,240.0,1115.82,1117.18,2828.0,279.1
2018-02-21,853.5,1536.02,1257.7,3612.85,1017.9
2018-02-22,545.0,1280.27,1247.96,3211.4,782.7
2018-02-23,501.0,1342.35,1253.69,3312.29,732.5
2018-02-24,549.0,957.25,1025.12,2492.68,776.8
2018-02-25,278.0,641.75,762.75,1746.85,492.0
2018-02-26,200.0,934.55,861.77,2294.93,421.2
2018-02-27,264.0,1486.22,1331.52,3610.08,377.1
2018-02-28,469.0,1200.4,1154.15,2994.58,639.9
2018-03-01,712.0,672.55,782.25,1813.2,915.5
2018-03-02,949.0,754.8,859.08,2016.05,974.3
2018-03-03,1437.0,974.4,1118.42,2612.33,1321.8
2018-03-04,357.0,745.88,978.7,2122.55,598.2
2018-03-05,225.0,937.85,1000.21,2438.05,449.8
2018-03-06,250.0,1227.99,1325.5,3208.52,605.7
2018-03-07,337.0,1146.75,1342.6,3101.03,523.8
2018-03-08,166.0,475.95,655.98,1385.78,384.0
2018-03-09,235.0,1447.05,1190.68,3409.38,539.9
2018-03-10,293.0,619.48,825.02,1774.68,632.5
2018-03-11,366.0,946.18,1078.12,2528.93,563.5
2018-03-12,211.0,943.65,951.38,2398.48,346.4
2018-03-13,229.0,994.68,1061.28,2586.1,479.1
2018-03-14,228.0,761.22,833.48,2000.82,521.6
2018-03-15,219.0,988.78,1028.72,2544.75,431.8
2018-03-16,256.0,966.92,1115.12,2597.8,774.6
2018-03-17,391.0,580.33,644.67,1534.28,496.6
2018-03-18,470.0,542.1,624.42,1455.5,664.4
2018-03-19,344.0,726.0,812.6,1925.62,632.3
2018-03-20,244.0,1129.4,1282.14,3013.64,632.5
2018-03-21,369.0,1037.75,1164.4,2755.68,709.3
2018-03-22,295.0,507.4,706.47,1484.38,566.7
2018-03-23,315.36,610.45,804.47,1740.48,664.5
2018-03-24,218.64,1133.07,1058.26,2795.84,678.5
2018-03-25,264.0,1044.8,1298.88,2901.0,1032.6
2018-03-26,223.0,1196.88,1484.13,3319.4,761.6
2018-03-27,199.0,613.8,836.8,1777.88,337.0
2018-03-28,198.0,983.62,1231.55,2739.8,258.0
2018-03-29,236.0,1267.73,1309.5,3253.3,426.1
2018-03-30,230.0,862.68,1020.37,2343.07,299.4
2018-03-31,202.0,581.72,743.48,1635.48,263.8
2018-04-01,240.0,514.58,758.6,1547.6,393.5
2018-04-02,240.0,446.58,661.9,1346.82,326.6
2018-04-03,227.21,490.55,687.08,1439.35,385.0
2018-04-04,218.29,494.29,625.08,1382.86,377.2
2018-04-05,331.0,752.32,867.42,2021.15,261.5
2018-04-06,402.0,809.85,957.85,2199.62,533.8
2018-04-07,400.0,647.18,961.42,1953.4,616.5
2018-04-08,567.33,814.58,1117.28,2366.68,372.3
2018-04-09,576.67,1271.17,1112.68,3061.82,538.3
2018-04-10,618.0,1237.0,1282.22,3178.77,658.5
2018-04-11,924.0,1468.05,1185.18,3436.22,976.6
2018-04-12,763.0,1574.93,1138.45,3553.34,1096.89
2018-04-13,506.0,1041.68,1045.95,2643.0,1196.31
2018-04-14,663.0,906.7,1091.82,2482.2,931.25
2018-04-15,434.0,435.27,736.18,1403.52,666.19
2018-04-16,236.0,493.28,744.05,1500.6,401.14
2018-04-17,206.76,493.04,758.8,1514.64,439.67
2018-04-18,232.74,840.95,1051.3,2340.7,600.9
2018-04-19,247.89,1180.57,1721.6,3531.58,1010.3
2018-04-20,380.61,865.02,1280.22,2606.35,730.3
2018-04-21,664.0,691.4,1172.2,2232.32,955.4
2018-04-22,455.0,215.75,516.65,847.55,809.4
2018-04-23,134.0,364.75,521.15,1080.08,336.9
2018-04-24,157.0,409.1,493.33,1120.5,338.8
2018-04-25,152.0,387.75,504.65,1099.22,264.2
2018-04-26,164.0,437.3,577.92,1248.53,386.4
2018-04-27,215.0,1053.15,1074.32,2688.98,375.4
2018-04-28,236.0,935.12,1178.8,2612.5,292.3
2018-04-29,183.0,561.52,750.75,1611.68,282.0
2018-04-30,186.5,752.6,995.9,2149.9,328.7
2018-05-01,183.0,590.19,803.98,1708.56,389.9
2018-05-02,124.0,591.95,830.3,1737.78,265.6
2018-05-03,194.0,903.42,994.95,2379.9,471.9
2018-05-04,245.0,952.57,1193.03,2653.72,610.5
2018-05-05,394.0,739.2,1207.35,2340.75,638.4
2018-05-06,623.0,678.05,1326.15,2365.98,901.0
2018-05-07,747.0,580.75,1383.05,2273.52,1027.1
2018-05-08,409.0,596.25,1038.35,1952.5,848.7
2018-05-09,224.0,599.58,759.78,1679.45,567.4
2018-05-10,192.0,536.1,818.92,1641.07,430.1
2018-05-11,213.0,699.1,964.52,2036.2,552.4
2018-05-12,251.0,581.62,1002.3,1894.08,422.8
2018-05-13,329.0,514.5,880.75,1669.48,466.1
2018-05-14,201.0,916.88,1207.93,2613.9,400.5
2018-05-15,195.0,862.92,1321.66,2644.94,496.6
2018-05-16,223.0,829.8,941.37,2213.88,545.0
2018-05-17,225.5,849.65,857.95,2160.65,565.4
2018-05-18,255.0,1042.67,1112.79,2711.4,532.0
2018-05-19,348.0,776.85,1050.02,2240.93,617.0
2018-05-20,391.0,544.65,798.22,1633.08,608.8
2018-05-21,575.0,1112.0,1386.72,3092.25,872.5
2018-05-22,379.0,916.0,1273.85,2678.2,743.4
2018-05-23,414.0,813.27,1103.97,2350.85,692.0
2018-05-24,531.0,1067.05,1150.68,2786.8,750.1
2018-05-25,517.0,951.0,1257.03,2715.12,686.7
2018-05-26,784.0,487.05,905.65,1652.2,898.7
2018-05-27,483.0,409.1,778.95,1406.5,733.9
2018-05-28,531.0,541.55,926.85,1757.18,843.8
2018-05-29,463.0,929.32,1169.03,2594.1,573.0
2018-05-30,329.0,1004.58,1051.59,2591.77,538.93
2018-05-31,720.0,923.08,1060.54,2476.21,617.94
2018-06-01,423.0,620.8,871.4,1823.22,535.24
2018-06-02,191.0,340.58,578.8,1101.0,228.7
2018-06-03,220.0,487.68,792.82,1540.55,252.8
2018-06-04,333.0,822.12,905.28,2166.02,356.6
2018-06-05,204.0,798.0,815.83,2039.3,374.2
2018-06-06,308.0,919.55,929.1,2338.85,591.0
2018-06-07,280.0,937.8,953.42,2391.68,460.5
2018-06-08,281.0,935.62,1035.97,2470.65,504.8
2018-06-09,288.0,653.75,822.92,1824.95,441.7
2018-06-10,287.0,465.12,623.9,1337.0,375.1
2018-06-11,194.0,850.8,837.92,2142.07,394.0
2018-06-12,214.0,1013.81,960.92,2515.71,339.3
2018-06-13,166.0,780.56,831.27,2028.15,391.8
2018-06-14,211.0,372.85,496.3,1067.6,403.1
2018-06-15,203.0,636.38,816.23,1792.1,484.1
2018-06-16,157.0,373.45,508.7,1081.6,399.3
2018-06-17,126.0,257.95,334.62,730.47,279.1
2018-06-18,147.0,398.42,429.35,1040.25,312.4
2018-06-19,52.18,509.92,410.68,1192.4,226.4
2018-06-20,76.61,512.85,414.02,1200.18,283.4
2018-06-21,99.88,732.75,868.42,1991.6,376.8
2018-06-22,123.15,908.35,942.13,2334.65,465.7
2018-06-23,167.18,482.2,804.65,1543.98,456.3
2018-06-24,251.0,515.9,974.8,1765.65,538.3
2018-06-25,293.0,685.15,1314.07,2364.62,599.5
2018-06-26,228.0,820.75,1098.22,2356.42,500.8
2018-06-27,218.0,794.8,840.4,2058.85,544.7
2018-06-28,309.0,785.25,928.15,2132.05,596.8
2018-06-29,236.0,803.36,925.62,2157.1,534.4
2018-06-30,225.0,569.78,786.25,1659.95,517.4
2018-07-01,266.0,466.5,1002.98,1718.6,607.8
2018-07-02,194.0,708.42,1028.3,2114.55,590.8
2018-07-03,156.0,648.65,804.42,1798.52,500.8
2018-07-04,257.0,826.72,1063.75,2331.68,572.3
2018-07-05,396.0,787.1,1351.15,2558.0,737.8
2018-07-06,392.0,739.9,1403.18,2537.68,758.6
2018-07-07,459.0,456.45,1064.52,1764.5,795.1
2018-07-08,297.0,511.75,1051.75,1836.75,528.4
2018-07-09,256.0,798.65,1136.2,2360.85,528.0
2018-07-10,140.0,968.42,874.3,2359.18,390.2
2018-07-11,224.0,973.5,920.88,2413.35,473.99
2018-07-12,286.5,973.25,1106.78,2599.3,510.61
2018-07-13,283.0,873.1,1091.92,2430.8,487.5
2018-07-14,233.0,552.0,992.37,1839.0,519.7
2018-07-15,223.0,420.28,952.03,1596.35,472.5
2018-07-16,227.0,563.65,959.98,1823.9,490.5
2018-07-17,146.0,464.58,549.05,1261.18,384.0
2018-07-18,157.0,788.49,983.48,2192.3,452.0
2018-07-19,192.0,874.6,1115.15,2456.33,500.2
2018-07-20,230.0,801.65,1188.65,2417.82,509.6
2018-07-21,342.0,442.88,1016.38,1695.65,543.8
