MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,537.45,870.55,1694.76,362.67
2018-01-02,1180.16,1190.44,3000.21,525.11
2018-01-03,485.76,714.22,1459.1,655.97
2018-01-04,1137.8,1261.4,3006.01,765.9
2018-01-05,2103.54,1688.16,4913.27,584.58
2018-01-06,1199.46,1264.15,3103.12,544.64
2018-01-07,141.64,547.06,764.26,349.58
2018-01-08,568.29,921.07,1792.7,497.2
2018-01-09,2168.21,1303.24,4627.76,846.73
2018-01-10,3244.46,1930.28,6905.36,675.21
2018-01-11,2099.76,1294.59,4514.24,632.24
2018-01-12,1814.5,1362.01,4144.29,867.51
2018-01-13,777.38,1048.26,2240.14,709.89
2018-01-14,780.95,1123.65,2321.41,733.49
2018-01-15,988.21,1022.71,2537.7,353.55
2018-01-16,1017.91,1107.77,2668.79,764.87
2018-01-17,1000.19,979.5,2514.24,585.03
2018-01-18,1103.01,1070.47,2761.62,554.22
2018-01-19,2016.0,1686.48,4777.55,593.21
2018-01-20,862.01,1552.96,2874.62,215.84
2018-01-21,1347.14,1576.5,3642.05,381.34
2018-01-22,1952.01,1622.14,4615.01,633.47
2018-01-23,1187.64,1156.45,2977.42,296.96
2018-01-24,922.6,1023.13,2437.86,276.03
2018-01-25,1809.88,1491.42,4266.14,654.92
2018-01-26,2471.99,1753.75,5544.05,734.25
2018-01-27,1260.35,1256.09,3188.76,485.79
2018-01-28,399.18,698.54,1310.65,217.46
2018-01-29,1351.17,1146.94,3218.79,438.48
2018-01-30,2725.28,1635.02,5814.17,685.72
2018-01-31,1436.13,1292.56,3494.81,516.24
2018-02-01,1520.48,1316.79,3648.55,623.2
2018-02-02,1911.88,1482.36,4413.75,856.48
2018-02-03,1648.64,1697.71,4225.48,451.61
2018-02-04,221.59,573.19,912.63,234.89
2018-02-05,528.91,963.25,1774.16,501.0
2018-02-06,911.64,1236.62,2634.44,747.43
2018-02-07,1872.4,1625.39,4496.45,871.42
2018-02-08,3082.73,1861.56,6588.34,953.08
2018-02-09,1412.01,1304.86,3475.36,514.48
2018-02-10,1393.76,1353.79,3490.55,395.79
2018-02-11,568.12,724.89,1595.85,267.58
2018-02-12,2090.08,1672.22,4876.96,850.64
2018-02-13,1277.7,1313.14,3272.32,314.28
