MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,110.02,463.38,632.0,239.4
2018-01-02,345.88,855.0,1385.41,311.4
2018-01-03,131.58,361.15,562.79,423.4
2018-01-04,348.99,728.74,1263.32,285.4
2018-01-05,700.92,1113.19,2186.4,326.5
2018-01-06,1160.2,929.44,2707.18,513.0
2018-01-07,106.3,371.26,533.62,248.7
2018-01-08,371.32,650.91,1219.5,413.2
2018-01-09,1125.82,919.4,2644.02,806.8
2018-01-10,852.59,1101.04,2407.24,496.5
2018-01-11,956.27,953.45,2418.52,631.6
2018-01-12,786.99,979.1,2184.41,621.2
2018-01-13,239.6,745.76,1111.96,620.0
2018-01-14,234.41,836.82,1195.19,651.8
2018-01-15,178.05,697.95,970.11,190.0
2018-01-16,156.88,559.9,799.73,258.2
2018-01-17,205.22,564.65,878.78,297.5
2018-01-18,252.11,547.2,933.16,237.8
2018-01-19,339.62,970.56,1490.35,310.5
2018-01-20,349.24,990.38,1524.78,264.9
2018-01-21,441.25,1088.73,1763.18,436.5
2018-01-22,456.76,961.74,1661.5,338.9
2018-01-23,139.55,701.54,914.8,140.4
2018-01-24,109.07,519.5,686.3,156.0
2018-01-25,205.05,838.61,1152.14,284.6
2018-01-26,804.16,1142.29,2374.32,560.9
2018-01-27,481.51,863.04,1600.5,302.0
2018-01-28,52.38,279.51,359.43,150.8
2018-01-29,300.01,691.12,1150.18,236.9
2018-01-30,1656.08,1359.56,3897.09,432.2
2018-01-31,165.66,580.56,833.96,190.6
2018-02-01,301.69,626.94,1088.84,316.3
2018-02-02,649.2,851.68,1846.26,468.8
2018-02-03,412.91,1113.81,1745.74,389.0
2018-02-04,137.11,408.51,617.79,254.3
2018-02-05,373.94,760.99,1333.36,348.5
2018-02-06,564.26,943.53,1807.46,621.8
2018-02-07,1210.64,1148.21,3003.19,619.4
2018-02-08,1380.06,1309.07,3423.46,470.3
2018-02-09,338.12,725.64,1243.42,313.5
2018-02-10,370.45,927.72,1494.43,184.9
2018-02-11,112.06,305.39,476.75,183.35
2018-02-12,422.24,1013.65,1660.01,277.2
2018-02-13,373.56,799.14,1370.68,239.6
2018-02-14,698.79,845.19,1915.55,300.5
2018-02-15,221.39,774.22,1112.51,339.7
2018-02-16,1097.26,1340.88,3021.71,467.2
2018-02-17,1502.6,1413.3,3715.41,662.4
2018-02-18,1101.97,1078.51,2766.76,575.2
2018-02-19,483.64,887.51,1628.32,406.9
2018-02-20,348.44,564.98,1098.61,276.8
2018-02-21,710.41,936.11,2024.2,996.1
2018-02-22,396.12,961.4,1567.52,678.2
2018-02-23,515.49,926.86,1716.04,634.9
2018-02-24,270.7,741.8,1156.04,662.7
2018-02-25,129.86,521.4,720.03,389.8
2018-02-26,255.08,608.4,998.54,322.2
2018-02-27,651.16,1062.44,2059.98,523.3
2018-02-28,445.61,831.38,1513.36,504.0
2018-03-01,223.49,601.51,943.35,833.3
2018-03-02,238.55,780.94,1145.64,1037.2
2018-03-03,242.96,864.06,1235.0,1601.7
2018-03-04,188.9,893.26,1181.75,576.7
2018-03-05,371.11,1016.24,1583.95,372.1
2018-03-06,796.29,1157.89,2377.54,341.8
2018-03-07,953.71,1238.1,2699.09,448.35
2018-03-08,189.65,795.96,1085.95,212.1
2018-03-09,1240.61,1346.9,3247.27,914.93
2018-03-10,237.89,870.51,1234.16,966.05
2018-03-11,578.42,922.56,1808.34,836.77
2018-03-12,517.07,887.18,1679.17,707.49
2018-03-13,525.74,956.55,1761.74,578.21
2018-03-14,452.22,879.52,1571.88,448.93
2018-03-15,323.35,957.7,1452.06,409.9
