MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Ozone (ug/m3), Sulphur Dioxide (ug/m3)
2018-01-01,867.47,967.27,2297.18,311.35,109.25,861.73,24.9
2018-01-02,1499.37,1165.27,3464.6,439.47,145.48,744.82,12.7
2018-01-03,898.71,852.71,2230.43,597.65,194.0,1089.22,6.4
2018-01-04,1296.29,1135.78,3122.92,397.61,130.38,843.26,-2.7
2018-01-05,2055.3,1607.66,4758.76,479.5,161.03,628.2,51.0
2018-01-06,871.33,1101.72,2436.72,447.49,302.16,334.24,17.5
2018-01-07,213.77,566.84,894.28,331.58,112.3,805.72,5.5
2018-01-08,557.07,809.77,1661.87,453.68,306.84,351.95,10.1
2018-01-09,1865.11,1157.31,4016.73,790.23,605.41,74.7,26.2
2018-01-10,3271.47,1836.32,6852.91,641.81,303.16,340.58,27.3
2018-01-11,1898.5,1216.87,4128.17,615.57,494.06,23.22,39.9
2018-01-12,1713.79,1352.25,3979.71,712.17,479.18,192.43,11.9
2018-01-13,529.12,791.03,1602.27,638.3,477.42,495.52,10.3
2018-01-14,1032.96,1128.98,2713.06,706.99,521.09,325.01,9.2
2018-01-15,1273.44,993.19,2945.08,338.37,130.57,732.6,15.1
2018-01-16,1350.69,1123.18,3193.84,462.46,99.29,946.99,-2.4
2018-01-17,1313.67,1103.25,3117.3,565.01,111.16,926.17,11.3
2018-01-18,1380.8,1173.03,3290.34,444.13,101.89,893.96,13.9
2018-01-19,1950.21,1506.58,4496.46,568.15,129.04,672.62,5.4
2018-01-20,789.68,1311.87,2522.2,284.74,161.15,700.27,18.1
2018-01-21,1232.41,1393.36,3283.59,407.09,264.08,373.86,24.7
2018-01-22,1890.64,1558.91,4457.61,568.59,161.03,510.59,6.3
2018-01-23,1310.1,1023.11,3032.0,325.99,102.95,810.15,14.3
2018-01-24,1134.04,974.6,2714.57,259.75,79.47,993.07,14.4
2018-01-25,1867.92,1403.89,4268.04,603.43,135.96,723.0,17.3
2018-01-26,1853.23,1653.6,4494.73,627.48,296.9,205.06,28.6
2018-01-27,1640.02,1276.51,3791.65,486.45,222.33,493.69,24.4
2018-01-28,789.14,755.21,1965.48,240.67,83.6,1012.84,19.6
2018-01-29,1085.21,1091.6,2755.46,375.19,97.04,867.15,12.8
2018-01-30,3232.99,1830.86,6788.59,778.36,226.83,293.41,26.25
2018-01-31,1468.65,1149.85,3401.9,372.4,80.53,929.58,24.4
2018-02-01,1313.88,1195.47,3210.13,489.74,113.19,703.88,27.6
2018-02-02,1428.56,1331.4,3521.12,580.12,172.64,432.57,9.1
2018-02-03,1604.23,1564.85,4023.7,440.82,247.51,277.21,31.6
2018-02-04,183.23,527.51,808.36,272.57,128.33,873.1,26.2
2018-02-05,483.84,884.18,1626.33,402.79,199.66,626.36,2.7
2018-02-06,524.77,1055.02,1859.2,615.49,323.5,479.34,20.7
2018-02-07,1373.92,1440.65,3547.74,739.12,234.92,397.94,27.6
2018-02-08,2825.07,1754.65,6085.22,984.87,219.3,519.9,30.7
2018-02-09,1425.16,1279.81,3465.18,456.36,102.43,769.19,18.2
2018-02-10,1487.92,1251.86,3532.98,384.81,118.17,704.68,12.3
2018-02-11,836.65,870.93,2153.5,313.3,66.87,1096.64,23.4
2018-02-12,2068.71,1523.71,4695.77,639.28,130.84,701.93,13.3
2018-02-13,1152.39,1169.22,2935.5,318.2,122.25,828.23,13.9
2018-02-14,1967.2,1341.99,4358.76,464.54,181.2,603.03,27.3
2018-02-15,1832.35,1449.17,4259.24,590.33,135.5,684.05,21.05
2018-02-16,3007.9,2009.68,6621.31,861.49,211.63,422.49,22.3
2018-02-17,2457.77,1875.39,5643.66,839.86,356.6,285.39,27.0
2018-02-18,1597.15,1534.2,3982.89,724.35,296.71,499.8,18.3
2018-02-19,2232.85,1523.91,4947.62,498.91,282.97,265.41,23.6
2018-02-20,471.16,856.06,1578.8,285.58,157.09,579.0,24.5
2018-02-21,558.81,1022.65,1879.6,1040.01,808.21,546.91,29.6
2018-02-22,569.23,1185.05,2058.0,786.39,505.51,689.27,2.3
2018-02-23,821.21,1289.18,2548.44,748.21,442.35,577.49,11.5
2018-02-24,437.97,1018.9,1690.67,762.35,468.85,729.79,27.2
2018-02-25,256.51,732.46,1125.64,472.61,219.03,1067.36,14.8
2018-02-26,378.42,785.85,1366.07,436.89,149.99,1127.44,19.3
2018-02-27,788.59,1290.41,2499.39,450.26,212.36,783.41,25.4
2018-02-28,687.88,1102.94,2156.93,588.7,382.08,836.84,27.4
2018-03-01,301.91,819.73,1282.37,934.66,603.61,960.89,20.8
2018-03-02,359.32,990.07,1541.05,1019.2,813.63,727.13,14.8
2018-03-03,426.65,1199.23,1853.5,1497.45,1338.61,391.11,35.6
2018-03-04,1138.28,1368.16,3112.83,661.8,343.74,580.98,25.1
