MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,701.5,1389.9,2465.2,693.6,357.1
2018-01-02,742.0,1411.5,2549.4,552.5,520.2
2018-01-03,694.8,1269.7,2335.3,901.8,665.5
2018-01-04,920.9,1569.5,2981.9,629.3,449.8
2018-01-05,1340.7,1896.8,3952.9,453.2,524.9
2018-01-06,997.9,1366.3,2896.7,273.2,582.0
2018-01-07,256.9,717.0,1110.9,941.9,344.8
2018-01-08,476.6,901.4,1632.5,406.0,528.3
2018-01-09,1248.5,1183.9,3097.8,56.0,838.2
2018-01-10,1778.2,1873.4,4599.9,202.9,736.5
2018-01-11,844.6,1045.9,2341.3,80.7,634.5
2018-01-12,876.0,1049.7,2392.5,304.5,551.72
2018-01-13,601.5,875.1,1797.4,464.0,504.03
2018-01-14,720.8,1053.3,2158.8,337.8,438.85
2018-01-15,996.4,1227.7,2754.8,501.3,363.9
2018-01-16,1266.4,1581.8,3523.8,543.0,443.7
2018-01-17,1276.4,1483.2,3440.0,599.9,493.1
2018-01-18,1320.8,1443.0,3466.0,650.8,416.7
2018-01-19,1944.8,2005.4,4987.4,294.4,481.7
2018-01-20,786.2,1443.5,2649.1,609.3,350.1
2018-01-21,1257.1,1491.5,3418.6,289.3,402.5
2018-01-22,2075.7,1906.2,5088.5,234.4,527.1
2018-01-23,862.8,1358.0,2681.1,571.4,373.0
2018-01-24,791.4,1267.1,2480.5,801.4,291.7
2018-01-25,1152.0,1592.7,3359.3,505.0,606.0
2018-01-26,980.4,1442.5,2945.9,337.3,631.9
2018-01-27,1162.8,1476.1,3256.7,353.7,424.9
2018-01-28,792.9,1338.2,2553.8,655.1,268.0
2018-01-29,1149.0,1413.5,3174.7,662.6,347.0
2018-01-30,2181.9,1922.2,5268.0,229.2,677.2
2018-01-31,1142.3,1548.8,3299.9,655.5,353.7
2018-02-01,1117.2,1378.1,3091.2,609.4,415.0
2018-02-02,1390.9,1345.9,3478.6,454.4,505.1
2018-02-03,1351.7,1650.7,3723.5,266.8,438.1
2018-02-04,320.5,687.1,1178.4,933.8,188.4
2018-02-05,655.7,932.3,1937.6,787.8,346.3
2018-02-06,523.6,1079.4,1882.3,622.5,523.0
2018-02-07,999.2,1258.2,2790.5,568.2,598.4
2018-02-08,1780.0,1733.5,4460.1,390.1,657.4
