MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,275.5,506.9,930.85,373.9
2018-01-02,454.05,623.45,1321.0,451.05
2018-01-03,300.65,468.2,930.6,527.25
2018-01-04,403.85,623.75,1244.4,426.45
2018-01-05,938.3,872.05,2312.4,475.2
2018-01-06,492.55,525.4,1282.1,437.15
2018-01-07,75.8,216.9,334.7,380.2
2018-01-08,128.05,379.0,576.9,435.9
2018-01-09,580.0,609.35,1500.1,581.65
2018-01-10,1226.15,957.55,2839.3,507.1
2018-01-11,813.0,705.2,1953.3,523.3
2018-01-12,472.15,631.35,1356.9,524.0
2018-01-13,144.85,442.45,666.2,524.15
2018-01-14,456.7,642.2,1343.9,599.7
2018-01-15,352.6,563.35,1105.3,391.0
2018-01-16,533.0,672.45,1491.2,434.7
2018-01-17,396.35,559.2,1168.5,481.75
2018-01-18,461.3,596.9,1305.65,456.85
2018-01-19,788.3,862.15,2072.4,518.9
2018-01-20,293.3,677.15,1128.3,341.85
2018-01-21,491.45,734.9,1489.85,428.65
2018-01-22,737.8,824.0,1956.6,460.75
2018-01-23,308.75,559.3,1034.35,365.25
2018-01-24,304.25,527.6,995.3,350.8
2018-01-25,649.95,758.8,1756.8,486.7
2018-01-26,1013.2,892.1,2446.75,525.05
2018-01-27,489.25,705.65,1457.1,423.65
2018-01-28,256.8,441.55,836.75,335.7
2018-01-29,495.4,614.35,1375.4,366.85
2018-01-30,1303.05,963.15,2962.45,573.6
2018-01-31,460.85,596.35,1304.15,381.6
2018-02-01,429.65,501.95,1162.1,435.4
2018-02-02,688.35,649.0,1706.0,538.35
2018-02-03,569.3,787.7,1661.9,405.4
2018-02-04,113.75,267.3,443.3,323.3
2018-02-05,143.65,370.45,592.25,399.8
2018-02-06,543.2,650.3,1484.75,514.55
2018-02-07,859.7,810.45,2130.25,536.95
2018-02-08,1487.6,1025.3,3307.6,597.15
2018-02-09,379.75,548.4,1132.1,398.75
2018-02-10,538.0,736.4,1562.6,394.3
2018-02-11,349.35,468.05,1005.2,330.3
2018-02-12,686.3,797.0,1850.75,517.6
2018-02-13,218.85,498.8,835.9,422.4
