MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,376.65,652.45,1230.25,253.2,102.2
2018-01-02,1098.35,1061.9,2745.85,417.7,166.6
2018-01-03,238.1,509.7,874.5,496.0,194.8
2018-01-04,718.78,937.18,2039.38,291.42,110.5
2018-01-05,1250.85,1341.25,3259.45,391.0,192.8
2018-01-06,733.35,771.1,1895.75,410.15,263.6
2018-01-07,197.2,194.35,497.38,270.5,92.0
2018-01-08,209.64,350.37,672.36,409.0,307.7
2018-01-09,679.78,615.33,1658.34,795.05,586.8
2018-01-10,1153.42,948.0,2717.03,576.0,393.0
2018-01-11,621.26,594.12,1547.46,551.15,496.3
2018-01-12,630.65,774.14,1741.7,735.4,543.0
2018-01-13,266.39,553.01,961.83,682.0,505.1
2018-01-14,227.53,535.47,884.86,684.05,553.1
2018-01-15,242.81,585.74,958.15,220.8,130.3
2018-01-16,261.7,675.01,1076.58,249.35,106.7
2018-01-17,256.14,684.68,1077.76,353.85,136.6
2018-01-18,180.38,709.08,985.85,231.15,113.5
2018-01-19,784.0,1208.85,2411.05,383.2,168.0
2018-01-20,390.7,946.6,1545.75,217.6,118.3
2018-01-21,630.05,1128.9,2095.05,354.0,283.5
2018-01-22,364.65,991.1,1549.9,345.3,192.3
2018-01-23,588.6,860.85,1763.25,249.9,116.5
2018-01-24,351.4,650.35,1189.0,179.05,97.1
2018-01-25,981.25,1197.45,2701.8,516.0,144.4
2018-01-26,721.48,1091.35,2197.73,404.15,253.8
2018-01-27,977.25,1037.9,2536.65,420.2,258.5
2018-01-28,118.25,396.6,578.1,140.25,80.6
2018-01-29,279.6,683.8,1112.45,213.6,92.4
2018-01-30,2901.8,1708.35,6157.85,667.25,308.1
2018-01-31,277.85,726.9,1153.1,229.8,139.6
2018-02-01,131.25,563.4,764.9,227.75,93.7
2018-02-02,375.5,754.55,1330.2,339.65,162.0
2018-02-03,772.2,1276.05,2460.25,405.35,295.5
2018-02-04,235.0,379.25,739.4,199.15,114.2
2018-02-05,213.4,536.0,863.55,295.1,195.4
2018-02-06,258.5,718.6,1114.85,442.0,340.3
2018-02-07,727.45,1021.35,2137.2,412.2,258.8
2018-02-08,2599.97,1667.4,5653.85,740.65,266.3
2018-02-09,200.0,732.0,1038.65,220.65,117.0
2018-02-10,1145.4,1258.0,3014.35,277.25,129.9
2018-02-11,59.4,390.2,480.95,134.45,84.8
2018-02-12,758.05,1236.8,2399.2,544.05,163.0
2018-02-13,415.0,864.5,1500.6,211.9,128.4
2018-02-14,1013.15,1070.2,2623.55,391.25,205.7
2018-02-15,415.3,959.3,1596.0,383.75,151.1
2018-02-16,1839.7,1736.65,4557.25,760.95,259.9
2018-02-17,1700.55,1751.05,4358.65,781.55,410.7
2018-02-18,812.8,1451.4,2697.7,678.35,374.4
2018-02-19,942.8,1139.2,2584.7,418.5,356.9
2018-02-20,127.85,469.1,664.6,172.2,136.1
2018-02-21,354.1,709.95,1252.75,944.35,792.3
2018-02-22,174.9,716.0,984.15,648.4,487.7
2018-02-23,189.6,719.0,1009.45,543.6,373.5
2018-02-24,147.1,597.55,823.25,639.55,456.5
2018-02-25,100.55,435.95,590.1,342.2,186.6
