MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), Sulphur Dioxide (ug/m3)
2018-01-01,207.9,162.7,3.1,14.4,297.6,456.2,1418.8,38.4
2018-01-02,322.85,198.4,4.2,14.4,297.6,1022.6,994.0,38.4
2018-01-03,459.2,231.7,2.6,14.4,297.6,401.4,1668.9,38.4
2018-01-04,238.2,174.25,3.2,14.4,297.6,839.3,1275.8,38.4
2018-01-05,243.0,181.55,4.5,14.4,297.6,1415.5,990.5,38.4
2018-01-06,353.1,240.6,5.1,14.4,297.6,1492.9,548.2,38.4
2018-01-07,244.9,169.65,2.4,14.4,297.6,504.1,1148.5,38.4
2018-01-08,436.15,260.6,3.9,14.4,297.6,1115.0,471.2,38.4
2018-01-09,706.75,382.55,4.6,14.4,297.6,1855.7,87.2,38.4
2018-01-10,397.9,244.7,7.1,14.4,297.6,3446.8,487.5,38.4
2018-01-11,563.4,333.35,4.7,14.4,297.6,2544.4,76.4,38.4
2018-01-12,455.8,293.65,3.7,14.4,297.6,1439.4,449.4,38.4
2018-01-13,532.85,330.55,3.1,14.4,297.6,930.1,683.1,38.4
2018-01-14,604.55,361.7,2.9,14.4,297.6,915.4,594.7,38.4
2018-01-15,174.55,168.0,2.5,14.4,297.6,680.75,1009.65,38.4
2018-01-16,179.95,152.25,2.9,14.4,297.6,797.4,1332.7,38.4
2018-01-17,252.6,171.95,3.2,14.4,297.6,599.9,1348.9,38.4
2018-01-18,168.75,148.85,2.5,14.4,297.6,606.5,1367.5,38.4
2018-01-19,251.3,172.4,3.0,14.4,297.6,1224.6,860.5,38.4
2018-01-20,191.1,174.4,3.1,14.4,297.6,1231.9,861.8,38.4
2018-01-21,266.75,222.0,4.4,14.4,297.6,1395.5,503.2,38.4
2018-01-22,285.25,184.85,3.3,14.4,297.6,1317.4,739.5,38.4
2018-01-23,133.85,146.95,2.5,14.4,297.6,657.3,1129.4,38.4
2018-01-24,135.4,145.0,2.75,14.4,297.6,525.8,1445.1,38.4
2018-01-25,339.1,187.25,3.4,14.4,297.6,862.6,1079.0,38.4
2018-01-26,362.5,230.4,4.2,14.4,297.6,2416.2,344.8,38.4
2018-01-27,263.45,207.65,3.4,14.4,297.6,1008.3,731.9,38.4
2018-01-28,94.4,137.4,2.4,14.4,297.6,385.6,1381.1,38.4
2018-01-29,140.25,143.05,3.6,14.4,297.6,815.7,1144.0,38.4
