MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,885.5,1086.0,2443.35,333.0
2018-01-02,1094.45,1221.95,2899.9,441.0
2018-01-03,879.85,1016.9,2365.95,482.5
2018-01-04,1068.85,1240.9,2879.4,364.5
2018-01-05,1358.2,1488.17,3570.25,419.5
2018-01-06,1152.35,1392.85,3159.4,377.0
2018-01-07,804.55,1042.8,2276.4,340.5
2018-01-08,933.2,1068.9,2499.25,386.0
2018-01-09,1590.45,1333.9,3772.35,528.5
2018-01-10,1952.75,1574.25,4568.15,449.5
2018-01-11,1925.8,1358.55,4311.2,492.5
2018-01-12,1621.35,1408.65,3894.35,515.0
2018-01-13,1052.6,1161.95,2775.65,482.0
2018-01-14,1093.0,1282.9,2958.6,497.0
2018-01-15,996.85,1166.35,2694.55,315.5
2018-01-16,1043.35,1216.05,2815.35,349.5
2018-01-17,1033.65,1150.1,2734.8,398.5
2018-01-18,1099.8,1227.95,2913.95,367.0
2018-01-19,1261.6,1414.25,3348.4,411.5
2018-01-20,997.4,1350.45,2879.4,291.0
2018-01-21,1091.9,1292.7,2966.55,352.0
2018-01-22,1267.0,1354.15,3296.55,449.0
2018-01-23,983.55,1138.9,2646.75,322.0
2018-01-24,982.4,1155.55,2661.45,316.0
2018-01-25,1276.88,1378.45,3336.1,461.0
2018-01-26,1779.95,1561.7,4290.5,483.5
2018-01-27,1137.2,1264.8,3008.25,359.0
2018-01-28,885.25,1034.15,2391.25,314.0
2018-01-29,1092.1,1270.5,2944.9,369.0
2018-01-30,2186.65,1621.45,4974.05,472.5
2018-01-31,1108.55,1254.95,2954.45,307.0
2018-02-01,1178.35,1277.65,3084.2,395.0
2018-02-02,1304.5,1313.05,3312.95,467.0
2018-02-03,1358.05,1546.35,3628.15,381.5
2018-02-04,795.1,1026.9,2245.7,305.0
2018-02-05,1019.3,1261.85,2824.45,414.5
2018-02-06,965.78,1266.38,2746.82,463.25
2018-02-07,1546.9,1483.05,3854.7,602.5
2018-02-08,1565.3,1532.5,3932.1,515.0
2018-02-09,1162.3,1303.15,3084.95,395.0
2018-02-10,1088.58,1263.25,2931.82,288.0
2018-02-11,889.25,1036.05,2399.3,302.5
2018-02-12,1307.0,1416.15,3419.65,389.5
2018-02-13,1040.25,1208.4,2802.95,302.5
2018-02-14,1332.53,1297.1,3340.18,357.0
2018-02-15,1115.9,1309.25,3020.0,434.5
2018-02-16,1578.5,1586.2,4006.35,510.5
2018-02-17,1781.1,1622.8,4353.15,545.0
2018-02-18,1083.65,1359.95,3021.25,464.0
2018-02-19,1337.25,1313.5,3363.65,443.5
2018-02-20,836.05,1015.55,2297.2,341.25
2018-02-21,1314.55,1326.25,3341.35,676.0
2018-02-22,981.05,1264.0,2767.8,515.0
2018-02-23,1143.15,1319.2,3071.75,495.5
2018-02-24,895.25,1145.3,2517.6,526.5
2018-02-25,808.05,1006.25,2245.05,424.0
2018-02-26,896.45,1088.15,2462.6,420.0
2018-02-27,1277.3,1394.45,3352.6,513.5
2018-02-28,1077.75,1249.9,2902.4,489.5
2018-03-01,826.95,1058.1,2325.65,624.5
2018-03-02,845.6,1125.3,2421.55,671.0
2018-03-03,869.7,1234.4,2567.3,860.5
2018-03-04,1033.55,1303.5,2888.05,376.5
2018-03-05,1101.9,1284.25,2973.5,402.0
2018-03-06,1418.55,1564.02,3738.72,437.0
2018-03-07,1393.5,1564.45,3700.85,477.5
2018-03-08,1044.95,1227.15,2829.2,389.0
