MeasurementDateGMT, PM10 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3)
2018-01-01,864.0,506.0,502.9,1278.5
2018-01-02,864.0,1043.5,857.0,2457.2
2018-01-03,864.0,453.2,337.7,1033.1
2018-01-04,864.0,743.5,702.7,1843.0
2018-01-05,864.0,1396.9,1185.9,3327.5
2018-01-06,864.0,868.0,988.7,2320.0
2018-01-07,864.0,253.7,409.4,798.5
2018-01-08,864.0,686.5,672.7,1725.5
2018-01-09,864.0,2237.4,1155.2,4586.1
2018-01-10,864.0,2552.4,1340.4,5253.6
2018-01-11,864.0,2136.0,1034.1,4310.0
2018-01-12,864.0,2357.3,1392.4,5006.9
2018-01-13,864.0,871.5,728.6,2065.1
2018-01-14,864.0,984.6,883.8,2393.4
2018-01-15,864.0,678.2,602.7,1642.8
2018-01-16,864.0,589.3,586.9,1490.7
2018-01-17,864.0,615.4,627.4,1570.8
2018-01-18,864.0,671.7,693.1,1722.7
2018-01-19,864.0,909.2,960.6,2354.3
2018-01-20,864.0,704.9,1180.3,2261.2
2018-01-21,864.0,984.7,967.8,2477.6
2018-01-22,864.0,1017.2,1044.4,2603.9
2018-01-23,864.0,989.5,900.1,2417.3
2018-01-24,864.0,912.3,904.9,2304.2
2018-01-25,864.0,1465.4,1410.0,3656.9
2018-01-26,864.0,1440.6,1334.8,3543.3
2018-01-27,864.0,907.8,1049.6,2441.7
2018-01-28,864.0,405.4,348.8,970.3
2018-01-29,864.0,873.3,895.1,2234.0
2018-01-30,864.0,3361.6,1896.9,7051.3
2018-01-31,864.0,627.8,719.4,1682.2
2018-02-01,864.0,517.8,711.1,1505.3
2018-02-02,864.0,832.5,928.2,2204.5
2018-02-03,864.0,1696.1,1658.8,4191.7
2018-02-04,864.0,165.5,505.7,759.1
2018-02-05,864.0,415.0,853.0,1489.4
2018-02-06,864.0,345.7,954.4,1484.7
2018-02-07,864.0,924.6,1241.5,2659.5
2018-02-08,752.0,1872.5,1604.6,4475.6
2018-02-09,427.0,605.1,894.6,1822.5
2018-02-10,459.0,920.5,1043.1,2455.1
2018-02-11,228.0,467.5,523.2,1240.2
2018-02-12,512.0,1070.1,1220.5,2861.4
2018-02-13,459.0,836.0,1057.1,2339.0
2018-02-14,534.0,1635.8,1296.1,3804.2
2018-02-15,549.0,713.4,922.5,2016.4
2018-02-16,798.0,1833.3,1662.5,4473.75
2018-02-17,893.0,2084.7,1886.7,5083.3
2018-02-18,788.0,1484.8,1568.2,3845.3
2018-02-19,551.0,1018.3,1070.0,2631.5
2018-02-20,418.0,280.2,567.3,996.5
2018-02-21,1206.0,662.4,1086.3,2102.2
2018-02-22,801.0,722.5,1251.6,2360.1
2018-02-23,817.0,931.3,1313.6,2741.6
2018-02-24,854.0,578.0,973.6,1860.3
2018-02-25,503.0,345.3,672.6,1202.2
2018-02-26,615.0,434.6,706.8,1372.9
2018-02-27,1109.0,944.6,1309.0,2757.7
2018-02-28,875.0,1014.9,1130.9,2687.6
2018-03-01,1002.0,441.1,757.6,1433.8
2018-03-02,1170.0,579.8,878.5,1768.0
2018-03-03,1784.5,764.4,1086.0,2258.1
2018-03-04,654.0,1196.4,1207.9,3042.5
2018-03-05,755.0,1339.7,1147.0,3201.5
2018-03-06,515.0,2236.4,1666.5,5095.5
2018-03-07,528.0,1574.1,1576.0,3990.0
2018-03-08,390.0,749.6,828.8,1978.2
2018-03-09,801.0,2091.6,1589.9,4797.0
2018-03-10,816.0,1192.6,1063.0,2892.3
2018-03-11,843.0,1034.2,1340.0,2925.5
2018-03-12,332.0,735.7,1017.3,2145.3
2018-03-13,578.0,1450.6,1293.6,3518.1
2018-03-14,650.0,871.3,1088.8,2424.9
2018-03-15,641.0,1293.5,1462.7,3446.2
2018-03-16,852.0,1480.7,1548.1,3818.6
2018-03-17,644.0,238.3,545.3,910.9
2018-03-18,894.0,157.8,499.5,741.3
2018-03-19,886.0,194.6,595.3,893.9
2018-03-20,1013.0,152.1,549.4,782.3
2018-03-21,690.0,1005.2,1203.4,2744.7
2018-03-22,566.0,837.0,890.6,2173.8
2018-03-23,643.0,1077.4,1116.0,2767.9
2018-03-24,1119.0,1618.2,1488.8,3969.5
2018-03-25,1063.0,783.9,1169.6,2371.6
2018-03-26,644.0,1316.9,1564.0,3583.8
2018-03-27,387.0,1054.4,1009.4,2626.4
2018-03-28,363.0,1075.8,1216.2,2865.6
2018-03-29,684.0,1659.4,1494.0,4038.1
