MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,140.75,621.0,836.8,346.5,1291.4,153.0
2018-01-02,471.15,954.25,1676.3,444.0,939.3,190.0
2018-01-03,300.72,520.05,981.0,518.75,1445.9,265.0
2018-01-04,494.85,968.4,1726.95,321.0,1147.8,140.0
2018-01-05,772.05,1260.5,2444.45,360.5,922.2,205.0
2018-01-06,704.95,963.6,2044.05,382.0,512.0,337.0
2018-01-07,77.1,324.45,442.9,265.5,1128.9,131.0
2018-01-08,483.65,726.0,1468.05,395.5,550.7,169.26
2018-01-09,1598.25,1150.25,3600.9,798.5,120.7,141.05
2018-01-10,1144.8,1422.5,3177.8,484.5,442.1,121.74
2018-01-11,1018.15,971.4,2532.1,487.5,102.0,102.44
2018-01-12,1147.1,1267.85,3027.15,685.0,246.3,83.13
2018-01-13,405.6,882.55,1504.6,625.0,601.7,63.82
2018-01-14,319.45,917.7,1407.45,556.5,511.1,44.51
2018-01-15,284.15,696.55,1132.25,216.0,1007.2,46.05
2018-01-16,315.55,736.45,1220.6,245.0,1275.0,109.0
2018-01-17,418.7,660.35,1302.8,295.0,1229.5,134.0
2018-01-18,362.35,624.35,1179.8,181.0,1194.8,113.0
2018-01-19,486.05,1142.3,1887.45,389.5,909.1,150.0
2018-01-20,347.65,1086.35,1619.25,234.5,811.6,184.0
2018-01-21,530.05,1226.95,2039.9,332.5,472.2,334.0
2018-01-22,874.55,1031.35,2372.35,307.0,715.4,194.0
2018-01-23,268.65,733.85,1145.45,234.0,1140.8,106.0
2018-01-24,211.7,576.35,901.05,197.5,1376.5,110.0
2018-01-25,418.2,944.4,1585.75,461.0,1005.1,162.0
2018-01-26,469.65,1128.85,1849.3,362.5,321.7,295.0
2018-01-27,542.15,1047.0,1878.3,373.0,658.7,302.0
2018-01-28,108.75,481.6,648.35,180.0,1329.3,123.0
2018-01-29,265.05,812.55,1218.9,210.25,1044.9,141.0
2018-01-30,2350.0,1545.85,5149.3,551.32,472.9,339.0
2018-01-31,289.15,751.45,1194.9,337.69,1327.4,139.0
2018-02-01,310.3,634.5,1110.2,279.23,971.3,181.0
2018-02-02,563.35,836.0,1699.9,316.26,626.6,231.0
2018-02-03,495.2,1340.95,2100.25,318.0,354.7,336.0
2018-02-04,73.6,392.95,505.75,184.0,1022.2,200.0
2018-02-05,346.85,582.25,1113.55,257.5,840.0,246.0
2018-02-06,426.35,797.5,1451.35,363.0,578.3,400.0
2018-02-07,841.7,1044.1,2334.65,353.5,505.3,330.0
2018-02-08,1726.15,1412.75,4059.5,628.0,666.1,342.0
2018-02-09,309.45,744.4,1219.07,273.5,944.2,206.0
2018-02-10,429.25,1020.95,1679.1,247.0,790.5,191.0
2018-02-11,43.4,329.6,396.3,142.5,1398.9,155.0
2018-02-12,417.3,1067.45,1707.5,396.25,902.2,203.0
2018-02-13,279.32,674.05,1101.72,201.5,1390.9,173.0
2018-02-14,484.98,753.7,1496.98,313.0,1266.1,241.0
2018-02-15,229.3,912.85,1264.4,381.0,1064.5,208.0
2018-02-16,1070.95,1716.72,3358.42,631.25,498.1,283.5
