MeasurementDateGMT, PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2018-01-01,244.56,103.9,159.3,433.28,677.0,1433.2
2018-01-02,376.78,124.6,254.48,507.1,897.08,1178.7
2018-01-03,504.62,223.9,147.45,286.92,512.78,1622.2
2018-01-04,304.73,130.1,264.72,511.95,917.92,1344.0
2018-01-05,341.1,140.2,668.9,801.08,1826.8,1175.6
2018-01-06,409.76,364.8,899.67,1098.08,2477.48,460.7
2018-01-07,350.26,119.5,200.95,459.48,767.42,1047.4
2018-01-08,415.78,292.1,499.12,705.08,1470.43,490.0
2018-01-09,636.92,600.3,865.2,849.8,2176.2,144.5
2018-01-10,454.65,315.5,1578.22,1181.42,3601.27,573.7
2018-01-11,549.16,608.0,2057.7,1127.52,4282.32,45.5
2018-01-12,550.81,472.5,659.8,823.68,1835.43,480.0
2018-01-13,485.19,430.3,133.15,458.8,662.8,801.6
2018-01-14,571.51,522.7,321.45,698.1,1191.05,709.0
2018-01-15,254.58,121.0,210.08,456.1,778.08,1135.9
2018-01-16,251.86,94.4,261.15,468.35,868.47,1514.0
2018-01-17,320.68,115.6,260.35,449.05,848.2,1430.9
2018-01-18,272.14,109.3,340.15,620.88,1142.51,1286.8
2018-01-19,330.44,146.7,436.5,756.52,1426.28,1170.2
2018-01-20,228.26,156.6,548.3,1090.48,1930.6,1017.5
2018-01-21,313.5,231.6,351.78,850.9,1390.45,679.0
2018-01-22,361.16,168.2,649.83,922.92,1919.65,925.4
2018-01-23,209.35,114.3,120.2,313.75,498.12,1369.4
2018-01-24,229.76,79.5,142.15,333.62,551.6,1556.2
2018-01-25,385.98,108.3,242.58,539.22,911.3,1309.4
2018-01-26,546.75,316.3,1721.68,1359.82,3999.8,373.0
2018-01-27,308.29,242.7,204.98,591.62,905.9,880.3
2018-01-28,189.64,73.4,103.95,291.83,451.28,1492.9
2018-01-29,263.75,126.9,386.7,712.25,1305.07,1240.0
2018-01-30,445.56,232.4,1216.69,1081.5,2946.92,473.4
2018-01-31,282.49,85.7,261.88,541.95,943.53,1439.7
2018-02-01,349.46,125.6,404.57,653.35,1273.7,1153.6
2018-02-02,517.4,184.6,793.18,966.47,2182.88,714.9
2018-02-03,318.86,256.6,441.38,1102.22,1779.12,411.7
2018-02-04,281.99,159.2,233.4,614.48,972.38,1007.0
2018-02-05,529.18,219.1,721.18,958.52,2066.2,859.7
2018-02-06,733.91,395.7,901.85,1206.45,2589.6,628.2
2018-02-07,776.69,284.1,1214.52,1343.88,3205.92,571.7
2018-02-08,468.19,267.1,1032.02,1021.6,2603.73,903.7
2018-02-09,328.72,105.6,402.22,771.45,1388.0,1275.5
2018-02-10,245.56,101.4,228.38,606.85,956.75,1105.7
2018-02-11,209.3,87.0,157.25,436.6,677.52,1502.9
2018-02-12,341.11,126.6,374.6,716.0,1290.5,1267.6
2018-02-13,234.58,137.8,284.2,600.5,1036.25,1317.3
2018-02-14,279.53,120.1,416.5,692.9,1331.65,938.1
2018-02-15,376.58,135.0,314.37,686.65,1168.68,1234.0
2018-02-16,477.4,158.7,707.7,1034.27,2119.02,886.6
2018-02-17,559.99,298.8,904.23,1120.7,2507.07,671.2
2018-02-18,432.14,303.9,526.35,778.38,1585.45,1032.4
2018-02-19,428.02,393.35,648.05,881.68,1875.23,633.2
2018-02-20,358.71,228.1,500.02,756.9,1523.5,926.65
2018-02-21,960.09,835.1,1002.41,1112.82,2649.75,810.3
2018-02-22,760.3,529.4,542.08,1060.35,1891.7,1105.0
2018-02-23,682.21,514.3,644.02,1216.52,2204.0,866.5
2018-02-24,777.75,584.5,350.72,1010.85,1549.02,932.8
2018-02-25,506.06,272.0,190.92,703.2,996.15,1267.2
2018-02-26,632.12,167.6,548.15,865.6,1705.78,1381.8
2018-02-27,636.14,239.8,964.52,1369.35,2848.35,1143.0
2018-02-28,625.31,447.2,502.8,1021.92,1793.22,1063.5
2018-03-01,900.05,747.5,318.67,851.65,1340.25,1029.3
2018-03-02,928.03,975.4,334.4,1028.1,1540.88,731.8
2018-03-03,1300.07,1554.8,384.58,1217.95,1807.45,392.9
2018-03-04,643.14,378.8,338.28,857.35,1376.05,977.4
2018-03-05,458.3,171.5,292.7,666.38,1114.9,1392.4
2018-03-06,372.71,182.7,543.1,913.55,1746.07,1145.9
2018-03-07,449.02,293.4,753.62,1184.4,2339.85,819.8
2018-03-08,266.09,91.9,187.3,492.35,779.8,1601.6
2018-03-09,443.12,285.5,825.4,1078.62,2344.18,689.0
2018-03-10,498.78,434.6,258.38,497.5,893.55,1089.4
2018-03-11,554.88,488.4,584.33,1285.38,2181.07,496.7
