MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2018-01-01,134.47,414.98,621.35,256.85,1260.1
2018-01-02,156.82,490.35,731.18,392.45,954.8
2018-01-03,124.5,350.6,541.68,555.15,1507.5
2018-01-04,223.58,502.52,845.63,302.15,1165.7
2018-01-05,248.3,645.6,1026.43,319.3,954.2
2018-01-06,723.02,899.4,2020.95,565.5,291.2
2018-01-07,257.02,505.17,899.33,346.45,902.2
2018-01-08,412.35,649.9,1282.38,525.55,421.9
2018-01-09,627.05,703.98,1665.85,813.6,69.4
2018-01-10,615.1,829.84,1773.33,528.1,441.75
2018-01-11,1184.55,936.85,2753.48,714.8,40.4
2018-01-12,556.88,727.72,1581.88,656.7,324.0
2018-01-13,299.52,579.33,1039.05,627.7,534.9
2018-01-14,372.17,649.58,1220.48,676.7,456.7
2018-01-15,254.6,523.67,914.42,260.1,895.9
2018-01-16,136.45,426.18,635.75,244.2,1302.2
2018-01-17,153.0,452.6,687.4,355.1,1224.9
2018-01-18,157.85,488.08,730.4,245.15,1215.3
2018-01-19,176.6,582.98,853.98,319.7,971.3
2018-01-20,419.08,822.45,1465.3,288.55,769.8
2018-01-21,334.72,721.25,1234.88,374.25,486.1
2018-01-22,271.33,674.18,1090.68,394.25,788.9
2018-01-23,162.87,436.45,686.5,243.4,1006.5
2018-01-24,141.01,407.9,624.4,206.75,1196.2
2018-01-25,215.08,564.9,894.95,444.0,871.9
2018-01-26,844.95,988.65,2284.62,628.2,390.1
2018-01-27,221.2,579.58,919.03,379.1,582.5
2018-01-28,115.97,314.67,492.85,174.6,1292.6
2018-01-29,242.58,536.47,908.88,298.0,1139.6
2018-01-30,510.02,818.82,1601.35,484.05,355.3
2018-01-31,145.0,434.25,656.8,220.55,1203.0
2018-02-01,312.45,641.22,1120.68,464.0,877.4
2018-02-02,552.25,800.0,1646.9,668.9,532.8
2018-02-03,359.48,808.75,1360.2,375.25,327.6
2018-02-04,305.75,550.4,1019.48,301.85,746.1
2018-02-05,490.0,711.38,1462.93,528.1,594.2
2018-02-06,671.55,869.43,1899.43,747.25,432.3
2018-02-07,737.78,943.39,2074.8,685.5,419.55
2018-02-08,391.12,749.05,1349.25,465.75,593.2
2018-02-09,267.05,621.1,1030.8,315.25,916.4
2018-02-10,249.35,586.0,968.65,256.5,744.1
2018-02-11,144.37,390.62,612.43,168.6,1327.3
2018-02-12,198.58,586.78,891.7,300.75,893.1
2018-02-13,276.82,535.48,960.15,251.0,1032.6
2018-02-14,267.42,547.58,957.95,294.75,740.9
