MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,385.25,814.75,1405.7,1035.7,339.5,103.1
2018-01-02,561.35,989.85,1850.45,709.1,507.0,159.1
2018-01-03,441.95,791.2,1468.95,1190.3,627.8,220.9
2018-01-04,582.2,1002.95,1895.72,934.8,426.9,145.1
2018-01-05,1053.7,1334.3,2949.75,674.2,472.4,197.1
2018-01-06,1937.05,1474.3,4444.4,374.9,691.1,415.0
2018-01-07,502.45,733.9,1504.1,951.4,353.8,80.9
2018-01-08,592.9,797.0,1706.15,426.6,555.4,303.7
2018-01-09,1246.25,1033.5,2944.15,95.95,917.2,646.0
2018-01-10,2254.75,1818.1,5275.3,334.9,777.3,407.8
2018-01-11,2948.72,1656.52,6177.88,62.4,879.1,650.5
2018-01-12,1192.2,1220.0,3047.75,214.9,745.5,542.1
2018-01-13,250.45,737.3,1121.3,561.2,701.7,512.5
2018-01-14,808.4,1120.9,2360.2,386.5,787.5,599.6
2018-01-15,692.05,854.3,1915.65,646.1,384.6,187.7
2018-01-16,658.65,1102.25,2112.1,1035.3,369.7,105.2
2018-01-17,708.25,1065.55,2151.9,979.7,532.3,132.6
2018-01-18,838.85,1149.8,2435.8,1000.0,417.0,114.9
2018-01-19,1047.35,1430.95,3036.62,683.8,557.2,171.2
2018-01-20,736.25,1434.65,2563.65,671.1,328.8,156.6
2018-01-21,772.25,1337.75,2521.75,356.1,458.5,314.2
2018-01-22,1352.75,1661.1,3735.2,546.9,577.7,221.5
2018-01-23,762.0,934.8,2103.25,699.45,382.8,149.2
2018-01-24,576.0,954.9,1838.25,930.0,315.9,92.9
2018-01-25,928.03,1200.75,2623.42,638.9,616.8,183.0
2018-01-26,2332.75,1822.8,5399.55,242.7,872.0,389.9
2018-01-27,696.35,1145.1,2213.3,458.9,570.0,299.7
