MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3)
2018-01-01,301.03,866.77,1328.6,268.36,1024.3
2018-01-02,587.99,1069.68,1971.6,437.97,753.7
2018-01-03,296.68,703.62,1158.71,556.92,1253.0
2018-01-04,531.14,1031.72,1846.51,361.93,980.0
2018-01-05,903.31,1422.48,2807.84,408.28,762.4
2018-01-06,1312.3,1590.89,3603.4,550.76,273.9
2018-01-07,480.29,928.32,1664.98,368.18,764.1
2018-01-08,682.12,988.67,2034.77,517.81,315.0
2018-01-09,1076.4,1040.2,2690.97,782.28,143.7
2018-01-10,1556.83,1485.68,3873.04,601.44,469.6
2018-01-11,2359.69,1355.8,4973.95,654.96,61.65
2018-01-12,1031.28,1261.77,2843.33,744.6,365.9
2018-01-13,463.01,874.41,1584.47,642.58,717.1
2018-01-14,599.83,1109.19,2029.0,675.33,505.8
2018-01-15,485.99,964.8,1710.35,325.49,789.35
2018-01-16,464.47,955.22,1667.43,296.68,1035.5
2018-01-17,505.16,952.45,1727.27,394.7,891.3
2018-01-18,549.76,1073.63,1916.4,296.99,777.2
2018-01-19,740.04,1222.44,2357.61,445.98,757.6
2018-01-20,797.26,1506.95,2729.46,295.28,450.7
2018-01-21,586.46,1159.93,2059.23,370.01,384.9
2018-01-22,910.66,1378.12,2774.44,416.19,425.0
2018-01-23,569.21,1020.48,1893.63,293.75,776.6
2018-01-24,535.81,999.3,1821.13,276.88,915.4
2018-01-25,850.79,1259.68,2564.39,519.84,718.1
2018-01-26,1670.6,1622.36,4184.15,545.06,146.6
2018-01-27,673.42,1134.74,2167.65,435.82,491.65
2018-01-28,296.02,706.95,1160.94,216.42,1016.2
2018-01-29,711.57,1168.57,2259.89,324.72,721.2
2018-01-30,1834.09,1713.25,4525.61,653.97,236.4
2018-01-31,602.54,1071.83,1996.08,319.13,922.8
2018-02-01,915.93,1262.56,2667.3,324.02,505.4
2018-02-02,1214.33,1423.89,3285.82,461.99,252.1
2018-02-03,1090.07,1619.05,3290.7,402.97,206.7
2018-02-04,674.89,1103.5,2138.31,322.76,587.7
2018-02-05,1103.82,1421.14,3113.86,516.34,427.0
2018-02-06,1309.15,1589.96,3597.46,568.71,273.2
2018-02-07,1531.94,1703.84,4052.75,606.81,192.5
2018-02-08,1416.22,1635.88,3807.31,685.57,438.8
2018-02-09,875.15,1251.66,2593.43,361.29,543.3
2018-02-10,727.91,1178.33,2294.53,396.51,581.0
2018-02-11,444.25,819.97,1500.69,215.86,879.4
2018-02-12,837.03,1287.48,2570.96,461.42,715.8
2018-02-13,674.21,1089.98,2123.59,312.89,715.7
2018-02-14,818.84,1195.99,2451.61,367.45,476.1
2018-02-15,645.62,1142.26,2132.22,488.37,734.8
2018-02-16,1036.94,1534.78,3124.59,654.42,468.1
2018-02-17,1216.41,1670.94,3536.07,809.75,383.5
2018-02-18,751.1,1294.29,2446.27,575.84,602.8
2018-02-19,1108.29,1264.03,2963.52,477.38,228.4
2018-02-20,692.12,1029.33,2090.58,339.6,394.6
2018-02-21,1205.86,1477.65,3326.67,1100.3,353.7
2018-02-22,755.34,1316.14,2474.14,839.77,594.0
2018-02-23,975.12,1493.41,2988.52,819.82,371.5
2018-02-24,644.21,1222.4,2209.92,906.53,481.7
2018-02-25,413.81,922.55,1557.0,515.08,734.5
2018-02-26,669.6,1065.15,2091.7,579.99,807.3
