MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3), Ozone (ug/m3), Sulphur Dioxide (ug/m3)
2018-01-01,1783.75,1722.97,4457.89,913.19,249.85,4.9,519.7,136.4
2018-01-02,2334.64,1877.43,5457.5,942.71,276.6,8.7,371.1,163.5
2018-01-03,1722.94,1687.41,4329.54,967.59,290.45,4.5,699.7,114.8
2018-01-04,2446.42,2009.13,5760.11,927.17,268.45,7.8,399.5,190.9
2018-01-05,2883.49,2265.16,6686.38,939.32,301.45,7.8,276.0,232.3
2018-01-06,1600.38,1687.7,4141.5,941.12,334.9,5.7,383.0,72.1
2018-01-07,832.86,1080.67,2357.73,903.82,200.3,2.0,1012.3,10.5
2018-01-08,2657.35,1650.14,5724.91,951.96,336.95,7.1,325.8,139.1
2018-01-09,3942.58,1790.85,7836.26,1006.21,490.0,9.7,87.7,222.4
2018-01-10,3521.97,2182.83,7583.25,971.87,377.25,10.55,134.4,283.45
2018-01-11,2075.62,1488.38,4670.95,963.54,409.55,5.0,63.2,129.3
2018-01-12,3588.74,1952.9,7455.58,975.8,442.15,8.8,161.4,162.6
2018-01-13,2387.27,1631.99,5292.56,975.24,433.25,4.7,365.7,99.4
2018-01-14,2076.41,1605.21,4788.69,990.92,465.55,7.1,277.5,138.1
2018-01-15,2110.75,1698.6,4935.24,915.97,287.65,6.3,290.3,229.9
2018-01-16,2245.41,1969.39,5412.59,927.38,281.86,9.9,308.2,298.4
2018-01-17,2335.29,1885.7,5466.66,958.69,316.25,8.6,480.1,201.1
2018-01-18,2033.83,1767.99,4886.44,960.99,337.2,7.0,578.1,179.3
2018-01-19,2712.96,2144.75,6304.54,974.88,360.64,9.2,184.2,295.4
2018-01-20,1920.78,1983.08,4928.02,907.96,275.7,6.4,449.1,124.4
2018-01-21,2337.59,1858.24,5442.7,933.66,361.35,9.4,249.6,162.3
2018-01-22,2796.59,2104.61,6392.83,934.81,301.9,8.5,261.1,169.4
2018-01-23,2258.96,1887.22,5350.73,918.51,288.6,7.0,379.0,202.6
2018-01-24,2272.23,1895.27,5379.45,908.52,282.2,9.25,528.15,207.25
2018-01-25,3027.0,2264.79,6906.1,959.26,323.35,10.0,322.7,230.6
2018-01-26,2128.99,1923.41,5187.78,938.39,314.9,2.1,242.2,122.6
2018-01-27,2300.55,1875.75,5403.36,944.67,352.2,8.0,186.1,185.5
