MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,414.84,688.88,1324.39,335.4
2018-01-14,652.43,883.78,1882.98,605.87
2018-01-21,274.63,774.19,1194.3,285.06
2018-01-28,321.21,758.03,1249.86,276.23
2018-02-04,517.52,804.6,1597.12,326.87
2018-02-11,621.36,874.36,1826.01,391.68
2018-02-18,773.97,1037.84,2223.23,408.83
2018-02-25,407.81,791.44,1415.82,577.91
2018-03-04,320.82,806.0,1296.8,771.2
2018-03-11,623.95,1049.74,2005.19,584.59
2018-03-18,353.04,772.29,1312.67,537.49
2018-03-25,438.02,717.16,1388.02,607.85
2018-04-01,305.97,796.3,1264.64,335.24
2018-04-08,212.18,713.77,1038.34,418.0
2018-04-15,290.87,735.24,1180.37,771.39
2018-04-22,321.42,825.8,1316.89,690.23
2018-04-29,173.71,490.82,755.13,308.01
2018-05-06,319.89,773.07,1262.06,500.16
2018-05-13,345.2,788.13,1317.77,584.64
2018-05-20,245.43,547.86,932.43,482.98
2018-05-27,198.1,592.79,899.59,696.58
2018-06-03,221.05,589.81,928.76,614.81
2018-06-10,196.55,454.61,755.71,435.99
2018-06-17,255.33,506.7,898.16,333.82
2018-06-24,183.58,431.25,712.72,310.88
2018-07-01,189.32,550.66,840.89,479.04
2018-07-08,196.11,664.74,965.4,550.53
2018-07-15,223.89,587.37,930.59,427.58
2018-07-22,216.92,710.35,1042.9,383.31
2018-07-29,166.02,575.99,830.43,394.51
2018-08-05,208.72,504.99,825.07,303.66
2018-08-12,242.81,575.01,947.26,310.7
2018-08-19,179.14,342.68,617.31,263.03
2018-08-26,293.35,431.0,880.86,245.21
2018-09-02,406.56,647.5,1270.91,376.2
2018-09-09,295.48,578.81,1031.91,336.14
2018-09-16,424.39,524.34,1175.05,305.74
2018-09-23,106.52,413.23,576.55,311.72
2018-09-30,1101.78,1002.5,2692.01,418.26
2018-10-07,671.99,682.64,1713.2,371.09
2018-10-14,599.11,835.1,1754.6,370.4
2018-10-21,1050.84,843.92,2455.14,466.89
2018-10-28,412.15,636.14,1268.12,302.35
2018-11-04,1077.98,888.38,2541.28,453.48
2018-11-11,560.45,691.84,1551.22,489.02
2018-11-18,465.6,792.42,1506.35,426.23
2018-11-25,840.75,759.5,2048.62,645.44
2018-12-02,288.77,667.63,1110.39,248.34
2018-12-09,474.15,626.44,1353.48,259.86
2018-12-16,1093.06,1036.58,2712.62,559.25
2018-12-23,200.43,742.16,1049.5,242.23
2018-12-30,1888.44,978.84,3874.41,594.03
2019-01-06,338.76,773.96,1293.28,443.94
2019-01-13,344.86,738.39,1267.22,388.23
2019-01-20,644.69,958.49,1946.98,455.81
2019-01-27,1135.79,984.64,2726.13,503.48
2019-02-03,1059.97,994.77,2620.02,423.41
2019-02-10,341.45,657.12,1180.63,224.91
2019-02-17,1270.24,1207.91,3155.74,674.01
2019-02-24,516.82,913.51,1705.94,619.54
2019-03-03,1318.6,1095.98,3117.78,850.1
2019-03-10,134.64,472.45,678.88,219.21
2019-03-17,120.56,364.05,548.84,208.37
2019-03-24,328.08,731.12,1234.24,375.49
2019-03-31,767.09,990.94,2167.21,717.22
2019-04-07,328.93,730.43,1234.74,613.5
2019-04-14,284.46,744.37,1180.61,775.51
2019-04-21,296.56,949.9,1404.68,1286.66
2019-04-28,184.67,719.22,1002.33,640.09
2019-05-05,275.5,645.29,1067.64,503.29
2019-05-12,239.27,625.95,992.81,381.79
2019-05-19,252.45,640.81,1027.81,457.86
2019-05-26,207.45,603.09,921.17,348.22
2019-06-02,125.02,441.05,632.75,236.04
2019-06-09,132.31,511.61,714.58,243.94
2019-06-16,153.63,482.47,717.99,182.33
2019-06-23,182.9,569.33,849.76,362.86
2019-06-30,160.22,494.33,740.08,619.44
2019-07-07,204.86,501.19,815.28,321.34
2019-07-14,181.28,539.66,817.63,299.72
2019-07-21,148.16,497.45,724.52,317.84
2019-07-28,237.08,612.38,975.96,64.79
2019-08-04,120.96,454.17,639.62,377.49
2019-08-11,88.3,333.2,468.57,368.37
2019-08-18,175.77,471.42,740.96,300.24
2019-08-25,200.23,653.58,960.57,552.26
2019-09-01,143.35,607.55,827.4,562.94
2019-09-08,199.5,485.83,791.69,352.93
2019-09-15,302.38,683.04,1146.58,434.57
2019-09-22,387.57,779.66,1373.93,564.85
2019-09-29,105.7,408.18,570.33,240.6
2019-10-06,452.53,590.51,1284.32,382.43
2019-10-13,154.88,544.69,782.25,273.58
2019-10-20,476.67,713.9,1444.76,404.84
2019-10-27,818.35,713.82,1968.68,549.69
2019-11-03,569.77,786.46,1660.27,479.46
2019-11-10,869.7,790.11,2123.56,541.96
2019-11-17,753.52,790.54,1945.99,454.07
2019-11-24,1054.72,918.44,2535.73,597.31
2019-12-01,609.98,779.41,1714.68,362.64
2019-12-08,1487.89,892.58,3174.03,535.19
2019-12-15,280.56,657.79,1087.89,315.19
2019-12-22,421.95,826.07,1473.01,325.14
2019-12-29,478.45,616.86,1350.44,464.39
2020-01-05,325.04,669.07,1167.53,502.14
2020-01-12,140.91,541.77,757.8,324.89
2020-01-19,428.71,741.9,1399.44,338.8
2020-01-26,1529.58,1056.44,3401.72,742.81
2020-02-02,102.24,533.53,690.28,271.66
2020-02-09,874.4,795.18,2135.95,619.71
2020-02-16,175.58,422.46,691.79,252.66
2020-02-23,90.63,384.91,523.89,281.4
2020-03-01,160.67,508.32,754.66,249.76
2020-03-08,417.56,713.95,1354.18,423.83
2020-03-15,110.56,374.52,543.86,388.75
2020-03-22,161.69,474.65,722.52,352.99
2020-03-29,246.48,578.55,956.5,592.64
2020-04-05,284.69,491.17,927.62,356.83
2020-04-12,218.8,645.99,981.57,764.64
2020-04-19,124.82,444.4,635.77,541.76
2020-04-26,95.99,412.06,559.34,537.06
2020-05-03,116.3,412.56,590.91,278.99
2020-05-10,102.46,491.29,648.42,474.69
2020-05-17,169.78,424.04,684.39,276.43
2020-05-24,103.16,380.55,538.85,237.99
2020-05-31,125.86,430.1,623.1,338.74
2020-06-07,121.39,374.93,561.01,267.84
2020-06-14,115.11,436.78,613.28,358.04
2020-06-21,116.84,443.06,622.25,257.79
2020-06-28,72.09,451.14,561.62,351.84
2020-07-05,73.65,225.89,338.79,201.27
2020-07-12,136.67,368.73,578.19,254.46
2020-07-19,136.69,365.61,575.1,271.48
2020-07-26,103.33,402.45,560.91,268.6
2020-08-02,118.74,462.31,644.34,287.27
2020-08-09,154.86,585.79,823.11,197.57
2020-08-16,95.93,601.73,748.87,329.78
2020-08-23,118.68,368.12,550.01,280.74
2020-08-30,99.06,312.04,463.98,226.59
2020-09-06,273.86,534.62,954.49,330.9
2020-09-13,298.95,487.99,946.45,292.18
2020-09-20,207.84,583.43,902.14,488.72
2020-09-27,281.36,479.76,911.11,301.38
2020-10-04,247.82,545.34,925.28,251.19
2020-10-11,214.83,461.39,790.87,220.24
2020-10-18,333.43,581.39,1092.7,277.69
2020-10-25,135.74,560.18,768.26,250.76
2020-11-01,95.42,485.23,631.43,213.01
2020-11-08,1211.4,779.89,2637.47,860.95
2020-11-15,316.46,595.49,1080.65,288.63
2020-11-22,240.49,544.8,913.46,257.76
2020-11-29,783.98,877.79,2079.84,559.47
2020-12-06,366.37,775.0,1336.74,264.4
2020-12-13,606.49,810.36,1740.34,381.82
2020-12-20,136.01,601.87,810.42,195.19
2020-12-27,153.21,425.28,660.22,190.92
2021-01-03,397.38,579.98,1189.33,422.4
2021-01-10,311.95,582.67,1061.01,389.64
2021-01-17,499.05,675.16,1440.38,325.94
2021-01-24,199.25,614.95,920.38,235.39
2021-01-31,291.1,646.65,1093.0,273.47
2021-02-07,262.05,605.02,1006.84,320.69
2021-02-14,157.85,530.24,772.27,311.71
2021-02-21,91.95,557.33,698.44,311.16
2021-02-28,588.17,782.96,1684.64,491.12
2021-03-07,344.85,616.08,1144.89,607.57
2021-03-14,239.38,535.64,901.96,345.59
2021-03-21,200.63,499.06,805.99,316.67
2021-03-28,151.12,459.78,691.01,419.34
2021-04-04,300.12,542.95,1002.93,570.94
2021-04-11,109.64,360.23,528.4,240.02
2021-04-18,303.17,679.83,1144.69,363.46
2021-04-25,205.46,643.53,958.69,535.43
2021-05-02,178.77,587.52,861.66,431.64
2021-05-09,105.48,379.39,541.07,228.7
2021-05-16,116.96,468.19,647.46,276.22
2021-05-23,115.01,395.93,572.27,199.35
2021-05-30,119.48,465.1,648.24,329.86
2021-06-06,95.31,482.18,628.37,403.79
2021-06-13,85.62,369.71,501.05,264.15
2021-06-20,96.82,364.64,513.13,112.53
2021-06-27,143.9,364.26,584.88,258.59
2021-07-04,100.7,210.18,364.54,215.02
