MeasurementDateGMT,NO,NO2,NOX,O3
2018-01-07,133.27,513.31,717.8,1169.54
2018-01-14,294.4,754.74,1206.04,392.66
2018-01-21,86.51,612.76,745.26,1126.94
2018-01-28,76.09,550.05,666.74,1102.47
2018-02-04,126.91,628.9,823.5,948.73
2018-02-11,129.89,614.66,813.81,1036.2
2018-02-18,272.4,801.23,1218.86,905.71
2018-02-25,93.73,666.41,810.07,924.85
2018-03-04,97.21,757.67,906.6,988.71
2018-03-11,261.09,882.66,1283.03,943.41
2018-03-18,88.77,623.89,759.86,1098.48
2018-03-25,76.47,528.86,646.24,1373.79
2018-04-01,77.16,636.21,754.37,1237.73
2018-04-08,88.61,563.11,699.19,1291.7
2018-04-15,67.73,635.53,739.54,905.71
2018-04-22,90.06,648.46,786.64,1553.15
2018-04-29,35.89,355.26,410.26,1491.16
2018-05-06,62.51,534.57,630.23,1527.61
2018-05-13,63.63,554.94,652.49,1410.64
2018-05-20,55.32,376.36,461.3,1462.74
2018-05-27,40.63,443.4,505.5,1637.11
2018-06-03,39.51,438.88,499.48,1357.31
2018-06-10,28.76,305.47,349.5,1519.57
2018-06-17,37.76,319.46,377.34,1371.4
2018-06-24,37.66,275.9,333.51,1268.87
2018-07-01,36.44,352.2,408.11,1930.27
2018-07-08,41.74,444.57,508.63,1173.4
2018-07-15,41.48,367.15,430.84,1420.31
2018-07-22,57.94,499.46,588.43,1538.67
2018-07-29,45.09,386.55,455.51,1359.96
2018-08-05,56.47,347.49,434.11,1096.68
2018-08-12,58.89,414.19,504.5,1070.31
2018-08-19,45.97,263.49,334.03,797.47
2018-08-26,77.09,354.03,472.39,746.71
2018-09-02,107.87,511.94,677.36,978.21
2018-09-09,49.41,381.86,457.64,1167.13
2018-09-16,101.51,416.86,572.51,939.34
2018-09-23,32.43,283.91,333.67,1215.03
2018-09-30,260.8,758.24,1158.21,690.49
2018-10-07,169.46,511.46,771.41,702.4
2018-10-14,149.54,511.01,740.4,1031.23
2018-10-21,334.01,622.91,1135.06,538.94
2018-10-28,100.04,450.84,604.02,891.39
2018-11-04,302.71,748.65,1212.96,568.84
2018-11-11,361.01,605.76,1159.39,749.47
2018-11-18,269.2,706.58,1119.51,553.27
2018-11-25,448.43,736.19,1423.69,389.54
2018-12-02,84.05,533.97,662.66,958.19
2018-12-09,173.73,538.0,804.46,1057.77
2018-12-16,631.5,950.0,1918.39,412.6
2018-12-23,65.34,576.56,676.7,1073.8
2018-12-30,1002.36,828.54,2365.6,339.96
2019-01-06,57.03,554.43,642.07,949.43
2019-01-13,116.46,577.3,755.96,952.41
2019-01-20,240.93,750.71,1120.09,797.67
2019-01-27,509.03,824.54,1605.09,755.86
2019-02-03,401.9,808.13,1424.23,838.47
2019-02-10,99.8,528.1,681.11,1189.46
2019-02-17,569.93,942.83,1816.86,692.56
2019-02-24,360.46,817.6,1370.4,837.83
2019-03-03,628.86,997.24,1961.56,853.67
2019-03-10,42.23,365.14,430.03,1582.9
2019-03-17,27.4,248.44,290.44,1759.53
2019-03-24,77.66,602.89,721.97,1065.46
2019-03-31,230.36,762.34,1115.59,1190.34
2019-04-07,73.17,535.47,647.5,1257.6
2019-04-14,70.69,475.16,583.44,1479.19
2019-04-21,89.05,695.75,832.28,1471.86
2019-04-28,53.49,525.13,607.27,1622.89
2019-05-05,63.56,499.16,596.54,1281.73
2019-05-12,54.57,438.37,521.97,1380.27
2019-05-19,59.33,430.03,521.01,1404.73
2019-05-26,36.14,315.71,371.31,1516.24
2019-06-02,39.39,256.1,316.43,1173.17
2019-06-09,38.27,293.67,352.1,1353.51
2019-06-16,35.7,275.3,330.1,1262.59
2019-06-23,48.56,390.47,464.97,940.74
2019-06-30,60.23,453.29,545.19,710.84
2019-07-07,44.71,305.0,373.67,1089.93
2019-07-14,40.33,339.91,401.61,1215.61
2019-07-21,48.03,305.97,379.66,1180.66
2019-07-28,77.09,423.2,541.37,1229.84
2019-08-04,37.91,292.53,350.76,1268.99
2019-08-11,33.68,191.22,242.95,1290.61
2019-08-18,42.01,290.91,355.29,983.67
2019-08-25,58.01,460.01,548.83,1351.66
2019-09-01,41.46,416.21,479.69,1431.01
2019-09-08,39.36,312.9,373.29,1115.36
2019-09-15,81.37,512.3,637.0,832.4
2019-09-22,97.89,594.03,744.09,836.31
2019-09-29,29.67,268.93,314.43,1069.07
2019-10-06,149.26,468.69,697.37,795.47
2019-10-13,54.11,408.27,490.99,968.29
2019-10-20,130.16,538.77,738.14,433.61
