MeasurementDateGMT,NO,NO2,NOX,PM10,PM25
2018-01-07,659.04,781.13,1791.79,361.42,160.36
2018-01-14,541.24,624.35,1454.8,633.24,483.57
2018-01-21,392.26,848.41,1450.03,287.14,150.99
2018-01-28,586.12,889.37,1788.06,322.12,163.31
2018-02-04,710.46,870.33,1959.74,326.08,172.21
2018-02-11,743.45,903.36,2043.34,360.33,198.93
2018-02-18,993.51,1295.7,2818.99,535.97,241.89
2018-02-25,290.99,683.82,1129.86,529.83,398.51
2018-03-04,238.94,748.85,1115.27,720.78,563.64
2018-03-11,829.55,1260.54,2532.55,488.65,247.07
2018-03-18,374.14,845.34,1419.14,432.77,252.46
2018-03-25,352.94,824.71,1365.86,531.54,304.57
2018-04-01,478.58,1010.43,1744.3,299.0,185.01
2018-04-08,401.0,917.79,1532.68,409.53,230.87
2018-04-15,344.26,796.96,1324.74,754.7,598.06
2018-04-22,467.16,1079.69,1796.04,787.82,477.44
2018-04-29,246.53,627.9,1005.82,305.34,153.74
2018-05-06,416.1,962.55,1600.61,491.85,287.07
2018-05-13,282.65,902.19,1335.67,574.61,383.09
2018-05-20,122.17,454.66,642.03,415.08,236.06
2018-05-27,141.65,576.26,793.36,720.41,510.01
2018-06-03,189.44,644.78,935.28,562.16,407.5
2018-06-10,111.79,365.76,537.26,381.97,198.74
2018-06-17,226.38,512.86,860.04,346.51,166.32
2018-06-24,174.31,419.48,686.73,314.57,147.36
2018-07-01,158.85,623.85,867.98,418.3,210.54
2018-07-08,166.09,682.11,937.33,528.31,327.44
2018-07-15,155.69,615.33,854.49,372.64,200.49
2018-07-22,238.39,818.86,1184.69,429.36,230.27
2018-07-29,203.62,703.22,1015.77,427.26,183.14
2018-08-05,225.08,632.14,977.38,344.92,168.34
2018-08-12,365.36,760.0,1320.17,279.65,173.69
2018-08-19,399.0,612.22,1223.98,313.39,145.21
2018-08-26,394.15,627.73,1232.0,283.18,156.51
2018-09-02,342.49,712.82,1237.97,381.69,219.7
2018-09-09,271.09,627.44,1043.13,355.93,199.49
2018-09-16,572.26,737.4,1614.81,344.19,165.6
2018-09-23,303.92,593.41,1059.3,349.2,139.04
2018-09-30,1044.86,1065.26,2667.35,432.77,236.97
2018-10-07,737.22,778.5,1908.86,374.35,205.53
2018-10-14,612.76,926.79,1866.43,464.33,262.29
2018-10-21,1052.82,956.98,2571.21,504.8,303.81
2018-10-28,321.47,663.84,1156.71,291.66,153.66
2018-11-04,860.45,1003.18,2322.6,439.03,283.1
2018-11-11,695.52,900.54,1967.0,490.76,291.59
2018-11-18,689.52,938.74,1996.02,472.19,268.87
2018-11-25,761.4,796.19,1963.61,576.69,453.96
2018-12-02,567.69,869.68,1740.06,310.12,154.93
2018-12-09,657.37,837.24,1845.02,331.02,170.83
2018-12-16,986.67,1162.34,2675.31,553.34,359.69
2018-12-23,614.85,947.81,1890.52,358.36,157.06
2018-12-30,1661.14,1184.5,3731.57,609.96,431.56
2019-01-06,126.59,691.65,885.79,430.17,295.47
2019-01-13,214.5,734.41,1063.5,384.32,234.89
2019-01-20,630.08,1044.16,2010.31,441.31,254.69
2019-01-27,1101.51,1096.24,2785.18,518.88,389.74
2019-02-03,1012.65,1041.72,2594.41,434.36,275.74
2019-02-10,648.56,899.79,1894.4,311.98,158.34
2019-02-17,1455.86,1427.68,3659.99,804.19,480.59
2019-02-24,837.12,1197.41,2480.91,676.06,434.97
2019-03-03,1281.43,1291.21,3256.07,905.47,647.91
2019-03-10,328.95,715.05,1219.37,325.53,135.57
2019-03-17,194.71,531.66,830.3,254.4,107.61
2019-03-24,684.9,1043.78,2093.98,512.49,347.96
2019-03-31,618.79,1052.98,2001.79,763.34,516.94
2019-04-07,347.59,811.26,1344.15,535.91,365.31
2019-04-14,157.25,605.58,846.7,568.25,410.13
2019-04-21,217.99,925.73,1259.97,1063.57,851.71
2019-04-28,235.44,807.94,1168.99,641.22,420.41
2019-05-05,183.66,622.84,904.4,421.02,263.81
2019-05-12,344.61,805.18,1333.76,399.8,225.59
2019-05-19,135.9,592.34,800.73,477.51,316.36
2019-05-26,201.54,674.21,983.21,384.86,228.64
2019-06-02,337.76,666.75,1184.6,322.94,147.99
2019-06-09,365.41,759.74,1320.09,354.79,156.07
2019-06-16,374.56,704.19,1278.53,281.61,126.46
2019-06-23,262.87,681.36,1084.49,407.99,213.57
2019-06-30,143.05,505.97,725.34,557.79,417.6
2019-07-07,118.54,463.54,645.43,412.64,295.64
2019-07-14,236.7,623.18,986.21,386.6,201.14
2019-07-21,347.4,724.15,1256.85,350.12,146.93
2019-07-28,262.26,751.05,1153.38,516.47,241.69
2019-08-04,228.69,583.05,933.6,407.22,173.05
2019-08-11,354.65,585.39,1129.16,396.99,148.75
2019-08-18,417.21,655.41,1295.21,322.15,132.41
2019-08-25,379.6,889.3,1471.35,589.35,341.57
2019-09-01,294.01,856.41,1307.22,516.53,305.33
2019-09-08,236.06,583.57,945.48,325.62,118.36
2019-09-15,419.64,788.03,1431.47,389.24,181.5
2019-09-22,234.72,679.29,1039.3,433.51,181.47
2019-09-29,431.91,617.59,1279.69,302.76,96.21
2019-10-06,565.85,689.22,1556.8,360.11,169.66
2019-10-13,469.65,738.11,1458.24,319.49,110.81
2019-10-20,731.04,920.05,2040.73,378.45,145.09
2019-10-27,902.74,784.39,2168.55,446.85,264.39
2019-11-03,601.68,774.23,1696.74,444.43,252.99
2019-11-10,929.64,880.28,2305.66,455.74,241.76
2019-11-17,738.4,865.35,1997.67,373.51,190.43
2019-11-24,841.58,908.23,2198.55,462.88,276.8
2019-12-01,746.64,898.51,2043.26,329.45,181.13
2019-12-08,1533.66,1110.95,3462.53,489.53,306.78
2019-12-15,679.74,847.67,1890.06,304.73,112.43
2019-12-22,762.41,1014.53,2183.59,307.51,155.46
2019-12-29,756.67,767.38,1927.7,388.91,218.14
2020-01-05,690.54,868.79,1927.53,459.06,294.26
2020-01-12,478.5,737.3,1470.44,363.66,112.4
2020-01-19,524.64,841.35,1645.4,344.26,142.27
2020-01-26,1874.21,1267.01,4140.71,752.59,525.31
2020-02-02,364.07,690.4,1248.6,320.29,113.64
2020-02-09,792.46,899.7,2114.75,589.97,268.09
2020-02-16,370.71,571.56,1140.01,323.21,117.18
2020-02-23,234.58,510.57,870.19,330.39,115.44
2020-03-01,284.74,613.74,1050.44,279.15,95.01
2020-03-08,590.01,773.22,1677.86,376.34,152.49
2020-03-15,276.11,538.89,962.41,294.16,97.4
2020-03-22,238.69,491.0,856.89,354.41,138.68
2020-03-29,108.52,452.56,619.03,529.36,338.19
2020-04-05,145.05,473.72,696.2,419.79,165.39
2020-04-12,166.32,663.82,918.99,614.66,500.69
2020-04-19,86.48,374.92,507.4,494.48,285.67
2020-04-26,75.91,394.36,510.73,502.93,281.97
2020-05-03,175.99,466.05,735.94,327.95,126.36
2020-05-10,80.14,453.06,575.85,557.54,286.6
2020-05-17,79.59,326.14,448.11,313.86,123.69
2020-05-24,155.95,487.93,727.18,522.12,182.21
2020-05-31,87.43,347.04,481.04,439.32,175.99
2020-06-07,68.26,286.82,391.41,333.49,130.69
2020-06-14,155.65,446.96,685.69,447.58,230.89
2020-06-21,326.56,672.93,1173.63,399.66,180.26
2020-06-28,222.7,558.91,900.48,532.18,221.67
2020-07-05,294.26,379.1,830.27,331.9,100.64
2020-07-12,208.51,364.57,684.34,323.05,130.0
2020-07-19,149.41,342.71,571.79,321.03,121.71
2020-07-26,264.13,503.74,908.73,394.78,136.23
2020-08-02,227.58,541.2,890.15,446.11,165.59
2020-08-09,244.61,684.24,1059.44,579.3,252.4
2020-08-16,81.41,564.79,689.61,848.02,561.43
2020-08-23,327.07,605.84,1107.28,453.7,151.47
2020-08-30,207.84,402.55,721.25,346.9,131.94
2020-09-06,334.79,667.26,1180.62,418.18,192.5
2020-09-13,431.29,646.51,1307.77,432.86,204.61
2020-09-20,139.57,548.46,762.46,646.14,270.8
2020-09-27,341.3,584.74,1107.98,413.98,190.37
2020-10-04,416.36,692.66,1331.03,320.12,151.61
2020-10-11,353.61,606.48,1148.56,313.18,109.84
2020-10-18,312.45,537.93,1016.86,300.2,137.91
2020-10-25,488.72,796.68,1546.07,412.5,157.49
2020-11-01,463.6,691.14,1401.91,366.06,129.0
2020-11-08,1190.12,1002.9,2827.84,861.83,579.68
2020-11-15,542.35,834.13,1665.73,449.33,208.32
2020-11-22,467.01,753.04,1469.1,350.73,111.49
2020-11-29,827.24,1011.45,2279.98,635.48,423.76
2020-12-06,552.68,889.53,1737.01,362.0,194.01
2020-12-13,767.71,992.61,2169.82,420.98,235.32
2020-12-20,632.94,895.14,1865.58,369.61,107.72
2020-12-27,311.92,592.31,1070.49,203.16,86.21
2021-01-03,286.7,607.07,1046.56,323.01,247.3
2021-01-10,271.16,580.96,996.96,292.95,217.44
2021-01-17,489.55,746.46,1497.03,266.66,153.53
2021-01-24,447.12,801.24,1486.71,292.52,136.3
2021-01-31,434.04,808.14,1473.66,288.65,145.4
2021-02-07,421.51,803.2,1449.44,354.44,166.57
2021-02-14,130.18,433.01,632.52,341.68,158.53
2021-02-21,383.7,675.36,1263.61,518.83,209.89
2021-02-28,628.98,811.62,1776.07,611.81,327.99
2021-03-07,253.76,576.36,965.54,608.55,469.56
2021-03-14,366.95,621.02,1183.51,482.89,245.83
2021-03-21,178.48,515.15,788.84,391.7,188.5
2021-03-28,512.04,779.05,1564.21,573.46,248.33
2021-04-04,446.85,737.32,1422.51,691.14,306.63
2021-04-11,183.74,413.55,695.13,293.33,109.0
2021-04-18,357.79,703.11,1251.7,409.19,201.77
2021-04-25,209.3,546.48,867.49,584.54,302.27
2021-05-02,160.44,510.48,756.46,478.49,246.91
2021-05-09,287.59,520.79,961.9,341.74,109.23
2021-05-16,290.79,604.91,1050.71,396.72,162.13
2021-05-23,328.89,560.31,1064.61,446.94,123.29
2021-05-30,191.34,485.38,778.76,411.93,208.81
2021-06-06,139.43,529.9,743.76,527.44,286.21
2021-06-13,276.11,535.19,958.6,441.16,206.81
2021-06-20,145.39,376.58,599.5,376.06,184.46
2021-06-27,138.51,322.44,534.78,406.17,212.51
2021-07-04,61.52,151.0,244.98,274.39,150.5
