MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,413.84,715.87,1357.39,404.76
2018-01-14,738.73,934.09,2072.54,593.59
2018-01-21,569.48,1006.06,1888.18,348.47
2018-01-28,685.74,999.12,2053.44,348.75
2018-02-04,734.02,1010.95,2132.86,363.3
2018-02-11,621.74,1007.73,1960.89,398.14
2018-02-18,927.57,1307.7,2724.61,463.29
2018-02-25,406.59,810.14,1432.2,610.59
2018-03-04,337.99,824.67,1342.17,801.23
2018-03-11,815.96,1221.91,2472.0,491.31
2018-03-18,518.51,890.65,1682.22,450.77
2018-03-25,470.42,890.69,1612.1,595.18
2018-04-01,708.59,1100.26,2186.21,321.94
2018-04-08,602.63,996.76,1919.91,416.83
2018-04-15,431.99,895.38,1556.92,751.52
2018-04-22,579.01,1151.35,2038.07,760.03
2018-04-29,419.13,740.18,1382.76,343.4
2018-05-06,539.92,1036.75,1864.33,530.69
2018-05-13,516.95,1070.82,1863.23,632.79
2018-05-20,225.71,621.36,967.12,531.16
2018-05-27,241.86,716.44,1087.03,768.39
2018-06-03,283.63,752.64,1187.41,611.0
2018-06-10,171.14,459.4,721.73,502.9
2018-06-17,417.56,687.86,1326.26,419.79
2018-06-24,438.68,613.23,1285.02,413.31
2018-07-01,203.86,609.54,922.13,515.14
2018-07-08,271.64,807.58,1223.23,618.02
2018-07-15,240.57,685.92,1052.44,465.76
2018-07-22,488.66,1001.06,1750.09,469.14
2018-07-29,436.56,795.91,1465.2,509.01
2018-08-05,439.54,698.04,1371.99,362.18
2018-08-12,578.35,909.73,1796.52,381.48
2018-08-19,554.46,684.51,1534.72,356.25
2018-08-26,622.09,759.16,1712.95,314.57
2018-09-02,482.96,880.12,1620.71,422.0
2018-09-09,413.16,778.96,1412.41,422.77
2018-09-16,617.5,812.06,1758.87,379.81
2018-09-23,459.71,655.88,1360.86,376.16
2018-09-30,985.62,1153.64,2664.86,462.87
2018-10-07,704.26,843.76,1923.57,389.46
2018-10-14,639.41,875.51,1855.84,456.2
2018-10-21,1039.04,1016.91,2610.12,498.36
2018-10-28,621.5,788.09,1740.98,343.91
2018-11-04,1049.15,1061.27,2669.97,463.87
2018-11-11,1053.87,902.31,2518.4,554.69
2018-11-18,808.34,963.76,2203.01,499.5
2018-11-25,773.17,858.18,2043.6,625.38
2018-12-02,666.87,867.98,1890.52,335.27
2018-12-09,749.61,852.97,2002.41,342.37
2018-12-16,1045.47,1133.51,2736.64,543.34
2018-12-23,729.94,960.21,2079.48,364.24
2018-12-30,1804.79,1175.25,3942.26,595.66
2019-01-06,441.71,873.91,1551.15,476.16
2019-01-13,582.71,898.2,1791.56,476.75
2019-01-20,743.72,1109.18,2249.5,467.25
2019-01-27,1231.33,1129.21,3017.3,528.26
2019-02-03,1092.81,1115.19,2790.84,462.42
2019-02-10,695.52,889.13,1955.54,332.29
2019-02-17,1235.71,1366.0,3260.4,722.17
2019-02-24,841.81,1170.12,2460.86,688.18
2019-03-03,1110.5,1325.44,3028.2,924.46
2019-03-10,461.85,697.39,1405.65,314.26
2019-03-17,349.88,564.47,1101.12,295.88
2019-03-24,569.54,862.16,1735.4,471.84
2019-03-31,595.3,1031.35,1944.19,940.77
2019-04-07,302.11,689.69,1152.89,571.29
2019-04-14,224.37,604.91,948.94,655.05
2019-04-21,229.6,840.64,1192.81,1161.93
2019-04-28,274.96,704.19,1125.92,711.05
2019-05-05,294.63,652.31,1104.26,507.09
2019-05-12,348.39,698.39,1232.49,442.68
2019-05-19,160.81,560.2,806.81,578.04
2019-05-26,255.78,645.83,1038.04,456.01
2019-06-02,321.21,534.09,1026.54,387.75
2019-06-09,302.08,571.15,1034.28,421.36
2019-06-16,290.08,576.73,1021.53,275.95
2019-06-23,277.24,667.68,1092.66,411.68
2019-06-30,197.14,512.11,814.35,475.17
2019-07-07,236.64,554.53,917.38,410.02
2019-07-14,298.18,602.31,1059.6,406.61
2019-07-21,349.13,578.85,1114.13,355.73
2019-07-28,335.31,735.23,1249.41,499.42
2019-08-04,264.01,525.21,930.11,387.02
2019-08-11,286.15,448.83,887.64,374.59
2019-08-18,362.88,583.73,1140.11,330.28
2019-08-25,326.3,843.39,1343.63,577.35
2019-09-01,303.5,796.85,1262.06,508.7
2019-09-08,300.76,589.64,1050.79,371.64
2019-09-15,383.39,744.25,1332.14,403.41
2019-09-22,320.84,786.42,1278.61,504.51
2019-09-29,309.74,516.69,991.56,281.36
2019-10-06,523.92,728.93,1532.29,366.76
2019-10-13,380.67,692.62,1276.37,310.66
2019-10-20,514.67,818.3,1607.47,346.39
2019-10-27,840.46,865.74,2154.4,556.31
2019-11-03,373.28,780.68,1353.19,501.66
2019-11-10,749.01,914.53,2062.95,420.52
2019-11-17,589.01,856.41,1759.68,380.74
2019-11-24,839.51,919.65,2206.74,497.41
2019-12-01,533.91,840.14,1658.88,357.24
2019-12-08,1099.72,1187.23,2873.42,499.75
2019-12-15,565.42,948.45,1815.6,344.38
2019-12-22,433.59,824.58,1489.51,286.16
2019-12-29,506.36,772.66,1548.96,365.94
2020-01-05,384.18,849.54,1438.59,585.37
2020-01-12,292.7,729.07,1178.0,398.35
2020-01-19,385.33,842.14,1432.97,321.89
2020-01-26,1134.78,1234.95,2974.94,676.93
2020-02-02,266.77,714.42,1123.54,304.46
2020-02-09,639.29,980.17,1960.39,601.51
2020-02-16,293.15,662.24,1111.76,328.94
2020-02-23,258.19,595.97,991.84,369.9
2020-03-01,292.24,745.26,1193.43,321.98
2020-03-08,355.07,887.13,1431.64,398.76
2020-03-15,237.72,576.15,940.64,314.01
2020-03-22,162.45,512.06,761.25,403.35
2020-03-29,247.8,682.98,1063.5,618.9
2020-04-05,151.18,571.59,803.45,491.36
2020-04-12,98.21,645.31,795.83,856.65
2020-04-19,68.54,417.27,522.44,595.16
2020-04-26,64.49,387.6,486.45,638.44
2020-05-03,122.52,392.62,580.48,287.65
2020-05-10,75.54,416.05,531.89,499.11
2020-05-17,112.03,380.26,551.99,380.26
2020-05-24,139.51,408.76,622.56,544.64
2020-05-31,71.69,323.49,433.3,424.63
2020-06-07,103.58,394.51,553.36,336.12
2020-06-14,82.53,420.77,547.4,360.01
2020-06-21,128.94,471.16,668.77,317.42
2020-06-28,76.06,411.67,528.42,491.56
2020-07-05,132.8,271.89,475.45,293.26
2020-07-12,223.02,436.32,778.28,316.37
2020-07-19,192.86,418.22,713.83,318.68
2020-07-26,150.17,435.3,665.56,344.12
2020-08-02,182.29,525.69,805.01,415.94
2020-08-09,196.42,649.55,950.62,523.59
2020-08-16,63.83,583.96,681.81,712.7
2020-08-23,159.84,476.63,721.7,360.45
2020-08-30,137.65,412.39,623.27,330.59
2020-09-06,230.44,628.42,981.79,392.82
2020-09-13,228.65,567.4,918.11,410.87
2020-09-20,120.61,546.02,730.97,657.29
2020-09-27,193.25,568.27,864.59,410.35
2020-10-04,229.41,599.03,950.72,329.64
2020-10-11,278.39,596.6,1023.39,302.05
2020-10-18,215.26,636.29,966.24,322.81
2020-10-25,191.79,621.91,915.96,386.04
2020-11-01,164.83,538.61,791.37,354.06
2020-11-08,943.33,1011.08,2457.48,859.85
2020-11-15,239.96,640.87,1008.75,387.24
2020-11-22,233.11,638.26,995.54,321.87
2020-11-29,500.54,973.23,1740.79,592.46
2020-12-06,358.26,881.4,1430.74,389.24
2020-12-13,475.52,967.9,1697.03,390.71
2020-12-20,202.01,673.63,983.41,317.21
2020-12-27,188.36,510.16,799.08,209.76
2021-01-03,259.43,663.01,1060.94,321.29
2021-01-10,307.56,654.62,1126.15,343.45
2021-01-17,279.31,718.73,1147.0,301.51
2021-01-24,227.54,725.32,1074.24,292.37
2021-01-31,272.25,767.33,1184.72,313.14
2021-02-07,266.54,685.79,1094.44,385.17
2021-02-14,89.64,553.33,690.92,399.55
2021-02-21,188.41,649.35,938.38,537.6
2021-02-28,338.25,875.58,1394.55,602.19
2021-03-07,221.4,685.1,1024.64,652.1
2021-03-14,212.24,616.21,941.76,468.91
2021-03-21,135.14,587.66,794.91,388.76
2021-03-28,187.54,650.69,938.25,519.21
2021-04-04,349.51,792.59,1328.54,756.59
2021-04-11,110.81,491.5,661.48,337.42
2021-04-18,201.62,740.11,1049.27,476.95
2021-04-25,102.51,544.66,701.85,740.15
2021-05-02,112.26,544.49,716.54,553.91
2021-05-09,155.15,442.74,680.6,369.25
2021-05-16,132.92,505.76,709.62,398.43
2021-05-23,175.2,541.01,809.71,338.01
2021-05-30,138.54,549.12,761.42,358.11
2021-06-06,94.84,464.04,609.46,547.12
2021-06-13,147.0,461.59,686.83,484.74
2021-06-20,80.97,446.06,570.28,422.31
2021-06-27,120.45,400.51,585.25,519.06
2021-07-04,61.98,229.7,324.67,307.22
