MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,1034.82,1212.8,2799.24,394.0
2018-01-14,1452.74,1312.73,3539.94,478.64
2018-01-21,1074.94,1259.69,2907.57,355.0
2018-01-28,1187.46,1269.67,3090.12,386.36
2018-02-04,1289.04,1330.12,3306.34,385.29
2018-02-11,1176.77,1306.6,3110.59,425.82
2018-02-18,1319.85,1399.98,3423.36,429.0
2018-02-25,1045.05,1198.58,2800.63,488.82
2018-03-04,975.33,1207.69,2702.88,565.07
2018-03-11,1217.9,1381.91,3249.0,464.86
2018-03-18,1079.27,1219.96,2874.71,480.75
2018-03-25,1049.3,1252.88,2861.65,593.0
2018-04-01,1174.14,1369.52,3169.82,399.71
2018-04-08,794.62,1104.66,2323.1,533.45
2018-04-15,836.31,1222.98,2505.27,934.07
2018-04-22,732.95,1237.09,2360.81,697.88
2018-04-29,635.31,870.31,1844.33,468.98
2018-05-06,872.84,1240.12,2578.49,627.54
2018-05-13,828.82,1274.89,2545.58,730.79
2018-05-20,565.71,941.11,1808.52,637.3
2018-05-27,639.45,1087.33,2067.93,988.89
2018-06-03,664.26,1043.36,2061.88,728.2
2018-06-10,480.21,903.39,1639.74,685.79
2018-06-17,643.11,869.61,1855.75,513.89
2018-06-24,602.28,815.32,1738.84,499.96
2018-07-01,466.78,1024.96,1740.84,677.36
2018-07-08,571.16,1198.83,2074.6,736.07
2018-07-15,577.99,1065.43,1951.65,658.55
2018-07-22,648.41,1152.64,2146.82,577.02
2018-07-29,666.96,978.49,2001.95,593.64
2018-08-05,676.19,1089.21,2125.91,535.76
2018-08-12,700.02,978.46,2051.52,500.76
2018-08-19,638.97,716.2,1696.01,521.11
2018-08-26,679.14,767.99,1809.36,397.29
2018-09-02,961.64,1116.39,2590.76,539.96
2018-09-09,759.92,1004.17,2169.29,524.25
2018-09-16,868.29,914.11,2245.54,490.05
2018-09-23,509.18,732.52,1513.22,533.95
2018-09-30,1692.23,1385.41,3980.06,586.2
2018-10-07,1137.03,1084.21,2827.66,486.79
2018-10-14,801.49,976.23,2205.26,585.88
2018-10-21,1624.21,1319.69,3810.13,695.18
2018-10-28,1135.94,1108.53,2850.31,497.86
2018-11-04,1587.64,1297.1,3731.55,601.62
2018-11-11,1032.34,1038.21,2621.14,644.64
2018-11-18,1137.35,1182.22,2926.15,666.86
2018-11-25,1572.56,1294.99,3706.31,682.0
2018-12-02,722.65,901.7,2009.74,421.52
2018-12-09,907.14,960.46,2351.36,441.96
2018-12-16,1727.37,1388.21,4036.92,618.89
2018-12-23,709.19,971.16,2058.63,412.93
2018-12-30,1873.98,1247.62,4121.05,605.84
2019-01-06,1110.43,1288.35,2990.92,557.29
2019-01-13,1357.1,1263.33,3344.15,503.46
2019-01-20,1288.26,1311.57,3286.87,528.48
2019-01-27,1789.62,1329.27,4073.4,544.2
2019-02-03,1539.88,1396.35,3757.52,533.09
2019-02-10,718.46,888.85,1990.4,333.11
2019-02-17,1850.5,1525.32,4362.8,795.12
2019-02-24,1219.34,1319.51,3189.14,694.23
2019-03-03,1977.18,1532.49,4564.1,928.84
2019-03-10,481.1,743.71,1481.38,394.32
2019-03-17,420.88,648.99,1294.34,383.82
2019-03-24,896.42,1159.88,2534.27,575.86
2019-03-31,1348.79,1472.01,3540.2,820.53
2019-04-07,752.36,1080.52,2234.19,644.84
2019-04-14,745.49,1121.93,2264.92,685.04
2019-04-21,778.98,1417.9,2612.26,1115.48
2019-04-28,494.71,1049.73,1808.25,700.75
2019-05-05,775.61,1067.42,2256.69,534.68
2019-05-12,733.05,1056.9,2180.9,467.55
2019-05-19,700.82,1097.95,2172.49,587.88
2019-05-26,705.5,1089.26,2170.96,468.82
2019-06-02,572.19,810.96,1688.48,395.62
2019-06-09,508.21,796.28,1575.45,403.0
2019-06-16,580.41,822.99,1712.88,366.93
2019-06-23,638.65,960.72,1939.95,496.36
2019-06-30,468.14,815.85,1533.62,624.18
2019-07-07,613.29,925.14,1865.4,464.44
2019-07-14,546.4,837.35,1675.24,438.61
2019-07-21,589.84,808.08,1712.45,413.18
2019-07-28,566.37,986.73,1855.06,530.57
2019-08-04,485.88,791.7,1536.81,463.07
2019-08-11,348.44,513.44,1047.52,529.43
2019-08-18,538.71,691.48,1517.58,419.93
2019-08-25,591.93,1012.85,1920.5,578.29
2019-09-01,539.65,969.59,1797.09,501.29
2019-09-08,606.74,794.98,1725.31,425.23
2019-09-15,762.94,970.9,2140.78,519.39
2019-09-22,869.61,1102.51,2435.86,597.82
2019-09-29,419.11,580.33,1222.94,395.07
2019-10-06,1035.65,960.61,2548.61,448.79
2019-10-13,651.64,805.43,1804.7,358.82
2019-10-20,917.37,1017.74,2424.27,451.36
2019-10-27,1275.99,1069.63,3026.04,614.96
2019-11-03,952.94,1065.12,2526.23,546.96
2019-11-10,1518.99,1230.97,3560.0,553.29
2019-11-17,1316.09,1158.02,3175.98,494.66
2019-11-24,1561.21,1218.01,3611.81,560.71
2019-12-01,1257.46,1226.37,3154.42,476.77
2019-12-08,1848.8,1215.51,4050.3,523.57
2019-12-15,715.0,930.11,2026.37,402.64
2019-12-22,1005.73,1195.2,2737.31,419.39
2019-12-29,872.75,915.54,2253.77,501.43
2020-01-05,859.46,980.18,2298.05,558.25
2020-01-12,586.21,819.31,1718.11,500.39
2020-01-19,966.71,1016.42,2498.64,519.88
2020-01-26,2187.44,1490.94,4845.02,772.55
2020-02-02,459.69,765.22,1470.11,419.09
2020-02-09,1212.04,1058.91,2917.44,685.46
2020-02-16,526.24,683.34,1490.22,393.64
2020-02-23,382.06,635.49,1221.4,411.61
2020-03-01,489.14,770.79,1520.68,365.96
2020-03-08,821.65,1068.64,2328.58,517.75
2020-03-15,408.78,660.31,1287.18,372.39
2020-03-22,419.64,734.04,1377.54,487.36
2020-03-29,378.67,749.36,1329.92,638.48
2020-04-05,336.64,688.1,1204.71,414.68
2020-04-12,342.33,833.07,1358.47,924.54
2020-04-19,285.38,661.0,1099.06,700.0
2020-04-26,313.65,692.52,1174.04,709.11
2020-05-03,346.55,689.03,1221.11,419.39
2020-05-10,346.73,703.56,1235.89,584.07
2020-05-17,340.63,638.23,1161.09,387.55
2020-05-24,327.49,618.04,1120.48,516.08
2020-05-31,333.94,670.78,1183.06,558.93
2020-06-07,391.77,670.33,1271.28,540.75
2020-06-14,415.23,704.35,1341.31,569.79
2020-06-21,443.7,692.92,1373.45,489.17
2020-06-28,367.5,688.02,1251.66,561.98
2020-07-05,382.91,518.46,1105.77,431.97
2020-07-12,490.76,646.41,1398.89,428.52
2020-07-19,511.4,700.29,1484.5,409.15
2020-07-26,396.62,639.07,1247.29,387.41
2020-08-02,418.35,683.44,1324.94,425.79
2020-08-09,427.86,860.38,1516.35,546.34
2020-08-16,365.65,1035.38,1596.01,770.25
2020-08-23,341.2,557.6,1080.71,493.77
2020-08-30,391.8,559.29,1159.96,418.07
2020-09-06,647.38,870.58,1863.29,491.04
2020-09-13,614.07,801.21,1742.7,428.45
2020-09-20,490.24,983.06,1734.83,775.29
2020-09-27,486.04,786.18,1531.38,446.17
2020-10-04,679.4,866.74,1908.42,341.11
2020-10-11,621.84,753.05,1706.67,342.38
2020-10-18,996.55,1027.3,2555.29,452.32
2020-10-25,542.53,786.65,1618.47,445.59
2020-11-01,390.75,622.78,1221.96,435.68
2020-11-08,1608.61,1201.6,3668.09,917.8
2020-11-15,670.72,825.41,1853.85,470.57
2020-11-22,567.2,782.1,1651.84,433.07
2020-11-29,1281.3,1265.69,3230.18,711.16
2020-12-06,858.17,1070.53,2386.36,458.59
2020-12-13,1128.23,1103.23,2833.18,492.59
2020-12-20,518.58,802.56,1597.66,456.18
2020-12-27,410.35,622.6,1251.8,295.93
2021-01-03,793.04,918.59,2134.58,451.89
2021-01-10,715.82,849.53,1947.16,432.89
2021-01-17,758.92,883.92,2047.61,388.18
2021-01-24,537.73,757.98,1582.54,379.32
2021-01-31,753.28,867.87,2022.91,379.55
2021-02-07,645.53,846.36,1836.11,480.14
2021-02-14,307.96,609.82,1082.08,485.07
2021-02-21,319.48,545.54,1035.61,573.86
2021-02-28,783.03,969.56,2170.2,711.3
2021-03-07,685.86,967.18,2018.86,796.14
2021-03-14,460.52,657.02,1363.18,551.14
2021-03-21,442.36,760.05,1438.28,574.54
2021-03-28,470.86,722.96,1445.0,579.23
2021-04-04,630.39,930.23,1896.84,712.68
2021-04-11,396.3,714.04,1321.81,428.88
2021-04-18,784.39,1148.03,2350.86,578.69
