MeasurementDateGMT,NO,NO2,NOX,PM10,SO2
2018-01-07,921.97,1174.18,2588.02,682.04,110.4
2018-01-14,1458.04,1388.26,3623.97,801.41,110.4
2018-01-21,923.4,1360.04,2775.95,435.68,110.4
2018-01-28,1259.4,1416.19,3347.18,534.77,62.2
2018-02-04,1420.11,1589.04,3766.44,489.92,75.83
2018-02-11,1399.34,1589.75,3735.44,667.98,72.04
2018-02-18,1296.72,1615.62,3603.89,631.43,95.78
2018-02-25,1132.97,1444.78,3181.97,757.86,53.76
2018-03-04,765.59,1268.22,2442.16,925.48,77.33
2018-03-11,1168.41,1564.82,3356.41,631.68,149.54
2018-03-18,948.19,1194.65,2648.52,616.0,98.33
2018-03-25,1114.34,1465.07,3173.79,830.96,55.97
2018-04-01,1156.42,1513.32,3286.48,496.5,101.44
2018-04-08,863.68,1222.98,2547.32,560.64,97.33
2018-04-15,1165.25,1527.32,3314.09,1042.68,97.84
2018-04-22,986.89,1592.15,3105.13,982.36,76.24
2018-04-29,830.84,1158.56,2432.66,462.62,84.37
2018-05-06,1003.48,1576.36,3115.12,671.14,104.04
2018-05-13,917.21,1515.03,2921.48,757.57,119.01
2018-05-20,719.29,1277.47,2380.38,752.96,58.2
2018-05-27,742.25,1417.27,2555.3,972.88,79.44
2018-06-03,802.71,1369.25,2600.06,719.68,77.09
2018-06-10,763.83,1219.96,2391.16,649.27,59.9
2018-06-17,790.81,1095.06,2307.57,528.5,78.71
2018-06-24,788.14,1010.89,2219.32,464.43,87.44
2018-07-01,572.69,1153.33,2031.43,680.68,108.34
2018-07-08,683.79,1418.13,2466.64,767.86,114.51
2018-07-15,767.99,1221.96,2399.49,616.88,99.81
2018-07-22,771.07,1260.2,2442.56,547.25,101.29
2018-07-29,700.26,1081.5,2155.37,592.89,96.99
2018-08-05,792.56,1092.48,2307.75,457.64,61.87
2018-08-12,816.06,1245.31,2496.59,466.68,67.73
2018-08-19,739.41,984.64,2118.49,400.21,57.66
2018-08-26,821.19,1066.02,2325.11,322.93,66.34
2018-09-02,1472.15,1520.97,3778.01,456.05,77.81
2018-09-09,1715.08,1648.86,4278.53,491.95,69.69
2018-09-16,1715.74,1506.53,4137.02,456.23,54.26
2018-09-23,1560.55,1381.07,3773.41,585.53,83.89
2018-09-30,1922.47,1856.16,4803.69,534.22,47.23
2018-10-07,1680.19,1612.48,4188.47,404.35,52.41
2018-10-14,1567.79,1568.19,3971.77,485.17,81.86
2018-10-21,1883.95,1750.89,4639.3,554.53,68.44
2018-10-28,1578.73,1602.84,4023.26,444.76,62.66
2018-11-04,1697.78,1665.1,4268.11,656.47,141.39
2018-11-11,1524.09,1429.92,3766.72,760.31,187.87
2018-11-18,1535.51,1534.47,3888.65,675.13,54.3
2018-11-25,1831.54,1630.06,4438.23,832.76,87.01
2018-12-02,1328.52,1384.97,3421.91,537.94,89.09
2018-12-09,1314.38,1394.5,3409.73,470.71,88.3
2018-12-16,1538.47,1578.83,3937.8,756.53,70.14
