MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25
2018-01-07,930.14,975.99,2278.65,314.4,348.96,273.6
2018-01-14,1430.85,1139.88,3257.03,314.4,530.21,273.6
2018-01-21,1078.3,1141.25,2676.94,314.4,337.38,273.6
2018-01-28,874.81,933.74,2181.6,314.4,364.26,273.6
2018-02-04,987.58,1082.54,2482.72,314.4,389.95,273.6
2018-02-11,958.68,1111.58,2471.83,314.4,437.66,273.6
2018-02-18,867.24,1091.71,2350.16,314.4,396.76,271.79
2018-02-25,996.34,1211.31,2589.83,314.4,592.1,312.9
2018-03-04,841.86,1148.33,2294.19,314.4,727.24,384.05
2018-03-11,784.14,1113.65,2233.66,314.4,420.16,205.96
2018-03-18,662.89,920.99,1794.43,314.4,410.33,215.75
2018-03-25,809.2,1119.03,2231.58,314.4,583.59,268.87
2018-04-01,706.27,1008.49,1965.03,314.4,338.88,181.37
2018-04-08,477.19,755.31,1343.01,314.4,367.82,213.34
2018-04-15,753.57,1076.13,2091.12,314.4,693.59,421.75
2018-04-22,644.14,1093.64,1969.34,314.4,613.68,331.58
2018-04-29,632.7,824.92,1636.18,314.4,306.19,171.84
2018-05-06,665.19,1098.71,1994.59,314.4,488.85,258.73
2018-05-13,596.58,1055.9,1836.8,314.4,532.34,300.25
2018-05-20,588.17,853.39,1575.41,314.4,494.28,232.5
2018-05-27,580.36,959.86,1682.89,314.4,757.21,402.07
2018-06-03,560.23,922.34,1625.62,314.4,634.19,330.21
2018-06-10,597.76,835.69,1566.32,314.4,527.35,209.24
2018-06-17,637.62,762.49,1580.3,314.4,420.3,190.12
2018-06-24,656.33,699.88,1531.41,314.4,413.68,172.14
2018-07-01,567.74,987.11,1680.03,314.4,494.26,212.16
2018-07-08,566.79,1070.52,1767.61,314.4,549.72,258.64
2018-07-15,581.03,880.26,1594.36,314.4,438.8,200.1
2018-07-22,593.82,910.45,1680.12,314.4,375.04,186.39
2018-07-29,561.29,745.71,1462.74,314.4,418.18,196.31
2018-08-05,553.43,717.74,1415.93,314.4,331.16,159.39
2018-08-12,658.49,950.84,1829.7,314.4,333.59,163.33
2018-08-19,698.47,776.0,1692.85,314.4,311.55,161.94
2018-08-26,736.24,672.48,1649.0,314.4,291.35,163.99
2018-09-02,681.09,858.22,1763.59,314.4,388.6,210.52
2018-09-09,699.15,841.81,1759.6,314.4,400.73,211.84
2018-09-16,713.83,695.31,1657.0,314.4,330.01,171.12
2018-09-23,528.84,534.79,1185.1,314.4,333.42,150.38
2018-09-30,902.93,967.12,2264.13,314.4,422.44,227.59
2018-10-07,800.25,793.68,1888.24,314.4,380.25,203.4
2018-10-14,565.08,731.14,1473.15,314.4,413.03,210.74
2018-10-21,994.46,989.94,2423.72,314.4,480.0,257.76
2018-10-28,885.44,906.37,2111.49,314.4,353.85,187.59
2018-11-04,884.3,928.85,2189.47,314.4,401.03,236.77
2018-11-11,663.24,696.14,1598.82,314.4,416.96,217.81
2018-11-18,650.79,807.62,1717.15,314.4,415.11,214.27
2018-11-25,1238.42,1009.18,2845.66,314.4,597.64,341.96
2018-12-02,539.8,664.76,1366.76,314.4,318.85,168.55
2018-12-09,655.31,803.6,1683.95,314.4,313.17,170.15
2018-12-16,943.49,1057.92,2398.09,526.31,500.69,345.29
2018-12-23,547.1,755.99,1458.35,1312.71,301.62,161.86
2018-12-30,1129.87,1048.9,2687.7,421.27,543.85,453.37
2019-01-06,762.27,1061.67,2023.41,929.47,502.19,341.97
2019-01-13,888.6,1026.26,2199.44,894.43,455.52,291.66
2019-01-20,805.13,1031.52,2102.86,907.89,444.72,318.65
2019-01-27,1227.04,1170.21,2990.2,790.33,523.69,452.76
2019-02-03,834.37,1105.24,2393.74,861.73,460.22,268.26
2019-02-10,369.87,664.89,1311.98,1323.79,273.1,159.83
2019-02-17,800.04,1065.23,2378.48,833.09,637.55,461.03
2019-02-24,780.75,998.65,2215.47,963.47,614.05,455.97
2019-03-03,1572.96,1281.48,3626.33,922.51,895.08,667.52
2019-03-10,442.91,675.12,1421.19,1678.39,276.08,146.89
2019-03-17,399.94,646.12,1311.12,1781.49,254.44,146.76
2019-03-24,571.36,1028.52,1963.66,1169.63,396.86,281.46
2019-03-31,740.99,1222.01,2341.6,1172.05,740.27,552.16
2019-04-07,421.2,908.33,1577.27,1349.06,552.32,403.67
2019-04-14,464.05,972.87,1694.83,1577.87,636.96,492.57
2019-04-21,508.51,1310.02,2100.39,1443.37,1127.46,923.97
2019-04-28,329.84,923.29,1444.06,1623.19,646.44,481.22
2019-05-05,468.86,974.4,1677.35,1450.73,471.84,319.67
2019-05-12,381.84,860.19,1501.55,1502.5,377.87,260.15
2019-05-19,469.78,1035.65,1797.06,1548.29,542.33,371.36
2019-05-26,406.35,856.22,1527.4,1619.89,369.92,238.39
2019-06-02,338.89,595.29,1182.94,1314.53,287.3,183.0
2019-06-09,358.01,658.93,1275.3,1454.22,313.27,176.3
2019-06-16,283.5,574.37,1079.67,1381.3,243.37,151.43
2019-06-23,420.2,830.84,1528.21,1466.93,395.9,254.22
2019-06-30,309.8,701.18,1219.15,1590.04,569.17,313.12
2019-07-07,388.48,772.03,1403.87,1421.71,342.04,203.65
2019-07-14,344.7,690.58,1274.31,1596.76,323.32,191.29
2019-07-21,349.81,638.88,1246.48,1463.51,306.73,187.87
2019-07-28,382.04,804.35,1448.3,1676.02,407.99,306.68
2019-08-04,337.12,673.72,1242.57,1566.59,411.0,237.86
2019-08-11,244.65,452.07,898.32,1030.12,380.14,204.76
2019-08-18,405.85,726.9,1427.58,1078.53,287.09,173.16
2019-08-25,469.32,847.55,1632.85,1193.92,585.19,362.59
2019-09-01,624.82,762.52,1781.4,1309.31,421.26,282.09
2019-09-08,399.35,659.28,1321.21,1424.7,330.79,165.21
2019-09-15,491.03,783.98,1583.62,1368.62,367.22,209.3
2019-09-22,579.6,919.74,1847.07,1011.59,422.61,251.39
2019-09-29,256.37,431.92,905.86,1300.99,298.25,130.87
2019-10-06,525.73,767.08,1636.16,985.66,370.7,196.03
2019-10-13,390.96,641.43,1313.79,1233.11,318.21,155.98
2019-10-20,432.16,770.89,1511.76,1036.44,325.05,173.91
2019-10-27,738.93,856.01,2026.23,802.13,471.84,272.66
2019-11-03,629.53,928.36,1932.78,827.3,700.13,345.32
2019-11-10,731.56,965.79,2118.29,624.36,761.4,302.95
2019-11-17,788.25,1021.38,2322.58,672.88,655.49,295.46
2019-11-24,864.59,1092.92,2466.81,499.86,601.06,352.76
2019-12-01,778.04,1012.04,2249.81,800.14,453.68,249.67
2019-12-08,1167.2,1078.33,2972.01,814.47,387.62,232.22
2019-12-15,430.07,803.92,1514.51,1298.71,301.86,167.59
2019-12-22,421.55,894.12,1600.22,1075.54,266.61,176.26
2019-12-29,487.34,759.75,1556.76,895.81,383.55,291.52
2020-01-05,521.76,870.53,1715.88,783.11,485.82,379.72
2020-01-12,276.12,600.17,1064.11,1343.94,491.16,177.29
2020-01-19,418.92,744.31,1429.63,1285.01,508.07,192.99
2020-01-26,1346.84,1286.43,3451.67,406.3,650.46,529.0
