MeasurementDateGMT,PM10,NO,NO2,NOX
2018-01-07,864.0,752.11,712.04,1865.4
2018-01-14,864.0,1689.39,1029.6,3620.09
2018-01-21,864.0,736.2,802.69,1931.44
2018-01-28,864.0,1019.74,998.94,2562.51
2018-02-04,864.0,1153.51,1045.03,2804.01
2018-02-11,636.86,792.99,1016.34,2232.43
2018-02-18,647.57,1379.73,1373.37,3489.05
2018-02-25,735.71,648.29,990.71,1984.91
2018-03-04,1029.93,767.97,1010.96,2188.66
2018-03-11,664.0,1459.74,1315.89,3554.29
2018-03-18,655.86,889.7,1065.04,2429.33
2018-03-25,854.29,809.77,1001.87,2243.39
2018-04-01,568.63,1043.7,1133.5,2733.83
2018-04-08,967.29,917.73,984.89,2392.1
2018-04-15,1150.14,881.71,1124.16,2476.18
2018-04-22,857.57,933.4,1401.51,2832.8
2018-04-29,555.71,637.77,828.64,1806.44
2018-05-06,758.57,743.34,1194.87,2334.59
2018-05-13,803.86,874.14,1283.31,2623.59
2018-05-20,802.07,471.93,844.07,1567.79
2018-05-27,1156.57,652.54,1110.64,2111.27
2018-06-03,875.29,833.9,1181.86,2460.33
2018-06-10,901.03,607.64,954.8,1886.59
2018-06-17,1028.38,784.71,934.77,2137.99
2018-06-24,1024.11,514.49,711.57,1500.19
2018-07-01,1019.84,535.21,1091.14,1911.8
2018-07-08,1015.57,580.66,1239.9,2130.24
2018-07-15,1011.3,710.56,1156.23,2245.49
2018-07-22,1007.03,882.31,1350.5,2703.43
2018-07-29,1002.76,805.56,1359.34,2594.53
2018-08-05,998.49,746.33,1079.94,2224.23
2018-08-12,994.22,826.04,1191.03,2457.5
2018-08-19,989.95,598.71,750.29,1668.21
2018-08-26,985.68,732.17,853.36,1975.94
2018-09-02,981.41,1019.56,1323.36,2886.7
2018-09-09,977.14,579.93,965.67,1855.01
2018-09-16,972.87,880.08,1022.22,2371.74
2018-09-23,968.6,751.43,949.46,2101.67
2018-09-30,964.33,1644.99,1467.1,3989.41
2018-10-07,808.14,949.24,1055.5,2511.09
2018-10-14,525.99,1524.17,1439.33,3776.27
2018-10-21,763.79,1689.7,1442.81,4033.6
2018-10-28,433.0,562.89,939.31,1802.44
2018-11-04,617.57,1801.86,1511.87,4274.87
2018-11-11,1059.96,2233.14,1529.5,4953.49
2018-11-18,4412.82,1848.87,1503.3,4338.13
2018-11-25,1018.29,1513.57,1389.13,3709.87
2018-12-02,580.43,1398.11,1307.29,3450.96
2018-12-09,534.0,1140.49,1100.53,2849.37
2018-12-16,934.57,2197.33,1691.63,5060.86
2018-12-23,616.0,1386.49,1218.27,3344.26
2018-12-30,754.14,1855.51,1404.7,4249.71
2019-01-06,645.29,644.63,1148.57,2136.86
2019-01-13,630.64,687.7,1017.09,2071.71
2019-01-20,724.93,1342.56,1421.67,3480.39
2019-01-27,750.14,1654.9,1473.13,4010.67
2019-02-03,767.71,1457.54,1438.69,3673.46
2019-02-10,481.5,1510.91,1311.07,3627.89
2019-02-17,1073.14,2968.86,2061.2,6613.4
2019-02-24,894.71,1850.86,1701.37,4539.53
2019-03-03,1061.57,2257.06,1921.96,5383.01
2019-03-10,490.71,847.83,998.31,2298.45
2019-03-17,419.64,487.51,713.14,1460.76
2019-03-24,591.86,825.01,1233.9,2498.94
2019-03-31,996.14,1226.14,1582.73,3462.9
2019-04-07,814.14,821.11,1243.94,2502.74
2019-04-14,862.71,534.26,1165.66,1984.86
2019-04-21,1378.86,809.44,1667.74,2908.74
2019-04-28,888.29,769.1,1402.83,2581.94
2019-05-05,648.5,663.99,1091.34,2109.42
2019-05-12,601.14,1002.06,1286.94,2823.46
2019-05-19,811.71,724.23,1315.21,2425.7
2019-05-26,480.71,576.84,1087.46,1971.83
2019-06-02,459.0,904.29,1026.84,2413.29
2019-06-09,532.43,824.18,946.63,2209.17
2019-06-16,479.0,717.25,811.67,1910.92
2019-06-23,573.43,719.8,1086.54,2190.16
2019-06-30,733.71,566.47,984.51,1852.87
2019-07-07,567.57,469.67,851.46,1571.43
2019-07-14,522.0,720.4,1020.33,2125.09
2019-07-21,487.14,865.73,1041.94,2369.3
2019-07-28,637.71,805.41,1231.93,2466.91
2019-08-04,551.5,821.54,1064.91,2324.51
2019-08-11,551.14,1083.09,1048.16,2708.86
2019-08-18,450.15,913.01,912.17,2312.04
2019-08-25,881.7,928.43,1405.14,2828.86
2019-09-01,694.04,752.66,1242.8,2396.89
2019-09-08,455.39,477.39,694.7,1426.76
2019-09-15,556.36,871.13,1039.83,2375.59
2019-09-22,682.14,868.19,1205.59,2536.8
2019-09-29,487.6,1061.26,948.64,2575.99
2019-10-06,556.62,1235.09,1101.84,2995.47
2019-10-13,511.57,1003.47,1041.67,2580.37
2019-10-20,583.43,926.83,1184.61,2605.79
2019-10-27,716.57,1433.59,1217.66,3415.77
2019-11-03,760.86,1339.03,1316.13,3369.14
2019-11-10,740.57,1763.8,1376.61,4081.17
2019-11-17,717.0,1508.24,1290.09,3602.88
