MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,285.16,704.09,1141.26,384.0
2018-01-14,518.71,821.9,1617.22,621.18
2018-01-21,171.54,747.32,1010.26,307.82
2018-01-28,207.16,716.36,1034.08,318.07
2018-02-04,314.62,838.24,1320.53,333.86
2018-02-11,306.81,810.86,1281.24,390.43
2018-02-18,352.21,916.67,1456.68,439.71
2018-02-25,244.06,733.98,1108.24,594.93
2018-03-04,207.97,777.36,1096.25,805.36
2018-03-11,304.2,924.75,1391.18,544.55
2018-03-18,191.85,693.14,987.3,545.98
2018-03-25,107.36,447.75,611.98,572.01
2018-04-01,81.92,416.2,541.07,410.96
2018-04-08,157.83,584.61,826.57,469.94
2018-04-15,238.19,797.91,1163.28,664.49
2018-04-22,205.56,827.61,1142.7,686.33
2018-04-29,116.93,439.71,619.11,412.24
2018-05-06,184.98,764.74,1048.34,508.43
2018-05-13,174.01,724.44,991.14,553.41
2018-05-20,172.79,514.97,780.12,512.56
2018-05-27,178.92,743.67,1017.89,744.64
2018-06-03,103.78,586.09,745.28,602.68
2018-06-10,90.39,377.67,516.21,455.14
2018-06-17,99.67,420.65,573.51,362.14
2018-06-24,106.01,402.82,565.28,350.36
2018-07-01,87.8,455.34,590.14,460.43
2018-07-08,84.52,589.61,719.41,544.36
2018-07-15,97.61,493.34,643.01,406.79
2018-07-22,109.41,658.41,826.04,406.29
2018-07-29,101.77,535.11,691.04,477.46
2018-08-05,120.94,510.79,696.09,358.86
2018-08-12,142.4,606.36,824.76,333.64
2018-08-19,112.56,422.43,595.18,304.29
2018-08-26,158.79,497.49,741.08,255.57
2018-09-02,220.37,720.86,1058.72,381.21
2018-09-09,158.76,666.21,909.68,364.36
2018-09-16,277.8,605.53,1031.48,326.14
2018-09-23,84.59,408.2,537.96,367.89
2018-09-30,482.74,918.7,1658.95,447.07
2018-10-07,318.04,769.31,1256.94,424.97
2018-10-14,223.61,684.6,1027.34,452.53
2018-10-21,723.11,1013.92,2122.75,471.36
2018-10-28,228.83,734.91,1085.78,334.64
2018-11-04,504.51,951.79,1725.37,410.93
2018-11-11,449.32,698.52,1387.59,479.86
2018-11-18,300.46,794.06,1254.78,447.75
2018-11-25,721.59,908.44,2014.94,613.57
2018-12-02,180.25,623.89,900.19,289.04
2018-12-09,246.9,703.65,1082.21,303.43
2018-12-16,457.98,960.19,1662.46,509.4
2018-12-23,119.76,648.9,832.56,313.96
2018-12-30,1160.25,1053.84,2832.84,531.0
2019-01-06,161.96,783.09,1031.19,436.93
2019-01-13,224.74,778.66,1123.19,422.0
2019-01-20,291.54,852.77,1299.74,433.71
2019-01-27,682.75,1011.73,2058.61,464.93
2019-02-03,576.54,995.25,1879.34,406.21
2019-02-10,184.89,602.4,885.84,260.79
2019-02-17,612.66,1107.41,2046.82,637.11
2019-02-24,395.49,943.26,1549.73,622.5
2019-03-03,886.21,1239.19,2598.14,848.64
2019-03-10,76.53,464.07,581.45,306.96
2019-03-17,54.72,373.78,457.68,258.71
2019-03-24,152.87,793.32,1027.71,379.29
2019-03-31,370.32,1033.86,1601.67,724.0
2019-04-07,133.31,665.74,870.08,502.36
2019-04-14,158.77,662.29,905.77,572.79
2019-04-21,189.21,989.59,1279.67,1055.29
2019-04-28,111.61,675.67,846.77,605.71
2019-05-05,133.34,688.66,893.11,412.64
2019-05-12,125.06,654.94,846.66,346.86
2019-05-19,130.35,629.14,829.09,423.21
2019-05-26,85.96,563.73,695.44,338.0
2019-06-02,86.35,380.31,512.61,277.18
2019-06-09,87.37,459.08,593.07,316.36
2019-06-16,93.64,457.06,600.59,225.36
2019-06-23,95.69,551.86,698.59,358.21
2019-06-30,111.82,488.52,659.96,483.21
2019-07-07,93.85,464.66,608.54,351.36
2019-07-14,83.72,394.11,522.39,359.71
2019-07-21,72.47,351.31,462.47,332.0
2019-07-28,91.24,533.33,673.09,490.29
2019-08-04,70.32,406.44,514.2,397.71
2019-08-11,53.49,274.39,356.42,388.46
2019-08-18,69.71,401.0,507.92,272.93
2019-08-25,97.51,684.73,834.21,544.93
2019-09-01,81.04,619.14,743.4,475.14
2019-09-08,90.43,523.75,662.39,347.39
2019-09-15,172.56,701.16,965.85,392.68
2019-09-22,215.26,814.63,1144.59,522.82
2019-09-29,80.62,386.69,510.3,295.71
2019-10-06,258.42,673.7,1069.92,364.64
2019-10-13,97.18,488.51,637.6,301.07
2019-10-20,188.81,685.54,974.94,344.93
2019-10-27,489.12,783.68,1533.66,461.43
2019-11-03,269.72,757.39,1170.98,463.21
2019-11-10,504.49,898.16,1671.78,487.54
2019-11-17,473.27,876.54,1602.26,325.8
2019-11-24,798.47,1020.6,2244.8,371.06
2019-12-01,421.61,905.21,1551.56,413.38
2019-12-08,804.42,1011.32,2244.69,448.08
2019-12-15,114.71,639.19,815.11,368.93
2019-12-22,243.96,796.31,1170.49,338.64
2019-12-29,314.82,678.38,1160.99,460.0
2020-01-05,278.04,785.7,1211.99,565.19
2020-01-12,89.08,555.32,691.91,398.73
2020-01-19,168.43,688.6,946.91,375.36
2020-01-26,1021.93,1265.76,2832.75,721.43
2020-02-02,90.58,511.4,650.24,348.18
2020-02-09,442.22,664.09,1342.26,618.5
2020-02-16,86.16,385.82,517.97,334.73
2020-02-23,60.47,376.88,469.42,394.2
2020-03-01,75.11,434.66,549.69,338.57
2020-03-08,189.19,640.81,930.93,442.43
2020-03-15,75.62,410.91,526.93,336.14
2020-03-22,116.4,494.3,672.89,459.14
2020-03-29,146.96,540.46,765.78,718.0
2020-04-05,89.66,509.77,647.11,464.57
2020-04-12,159.46,869.91,1114.4,919.86
2020-04-19,75.99,513.58,630.02,634.86
2020-04-26,72.54,487.42,598.81,685.68
2020-05-03,170.87,475.5,737.68,358.71
2020-05-10,164.35,512.03,763.99,566.72
2020-05-17,114.61,349.97,525.73,339.14
2020-05-24,100.8,276.43,430.96,423.64
2020-05-31,105.75,306.39,468.64,388.79
2020-06-07,146.75,337.08,562.22,313.93
2020-06-14,213.45,416.24,743.39,375.21
2020-06-21,120.86,397.56,573.85,281.79
2020-06-28,75.99,442.22,558.86,506.29
2020-07-05,53.09,240.01,321.61,286.64
2020-07-12,78.01,363.33,482.82,303.57
2020-07-19,61.2,331.18,424.93,333.14
2020-07-26,54.33,312.46,395.81,367.79
2020-08-02,58.54,353.74,443.49,430.64
2020-08-09,95.58,536.24,682.79,589.14
2020-08-16,56.81,573.83,660.96,843.46
2020-08-23,53.24,285.31,366.85,440.83
2020-08-30,160.63,423.81,669.27,359.71
