MeasurementDateGMT,NO,NO2,NOX,PM10,O3,PM25
2018-01-07,423.08,801.75,1450.35,376.89,1055.36,203.0
2018-01-14,873.86,1048.32,2388.29,576.07,367.8,103.71
2018-01-21,392.07,881.9,1483.15,270.5,985.63,152.86
2018-01-28,413.38,849.06,1482.94,302.14,935.36,184.57
2018-02-04,620.95,902.04,1854.17,313.82,831.43,223.86
2018-02-11,589.02,847.36,1750.5,323.57,817.61,267.14
2018-02-18,622.79,1180.13,2134.91,466.5,902.89,277.93
2018-02-25,441.38,962.55,1639.5,516.39,879.07,428.86
2018-03-04,324.66,942.74,1440.66,691.46,1013.94,600.43
2018-03-11,672.69,1326.62,2358.11,517.07,898.66,258.25
2018-03-18,385.2,891.01,1481.74,457.1,1071.61,260.77
2018-03-25,315.56,781.78,1265.89,509.04,1218.87,258.42
2018-04-01,388.21,999.86,1595.14,291.11,1158.44,256.07
2018-04-08,293.38,853.96,1303.81,427.6,1348.36,253.72
2018-04-15,332.29,915.74,1425.24,760.37,916.69,251.37
2018-04-22,386.03,1042.17,1633.99,777.14,1569.86,249.02
2018-04-29,304.57,735.01,1201.75,315.86,1476.16,246.67
2018-05-06,268.49,830.3,1241.67,481.93,1442.33,244.32
2018-05-13,168.18,615.51,872.77,574.14,1509.44,241.97
2018-05-20,246.93,596.75,975.3,433.39,1502.56,239.62
2018-05-27,203.95,688.53,1001.16,774.29,1738.93,237.27
2018-06-03,163.07,697.45,947.34,572.4,1534.4,234.92
2018-06-10,202.82,508.88,819.8,485.67,1419.77,232.57
2018-06-17,287.24,676.45,1117.36,340.21,1216.25,230.22
2018-06-24,216.39,498.38,830.18,296.29,1353.8,227.87
2018-07-01,176.47,599.26,869.83,453.36,1649.39,225.52
2018-07-08,161.32,738.5,985.84,526.43,1910.49,223.17
2018-07-15,200.52,651.54,958.96,389.56,1620.01,220.82
2018-07-22,272.18,881.85,1299.2,402.52,1440.56,218.46
2018-07-29,213.84,724.5,1052.36,496.37,1482.53,216.11
2018-08-05,215.34,565.74,895.81,343.84,1095.58,213.76
2018-08-12,282.7,721.98,1155.42,314.68,1107.53,211.41
2018-08-19,217.24,421.36,754.49,280.79,840.89,209.06
2018-08-26,294.76,497.94,949.96,240.91,719.29,206.71
2018-09-02,362.6,728.22,1284.12,369.59,864.06,204.36
2018-09-09,273.71,619.46,1039.24,334.43,1012.06,202.01
2018-09-16,429.91,656.19,1315.35,319.39,859.19,199.66
2018-09-23,184.29,464.97,747.41,387.43,1191.4,197.31
2018-09-30,913.2,1046.14,2446.31,366.64,605.24,194.96
2018-10-07,609.39,777.68,1700.24,325.71,594.0,184.11
