MeasurementDateGMT,PM10,PM25,NO,NO2,NOX,O3
2018-01-07,361.69,172.43,370.78,585.41,1153.78,1180.26
2018-01-14,523.43,463.06,873.52,834.91,2174.21,463.47
2018-01-21,281.64,139.31,344.04,670.32,1197.8,1176.33
2018-01-28,318.7,157.53,455.05,621.83,1319.66,1129.51
2018-02-04,351.36,167.29,533.97,810.32,1629.09,920.04
2018-02-11,470.22,208.57,665.35,906.48,1926.82,978.2
2018-02-18,385.9,182.99,503.99,804.2,1576.95,1049.6
2018-02-25,639.02,479.54,554.03,963.19,1812.76,934.52
2018-03-04,809.27,644.44,484.49,1030.28,1773.14,959.96
2018-03-11,434.7,278.29,492.12,874.02,1628.49,1033.54
2018-03-18,444.14,324.04,487.1,782.0,1528.79,1179.0
2018-03-25,623.15,352.3,449.98,853.57,1543.53,1302.06
2018-04-01,340.25,169.56,401.84,740.44,1356.66,1279.56
2018-04-08,407.67,230.03,317.51,594.8,1081.63,1397.73
2018-04-15,710.55,625.77,504.08,905.62,1678.64,821.91
2018-04-22,710.65,389.21,434.26,861.42,1526.87,1630.44
2018-04-29,349.66,156.16,240.5,524.81,893.34,1537.76
2018-05-06,451.21,298.51,361.98,806.06,1361.08,1519.06
2018-05-13,536.5,342.47,242.18,695.94,1067.54,1441.01
2018-05-20,463.3,266.46,290.29,652.09,1097.03,1580.77
2018-05-27,688.68,554.27,311.09,761.32,1238.42,1730.44
2018-06-03,368.53,411.98,236.43,654.89,1018.27,1373.76
2018-06-10,494.9,351.52,295.3,725.92,1178.91,1471.56
2018-06-17,395.11,194.01,259.95,548.2,946.88,1322.97
2018-06-24,388.29,174.01,271.64,476.97,893.5,1251.99
2018-07-01,495.9,287.21,204.53,628.65,942.42,1827.86
2018-07-08,525.17,324.4,219.59,742.1,1078.94,1931.24
2018-07-15,440.35,242.38,281.56,671.25,1103.03,1542.36
2018-07-22,468.5,237.93,225.94,619.73,966.13,1588.26
2018-07-29,563.3,245.17,175.41,528.02,797.04,1505.66
2018-08-05,340.83,185.69,212.44,506.9,832.7,1187.88
2018-08-12,334.2,191.74,229.65,558.45,910.49,1152.59
2018-08-19,304.68,170.83,199.74,417.78,723.97,850.29
2018-08-26,277.1,151.46,218.38,455.66,790.44,776.16
2018-09-02,359.27,236.94,374.0,723.08,1296.53,875.81
2018-09-09,386.01,249.47,303.85,710.66,1176.42,1136.83
2018-09-16,334.7,181.78,390.66,536.19,1135.49,965.38
2018-09-23,345.46,189.14,164.83,393.86,646.67,1264.46
2018-09-30,410.4,234.86,756.79,952.86,2113.28,679.97
2018-10-07,354.85,206.01,429.89,693.34,1352.47,729.66
2018-10-14,380.37,252.37,382.28,626.33,1214.61,1100.24
2018-10-21,432.65,306.42,835.25,914.7,2195.53,536.23
2018-10-28,339.48,138.78,536.79,786.0,1608.87,817.13
2018-11-04,404.26,262.24,811.75,904.77,2149.48,576.4
2018-11-11,428.28,251.89,521.62,609.0,1409.11,852.61
2018-11-18,442.28,281.74,466.64,800.03,1515.41,591.19
2018-11-25,582.93,535.99,1035.68,1054.95,2642.97,325.3
2018-12-02,295.29,156.97,328.78,603.41,1107.51,1038.77
2018-12-09,281.73,135.85,436.79,695.64,1365.49,1057.8
2018-12-16,438.05,310.28,798.74,1023.48,2248.21,490.47
2018-12-23,296.1,126.82,302.38,627.72,1091.45,1206.27
2018-12-30,476.61,429.23,1155.66,952.16,2724.45,318.03
2019-01-06,460.13,331.54,408.17,953.52,1579.38,863.19
2019-01-13,475.87,292.91,528.05,888.82,1698.42,771.2
2019-01-20,438.29,273.56,564.35,921.1,1786.34,812.01
2019-01-27,496.9,393.61,1119.85,1054.28,2771.53,694.37
2019-02-03,415.35,280.41,818.34,1038.69,2293.53,744.16
2019-02-10,301.11,173.19,403.15,639.66,1257.94,1230.56
2019-02-17,628.61,438.16,1153.43,1114.31,2882.88,657.37
2019-02-24,593.99,400.61,698.14,969.17,2039.55,861.4
2019-03-03,826.18,555.22,1377.68,1263.02,3375.31,809.07
2019-03-10,283.93,135.34,219.26,527.07,863.26,1547.8
2019-03-17,258.26,128.64,182.05,466.82,745.89,1651.6
2019-03-24,365.14,204.19,395.66,853.68,1460.35,1055.19
2019-03-31,561.9,471.68,753.6,1160.53,2315.98,1128.86
2019-04-07,417.56,422.03,305.8,783.15,1252.2,1246.47
2019-04-14,458.38,501.71,335.53,874.02,1388.61,1493.71
2019-04-21,764.52,912.87,327.48,962.76,1464.84,1325.59
2019-04-28,523.82,407.86,152.72,616.15,850.38,1568.35
2019-05-05,464.53,284.1,295.95,729.88,1183.37,1343.69
2019-05-12,357.45,388.94,272.19,668.8,1085.95,1373.5
2019-05-19,508.22,422.79,293.69,792.36,1242.97,1412.91
2019-05-26,379.94,231.35,248.51,646.98,1028.27,1452.47
2019-06-02,291.46,172.73,217.1,423.23,756.07,1130.13
2019-06-09,358.44,165.67,185.09,496.21,779.95,1274.78
2019-06-16,263.73,158.2,224.92,482.3,827.08,1171.92
2019-06-23,388.46,217.04,283.25,630.75,1065.18,1299.44
2019-06-30,472.83,334.29,203.07,559.16,870.58,1346.16
2019-07-07,361.36,208.4,431.15,716.04,1376.95,1227.43
2019-07-14,327.7,204.19,221.02,587.44,926.56,1344.71
2019-07-21,327.68,180.21,189.63,499.61,790.29,1187.07
2019-07-28,411.69,258.03,197.96,603.19,906.84,1241.9
2019-08-04,319.85,220.44,134.44,455.11,661.2,1366.57
2019-08-11,335.75,190.73,143.5,326.2,546.32,1282.44
2019-08-18,268.4,144.16,168.22,397.34,655.38,1000.49
2019-08-25,483.13,315.44,217.62,629.58,963.15,1314.19
2019-09-01,410.01,264.08,176.22,575.18,845.29,1345.83
2019-09-08,330.12,156.96,217.95,533.79,867.79,1078.17
2019-09-15,347.64,197.1,297.62,652.88,1109.21,858.4
2019-09-22,461.29,252.36,363.96,811.61,1369.74,890.66
2019-09-29,243.63,123.91,166.29,342.3,597.43,1126.33
2019-10-06,312.74,184.64,386.88,626.53,1219.74,833.8
2019-10-13,292.91,147.31,214.28,454.66,783.07,1070.63
2019-10-20,347.33,158.86,402.36,659.9,1276.22,860.03
2019-10-27,560.09,201.79,777.59,812.68,2005.17,692.33
2019-11-03,489.79,316.76,431.73,778.38,1440.33,731.19
2019-11-10,420.06,280.53,624.74,829.12,1787.11,510.61
2019-11-17,390.0,451.23,641.08,835.7,1818.74,630.16
2019-11-24,451.09,354.73,824.15,974.5,2238.11,399.56
2019-12-01,367.7,237.16,701.64,856.29,1932.05,708.47
2019-12-08,467.71,433.54,1178.84,910.03,2717.49,750.29
2019-12-15,378.54,134.73,270.33,537.64,952.17,1208.29
2019-12-22,335.41,143.09,370.25,718.63,1286.29,948.33
2019-12-29,401.92,229.56,332.93,602.98,1113.46,832.67
2020-01-05,471.53,335.69,283.21,675.74,1110.11,736.96
2020-01-12,344.01,155.73,202.95,482.34,793.61,1249.16
2020-01-19,349.61,173.24,393.71,656.92,1260.67,1116.63
2020-01-26,684.17,503.37,1295.96,1062.24,3049.46,351.8
2020-02-02,314.21,117.92,182.47,444.63,724.55,1395.83
2020-02-09,538.32,282.74,731.2,802.1,1923.26,806.91
2020-02-16,292.34,120.31,197.36,402.34,704.67,1467.13
2020-02-23,334.64,141.43,159.15,360.53,604.84,1557.66
2020-03-01,274.34,106.26,173.2,425.82,691.46,1422.49
2020-03-08,443.25,187.48,353.81,623.07,1166.03,1197.36
2020-03-15,340.69,102.61,141.39,334.21,551.19,1573.97
2020-03-22,389.89,185.31,186.44,469.76,755.49,1364.79
2020-03-29,621.34,444.69,162.48,614.04,863.19,1520.99
2020-04-05,362.94,188.97,121.06,478.34,664.02,1514.71
2020-04-12,816.87,577.39,125.29,754.8,946.94,1508.42
2020-04-19,594.62,359.44,73.34,467.92,580.39,1502.13
2020-04-26,651.56,333.36,67.29,472.17,575.33,1495.84
2020-05-03,350.03,154.56,74.97,315.72,430.57,1554.61
2020-05-10,512.21,276.04,61.71,404.71,499.25,2006.61
2020-05-17,349.28,133.11,56.0,232.6,318.41,1440.77
