MeasurementDateGMT,NO,NO2,NOX,PM10,O3
2018-01-07,266.82,544.09,955.22,391.12,1005.1
2018-01-14,581.09,725.31,1616.63,649.02,327.01
2018-01-21,233.19,573.89,931.73,298.15,980.79
2018-01-28,281.77,566.62,999.0,352.9,875.53
2018-02-04,346.79,655.7,1187.75,401.8,740.26
2018-02-11,421.6,695.85,1342.61,452.42,718.15
2018-02-18,306.13,637.59,1107.26,421.74,826.54
2018-02-25,436.51,722.69,1392.26,729.6,760.6
2018-03-04,414.07,735.07,1370.32,890.93,832.16
2018-03-11,328.11,698.1,1201.47,492.78,823.51
2018-03-18,295.73,614.46,1068.25,475.07,982.49
2018-03-25,361.44,688.69,1243.19,667.06,1084.31
2018-04-01,252.27,622.27,1009.4,308.24,1145.77
2018-04-08,224.77,552.73,897.73,403.35,1205.39
2018-04-15,404.04,735.62,1355.44,842.81,699.16
2018-04-22,303.81,690.49,1156.57,776.44,1297.42
2018-04-29,232.24,496.32,852.72,308.37,1354.74
2018-05-06,286.98,705.79,1146.23,446.33,1344.08
2018-05-13,240.35,634.49,1003.33,554.93,1394.51
2018-05-20,381.2,691.36,1276.24,623.38,1333.12
2018-05-27,358.0,728.33,1277.57,901.77,1495.04
2018-06-03,304.17,656.21,1122.92,706.36,1219.49
2018-06-10,364.63,637.78,1197.14,600.56,1288.49
2018-06-17,240.24,481.04,849.74,400.63,1216.76
2018-06-24,245.15,471.4,847.61,405.15,1107.94
2018-07-01,311.19,629.72,1107.27,669.33,1546.63
2018-07-08,305.74,637.03,1106.07,542.63,1545.27
2018-07-15,277.79,578.56,1004.71,258.56,1272.87
2018-07-22,264.71,552.07,958.29,257.13,1403.31
2018-07-29,264.83,535.76,942.25,321.34,1280.73
2018-08-05,294.59,524.39,976.49,272.13,976.5
2018-08-12,306.18,525.62,995.64,293.35,974.1
2018-08-19,227.41,429.39,778.66,312.41,776.04
2018-08-26,239.27,440.02,807.22,309.01,728.96
2018-09-02,339.89,619.39,1140.88,485.57,852.63
2018-09-09,293.13,597.16,1046.97,524.48,1009.63
2018-09-16,273.07,482.62,901.64,387.73,877.59
2018-09-23,174.72,391.58,659.79,392.99,1114.9
2018-09-30,446.65,743.16,1428.33,516.24,673.56
2018-10-07,341.47,608.36,1132.32,428.55,667.1
2018-10-14,265.47,537.07,944.42,507.54,1001.5
2018-10-21,573.17,746.97,1626.15,586.78,445.58
2018-10-28,349.98,647.12,1184.1,388.06,734.26
2018-11-04,452.01,700.8,1394.21,493.44,514.94
2018-11-11,377.19,505.09,1083.73,543.53,811.36
2018-11-18,343.01,602.03,1128.32,537.34,539.31
2018-11-25,701.59,763.03,1839.14,912.36,327.27
2018-12-02,248.32,501.11,882.19,340.22,889.83
2018-12-09,225.58,512.15,858.26,312.13,985.11
2018-12-16,437.65,700.06,1371.46,577.04,487.09
2018-12-23,151.63,443.26,676.06,326.54,1095.39
2018-12-30,636.48,707.88,1684.14,619.44,346.37
2019-01-06,360.15,680.55,1233.13,532.84,835.07
2019-01-13,352.21,652.7,1193.1,492.36,761.78
2019-01-20,338.25,691.53,1210.54,519.1,722.24
2019-01-27,489.72,730.32,1481.51,575.43,673.24
2019-02-03,473.69,764.03,1490.66,499.95,694.57
2019-02-10,173.38,442.28,708.44,283.43,1105.01
2019-02-17,461.24,747.15,1454.71,718.62,657.17
2019-02-24,397.66,674.58,1284.63,713.11,753.97
2019-03-03,758.89,821.72,1985.64,1089.59,757.04
2019-03-10,134.92,388.82,596.01,295.42,1454.36
2019-03-17,133.78,367.72,573.08,275.54,1583.24
2019-03-24,199.66,578.07,884.46,423.56,948.48
2019-03-31,447.12,809.62,1495.5,835.55,1004.61
2019-04-07,269.17,609.02,1022.13,644.96,1122.48
