MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25
2018-01-07,780.56,1020.18,2217.01,838.63,488.36,188.74
2018-01-14,1327.67,1197.62,3233.25,297.49,766.24,523.17
2018-01-21,779.09,1196.46,2391.07,767.44,435.44,168.91
2018-01-28,1001.96,1208.4,2744.78,659.86,518.24,202.19
2018-02-04,1210.25,1329.75,3185.35,640.43,502.11,197.48
2018-02-11,1331.36,1407.24,3448.68,603.9,719.67,256.99
2018-02-18,1138.5,1403.97,3149.6,526.39,690.46,257.34
2018-02-25,1053.53,1168.34,2783.79,679.17,743.81,459.63
2018-03-04,692.63,1067.58,2129.6,765.99,886.16,616.69
2018-03-11,1037.73,1343.18,2934.4,554.07,611.19,273.03
2018-03-18,889.24,1098.95,2462.39,718.24,560.28,274.37
2018-03-25,1097.28,1240.76,2923.19,778.09,807.76,373.54
2018-04-01,996.16,1280.81,2806.57,683.94,512.32,224.32
2018-04-08,615.97,1023.67,1968.11,733.56,598.36,291.44
2018-04-15,1027.04,1087.84,2662.52,462.39,990.43,720.1
2018-04-22,778.35,1252.53,2446.0,825.16,970.08,546.31
2018-04-29,755.35,939.47,2097.56,876.8,449.19,194.02
2018-05-06,949.01,1245.78,2700.87,1023.92,691.56,381.81
2018-05-13,904.01,1281.08,2667.11,956.94,795.72,479.6
2018-05-20,726.46,1106.61,2220.52,995.89,682.81,325.0
2018-05-27,661.49,1287.78,2302.13,1074.76,1000.99,674.17
2018-06-03,520.59,1150.08,1948.3,864.99,745.49,613.75
2018-06-10,686.67,939.24,1992.45,1072.37,672.5,335.54
2018-06-17,789.22,1039.65,2249.85,793.57,489.14,211.09
2018-06-24,725.94,971.5,2084.56,688.19,470.57,262.19
2018-07-01,457.71,998.23,1700.03,1246.31,561.91,334.44
2018-07-08,522.01,1266.37,2066.99,1187.86,680.48,301.89
2018-07-15,616.39,1084.45,2029.58,940.73,551.9,284.86
2018-07-22,652.69,1336.36,2337.19,827.26,517.14,267.84
2018-07-29,525.21,1053.58,1859.05,768.03,539.09,250.81
2018-08-05,609.26,941.67,1875.91,661.11,479.15,233.79
2018-08-12,756.12,1124.42,2283.77,644.31,486.22,177.9
2018-08-19,748.22,893.68,2040.87,515.81,325.21,158.4
2018-08-26,847.72,990.37,2290.24,443.56,320.67,159.9
2018-09-02,915.98,1194.15,2598.6,557.63,424.74,255.44
2018-09-09,880.24,1242.39,2592.1,693.81,457.53,261.89
2018-09-16,998.69,1067.54,2598.99,574.71,417.37,195.13
2018-09-23,560.52,875.27,1734.69,731.24,880.43,164.22
2018-09-30,1701.81,1664.67,4273.95,412.46,617.62,302.27
2018-10-07,1287.67,1302.02,3276.67,424.61,399.17,249.39
2018-10-14,690.64,1082.97,2141.97,600.5,438.84,305.73
2018-10-21,1774.78,1442.97,4164.33,383.74,610.89,423.75
2018-10-28,1404.79,1401.0,3554.96,556.76,421.59,218.91
2018-11-04,1529.39,1418.14,3763.15,400.99,466.45,304.71
2018-11-11,860.69,1013.91,2333.5,447.16,487.87,339.76
2018-11-18,863.13,1101.14,2424.67,296.79,462.96,319.51
2018-11-25,1443.29,1202.85,3415.78,278.85,633.11,540.47
2018-12-02,1218.42,1255.44,3123.62,399.96,333.71,195.87
2018-12-09,897.34,1121.31,2497.19,616.16,305.69,181.98
2018-12-16,1089.08,1263.87,2934.57,327.51,565.56,380.07
2018-12-23,601.49,1061.49,1983.81,628.19,340.9,156.44
2018-12-30,1918.7,1437.29,4379.16,181.77,599.73,498.57
2019-01-06,1110.01,1434.15,3136.14,452.72,504.96,334.79
2019-01-13,1315.34,1358.89,3375.69,450.09,523.04,289.13
2019-01-20,1036.58,1305.57,2894.98,448.09,463.1,276.9
2019-01-27,1684.63,1549.36,4132.31,376.9,561.56,411.3
2019-02-03,1446.77,1505.77,3724.12,401.59,474.0,284.27
2019-02-10,620.17,984.39,1935.23,555.04,258.14,156.47
2019-02-17,1393.01,1444.93,3580.92,258.18,771.14,491.66
2019-02-24,906.64,1171.9,2562.21,348.29,677.57,497.87
2019-03-03,1546.75,1480.68,3852.18,366.74,962.06,700.23
2019-03-10,483.99,821.76,1563.88,747.46,259.69,135.69
2019-03-17,471.56,763.84,1486.82,838.26,203.1,113.67
2019-03-24,800.64,1115.58,2343.3,439.44,413.7,289.96
2019-03-31,1036.96,1287.11,2877.15,643.17,737.57,525.5
2019-04-07,516.57,887.08,1679.17,652.46,499.89,379.42
2019-04-14,517.86,927.56,1721.66,833.81,567.3,447.57
2019-04-21,483.46,1184.5,1925.82,770.52,1031.71,901.53
2019-04-28,366.91,961.09,1523.66,390.65,648.08,445.07
2019-05-05,668.74,1110.53,2135.86,260.52,509.21,322.66
2019-05-12,547.79,1017.38,1857.32,345.78,431.03,249.84
2019-05-19,421.87,872.96,1519.75,431.04,498.26,324.01
2019-05-26,681.06,1081.58,2125.96,516.3,425.43,252.56
2019-06-02,447.59,696.74,1382.92,690.44,312.42,198.69
2019-06-09,373.03,746.56,1318.65,898.55,360.44,177.31
2019-06-16,471.31,824.66,1547.29,738.31,304.27,189.59
2019-06-23,523.81,866.84,1670.05,824.69,395.78,255.36
2019-06-30,391.97,732.92,1333.94,907.57,468.17,258.59
2019-07-07,558.06,864.56,1720.24,706.45,526.76,238.82
2019-07-14,499.73,840.68,1606.98,746.36,537.96,248.61
2019-07-21,470.91,777.58,1499.67,665.66,549.15,256.61
2019-07-28,510.07,950.65,1732.82,753.93,560.35,249.52
2019-08-04,376.79,698.1,1275.81,792.31,571.54,220.4
2019-08-11,286.83,493.5,933.48,714.59,582.74,191.28
2019-08-18,448.97,678.59,1366.93,493.9,593.93,162.16
2019-08-25,424.16,938.49,1588.7,722.91,605.13,133.04
2019-09-01,442.84,947.24,1626.23,665.99,616.32,103.92
2019-09-08,578.11,808.61,1694.94,539.42,627.52,128.58
2019-09-15,646.51,906.97,1898.31,434.84,638.71,240.68
2019-09-22,658.41,972.24,1981.79,483.87,649.91,201.55
2019-09-29,377.65,615.81,1194.93,584.99,661.1,103.7
2019-10-06,762.56,878.54,2047.88,482.15,518.7,118.99
2019-10-13,480.6,765.15,1502.07,616.88,304.33,157.23
2019-10-20,666.94,945.64,1968.38,456.11,387.84,206.51
2019-10-27,1189.39,1070.32,2893.89,390.12,515.41,341.67
2019-11-03,647.66,935.04,1927.99,466.47,435.24,313.79
2019-11-10,1159.96,1123.62,2902.01,333.67,490.83,332.87
2019-11-17,1050.56,1111.61,2722.39,394.75,416.49,296.29
2019-11-24,1004.08,1089.88,2629.46,246.09,499.33,366.04
2019-12-01,1032.57,1154.54,2737.8,361.11,365.9,263.17
2019-12-08,1478.24,1229.71,3496.38,506.81,542.04,370.54
2019-12-15,546.04,954.99,1792.09,769.51,311.3,171.9
2019-12-22,639.15,1031.19,2011.28,597.12,301.39,207.76
