MeasurementDateGMT,NO,NO2,NOX,PM10,PM25,CO,O3,SO2
2018-01-07,1943.5,1761.5,4741.52,933.56,274.57,5.91,523.04,131.5
2018-01-14,2892.85,1757.47,6193.17,976.51,422.1,7.56,202.24,167.76
2018-01-21,2242.37,1901.11,5339.46,939.93,317.24,8.11,362.8,212.97
2018-01-28,2324.42,1936.4,5500.52,929.59,302.87,7.19,323.04,180.98
2018-02-04,2324.83,1866.09,5430.84,921.94,278.87,6.7,459.17,161.56
2018-02-11,1934.75,1769.83,4736.57,926.6,282.65,10.29,488.31,133.76
2018-02-18,2909.93,2180.97,6642.88,953.83,325.31,11.3,231.94,232.91
2018-02-25,1967.99,1825.55,4843.2,963.62,384.22,7.25,541.14,103.26
2018-03-04,2055.2,1854.04,5005.31,1008.49,473.75,5.9,581.86,97.96
2018-03-11,2767.36,2252.54,6495.79,953.49,333.62,11.76,280.05,198.45
2018-03-18,2135.97,1904.97,5180.02,938.48,306.95,9.36,635.1,114.5
2018-03-25,1855.82,1927.29,4772.8,966.08,350.04,8.01,611.78,114.14
2018-04-01,2244.13,2178.39,5619.38,917.93,279.86,8.8,525.19,143.4
2018-04-08,1980.18,2098.33,5134.62,937.84,324.96,8.19,484.26,141.39
2018-04-15,2029.95,1899.18,5011.77,1004.08,726.31,7.02,402.4,119.83
2018-04-22,2221.43,2434.43,5840.6,1000.47,515.41,8.43,513.06,145.24
2018-04-29,1882.73,1910.5,4797.42,921.66,226.05,7.89,666.94,136.83
2018-05-06,2045.33,2283.62,5419.74,952.71,332.35,7.51,718.35,133.98
2018-05-13,2054.11,2276.69,5426.37,952.42,363.72,7.86,602.21,132.01
2018-05-20,1309.82,1631.49,3639.96,940.5,246.23,4.95,1056.61,48.38
2018-05-27,1475.23,1790.68,4052.72,995.01,542.93,6.71,1060.0,78.3
2018-06-03,1755.59,1919.11,4611.11,967.53,483.88,7.12,660.49,116.25
2018-06-10,1256.12,1542.48,3468.85,734.4,257.39,4.52,1013.69,43.79
2018-06-17,1579.23,1692.2,4114.36,605.55,207.01,6.79,563.86,107.67
2018-06-24,1365.2,1522.48,3584.18,666.78,232.18,6.64,708.03,96.53
2018-07-01,1438.15,1936.31,4136.6,747.27,261.79,7.1,1106.53,64.4
2018-07-08,1457.95,2115.17,4351.09,814.06,297.51,5.86,1056.32,80.81
2018-07-15,1486.8,1966.62,4246.66,762.13,253.31,5.39,783.77,75.9
2018-07-22,1886.11,2319.99,5212.11,781.14,288.51,7.59,563.39,138.17
2018-07-29,1595.36,2046.15,4492.36,780.39,302.99,7.99,462.79,133.04
2018-08-05,1642.06,1766.52,4284.33,569.38,230.16,7.26,498.8,104.83
2018-08-12,1884.12,1942.25,4831.34,573.46,246.0,7.76,371.49,126.72
2018-08-19,2249.43,1652.97,5102.15,533.07,241.23,7.11,288.44,120.86
2018-08-26,2199.72,1649.64,5022.52,473.24,227.49,8.06,252.03,116.67
2018-09-02,1771.12,1817.63,4533.29,635.38,262.58,8.07,400.4,91.67
2018-09-09,1565.62,1735.45,4136.0,619.5,264.48,5.82,581.21,84.41
2018-09-16,2061.26,1722.73,4883.36,520.87,255.4,7.79,318.76,141.51
2018-09-23,1619.35,1600.97,4083.82,501.73,266.63,8.58,451.6,149.06
2018-09-30,2546.93,2107.35,6012.49,647.54,297.39,8.19,349.3,130.43
2018-10-07,2059.78,1705.64,4863.89,550.39,261.91,7.26,375.89,104.07
2018-10-14,1813.7,1757.01,4538.02,636.68,295.85,6.43,374.73,77.7
2018-10-21,2159.86,1793.12,5105.03,673.68,316.93,9.21,266.86,154.81
2018-10-28,1520.28,1483.38,3814.37,499.84,214.13,7.73,511.37,97.1
2018-11-04,2097.47,1714.5,4930.58,592.79,285.45,7.23,262.77,148.74
2018-11-11,1967.77,1608.54,4625.72,679.92,312.77,9.27,240.3,163.39
2018-11-18,2644.92,1844.16,5899.54,692.07,306.8,9.11,198.43,141.14
2018-11-25,2719.51,1956.09,6126.28,804.56,387.23,5.59,284.2,100.46
2018-12-02,1639.54,1712.46,4226.24,450.19,245.83,8.39,283.09,154.14
2018-12-09,1760.55,1767.79,4467.39,482.95,239.43,8.74,374.44,164.56
2018-12-16,2415.23,1875.12,5578.46,747.07,320.47,8.63,194.84,134.26
2018-12-23,1629.34,1688.48,4186.72,545.51,243.46,9.1,300.76,151.91
2018-12-30,2414.79,1704.9,5407.53,668.3,380.8,10.59,138.61,142.0
2019-01-06,1040.68,1441.25,3021.98,626.97,276.87,5.61,553.9,41.24
2019-01-13,1320.13,1520.59,3521.44,600.19,258.34,6.56,495.64,81.35
2019-01-20,1685.48,1719.05,4281.35,558.28,267.77,7.21,380.49,100.41
2019-01-27,2417.11,1923.53,5585.25,629.98,343.28,10.71,353.1,160.49
2019-02-03,1805.15,1863.71,4592.9,624.35,283.38,9.56,484.09,108.69
2019-02-10,1528.05,1628.26,3962.87,466.18,275.01,9.0,429.44,142.03
2019-02-17,2128.75,2137.54,5363.02,962.44,411.76,7.77,249.59,121.76
2019-02-24,1927.16,2062.59,4987.03,900.96,412.88,9.4,261.67,114.9
2019-03-03,2467.46,2405.81,6124.14,874.29,485.55,6.49,328.13,134.96
2019-03-10,1164.46,1633.56,3423.86,415.98,234.09,7.67,571.02,120.89
2019-03-17,951.01,1452.78,2914.65,401.87,218.94,7.61,786.51,96.06
2019-03-24,1682.65,1823.77,4395.01,493.25,298.75,7.51,421.29,133.16
2019-03-31,1402.69,1940.34,4065.11,745.31,382.15,7.19,743.9,89.66
2019-04-07,1180.43,1699.06,3516.05,602.51,331.91,5.99,749.5,107.19
2019-04-14,770.29,1410.03,2597.49,707.06,356.41,5.86,1073.33,51.04
2019-04-21,674.54,1626.14,2666.14,1017.39,571.49,6.11,967.53,71.94
2019-04-28,1063.61,1599.22,3235.17,670.27,356.59,6.35,916.69,99.26
2019-05-05,898.26,1363.02,2744.64,549.29,283.51,5.74,862.08,70.93
2019-05-12,1026.41,1564.62,3142.2,498.0,288.84,6.69,763.49,100.76
2019-05-19,971.63,1618.38,3111.46,587.7,310.12,5.69,921.84,58.17
2019-05-26,859.77,1484.84,2805.75,474.33,265.53,5.44,855.17,65.06
2019-06-02,901.99,1201.4,2586.21,382.21,263.29,8.06,502.66,92.03
2019-06-09,1038.06,1395.29,2988.14,498.17,228.27,8.2,530.23,107.16
2019-06-16,765.74,1207.44,2382.05,403.62,177.97,6.44,609.99,84.96
2019-06-23,1058.5,1525.57,3148.63,516.79,227.31,5.94,536.44,114.41
2019-06-30,852.03,1328.67,2635.04,603.15,248.58,6.06,811.67,71.45
2019-07-07,700.63,1158.13,2232.41,471.5,201.14,5.57,858.26,43.36
2019-07-14,893.53,1223.44,2593.5,488.66,199.83,6.04,800.63,60.77
2019-07-21,1156.92,1409.42,3183.36,452.73,187.27,6.59,444.13,84.23
2019-07-28,1075.73,1635.13,3284.52,431.29,213.29,7.07,543.71,73.79
2019-08-04,745.93,1086.35,2230.18,386.54,176.36,6.0,724.81,64.31
