Year,Borough, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Sulphur Dioxide (ug/m3), PM10 Particulate (ug/m3), Ozone (ug/m3), PM2.5 Particulate (ug/m3), Carbon Monoxide (mg/m3)
2018,Barking and Dagenham,167.690304284381,517.6014766957201,775.8515928216648,57.39657534246578,488.05974055846025,,,
2019,Barking and Dagenham,164.71305188000255,486.01400275633546,738.5047770413488,64.17945205479451,463.9750539620879,,,
2020,Barking and Dagenham,149.01830601092894,441.0875000000001,669.5492486338796,69.5563980248535,438.8900273224043,,,
2021,Barking and Dagenham,111.53895027624316,427.72348066298355,598.5399171270719,75.78540509891508,500.61740331491706,,,
2018,Bexley,168.29109589041096,575.7384931506849,833.7763470319638,27.565616438356148,424.7760821917809,1110.9619863013697,,
2019,Bexley,183.27196347031972,533.3063470319631,814.2477168949769,58.192465753424635,411.26523287671205,1118.226712328767,,
2020,Bexley,110.08214936247721,430.8198998178506,599.6198542805099,31.05245901639344,394.29010928961776,1211.5673497267762,,
2021,Bexley,97.25055248618787,432.13462246777175,581.2209944751381,133.1859116022099,383.44325966850823,1216.7733425414363,,
2018,Brent,965.0708219178083,1174.8485616438356,2654.6007534246564,,588.7980479452056,499.60671232876814,,
2019,Brent,890.263801369863,1072.3982191780824,2437.438732876711,,554.9911986301369,497.4906849315067,,
2020,Brent,529.2859289617487,814.0548838797815,1625.6204918032786,,476.7623633879781,765.8926229508186,,
2021,Brent,440.5655386740332,784.8648480662984,1460.4069060773484,,518.9604281767956,701.8900552486189,,
2018,Bromley,4.7999999999999705,132.0,141.5999999999991,,,,,
2019,Bromley,14.817397260273944,146.9945205479452,171.89712328767038,,,,,
2020,Bromley,191.63756830601093,509.5490437158468,803.3711748633878,,,,,
2021,Bromley,156.51988950276242,511.6389502762429,751.5801104972369,,,,,
2018,Camden,1517.855993150685,1542.471232876712,3869.889760273976,43.95945205479451,493.19719800747214,834.7572602739731,291.23694063926945,
2019,Camden,1001.8884816518348,1202.9986068893113,2739.1955369463044,25.949315068493156,441.33567870485655,879.9338356164379,286.0225570776254,
2020,Camden,646.2246016313663,908.8571611622974,1899.4500792748577,35.543032786885234,372.36692622950875,1063.4905737704923,226.39949908925314,
2021,Camden,784.0574585635343,960.9904696132586,2171.7573895027663,31.81988950276244,385.90168508287286,1061.4709944751385,232.55819521178637,
2018,City of London,1497.3881735159823,1515.4549315068496,3811.42287671233,,621.9200913242008,,329.0582191780822,
2019,City of London,1053.4949771689498,1355.7872146118718,2971.104200913242,,529.6858447488585,,305.60616438356163,
2020,City of London,406.8772313296904,797.1080601092896,1420.9584244080136,,465.56329690346087,,284.31421911792035,
2021,City of London,259.8015653775322,710.6777163904236,1108.9959484346223,,436.1565377532227,,216.47373371735446,
2018,Croydon,931.5550228310502,964.0873972602735,2392.4372146118726,,493.41835616438345,,269.97945205479454,
2019,Croydon,801.7781173613961,946.4540159418287,2175.816163299923,,513.8801194079824,,242.3931506849315,
2020,Croydon,524.3761488973323,729.0528711691235,1531.7657114631909,,545.7878590603447,,219.01502732240442,
2021,Croydon,434.1308471454881,623.1546961325968,1288.2806629834251,,587.2740331491698,,255.60773480662982,
2018,Ealing,1157.548561643836,1142.333287671233,2917.170684931507,,593.6506849315068,,,
2019,Ealing,1085.6219520547945,1086.7589041095887,2751.3292465753425,,627.060322202739,,,
2020,Ealing,699.0669128896841,819.8773969140333,1891.735723898833,,524.6521206437991,,,
2021,Ealing,593.1646264219648,821.1278189473146,1730.619544491863,,552.6509737037004,,,
2018,Enfield,487.15095890410976,767.5344863013702,1514.1943150684929,,436.37328767123296,,,
2019,Enfield,467.5839726027398,742.4207191780822,1459.3823630136983,,447.90808219178075,,,
2020,Enfield,279.03685109289614,562.4789275956285,990.3214822404373,,352.1491803278687,,,
2021,Enfield,240.8722375690607,561.4173342541437,930.7063535911598,,340.6734806629835,,,
2018,Greenwich,640.9660136986301,896.231424657534,1878.8531369863013,27.458219178082185,476.2420036280067,803.7920273972605,275.1735388127853,
2019,Greenwich,598.0141187896135,851.1440842363525,1768.1063649560415,66.83383561643832,438.3171498418284,769.5733403466286,255.88847772429963,
2020,Greenwich,406.8351001141832,670.8436591632002,1294.70260052198,52.79999999999964,431.5799562390992,918.2054260512868,238.60647057993614,
2021,Greenwich,357.22743093922656,672.416685082873,1220.1015745856353,52.5204419889503,412.39812154696136,805.8907449652469,237.40812558954315,
2018,Hackney,919.8409589041098,1206.7267123287666,2617.1121917808214,,514.7338356164386,757.0549315068496,,
2019,Hackney,756.2671232876711,1131.9500000000003,2291.5472602739733,,533.7764383561648,722.2773972602743,,
2020,Hackney,459.2457650273222,873.9751366120225,1578.003961748634,,452.7073770491801,887.2934426229511,,
2021,Hackney,361.27127071823213,793.5295580110496,1347.2936464088395,,492.8790055248619,1027.963535911602,,
