,Site_Code,Site_Name,Borough
0,A30,Kingston - Kingston Bypass A3,Kingston upon Thames
1,BG1,Barking and Dagenham - Rush Green,Barking and Dagenham
2,BG2,Barking and Dagenham - Scrattons Farm,Barking and Dagenham
3,BG3,Barking and Dagenham - North Street,Barking and Dagenham
4,BL0,Camden - Bloomsbury,Camden
5,BN1,Barnet - Tally Ho Corner,Barnet
6,BN2,Barnet - Finchley,Barnet
7,BN3,Barnet - Strawberry Vale ,Barnet
8,BP0,Westminster - Bridge Place,Westminster
9,BQ5,Bexley - Manor Road West Gravimetric,Bexley
10,BQ6,Bexley - Manor Road East Gravimetric,Bexley
11,BQ7,Bexley - Belvedere West,Bexley
12,BQ8,Bexley - Belvedere West FDMS,Bexley
13,BQ9,Bexley - Slade Green FIDAS,Bexley
14,BT1,Brent - Kingsbury,Brent
15,BT2,Brent - Ikea Car Park,Brent
16,BT3,Brent - Harlesden,Brent
17,BT4,Brent - Ikea,Brent
18,BT5,Brent - Neasden Lane,Brent
19,BT6,Brent - John Keble Primary School,Brent
20,BT7,Brent - St Marys Primary School,Brent
21,BT8,Brent - ARK Franklin Primary Academy,Brent
22,BX0,Bexley - Belvedere FDMS,Bexley
23,BX1,Bexley - Slade Green,Bexley
24,BX2,Bexley - Belvedere,Bexley
25,BX3,Bexley - Thamesmead,Bexley
26,BX4,Bexley - Erith,Bexley
27,BX5,Bexley - Bedonwell ,Bexley
28,BX6,Bexley - Thames Road North FDMS,Bexley
29,BX7,Bexley - Thames Road North,Bexley
30,BX8,Bexley - Thames Road South,Bexley
31,BY1,Bromley - Rent Office,Bromley
32,BY4,Bromley - Tweedy Rd,Bromley
33,BY5,Bromley - Biggin Hill,Bromley
34,BY7,Bromley - Harwood Avenue,Bromley
35,CD1,Camden - Swiss Cottage,Camden
36,CD3,Camden - Shaftesbury Avenue,Camden
37,CD4,Camden - St Martins College (NOX 1),Camden
38,CD5,Camden - St Martins College (NOX 2),Camden
39,CD9,Camden - Euston Road,Camden
40,CR2,Croydon - Purley Way,Croydon
41,CR3,Croydon - Thornton Heath,Croydon
42,CR4,Croydon - George Street,Croydon
43,CR5,Croydon - Norbury,Croydon
44,CR6,Croydon - Euston Road,Croydon
45,CR7,Croydon - Purley Way A23,Croydon
46,CR8,Croydon - Norbury Manor,Croydon
47,CR9,Croydon - Park Lane,Croydon
48,CT1,City of London - Senator House,City of London
49,CT2,City of London - Farringdon Street,City of London
50,CT3,City of London - The Aldgate School,City of London
51,CT4,City of London - Beech Street,City of London
52,CT6,City of London - Walbrook Wharf,City of London
53,CT8,City of London - Upper Thames Street,City of London
54,CY1,Crystal Palace - Crystal Palace Parade,Croydon
55,EA0,Ealing - Acton Town Hall FDMS,Ealing
56,EA1,Ealing - Ealing Town Hall,Ealing
57,EA2,Ealing - Acton Town Hall,Ealing
58,EA6,Ealing - Hanger Lane Gyratory,Ealing
59,EA7,Ealing - Southall,Ealing
60,EA8,Ealing - Horn Lane,Ealing
61,EA9,Ealing - Court Way,Ealing
62,EI0,Ealing - Greenford,Ealing
63,EI1,Ealing - Western Avenue,Ealing
64,EI2,Ealing - Southall Railway,Ealing
65,EI3,Ealing - Acton Vale ,Ealing
66,EI7,Ealing - Southall FDMS,Ealing
67,EI8,Ealing - Horn Lane TEOM,Ealing
68,EN1,Enfield - Bush Hill Park,Enfield
69,EN2,Enfield - Church Street,Enfield
70,EN3,Enfield - Salisbury School,Enfield
71,EN4,Enfield - Derby Road,Enfield
72,EN5,Enfield - Bowes Primary School,Enfield
73,EN7,Enfield - Prince of Wales School,Enfield
74,GB0,Greenwich - Falconwood FDMS,Greenwich
75,GB6,Greenwich - Falconwood,Greenwich
76,GN0,Greenwich - A206 Burrage Grove,Greenwich
77,GN2,Greenwich - Millennium Village,Greenwich
78,GN3,Greenwich - Plumstead High Street,Greenwich
79,GN4,Greenwich - Fiveways Sidcup Rd A20,Greenwich
80,GN5,Greenwich - Trafalgar Road (Hoskins St),Greenwich
81,GN6,Greenwich - John Harrison Way,Greenwich
82,GR4,Greenwich - Eltham,Greenwich
83,GR5,Greenwich - Trafalgar Road,Greenwich
84,GR7,Greenwich - Blackheath,Greenwich
85,GR8,Greenwich - Woolwich Flyover,Greenwich
86,GR9,Greenwich - Westhorne Avenue,Greenwich
87,GV1,Westminster - Ebury Street (Grosvenor),Westminster
88,GV2,Westminster - Duke Street (Grosvenor),Westminster
89,HF1,Hammersmith and Fulham - Broadway,Hammersmith and Fulham
90,HF2,Hammersmith and Fulham - Brook Green,Hammersmith and Fulham
91,HF3,Hammersmith and Fulham - Scrubs Lane,Hammersmith and Fulham
92,HF4,Hammersmith and Fulham - Shepherds Bush,Hammersmith and Fulham
93,HG1,Haringey - Haringey Town Hall,Haringey
94,HG2,Haringey - Priory Park,Haringey
95,HG3,Haringey - Bounds Green,Haringey
96,HG4,Haringey  - Priory Park South,Haringey
97,HI0,Hillingdon - Keats Way,Hillingdon
98,HI1,Hillingdon - South Ruislip,Hillingdon
99,HI2,Hillingdon - Hillingdon Hospital,Hillingdon
100,HI3,Hillingdon - Oxford Avenue,Hillingdon
101,HK4,Hackney - Clapton,Hackney
102,HK6,Hackney - Old Street,Hackney
103,HP1,Lewisham - Honor Oak Park,Lewisham
104,HR1,Harrow - Stanmore,Harrow
105,HR2,Harrow - Pinner Road,Harrow
106,HS1,Hounslow - Brentford,Hounslow
107,HS2,Hounslow - Cranford,Hounslow
108,HS3,Hounslow - Brentford,Hounslow
109,HS4,Hounslow - Chiswick High Road,Hounslow
110,HS5,Hounslow - Brentford,Hounslow
111,HS6,Hounslow - Heston Road,Hounslow
112,HS7,Hounslow - Hatton Cross,Hounslow
113,HS8,Hounslow and Ealing - Gunnersbury Avenue,Hounslow
114,HS9,Hounslow - Feltham,Hounslow
115,HV1,Havering - Rainham,Havering
116,HV2,Havering - Harold Hill,Havering
117,HV3,Havering - Romford,Havering
118,IM1,Camden - Holborn (Bee Midtown),Camden
