MeasurementDateGMT,NO,NO2,NOX,SO2,PM10
2018-01-07,160.46,532.94,778.88,117.6,370.63
2018-01-14,473.9,797.05,1523.59,117.6,601.37
2018-01-21,108.25,649.95,816.04,117.6,298.55
2018-01-28,157.94,617.7,859.94,119.51,302.12
2018-02-04,273.98,749.97,1170.04,96.36,333.66
2018-02-11,325.28,706.56,1204.91,65.19,348.04
2018-02-18,253.42,829.42,1218.0,48.53,396.67
2018-02-25,161.33,676.5,923.98,35.27,610.87
2018-03-04,114.15,659.48,841.71,35.07,401.54
2018-03-11,311.39,801.3,1278.59,23.5,454.29
2018-03-18,167.92,630.28,887.75,17.17,487.94
2018-03-25,262.36,647.81,1049.78,13.03,593.43
2018-04-01,116.85,546.62,725.11,2.6,302.9
2018-04-08,106.84,468.12,631.34,3.46,380.09
2018-04-15,180.0,639.66,915.4,0.14,673.88
2018-04-22,234.16,711.34,1070.4,8.61,704.89
2018-04-29,75.83,381.18,497.64,3.79,301.34
2018-05-06,235.13,711.73,1071.94,34.4,435.11
2018-05-13,152.1,630.17,863.43,26.74,559.1
2018-05-20,101.88,436.47,592.93,34.77,468.49
2018-05-27,53.62,548.4,630.55,77.09,716.56
2018-06-03,48.27,532.46,606.82,54.8,539.06
2018-06-10,39.22,380.92,441.54,70.49,436.85
2018-06-17,54.15,362.13,445.39,84.22,378.96
2018-06-24,55.34,318.39,403.44,97.95,407.8
2018-07-01,47.7,326.2,399.49,112.17,498.53
2018-07-08,56.66,438.27,531.25,91.31,583.49
2018-07-15,64.24,382.87,481.31,77.59,431.43
2018-07-22,83.07,489.3,648.92,87.57,443.21
2018-07-29,46.29,454.48,536.52,89.46,525.66
2018-08-05,147.94,460.42,687.41,108.89,343.73
2018-08-12,87.91,411.83,547.08,95.6,548.26
2018-08-19,76.21,320.54,437.86,72.93,552.54
2018-08-26,119.91,374.47,558.81,52.06,549.64
2018-09-02,139.77,459.47,674.09,35.88,546.74
2018-09-09,88.94,423.63,560.41,25.4,543.84
2018-09-16,203.99,397.45,710.45,21.27,540.94
2018-09-23,55.77,319.31,405.91,10.87,538.04
2018-09-30,379.53,566.78,1149.01,60.21,535.13
2018-10-07,185.32,449.22,733.6,93.51,532.23
2018-10-14,111.6,414.8,586.07,78.16,529.33
2018-10-21,347.97,539.03,1072.73,74.76,526.43
2018-10-28,154.97,495.84,733.47,64.23,523.53
2018-11-04,234.83,506.62,866.59,65.57,520.63
2018-11-11,64.97,327.73,427.14,55.09,517.72
2018-11-18,155.08,458.77,696.51,55.38,514.82
2018-11-25,427.12,523.72,1178.63,60.44,511.92
2018-12-02,93.86,375.88,519.68,44.85,509.02
2018-12-09,149.05,448.08,676.46,22.01,506.12
2018-12-16,385.25,631.25,1221.72,27.44,503.22
2018-12-23,46.33,415.32,486.25,32.84,500.32
2018-12-30,561.49,560.3,1420.96,65.19,497.41
2019-01-06,76.71,511.92,629.29,53.96,494.51
2019-01-13,116.62,516.81,695.25,57.89,447.47
2019-01-20,209.52,579.53,900.47,59.4,427.39
2019-01-27,367.7,593.38,1156.87,60.84,476.49
2019-02-03,381.47,572.72,1157.1,64.73,398.99
2019-02-10,75.86,358.79,474.6,34.89,269.81
2019-02-17,441.96,644.43,1321.58,49.39,683.01
2019-02-24,195.82,589.63,889.26,40.97,609.26
2019-03-03,536.4,706.91,1528.84,61.23,835.77
2019-03-10,44.25,341.17,408.33,32.12,262.84
2019-03-17,30.42,294.17,340.11,29.51,255.7
2019-03-24,66.44,460.16,561.33,34.09,430.51
2019-03-31,294.3,548.47,998.87,86.7,728.41
2019-04-07,60.98,408.27,500.96,101.04,523.31
2019-04-14,43.07,389.79,455.1,98.46,581.61
2019-04-21,217.79,588.98,922.73,105.09,1085.44
2019-04-28,174.82,542.72,810.44,98.61,1290.83
2019-05-05,126.11,469.51,662.14,89.09,1043.15
2019-05-12,77.39,396.3,513.85,83.19,711.11
2019-05-19,43.7,437.2,503.43,82.96,516.57
2019-05-26,45.66,399.07,468.74,115.69,408.61
2019-06-02,44.96,345.51,414.48,86.99,363.47
2019-06-09,44.25,356.46,424.27,88.0,361.49
2019-06-16,41.38,288.68,352.08,87.69,227.3
2019-06-23,54.28,392.31,475.65,87.87,386.3
2019-06-30,41.99,294.4,358.75,80.15,446.8
2019-07-07,49.38,299.14,374.91,72.64,304.0
2019-07-14,57.2,335.61,423.49,53.61,330.68
2019-07-21,59.49,308.94,400.28,56.81,292.24
2019-07-28,103.56,455.61,614.69,58.61,471.11
2019-08-04,40.19,295.99,357.63,56.53,364.11
2019-08-11,34.38,224.73,277.53,64.45,423.67
2019-08-18,55.89,313.78,399.19,45.01,289.46
2019-08-25,82.76,511.88,638.72,45.29,590.69
2019-09-01,70.51,473.2,581.21,54.13,544.06
2019-09-08,81.55,431.55,556.14,61.35,363.56
2019-09-15,129.89,544.92,743.5,42.74,375.87
2019-09-22,157.41,557.16,798.71,49.3,458.27
2019-09-29,107.03,376.56,541.79,38.19,271.35
