MeasurementDateGMT,PM10,NO,NO2,NOX,O3,SO2
2018-01-07,350.1,140.72,468.76,684.49,1221.23,200.66
2018-01-14,607.65,435.26,774.61,1441.9,412.49,9.67
2018-01-21,273.55,76.68,535.56,653.18,1191.51,75.29
2018-01-28,290.58,145.0,534.79,757.18,1132.36,-46.57
2018-02-04,278.39,195.94,672.65,973.06,954.35,-27.09
2018-02-11,332.86,174.52,661.5,929.03,1030.75,-1.05
2018-02-18,387.34,264.51,690.95,1096.48,1013.09,14.69
2018-02-25,599.83,129.69,624.43,823.39,968.51,21.61
2018-03-04,773.4,165.31,700.5,953.95,1031.62,35.56
2018-03-11,405.9,254.86,749.07,1139.88,1020.56,36.07
2018-03-18,412.71,122.58,589.86,777.71,1157.37,24.47
2018-03-25,533.43,136.89,617.28,827.3,1308.05,10.76
2018-04-01,288.07,95.49,615.99,762.41,1287.74,26.04
2018-04-08,331.65,93.42,451.91,595.22,1450.14,28.9
2018-04-15,705.99,110.85,677.4,847.34,921.87,29.96
2018-04-22,702.94,230.19,791.47,1144.51,1465.34,31.79
2018-04-29,258.37,46.88,360.88,432.8,1544.3,14.76
2018-05-06,424.88,113.94,626.77,801.44,1513.88,23.83
2018-05-13,522.62,142.88,640.75,859.7,1484.89,32.67
2018-05-20,484.79,69.04,452.02,557.93,1555.97,25.16
2018-05-27,745.6,56.74,540.74,627.74,1782.19,34.26
2018-06-03,563.58,56.05,524.36,610.27,1493.07,24.67
2018-06-10,488.47,44.92,326.66,395.6,1548.27,23.79
2018-06-17,348.14,64.52,341.29,440.2,1369.09,30.71
2018-06-24,301.96,63.14,274.25,371.11,1247.08,17.66
2018-07-01,520.31,59.57,353.56,444.84,1812.73,23.11
2018-07-08,599.98,55.02,498.56,582.97,1856.5,27.09
2018-07-15,468.54,49.92,406.7,483.21,1471.04,18.59
2018-07-22,420.38,68.55,500.91,605.98,1540.48,23.26
2018-07-29,494.28,52.71,428.51,509.33,1457.04,15.94
2018-08-05,332.08,65.44,374.62,474.82,1165.96,10.11
2018-08-12,330.88,76.94,455.06,572.78,1166.14,22.85
2018-08-19,300.89,55.4,267.84,352.71,867.6,14.87
2018-08-26,266.3,91.25,379.75,519.5,750.5,15.51
2018-09-02,405.32,203.84,627.29,939.69,831.94,26.26
2018-09-09,390.79,104.08,604.31,764.05,1080.46,28.76
2018-09-16,316.16,151.42,516.99,749.11,995.31,22.5
2018-09-23,334.92,39.12,317.85,377.9,1252.65,35.23
2018-09-30,403.68,357.46,853.29,1401.47,748.89,28.81
2018-10-07,347.95,208.9,645.1,965.42,709.96,29.54
2018-10-14,452.63,234.91,570.28,930.51,1031.93,40.71
2018-10-21,473.35,343.2,781.28,1307.54,555.79,25.67
2018-10-28,309.24,157.25,640.02,881.13,832.0,13.26
2018-11-04,422.11,303.53,853.78,1319.15,522.6,36.14
2018-11-11,433.33,322.02,526.08,1019.91,819.46,52.87
2018-11-18,424.9,226.98,678.84,1026.83,586.89,24.91
2018-11-25,617.69,772.19,848.72,2032.64,381.51,50.59
2018-12-02,288.32,111.69,463.11,634.41,1024.86,20.3
2018-12-09,291.57,184.74,545.12,828.45,1094.07,22.47
2018-12-16,539.08,507.76,958.42,1737.09,502.96,39.43
2018-12-23,309.82,64.07,421.59,519.81,1239.18,33.43
2018-12-30,519.68,927.11,854.73,2276.36,369.71,37.31
2019-01-06,478.55,107.22,716.6,880.94,860.76,10.37
2019-01-13,430.65,208.3,707.68,1027.06,846.84,30.36
2019-01-20,398.58,263.44,769.34,1173.36,798.25,31.34
2019-01-27,471.29,483.98,824.66,1566.8,761.63,45.55
2019-02-03,392.71,340.81,733.88,1256.31,820.21,27.71
2019-02-10,268.06,91.58,374.25,514.78,1284.99,4.36
2019-02-17,620.76,548.09,872.27,1712.62,692.06,25.11
2019-02-24,622.28,370.81,727.03,1295.72,858.29,24.87
2019-03-03,906.82,893.7,932.66,2303.13,792.27,81.0
2019-03-10,237.83,43.08,325.35,391.36,1669.93,61.8
2019-03-17,224.0,34.99,265.01,318.72,1793.06,48.33
2019-03-24,370.75,98.01,637.44,787.78,1092.15,16.36
2019-03-31,796.88,378.84,918.97,1499.86,1039.96,37.27
2019-04-07,541.68,89.33,563.24,700.24,1278.51,58.47
2019-04-14,643.81,82.14,538.35,664.26,1541.84,24.29
2019-04-21,1202.35,208.71,989.48,1309.52,1209.64,69.3
2019-04-28,666.48,99.75,598.42,751.36,1552.12,82.6
2019-05-05,454.31,69.46,519.89,626.42,1386.34,47.34
2019-05-12,355.07,62.17,430.3,525.64,1456.3,63.49
2019-05-19,535.79,74.54,525.71,639.94,1473.05,63.49
2019-05-26,345.42,42.47,451.35,516.41,1561.36,75.19
2019-06-02,279.7,43.89,286.56,353.82,1254.62,71.3
2019-06-09,327.4,46.92,322.84,394.87,1355.14,90.63
2019-06-16,227.71,43.16,279.21,345.32,1320.9,87.23
2019-06-23,362.69,58.85,395.44,485.56,1349.76,94.04
2019-06-30,475.01,62.58,334.5,426.9,1470.64,88.99
2019-07-07,329.12,56.53,338.45,425.11,1319.97,85.79
2019-07-14,308.7,50.73,302.66,380.4,1440.25,58.77
2019-07-21,263.1,47.17,338.6,410.78,1294.6,16.98
2019-07-28,438.72,75.33,489.34,604.54,1391.01,83.04
2019-08-04,335.68,51.87,373.08,452.09,1381.21,75.69
2019-08-11,300.96,48.11,263.6,336.88,1341.92,86.63
2019-08-18,240.92,43.95,257.47,324.74,1025.66,82.16
2019-08-25,499.74,85.45,533.17,664.14,1398.94,96.44
2019-09-01,437.16,72.79,496.34,608.04,1372.8,132.24
2019-09-08,289.31,99.61,357.02,509.72,1156.97,108.21
2019-09-15,332.24,155.83,462.44,701.17,895.52,66.87
2019-09-22,500.18,177.96,662.01,934.92,914.82,65.59
2019-09-29,231.79,30.28,185.34,231.8,1203.84,64.34
2019-10-06,288.91,144.48,468.26,689.84,898.36,42.49
2019-10-13,270.14,63.86,319.23,417.09,1110.57,40.21
2019-10-20,298.53,121.51,510.21,696.55,892.45,58.79
2019-10-27,411.78,405.05,610.79,1231.89,778.58,55.56
2019-11-03,469.18,249.38,581.81,964.34,803.9,80.41
2019-11-10,363.25,330.51,643.7,1150.55,584.03,85.14
2019-11-17,325.05,346.13,675.26,1205.99,665.65,51.86
2019-11-24,457.32,591.11,820.64,1727.1,448.91,23.96
2019-12-01,306.0,374.09,654.42,1228.07,720.86,8.99
2019-12-08,441.32,774.86,772.63,1960.76,809.34,12.17
2019-12-15,284.43,97.0,442.21,590.94,1259.16,58.16
2019-12-22,267.52,188.61,615.78,905.02,956.78,96.96
2019-12-29,342.99,297.69,490.41,947.01,837.69,26.94
2020-01-05,457.73,296.19,652.1,1106.25,715.79,22.44
2020-01-12,342.77,57.72,389.25,477.77,1282.69,46.8
2020-01-19,321.27,131.77,520.46,722.5,1182.21,86.01
2020-01-26,651.48,947.13,1107.39,2559.27,314.22,77.98
2020-02-02,256.4,44.31,334.95,402.93,1423.11,85.0
2020-02-09,494.18,368.05,663.26,1227.47,1031.84,27.46
2020-02-16,249.9,50.28,294.65,371.79,1512.6,26.06
2020-02-23,294.73,28.49,267.68,311.37,1565.23,10.2
