MeasurementDateGMT,NO,NO2,NOX,PM10,O3
2018-01-07,750.11,956.44,2106.61,474.62,539.71
2018-01-14,1142.87,1146.06,2898.24,668.78,152.59
2018-01-21,782.54,1201.25,2401.22,540.02,504.86
2018-01-28,991.57,1205.2,2725.55,443.77,452.93
2018-02-04,1208.53,1299.39,3152.29,509.15,468.8
2018-02-11,1074.68,1216.45,2864.21,531.23,508.27
2018-02-18,1249.36,1422.41,3338.12,634.3,391.19
2018-02-25,697.74,969.08,2038.93,700.38,330.43
2018-03-04,515.28,1017.51,1807.69,845.76,408.79
2018-03-11,1034.53,1314.57,2900.84,690.18,381.37
2018-03-18,631.36,998.62,1966.64,550.34,534.97
2018-03-25,752.09,1084.12,2237.25,819.2,610.03
2018-04-01,769.87,1236.75,2417.36,444.45,504.9
2018-04-08,457.49,960.52,1661.99,463.43,715.01
2018-04-15,610.01,1045.24,1980.5,754.7,320.43
2018-04-22,605.93,1200.67,2129.79,865.82,740.54
2018-04-29,569.0,944.83,1817.26,612.29,683.49
2018-05-06,708.96,1214.51,2301.74,629.17,722.41
2018-05-13,684.09,1298.89,2347.91,774.76,674.63
2018-05-20,429.5,883.43,1541.95,554.35,718.41
2018-05-27,424.95,909.64,1561.26,879.58,720.81
2018-06-03,502.5,986.33,1756.75,726.87,492.27
2018-06-10,337.52,627.03,1144.59,523.69,578.93
2018-06-17,517.64,854.88,1648.58,564.76,589.14
2018-06-24,503.73,764.09,1536.41,598.91,585.58
2018-07-01,362.73,763.44,1319.62,592.55,762.43
2018-07-08,384.0,992.65,1581.38,700.9,813.36
2018-07-15,429.84,927.31,1586.23,511.32,606.99
2018-07-22,625.71,1185.1,2144.3,525.23,586.39
2018-07-29,442.12,907.97,1585.94,756.88,718.43
2018-08-05,529.19,903.52,1714.91,585.28,503.81
2018-08-12,629.54,1058.19,2023.49,633.34,536.89
2018-08-19,621.14,818.39,1770.77,539.75,453.27
2018-08-26,713.48,867.19,1961.2,544.16,405.17
2018-09-02,645.83,1008.31,1998.54,439.06,393.23
2018-09-09,647.38,970.17,1962.82,601.84,531.06
2018-09-16,957.82,983.24,2451.9,648.27,444.67
2018-09-23,430.87,765.62,1426.26,619.19,674.41
2018-09-30,1720.72,1376.18,4014.56,700.4,314.94
2018-10-07,988.31,1045.8,2561.31,599.55,382.89
2018-10-14,712.76,970.82,2063.64,567.81,576.3
2018-10-21,1535.64,1273.2,3627.91,634.66,212.53
2018-10-28,869.38,1076.87,2409.81,526.89,432.58
2018-11-04,1408.31,1279.61,3438.95,584.36,318.34
2018-11-11,790.86,974.46,2187.08,538.04,438.71
2018-11-18,764.79,1103.76,2276.46,554.18,266.91
2018-11-25,973.32,1038.88,2531.13,652.27,201.89
2018-12-02,664.08,986.77,2004.97,416.53,471.49
2018-12-09,892.51,1110.81,2479.23,486.33,626.99
2018-12-16,1335.29,1369.35,3416.78,644.98,247.11
2018-12-23,722.87,1085.66,2194.0,419.0,526.84
2018-12-30,1985.33,1237.17,4281.38,613.77,159.67
2019-01-06,669.87,1083.53,2110.59,578.61,457.69
2019-01-13,805.5,982.67,2217.65,668.62,587.07
2019-01-20,1000.96,1143.39,2678.18,587.24,419.5
2019-01-27,1824.98,1246.15,4044.38,704.16,333.6
2019-02-03,1656.59,1374.83,3914.91,585.34,376.81
2019-02-10,762.2,982.92,2151.58,468.96,616.43
2019-02-17,1751.18,1599.26,4284.31,867.32,211.59
2019-02-24,1099.88,1420.2,3106.66,872.66,317.61
2019-03-03,1730.21,1643.09,4296.1,1123.89,395.29
2019-03-10,474.16,862.67,1589.68,519.36,812.31
2019-03-17,338.99,727.21,1246.96,534.5,1047.9
2019-03-24,779.26,1220.58,2415.5,650.59,419.64
2019-03-31,1146.27,1382.89,3140.55,893.85,501.24
2019-04-07,541.83,958.25,1789.09,609.38,401.21
2019-04-14,409.19,817.41,1444.87,624.88,291.26
2019-04-21,416.76,1076.11,1715.18,1074.01,534.34
2019-04-28,286.48,832.91,1272.36,691.06,1010.54
2019-05-05,535.4,1003.35,1824.2,609.7,663.36
2019-05-12,557.49,1000.14,1854.95,474.35,674.71
2019-05-19,407.44,872.04,1496.73,582.03,647.76
2019-05-26,464.21,951.75,1663.61,531.91,775.79
2019-06-02,426.01,723.79,1377.03,479.97,586.79
2019-06-09,436.25,810.32,1479.29,531.03,601.56
2019-06-16,429.51,748.17,1406.71,256.58,542.1
2019-06-23,488.81,903.09,1652.59,478.62,577.88
2019-06-30,358.01,683.49,1232.3,551.21,770.34
2019-07-07,404.89,783.92,1404.85,493.04,895.95
2019-07-14,471.97,793.46,1517.13,548.84,728.57
2019-07-21,365.73,655.59,1216.18,471.65,511.03
2019-07-28,395.47,818.24,1424.56,589.7,554.3
2019-08-04,307.53,649.74,1121.24,439.49,587.09
2019-08-11,357.93,603.58,1152.31,474.79,649.09
2019-08-18,455.68,741.03,1439.77,398.48,403.96
2019-08-25,578.43,1141.07,2028.07,629.55,513.22
2019-09-01,545.34,1070.68,1906.83,571.04,611.84
2019-09-08,532.63,852.73,1669.46,490.94,507.94
2019-09-15,616.56,980.29,1925.7,494.23,285.86
2019-09-22,572.56,993.31,1871.32,541.11,334.81
2019-09-29,406.93,639.02,1262.91,348.88,447.66
2019-10-06,842.19,913.14,2204.38,434.41,346.21
2019-10-13,545.7,843.7,1680.41,438.31,376.81
2019-10-20,837.88,991.52,2276.21,421.62,313.21
2019-10-27,1170.64,1031.69,2826.6,562.64,324.46
2019-11-03,768.08,970.44,2148.14,584.32,292.59
2019-11-10,1297.97,1148.88,3139.03,558.66,197.43
2019-11-17,1083.01,1134.91,2795.62,553.13,266.8
2019-11-24,1123.12,1170.55,2892.61,557.36,190.7
2019-12-01,908.96,1097.87,2490.84,421.21,272.89
2019-12-08,1969.81,1295.57,4315.92,677.89,360.39
2019-12-15,659.59,941.7,1952.92,386.89,646.84
2019-12-22,774.02,1103.02,2290.07,382.78,400.51
2019-12-29,614.57,857.13,1799.57,451.96,429.9
2020-01-05,538.78,924.89,1751.06,452.27,365.23
2020-01-12,458.99,844.19,1547.96,424.26,671.91
2020-01-19,711.49,1008.05,2099.03,403.13,571.11
2020-01-26,1960.94,1371.88,4378.59,748.92,185.13
2020-02-02,460.42,868.11,1574.14,437.05,657.1
2020-02-09,1096.12,1068.76,2749.4,701.21,610.07
2020-02-16,407.85,703.34,1328.65,419.64,920.47
2020-02-23,378.09,716.66,1296.49,425.43,863.34
2020-03-01,422.17,806.14,1453.52,375.12,780.13
2020-03-08,771.88,1071.77,2255.32,474.99,535.71
2020-03-15,424.41,749.45,1400.32,544.2,685.21
2020-03-22,373.79,718.98,1291.97,436.37,816.19
2020-03-29,280.83,679.7,1110.26,636.94,995.56
2020-04-05,298.44,637.73,1095.28,398.22,1142.92
2020-04-12,191.21,821.94,1115.01,783.08,1104.54
2020-04-19,157.82,586.5,828.36,574.71,1002.67
2020-04-26,134.93,547.79,754.65,608.04,1298.03
2020-05-03,224.35,594.01,938.06,304.3,1027.24
2020-05-10,163.33,627.87,878.14,535.95,1287.07
2020-05-17,196.97,515.75,817.89,353.8,1169.63
2020-05-24,190.77,526.87,819.34,489.35,1291.57
2020-05-31,196.51,509.98,811.38,445.56,1161.66
2020-06-07,237.11,562.65,926.17,391.42,1087.57
2020-06-14,214.99,558.66,888.37,411.21,887.54
2020-06-21,289.5,660.29,1104.09,376.58,881.36
2020-06-28,190.38,625.21,917.12,513.82,1318.04
2020-07-05,262.04,418.89,820.66,451.95,776.14
2020-07-12,330.48,579.3,1085.96,376.96,767.47
2020-07-19,315.08,539.44,1022.63,405.29,801.81
2020-07-26,288.85,568.8,1011.8,441.81,847.51
2020-08-02,324.24,652.98,1150.13,519.14,889.67
2020-08-09,356.61,763.64,1310.42,540.66,1000.21
2020-08-16,197.04,783.0,1085.28,759.02,1215.2
2020-08-23,249.83,547.87,930.93,455.53,908.19
2020-08-30,297.77,515.17,971.7,379.42,716.49
2020-09-06,510.01,830.35,1612.35,469.97,506.77
2020-09-13,469.83,712.9,1433.28,474.7,483.91
2020-09-20,291.69,716.02,1163.3,697.31,839.55
2020-09-27,479.37,753.86,1488.89,472.27,789.24
2020-10-04,392.63,710.89,1313.07,337.37,575.94
2020-10-11,580.22,789.59,1679.42,327.03,512.01
2020-10-18,516.79,830.83,1623.22,331.53,416.26
2020-10-25,365.52,754.86,1315.24,491.42,473.65
2020-11-01,336.98,686.77,1203.57,400.57,587.39
2020-11-08,1541.24,1145.66,3508.85,903.81,233.33
2020-11-15,431.02,796.31,1457.15,466.43,515.39
2020-11-22,467.2,792.28,1508.58,401.72,674.61
2020-11-29,984.46,1150.3,2659.75,673.8,175.26
2020-12-06,730.15,1066.11,2185.65,482.39,285.71
2020-12-13,939.54,1099.6,2540.25,493.5,214.39
2020-12-20,340.19,777.09,1298.68,358.64,608.94
2020-12-27,321.05,641.0,1133.25,235.05,733.49
2021-01-03,641.02,832.48,1815.45,371.7,451.37
2021-01-10,546.26,762.21,1599.94,370.81,708.0
2021-01-17,669.96,921.81,1949.15,358.25,708.0
2021-01-24,552.18,881.08,1727.82,359.88,708.0
2021-01-31,677.61,930.93,1969.87,360.31,708.0
2021-02-07,479.8,816.83,1552.54,429.31,708.0
2021-02-14,201.84,639.08,948.51,406.28,708.0
2021-02-21,282.1,657.95,1090.53,524.88,708.0
2021-02-28,905.24,977.26,2365.19,683.86,708.0
2021-03-07,474.91,797.07,1525.28,689.59,708.0
2021-03-14,455.51,697.75,1396.17,691.82,708.0
2021-03-21,345.96,672.35,1202.87,458.52,708.0
2021-03-28,462.98,791.04,1500.88,676.08,708.0
2021-04-04,632.75,906.92,1876.99,975.97,708.0
2021-04-11,267.99,657.96,1068.89,485.68,708.0
2021-04-18,593.38,1001.67,1911.52,594.8,708.0
2021-04-25,286.99,814.48,1254.53,745.45,708.0
2021-05-02,269.68,756.0,1169.58,695.34,708.0
2021-05-09,260.88,581.61,981.62,432.6,708.0
2021-05-16,260.82,654.49,1054.47,533.04,708.0
2021-05-23,298.85,645.77,1103.78,357.81,708.0
2021-05-30,279.01,775.46,1203.34,519.4,708.0
2021-06-06,203.62,647.61,959.93,543.28,708.0
2021-06-13,246.95,597.4,976.03,535.01,708.0
2021-06-20,192.71,558.23,853.69,436.43,708.0
2021-06-27,209.76,512.98,834.64,455.55,708.0
2021-07-04,135.35,303.28,510.97,285.51,481.83
