MeasurementDateGMT,NO,NO2,NOX
2018-01-07,4.8,132.0,141.6
2018-01-14,4.8,132.0,141.6
2018-01-21,4.8,132.0,141.6
2018-01-28,4.8,132.0,141.6
2018-02-04,4.8,132.0,141.6
2018-02-11,4.8,132.0,141.6
2018-02-18,4.8,132.0,141.6
2018-02-25,4.8,132.0,141.6
2018-03-04,4.8,132.0,141.6
2018-03-11,4.8,132.0,141.6
2018-03-18,4.8,132.0,141.6
2018-03-25,4.8,132.0,141.6
2018-04-01,4.8,132.0,141.6
2018-04-08,4.8,132.0,141.6
2018-04-15,4.8,132.0,141.6
2018-04-22,4.8,132.0,141.6
2018-04-29,4.8,132.0,141.6
2018-05-06,4.8,132.0,141.6
2018-05-13,4.8,132.0,141.6
2018-05-20,4.8,132.0,141.6
2018-05-27,4.8,132.0,141.6
2018-06-03,4.8,132.0,141.6
2018-06-10,4.8,132.0,141.6
2018-06-17,4.8,132.0,141.6
2018-06-24,4.8,132.0,141.6
2018-07-01,4.8,132.0,141.6
2018-07-08,4.8,132.0,141.6
2018-07-15,4.8,132.0,141.6
2018-07-22,4.8,132.0,141.6
2018-07-29,4.8,132.0,141.6
2018-08-05,4.8,132.0,141.6
2018-08-12,4.8,132.0,141.6
2018-08-19,4.8,132.0,141.6
2018-08-26,4.8,132.0,141.6
2018-09-02,4.8,132.0,141.6
2018-09-09,4.8,132.0,141.6
2018-09-16,4.8,132.0,141.6
2018-09-23,4.8,132.0,141.6
2018-09-30,4.8,132.0,141.6
2018-10-07,4.8,132.0,141.6
2018-10-14,4.8,132.0,141.6
2018-10-21,4.8,132.0,141.6
2018-10-28,4.8,132.0,141.6
2018-11-04,4.8,132.0,141.6
2018-11-11,4.8,132.0,141.6
2018-11-18,4.8,132.0,141.6
2018-11-25,4.8,132.0,141.6
2018-12-02,4.8,132.0,141.6
2018-12-09,4.8,132.0,141.6
2018-12-16,4.8,132.0,141.6
2018-12-23,4.8,132.0,141.6
2018-12-30,4.8,132.0,141.6
2019-01-06,4.8,132.0,141.6
2019-01-13,4.8,132.0,141.6
2019-01-20,4.8,132.0,141.6
2019-01-27,4.8,132.0,141.6
2019-02-03,4.8,132.0,141.6
2019-02-10,4.8,132.0,141.6
2019-02-17,4.8,132.0,141.6
2019-02-24,4.8,132.0,141.6
2019-03-03,4.8,132.0,141.6
2019-03-10,4.8,132.0,141.6
2019-03-17,4.8,132.0,141.6
2019-03-24,4.8,132.0,141.6
2019-03-31,4.8,132.0,141.6
2019-04-07,4.8,132.0,141.6
2019-04-14,4.8,132.0,141.6
2019-04-21,4.8,132.0,141.6
2019-04-28,4.8,132.0,141.6
2019-05-05,4.8,132.0,141.6
2019-05-12,4.8,132.0,141.6
2019-05-19,4.8,132.0,141.6
2019-05-26,4.8,132.0,141.6
2019-06-02,4.8,132.0,141.6
2019-06-09,4.8,132.0,141.6
2019-06-16,4.8,132.0,141.6
2019-06-23,4.8,132.0,141.6
2019-06-30,4.8,132.0,141.6
2019-07-07,4.8,132.0,141.6
2019-07-14,4.8,132.0,141.6
2019-07-21,4.8,132.0,141.6
2019-07-28,4.8,132.0,141.6
2019-08-04,4.8,132.0,141.6
2019-08-11,4.8,132.0,141.6
2019-08-18,4.8,132.0,141.6
2019-08-25,4.8,132.0,141.6
2019-09-01,4.8,132.0,141.6
2019-09-08,4.8,132.0,141.6
2019-09-15,4.8,132.0,141.6
2019-09-22,4.8,132.0,141.6
2019-09-29,4.8,132.0,141.6
2019-10-06,4.8,132.0,141.6
2019-10-13,4.8,132.0,141.6
2019-10-20,4.8,132.0,141.6
2019-10-27,4.8,132.0,141.6
2019-11-03,4.8,132.0,141.6
2019-11-10,4.8,132.0,141.6
2019-11-17,4.8,132.0,141.6
2019-11-24,4.8,132.0,141.6
2019-12-01,4.8,132.0,141.6
2019-12-08,4.8,132.0,141.6
2019-12-15,4.8,132.0,141.6
2019-12-22,4.8,132.0,141.6
2019-12-29,387.09,694.37,1287.74
2020-01-05,343.13,826.1,1352.37
2020-01-12,213.6,627.34,955.0
2020-01-19,435.18,819.24,1486.45
2020-01-26,848.27,1079.49,2380.16
2020-02-02,169.39,509.41,769.12
2020-02-09,346.71,685.39,1217.06
2020-02-16,194.44,479.0,777.2
2020-02-23,149.34,430.71,659.67
2020-03-01,168.96,519.41,778.46
2020-03-08,304.26,783.44,1249.81
2020-03-15,159.01,441.31,685.03
2020-03-22,129.78,457.44,656.54
2020-03-29,85.09,459.39,589.87
2020-04-05,137.21,530.94,741.53
2020-04-12,114.93,686.09,862.2
2020-04-19,50.5,385.31,462.61
