MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25,SO2
2018-01-07,901.43,1151.55,2533.78,801.23,346.52,179.94,24.0
2018-01-14,2115.85,1450.36,4694.79,280.2,597.43,473.56,24.0
2018-01-21,949.93,1338.93,2795.37,737.04,286.04,156.57,36.09
2018-01-28,897.4,1395.23,2770.55,776.33,337.29,183.5,38.96
2018-02-04,1334.94,1514.08,3560.99,559.43,323.14,194.35,40.76
2018-02-11,1686.57,1611.71,4197.8,550.53,459.18,254.37,53.9
2018-02-18,1403.39,1670.52,3822.44,722.96,498.42,262.42,50.11
2018-02-25,1753.5,1609.28,4297.9,541.7,653.89,456.11,48.7
2018-03-04,1986.79,1789.64,4836.05,691.82,838.8,612.26,33.81
2018-03-11,2089.63,1980.0,5184.09,731.77,477.99,273.91,43.07
2018-03-18,1524.68,1584.41,3922.31,825.86,454.24,275.06,39.54
2018-03-25,1389.12,1553.5,3683.48,898.4,692.16,346.72,43.19
2018-04-01,1275.06,1580.26,3535.3,899.2,329.3,179.55,35.89
2018-04-08,1025.93,1398.73,2971.74,1090.36,403.16,243.16,36.61
2018-04-15,1786.32,1689.77,4428.77,586.87,829.05,635.43,41.93
2018-04-22,1256.34,1752.91,3679.32,1258.09,642.3,352.85,47.34
2018-04-29,1001.77,1276.71,2812.78,1152.27,291.8,137.04,27.29
2018-05-06,1206.51,1807.33,3657.32,1155.96,451.78,198.49,39.36
2018-05-13,1022.69,1610.38,3178.51,1216.13,488.28,236.59,35.94
2018-05-20,1431.26,1697.33,3891.82,1101.26,501.61,233.45,50.36
2018-05-27,1301.47,1713.81,3709.39,1284.57,786.33,438.99,41.27
2018-06-03,1514.97,1738.93,4062.31,1075.06,772.5,405.89,44.46
2018-06-10,1486.17,1494.15,3772.9,1138.64,667.99,244.87,46.3
2018-06-17,999.16,1092.11,2624.13,1107.04,539.43,181.82,34.53
2018-06-24,1007.66,1070.25,2615.31,902.23,528.07,165.93,58.41
2018-07-01,1363.91,1512.55,3603.95,1461.49,665.45,251.85,47.57
2018-07-08,1547.65,1716.39,4089.83,1542.97,710.8,311.09,60.33
2018-07-15,1664.23,1639.9,4192.09,1168.31,627.64,260.57,61.37
2018-07-22,1443.14,1533.77,3746.89,1330.49,589.93,254.3,64.21
2018-07-29,1306.14,1377.89,3380.98,1261.84,599.31,265.26,43.16
2018-08-05,1402.63,1359.96,3510.87,1018.14,475.7,193.11,41.85
2018-08-12,1331.85,1364.33,3406.74,936.06,460.51,305.7,149.34
2018-08-19,1109.01,1107.09,2807.78,723.43,453.0,303.85,40.25
2018-08-26,1163.33,1174.18,2958.08,658.19,429.05,299.42,40.39
2018-09-02,1431.6,1472.37,3667.6,828.97,536.28,316.55,42.11
2018-09-09,1320.2,1393.38,3417.69,866.5,542.05,269.59,45.76
2018-09-16,1337.39,1315.43,3366.1,792.81,469.12,218.36,36.46
2018-09-23,1179.1,1203.88,3011.76,1034.7,465.73,212.28,32.86
2018-09-30,1942.45,1734.15,4712.57,579.39,510.36,268.99,58.51
2018-10-07,1208.68,1221.35,3074.68,590.09,375.99,209.5,46.03
2018-10-14,1080.01,1318.25,2974.25,885.87,449.68,272.22,70.04
2018-10-21,1934.95,1596.37,4563.22,421.39,520.02,331.88,71.1
2018-10-28,1047.79,1232.96,2839.5,525.23,325.39,155.05,36.42
2018-11-04,1746.2,1579.92,4257.2,401.87,449.36,275.32,50.6
2018-11-11,1670.95,1431.39,3993.48,641.53,530.43,320.8,5.76
2018-11-18,1757.46,1441.73,4136.44,445.14,504.35,316.3,7.7
2018-11-25,2241.17,1458.28,4894.82,245.91,690.39,537.73,9.63
2018-12-02,1124.49,1196.0,2920.19,720.05,345.34,204.76,20.37
2018-12-09,923.48,1155.95,2572.07,763.9,310.41,223.94,31.27
2018-12-16,1635.01,1543.22,4050.13,345.61,595.39,446.66,46.92
2018-12-23,788.28,1201.99,2410.7,857.7,420.95,172.18,45.49
2018-12-30,1700.59,1404.32,4012.01,272.39,638.49,474.07,65.16
2019-01-06,1012.42,1304.61,2856.9,577.03,543.23,321.71,37.08
2019-01-13,1028.3,1236.47,2813.17,551.36,427.63,265.64,14.85
2019-01-20,1257.04,1460.24,3387.66,557.81,467.56,290.33,21.48
2019-01-27,1469.56,1429.73,3682.98,549.74,528.91,449.42,37.24
2019-02-03,1654.8,1571.64,4108.91,542.86,533.99,366.47,39.0
2019-02-10,711.36,1046.82,2137.6,987.36,292.98,177.59,12.24
2019-02-17,1531.0,1591.11,3938.6,592.53,709.54,479.33,30.91
2019-02-24,1378.07,1444.72,3557.72,680.64,741.73,498.84,34.54
2019-03-03,1807.31,1670.12,4441.33,694.16,930.63,661.27,69.69
2019-03-10,576.85,919.61,1804.08,1303.49,303.27,129.48,11.43
2019-03-17,598.22,820.27,1737.44,1357.99,247.52,104.53,14.61
2019-03-24,922.95,1237.2,2652.46,829.39,438.0,265.72,21.84
2019-03-31,1496.41,1667.46,3961.91,986.9,760.48,500.7,21.38
2019-04-07,1093.17,1362.87,3039.01,1036.57,592.97,391.5,17.46
2019-04-14,1003.16,1301.78,2840.0,1210.74,658.95,474.46,16.11
2019-04-21,968.83,1564.17,3049.63,1180.4,1147.97,900.45,24.21
2019-04-28,647.63,1224.75,2217.75,1341.64,650.57,425.66,45.87
2019-05-05,1001.81,1324.76,2860.8,1065.68,489.11,310.06,25.1
2019-05-12,767.7,1205.77,2383.08,1165.64,395.46,234.11,21.56
2019-05-19,1118.8,1400.02,3115.44,1105.51,514.82,317.46,21.37
2019-05-26,798.24,1136.05,2360.0,1260.91,347.45,202.85,14.5
2019-06-02,529.44,767.4,1579.55,1068.31,283.97,152.39,15.36
2019-06-09,695.29,879.88,1945.98,1215.63,353.36,157.47,16.54
2019-06-16,722.31,884.21,1991.55,1052.5,308.15,155.26,13.7
2019-06-23,697.11,1048.08,2117.03,1111.89,423.37,228.85,19.31
2019-06-30,793.52,1048.12,2264.82,1063.29,512.48,314.95,17.31
2019-07-07,828.8,1008.87,2280.26,946.56,345.0,179.2,17.03
2019-07-14,659.96,938.54,1950.42,1026.57,350.52,196.32,18.79
2019-07-21,564.08,813.63,1678.48,967.05,346.02,162.83,21.28
2019-07-28,619.81,1140.47,2090.64,1138.83,433.24,267.0,26.63
2019-08-04,598.54,971.05,1888.81,1118.67,397.33,188.3,24.17
2019-08-11,364.18,610.74,1169.2,1145.77,368.05,157.88,15.9
2019-08-18,460.17,732.27,1437.97,846.99,296.11,134.61,19.53
2019-08-25,555.75,1191.67,2043.83,1221.8,561.12,335.11,27.06
2019-09-01,466.07,1075.63,1790.22,1330.64,469.13,275.51,25.59
2019-09-08,577.47,842.43,1727.84,934.47,313.8,133.66,17.99
2019-09-15,812.89,1072.32,2318.82,713.08,391.34,201.83,32.0
2019-09-22,1185.97,1331.47,3149.95,596.86,504.3,245.19,50.76
2019-09-29,528.16,735.69,1543.97,941.57,275.44,125.13,22.7
2019-10-06,948.15,1052.46,2506.42,629.7,372.26,196.61,28.18
2019-10-13,365.75,761.55,1322.58,899.09,303.24,146.08,27.84
2019-10-20,691.05,1028.32,2087.97,703.31,346.88,185.88,27.13
2019-10-27,1122.69,1098.99,2820.46,570.17,454.45,280.86,22.86
2019-11-03,1168.67,1167.9,2959.8,565.41,479.48,299.42,31.37
2019-11-10,1533.4,1333.85,3684.87,413.46,457.35,288.98,30.6
2019-11-17,1474.94,1319.04,3580.44,445.49,411.18,271.7,31.21
2019-11-24,2250.43,1585.25,5035.63,285.03,554.9,369.42,41.83
2019-12-01,1346.09,1290.67,3354.65,515.76,379.67,224.35,25.39
2019-12-08,1361.76,1213.72,3301.83,620.07,493.01,329.25,48.64
2019-12-15,626.95,980.35,1941.64,861.75,308.51,145.91,30.83
2019-12-22,905.75,1200.27,2589.14,775.04,320.64,183.98,21.77
2019-12-29,590.64,897.11,1802.63,665.36,392.47,263.93,27.36
2020-01-05,767.99,1029.33,2207.14,555.24,460.07,345.75,35.17
2020-01-12,414.48,824.71,1460.32,1061.76,333.43,157.78,23.44
2020-01-19,639.35,1001.03,1981.25,967.71,334.9,149.71,23.49
2020-01-26,1837.37,1457.84,4275.01,307.93,735.19,533.93,44.03
2020-02-02,603.13,1007.93,1932.4,1088.89,305.78,141.53,37.44
2020-02-09,1009.46,1131.18,2678.74,772.14,534.36,304.9,71.89
2020-02-16,489.69,859.92,1610.73,1155.91,278.25,129.5,129.27
2020-02-23,413.62,852.11,1486.2,1216.47,310.12,142.94,127.69
2020-03-01,476.68,900.32,1631.0,1071.41,261.56,123.18,72.21
2020-03-08,751.23,1140.63,2292.29,930.87,382.18,213.26,51.33
2020-03-15,377.06,800.13,1378.1,1233.79,252.06,114.15,64.14
2020-03-22,350.89,765.8,1303.56,1165.4,352.22,182.32,36.66
2020-03-29,305.58,784.66,1253.01,1376.57,600.17,413.43,38.6
2020-04-05,253.67,688.22,1076.94,1311.47,325.13,189.36,36.64
2020-04-12,245.3,864.19,1239.95,1298.59,780.4,584.15,40.07
2020-04-19,212.43,645.62,970.96,1491.51,566.33,349.14,26.29
2020-04-26,214.68,684.84,1013.93,1704.81,582.54,341.49,32.63
2020-05-03,213.35,591.38,918.48,1374.51,297.42,184.78,28.74
2020-05-10,240.16,755.29,1123.54,1866.0,500.8,361.59,32.31
2020-05-17,286.94,619.77,1059.71,1360.44,268.72,172.31,22.24
2020-05-24,186.88,563.09,849.5,1448.5,344.17,211.37,22.8
2020-05-31,302.0,701.28,1164.4,1518.81,360.76,222.01,19.26
2020-06-07,339.34,692.75,1213.1,1135.21,285.37,169.32,29.1
2020-06-14,384.0,744.87,1333.67,1266.4,392.59,266.53,19.89
2020-06-21,321.02,678.82,1170.91,1303.34,273.34,165.56,21.33
2020-06-28,332.32,827.53,1336.95,1710.43,405.99,253.53,26.77
2020-07-05,352.58,476.49,1016.94,943.22,269.84,130.96,25.12
2020-07-12,540.59,706.56,1534.99,808.67,299.38,159.47,33.26
2020-07-19,573.6,713.85,1593.01,781.0,291.26,165.07,32.89
2020-07-26,521.88,740.79,1540.66,1165.35,322.57,190.37,32.53
2020-08-02,497.16,778.85,1540.86,1127.43,330.21,196.54,32.16
2020-08-09,598.68,996.6,1914.24,1412.49,387.33,235.39,31.79
2020-08-16,624.64,1240.22,2197.65,1807.3,637.55,446.0,31.42
2020-08-23,496.77,664.11,1425.52,1093.53,380.17,154.84,31.06
2020-08-30,540.83,690.58,1519.43,927.07,343.71,140.85,30.69
2020-09-06,553.23,837.89,1685.96,917.37,380.25,180.97,30.32
2020-09-13,585.78,803.02,1701.01,816.1,362.2,171.82,29.95
2020-09-20,686.7,1160.59,2213.34,913.03,499.85,240.92,29.58
2020-09-27,628.21,951.2,1914.33,1032.91,368.63,176.22,29.22
2020-10-04,601.02,809.53,1731.01,965.67,320.09,149.01,25.88
2020-10-11,407.99,634.93,1260.71,677.19,313.85,144.41,26.85
2020-10-18,611.12,819.9,1757.45,555.07,372.92,181.85,20.52
2020-10-25,567.63,825.71,1696.05,1005.1,371.48,168.17,22.05
2020-11-01,435.76,733.58,1401.88,1066.9,360.3,150.66,21.13
2020-11-08,1225.66,1124.59,3003.89,391.88,684.21,499.56,37.41
2020-11-15,566.04,880.86,1748.86,977.24,384.36,184.07,22.99
2020-11-22,500.22,861.2,1628.22,1015.07,360.38,161.36,29.2
2020-11-29,996.56,1215.29,2743.34,353.21,557.12,383.05,30.29
2020-12-06,833.12,1116.38,2393.52,459.63,409.62,234.98,33.11
2020-12-13,965.29,1135.62,2615.45,371.64,426.11,257.43,30.17
2020-12-20,458.5,787.75,1490.43,1083.91,362.38,153.45,18.25
2020-12-27,503.56,723.71,1495.55,1002.51,301.5,144.5,20.79
2021-01-03,629.16,904.64,1843.59,488.43,427.49,284.81,43.4
2021-01-10,780.68,890.12,2014.29,460.69,432.53,292.21,54.36
2021-01-17,725.66,983.36,2007.02,602.09,362.46,209.91,41.46
2021-01-24,458.88,816.95,1509.92,973.11,360.15,192.3,44.67
2021-01-31,559.98,862.73,1683.17,653.43,362.87,199.41,31.96
2021-02-07,664.1,875.42,1905.25,847.23,407.51,222.09,31.51
2021-02-14,677.66,921.27,1939.68,1063.14,437.19,230.93,26.98
2021-02-21,415.42,736.93,1423.1,1214.79,441.49,211.08,22.03
2021-02-28,661.65,1016.95,2011.68,812.9,501.49,285.44,23.54
2021-03-07,954.55,1053.83,2500.44,717.36,600.82,424.7,23.93
2021-03-14,486.44,725.47,1445.33,1099.56,414.53,242.28,22.97
2021-03-21,851.34,1114.2,2408.3,935.34,432.78,213.01,37.01
2021-03-28,446.96,746.73,1473.52,1390.17,444.4,237.13,38.73
2021-04-04,687.58,1062.23,2094.56,1327.71,535.85,296.92,34.5
2021-04-11,558.54,853.08,1716.41,1212.5,361.33,151.19,24.84
2021-04-18,784.33,1190.81,2385.74,1176.11,424.86,180.6,20.71
2021-04-25,751.23,1143.56,2290.15,1252.86,604.02,248.46,29.4
2021-05-02,714.52,1032.64,2146.65,1448.73,481.37,259.27,30.17
2021-05-09,440.7,672.98,1372.81,1252.37,337.68,160.48,26.15
2021-05-16,586.33,936.48,1894.93,1409.3,387.54,190.36,21.07
2021-05-23,469.68,725.84,1486.17,1227.69,341.62,164.82,38.33
2021-05-30,629.85,987.16,1969.58,1269.21,421.58,243.76,34.94
2021-06-06,573.99,983.39,1904.95,1425.37,477.78,290.54,36.92
2021-06-13,462.58,779.01,1547.11,1175.27,370.72,216.01,42.17
2021-06-20,651.82,986.95,2035.91,1090.53,377.2,225.49,24.64
2021-06-27,628.8,889.43,1901.39,1009.13,395.99,242.91,27.71
2021-07-04,580.68,732.03,1648.28,438.3,282.24,189.98,10.73
