MeasurementDateGMT,NO,NO2,NOX,PM10,PM25
2018-01-07,1146.97,1414.93,3173.63,536.14,271.21
2018-01-14,2861.64,1663.24,6051.0,813.71,545.21
2018-01-21,1863.73,1819.54,4677.15,458.68,240.04
2018-01-28,2083.16,1802.81,4996.84,497.57,234.64
2018-02-04,1860.51,1715.33,4568.18,541.1,219.0
2018-02-11,1788.37,1597.41,4339.59,684.25,263.42
2018-02-18,2234.14,1975.09,5400.76,714.68,285.51
2018-02-25,2171.27,1820.49,5149.69,789.54,474.0
2018-03-04,2484.24,1803.32,5612.45,1107.25,656.71
2018-03-11,1972.15,1648.58,4672.42,779.84,304.0
2018-03-18,2304.79,1693.29,5227.01,678.43,300.57
2018-03-25,2028.16,1720.9,4830.44,1044.39,324.07
2018-04-01,1899.79,1779.84,4692.81,555.71,240.2
2018-04-08,1388.06,1566.3,3694.77,566.48,325.09
2018-04-15,1918.36,1709.19,4650.57,1000.54,764.14
2018-04-22,2054.06,2152.57,5302.01,971.09,433.38
2018-04-29,1417.42,1514.2,3687.58,477.05,222.54
2018-05-06,1780.94,2005.61,4736.27,664.54,318.11
2018-05-13,1645.62,1955.23,4478.6,733.68,500.36
2018-05-20,1243.6,1518.65,3425.48,729.66,296.14
2018-05-27,1380.58,1753.37,3870.65,1009.36,626.29
2018-06-03,1421.02,1825.76,4004.55,824.18,538.5
2018-06-10,1463.17,1616.89,3860.47,742.33,373.14
2018-06-17,1363.16,1535.81,3625.96,587.45,261.29
2018-06-24,982.2,1306.22,2812.24,541.82,250.25
2018-07-01,1463.16,1916.57,4160.09,744.25,338.07
2018-07-08,1514.13,2161.69,4483.32,786.64,378.39
2018-07-15,1379.52,1825.02,3940.12,648.71,304.39
2018-07-22,1648.89,2118.07,4646.24,609.04,301.43
2018-07-29,1490.29,1813.6,4098.74,661.75,368.14
2018-08-05,1288.2,1550.53,3525.7,535.43,231.71
2018-08-12,1709.09,1870.27,4490.74,495.11,251.71
2018-08-19,1379.2,1343.78,3458.47,447.95,261.04
2018-08-26,1300.76,1306.2,3300.69,395.0,231.71
2018-09-02,1297.15,1445.71,3434.71,598.39,275.69
2018-09-09,909.6,1329.51,2724.18,606.0,277.63
2018-09-16,1238.64,1355.0,3254.3,565.84,233.26
2018-09-23,951.85,1187.7,2647.21,538.96,212.64
2018-09-30,1893.97,1780.97,4684.95,733.39,259.32
2018-10-07,1539.16,1355.43,3715.45,595.5,260.46
2018-10-14,1574.23,1513.61,3927.58,594.5,310.43
2018-10-21,2158.44,1700.3,5009.89,653.64,358.86
2018-10-28,1243.81,1353.11,3260.34,430.41,213.68
2018-11-04,2084.36,1697.33,4893.24,429.0,294.46
2018-11-11,2075.97,1556.45,4739.48,502.97,343.11
2018-11-18,2175.86,1680.78,5016.99,653.19,306.86
2018-11-25,2817.09,1691.59,6011.2,858.36,508.36
2018-12-02,1479.34,1504.46,3772.8,448.05,192.75
2018-12-09,1659.43,1565.4,4109.92,557.53,199.65
2018-12-16,2554.59,1902.0,5818.95,739.56,339.92
2018-12-23,1251.77,1576.04,3495.41,538.07,176.21
2018-12-30,1863.85,1498.01,4355.94,609.21,438.82
2019-01-06,686.42,1167.88,2220.06,541.54,279.57
2019-01-13,1074.2,1311.69,2958.67,595.29,272.5
2019-01-20,1478.43,1620.17,3887.06,457.8,253.79
2019-01-27,1938.74,1644.79,4617.59,614.18,370.32
2019-02-03,1857.06,1736.93,4584.43,665.86,311.0
2019-02-10,1243.71,1378.44,3285.42,370.24,255.89
2019-02-17,2064.32,1931.29,5096.55,531.99,454.75
2019-02-24,1858.78,1827.87,4677.89,547.09,482.86
2019-03-03,2412.06,2115.41,5813.71,677.32,633.61
2019-03-10,827.85,1411.18,2680.47,344.72,193.43
2019-03-17,544.45,1200.03,2034.77,349.02,164.04
2019-03-24,1308.43,1742.08,3748.36,609.36,273.04
2019-03-31,1582.83,1933.73,4360.65,919.93,456.68
2019-04-07,1374.62,1704.03,3811.69,704.95,373.71
2019-04-14,1153.98,1684.95,3454.46,847.25,429.14
2019-04-21,1199.96,1979.91,3819.94,1248.04,781.44
2019-04-28,937.0,1607.98,3044.7,768.01,359.41
2019-05-05,1015.1,1539.5,3096.02,653.66,298.57
2019-05-12,874.6,1472.84,2813.85,518.14,272.51
2019-05-19,1068.79,1618.12,3257.0,648.62,328.77
2019-05-26,697.2,1353.17,2422.18,474.19,269.44
2019-06-02,674.24,1113.42,2147.3,373.12,221.86
2019-06-09,1054.68,1372.94,2990.12,443.38,221.44
2019-06-16,983.3,1188.82,2696.43,382.5,183.27
2019-06-23,1088.25,1443.95,3112.6,509.93,284.11
2019-06-30,978.21,1238.91,2738.64,665.32,404.5
2019-07-07,856.51,1209.28,2522.6,483.88,252.75
2019-07-14,910.8,1296.33,2692.63,477.8,253.54
2019-07-21,986.9,1308.0,2821.25,469.95,239.39
2019-07-28,994.75,1480.7,3005.94,641.14,316.5
2019-08-04,756.88,1150.26,2310.69,491.23,247.54
2019-08-11,649.25,824.95,1820.46,438.36,225.04
2019-08-18,771.2,952.07,2134.49,383.57,195.61
2019-08-25,1059.1,1689.42,3313.31,706.57,404.18
2019-09-01,791.18,1460.16,2673.17,555.82,327.43
2019-09-08,650.16,1013.21,2010.14,418.12,201.32
2019-09-15,1136.21,1441.68,3183.89,488.38,241.36
2019-09-22,1423.89,1720.99,3904.11,669.54,270.0
2019-09-29,858.32,1087.47,2403.52,346.68,143.5
2019-10-06,1042.0,1132.72,2730.43,468.82,218.0
2019-10-13,860.51,1163.94,2483.38,500.19,201.79
2019-10-20,1352.74,1519.9,3594.13,512.3,214.89
2019-10-27,1625.14,1436.11,3928.03,565.18,311.14
2019-11-03,1726.9,1531.74,4179.45,551.45,309.46
2019-11-10,2121.43,1664.62,4917.54,559.54,301.98
2019-11-17,1880.15,1632.57,4515.55,537.32,306.41
2019-11-24,2462.78,1765.71,5541.92,630.32,346.25
2019-12-01,1309.28,1458.71,3466.17,447.36,263.14
2019-12-08,2012.75,1669.68,4755.85,661.38,348.25
2019-12-15,1010.61,1383.84,2933.44,382.36,234.86
2019-12-22,1415.37,1545.16,3715.27,370.73,262.64
2019-12-29,809.58,1119.54,2360.85,418.0,327.71
2020-01-05,995.3,1260.78,2786.83,499.46,421.04
2020-01-12,762.42,1138.31,2307.46,447.89,253.57
2020-01-19,929.84,1294.58,2720.39,436.02,281.77
2020-01-26,2448.69,1726.94,5481.52,905.64,551.12
2020-02-02,901.44,1259.74,2641.96,439.88,212.61
2020-02-09,1275.91,1298.76,3255.1,649.75,365.89
2020-02-16,600.16,988.51,1908.74,439.95,193.36
2020-02-23,539.67,929.32,1756.85,456.04,218.57
2020-03-01,635.94,1049.55,2024.63,386.45,190.93
2020-03-08,855.5,1276.19,2588.0,480.14,252.46
2020-03-15,516.72,979.81,1772.31,365.39,200.14
2020-03-22,394.65,822.95,1428.08,442.71,267.21
2020-03-29,278.79,760.52,1187.9,661.55,581.96
2020-04-05,150.07,642.53,872.91,492.28,436.28
2020-04-12,235.84,1028.29,1389.98,861.87,615.94
2020-04-19,180.58,645.9,922.73,649.04,399.43
