MeasurementDateGMT,PM25,NO,NO2,NOX,PM10
2018-01-07,242.43,657.47,730.66,1738.78,381.31
2018-01-14,478.0,1665.86,977.05,3531.24,620.5
2018-01-21,202.57,585.71,674.91,1573.03,310.56
2018-01-28,225.1,773.42,709.47,1895.39,349.53
2018-02-04,216.12,901.03,901.56,2283.19,381.14
2018-02-11,246.07,1083.88,1016.64,2678.53,462.16
2018-02-18,250.43,1025.36,1072.45,2644.62,499.1
2018-02-25,469.21,1164.97,1127.06,2913.41,645.93
2018-03-04,626.86,966.97,1012.27,2494.81,749.71
2018-03-11,267.43,971.61,1059.73,2549.48,528.46
2018-03-18,286.29,825.38,894.15,2159.68,530.64
2018-03-25,292.86,884.12,1018.17,2373.8,702.34
2018-04-01,218.29,860.14,1054.92,2373.79,391.34
2018-04-08,340.83,636.48,839.72,1815.7,410.41
2018-04-15,640.67,1133.54,1084.64,2822.7,866.29
2018-04-22,346.14,682.86,1034.97,2081.96,706.73
2018-04-29,177.29,592.67,728.7,1637.35,325.14
2018-05-06,278.5,744.0,1050.24,2190.94,515.14
2018-05-13,337.86,586.84,978.24,1878.04,616.37
2018-05-20,262.64,831.92,1041.42,2316.97,537.9
2018-05-27,526.14,822.21,1122.41,2383.13,768.19
2018-06-03,411.0,692.51,921.58,1983.43,512.91
2018-06-10,283.0,790.28,869.49,2081.21,443.41
2018-06-17,181.57,612.26,683.71,1622.53,384.39
2018-06-24,131.0,580.06,692.01,1581.24,379.9
2018-07-01,253.57,703.66,985.1,2063.94,557.34
2018-07-08,307.29,668.43,1109.58,2134.52,640.54
2018-07-15,235.07,794.17,1010.64,2228.4,483.21
2018-07-22,219.71,608.92,937.02,1870.63,465.8
2018-07-29,223.71,540.57,839.36,1668.19,517.79
2018-08-05,158.43,662.34,790.47,1806.07,382.56
2018-08-12,176.86,604.12,780.08,1706.41,388.16
2018-08-19,161.0,490.94,517.09,1269.8,334.84
2018-08-26,145.64,598.68,617.24,1535.1,334.37
2018-09-02,222.29,858.12,920.66,2236.38,485.51
2018-09-09,205.29,806.04,962.85,2198.72,500.39
2018-09-16,137.86,716.22,693.44,1791.75,449.06
2018-09-23,143.29,463.05,565.56,1275.46,460.74
2018-09-30,226.73,1194.34,1149.7,2981.01,535.48
2018-10-07,184.27,989.56,920.82,2438.06,604.49
2018-10-14,193.14,753.74,874.77,2030.38,534.29
2018-10-21,274.29,1390.1,1095.82,3227.33,564.1
2018-10-28,192.0,974.57,983.65,2477.95,407.0
2018-11-04,254.36,1299.2,1081.1,3073.19,488.64
2018-11-11,250.14,890.91,823.28,2189.22,541.68
2018-11-18,256.57,1073.01,970.94,2616.18,569.65
2018-11-25,511.0,1623.56,1084.89,3574.29,679.54
2018-12-02,163.57,807.29,767.18,2005.0,366.2
2018-12-09,139.14,668.61,663.6,1688.84,388.63
2018-12-16,336.86,1306.91,1019.99,3024.02,284.16
2018-12-23,156.57,628.1,760.87,1723.95,188.25
2018-12-30,389.14,1310.39,977.35,2986.56,496.03
2019-01-06,314.43,911.06,1140.67,2537.71,521.24
2019-01-13,271.0,972.82,1004.8,2496.44,461.71
2019-01-20,270.29,983.23,1016.06,2523.74,456.67
2019-01-27,376.71,1469.24,1115.82,3368.67,446.23
2019-02-03,283.0,1248.21,1160.41,3074.27,460.11
2019-02-10,137.43,495.75,670.28,1430.34,327.31
2019-02-17,398.57,1195.2,1182.73,3015.35,755.07
2019-02-24,376.71,960.51,968.3,2440.98,695.36
2019-03-03,496.71,1349.94,1090.59,3160.41,950.38
2019-03-10,135.86,354.04,521.39,1064.19,414.89
2019-03-17,115.07,242.18,407.48,778.88,268.94
2019-03-24,230.0,704.78,913.92,1994.7,485.8
2019-03-31,432.86,1012.84,1313.12,2866.07,819.9
2019-04-07,362.57,750.07,949.55,2099.65,606.31
2019-04-14,427.0,776.07,1052.94,2242.83,708.74
2019-04-21,759.29,773.29,1267.92,2453.54,1211.71
2019-04-28,366.43,487.04,831.58,1578.25,800.36
2019-05-05,217.14,702.8,959.88,2037.58,522.87
2019-05-12,188.57,617.27,883.91,1830.27,488.52
2019-05-19,269.86,769.0,1049.64,2228.89,645.17
2019-05-26,176.0,571.67,959.54,1836.13,512.33
2019-06-02,122.71,431.3,597.57,1258.76,438.84
2019-06-09,128.14,490.38,667.83,1419.77,476.53
2019-06-16,118.43,624.32,810.0,1767.2,346.57
2019-06-23,175.79,535.89,764.72,1586.32,462.2
2019-06-30,232.0,550.43,727.93,1571.73,579.24
2019-07-07,145.14,660.35,829.51,1842.12,445.96
2019-07-14,142.14,548.86,768.66,1610.27,456.61
2019-07-21,124.29,521.88,718.6,1518.76,432.21
2019-07-28,196.0,577.19,1078.44,1963.63,299.19
2019-08-04,156.14,582.56,1088.76,1982.37,393.44
2019-08-11,129.57,442.78,697.44,1376.61,477.4
2019-08-18,107.14,444.34,590.29,1271.73,390.17
2019-08-25,254.57,518.21,937.58,1732.23,621.93
2019-09-01,206.57,440.27,890.99,1566.22,549.43
2019-09-08,121.43,517.98,752.56,1546.82,378.86
2019-09-15,159.0,636.88,861.3,1837.76,405.5
2019-09-22,200.14,796.62,988.37,2209.68,572.19
2019-09-29,102.71,314.81,426.72,909.29,370.27
2019-10-06,176.86,772.72,776.73,1961.52,439.01
2019-10-13,126.86,444.5,561.77,1243.4,371.97
2019-10-20,143.0,699.21,800.47,1872.64,411.09
2019-10-27,253.71,1032.6,901.82,2485.08,496.76
2019-11-03,329.14,906.97,876.02,2266.77,544.61
2019-11-10,276.36,1090.69,988.88,2661.29,437.26
2019-11-17,267.14,1066.36,931.37,2566.42,412.39
2019-11-24,285.14,1231.87,1027.99,2916.8,454.95
2019-12-01,210.29,1041.84,1062.21,2659.74,334.66
2019-12-08,341.43,1456.46,912.39,3145.54,542.9
2019-12-15,186.29,621.43,732.24,1684.76,520.89
2019-12-22,198.0,772.36,913.43,2097.29,538.75
2019-12-29,284.71,660.96,726.58,1739.62,539.67
2020-01-05,377.29,710.17,798.87,1887.28,540.59
2020-01-12,171.29,453.37,637.63,1332.44,541.5
2020-01-19,221.86,772.74,820.38,2004.88,542.42
2020-01-26,533.14,1509.73,1081.45,3395.91,543.34
2020-02-02,152.0,428.98,607.71,1265.15,544.25
2020-02-09,317.57,758.43,821.21,1983.74,545.17
2020-02-16,175.57,415.6,575.53,1212.45,546.09
2020-02-23,183.14,381.12,536.57,1120.58,547.0
2020-03-01,145.43,452.4,646.2,1339.46,547.92
2020-03-08,244.64,708.76,875.11,1961.66,548.84
2020-03-15,150.14,400.48,556.22,1170.04,549.76
2020-03-22,225.86,530.29,669.1,1481.95,550.67
2020-03-29,400.79,502.24,783.97,1553.81,551.59
2020-04-05,239.64,428.42,716.9,1373.93,552.51
2020-04-12,656.21,417.98,882.53,1523.2,553.42
2020-04-19,388.71,405.97,715.13,1337.48,554.34
2020-04-26,361.29,380.18,742.93,1325.73,555.26
2020-05-03,190.86,328.38,553.81,1057.06,556.17
2020-05-10,308.71,344.54,699.7,1227.78,557.09
2020-05-17,163.43,420.05,675.83,1319.69,558.01
2020-05-24,159.14,285.9,540.9,979.07,558.92
2020-05-31,190.71,409.37,716.43,1343.98,559.84
2020-06-07,148.86,423.09,684.75,1333.31,560.76
2020-06-14,216.71,479.14,703.93,1438.48,561.67
2020-06-21,142.86,382.95,630.73,1214.23,562.59
2020-06-28,201.07,365.91,701.28,1248.73,563.51
2020-07-05,87.29,321.89,432.49,910.74,564.42
2020-07-12,112.86,403.47,579.68,1189.14,565.34
2020-07-19,108.57,426.07,609.79,1262.28,566.26
2020-07-26,152.0,389.51,598.68,1195.89,567.17
2020-08-02,159.43,360.83,595.83,1149.09,568.09
2020-08-09,245.43,397.52,773.65,1383.15,569.01
2020-08-16,497.86,467.67,980.8,1697.89,569.92
2020-08-23,121.0,300.2,491.52,951.94,570.84
2020-08-30,127.79,426.72,597.45,1251.96,571.76
2020-09-06,171.07,457.81,702.95,1405.07,572.67
2020-09-13,149.0,494.63,688.88,1447.47,573.59
2020-09-20,312.0,548.86,911.53,1753.1,574.51
2020-09-27,184.93,428.38,720.99,1377.9,575.42
2020-10-04,140.29,539.01,743.46,1569.97,370.62
