MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Sulphur Dioxide (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,42.9,340.0,405.8,117.6,253.4
2018-01-02,81.7,543.42,668.42,117.6,382.1
2018-01-03,48.95,358.95,433.83,117.6,624.9
2018-01-04,155.93,638.3,877.52,117.6,318.8
2018-01-05,159.98,779.42,1024.4,117.6,270.0
2018-01-06,579.68,802.15,1691.02,117.6,422.9
2018-01-07,54.12,268.35,351.15,117.6,322.3
2018-01-08,145.95,536.5,760.32,117.6,451.1
2018-01-09,671.0,835.7,1864.3,117.6,823.3
2018-01-10,1072.47,1179.35,2823.7,117.6,474.3
2018-01-11,811.7,895.53,2139.52,117.6,550.1
2018-01-12,403.4,927.7,1546.48,117.6,654.9
2018-01-13,107.05,590.83,754.95,117.6,598.3
2018-01-14,105.7,613.75,775.88,117.6,657.6
2018-01-15,56.23,451.2,537.5,117.6,272.8
2018-01-16,66.9,516.67,619.47,117.6,278.0
2018-01-17,68.8,463.68,569.18,117.6,363.25
2018-01-18,88.15,562.1,697.22,117.6,242.4
2018-01-19,156.65,900.75,1141.2,117.6,340.9
2018-01-20,160.6,813.18,1059.45,117.6,251.0
2018-01-21,160.4,842.08,1088.25,117.6,341.5
2018-01-22,166.42,918.22,1173.32,117.6,364.1
2018-01-23,50.8,421.3,499.27,117.6,217.8
2018-01-24,48.65,381.52,456.35,117.6,198.15
2018-01-25,71.3,524.35,633.6,117.6,370.5
2018-01-26,492.22,1057.45,1812.4,123.2,476.8
2018-01-27,231.8,672.03,1027.47,125.6,319.0
2018-01-28,44.4,349.05,417.17,117.4,168.5
2018-01-29,99.15,696.02,847.82,108.1,282.5
2018-01-30,1005.82,1022.72,2564.98,120.2,532.1
2018-01-31,57.45,557.35,645.47,101.1,250.5
2018-02-01,104.65,651.35,811.53,91.8,299.0
2018-02-02,370.88,860.85,1429.52,94.6,410.8
2018-02-03,227.58,1082.12,1431.35,86.8,323.6
