MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3)
2018-01-01,41.5,373.7,437.6,1459.6
2018-01-02,93.9,658.9,802.7,1012.3
2018-01-03,28.8,233.1,277.2,1714.8
2018-01-04,52.5,459.0,539.4,1421.4
2018-01-05,186.7,779.4,1066.2,1052.4
2018-01-06,492.8,771.7,1527.6,403.4
2018-01-07,36.7,317.4,373.9,1122.9
2018-01-08,107.3,564.9,729.5,512.5
2018-01-09,594.2,878.8,1790.0,67.9
2018-01-10,612.2,995.4,1934.2,513.7
2018-01-11,301.8,756.7,1219.3,86.9
2018-01-12,264.7,805.9,1211.4,373.15
2018-01-13,93.5,596.2,739.3,658.3
2018-01-14,87.1,685.3,818.6,536.2
2018-01-15,48.6,515.6,589.8,1075.0
2018-01-16,47.7,429.8,502.6,1464.9
2018-01-17,58.8,412.8,503.2,1450.6
2018-01-18,41.4,379.7,443.1,1498.4
2018-01-19,138.6,806.6,1019.0,977.8
2018-01-20,62.6,781.4,876.8,968.6
2018-01-21,207.9,963.4,1282.3,453.3
2018-01-22,101.7,714.0,869.5,904.5
2018-01-23,39.7,467.8,528.9,1245.1
2018-01-24,28.0,369.3,411.9,1530.7
2018-01-25,46.4,562.85,633.6,1207.1
2018-01-26,158.8,817.4,1061.5,572.6
2018-01-27,135.2,685.4,893.1,772.1
2018-01-28,22.8,233.6,268.7,1485.2
2018-01-29,46.9,489.5,561.7,1283.7
2018-01-30,314.6,988.0,1469.9,523.7
2018-01-31,37.3,419.4,476.6,1412.4
2018-02-01,47.5,403.1,476.0,1256.2
2018-02-02,242.2,696.7,1068.3,777.8
2018-02-03,167.4,1090.4,1347.1,318.6
2018-02-04,32.5,315.2,364.9,1068.7
2018-02-05,65.0,525.9,625.9,910.8
2018-02-06,93.7,635.5,778.8,773.3
2018-02-07,368.5,861.8,1427.0,719.2
2018-02-08,252.6,930.0,1317.2,847.7
2018-02-09,38.1,472.5,531.2,1333.0
2018-02-10,63.4,639.4,736.5,1043.0
2018-02-11,27.9,237.5,280.1,1626.4
2018-02-12,121.2,706.0,891.5,1145.6
2018-02-13,58.7,662.2,752.4,1137.8
2018-02-14,290.9,724.9,1170.7,820.9
2018-02-15,45.1,547.9,616.7,1182.6
2018-02-16,240.9,1051.4,1420.9,675.8
2018-02-17,660.7,1062.1,2075.3,555.7
2018-02-18,489.3,854.1,1604.5,821.6
2018-02-19,157.4,711.4,952.5,592.1
2018-02-20,41.6,399.2,463.0,925.75
2018-02-21,129.7,697.3,896.1,804.6
2018-02-22,71.3,803.0,912.1,996.3
2018-02-23,127.9,831.5,1027.7,885.4
2018-02-24,85.2,735.7,866.5,965.3
2018-02-25,43.0,486.8,552.6,1304.5
2018-02-26,43.8,477.1,543.9,1413.3
2018-02-27,87.9,776.7,911.7,1100.3
2018-02-28,121.9,693.3,879.7,1089.8
2018-03-01,67.5,567.4,670.9,1174.6
2018-03-02,81.4,791.2,916.1,894.5
2018-03-03,129.2,980.4,1178.2,536.5
2018-03-04,148.8,1017.6,1245.7,712.0
2018-03-05,77.1,799.0,917.3,1225.3
2018-03-06,270.5,963.1,1377.5,1066.5
2018-03-07,489.1,1102.8,1852.6,828.9
2018-03-08,39.5,534.4,595.4,1497.4
2018-03-09,563.2,1170.7,2034.7,492.9
2018-03-10,55.9,640.6,726.2,963.6
2018-03-11,332.3,968.0,1477.5,529.3
2018-03-12,145.8,794.6,1017.8,516.7
2018-03-13,146.7,732.5,957.4,895.25
2018-03-14,63.4,613.8,710.7,1299.2
2018-03-15,84.1,900.8,1029.8,1018.1
2018-03-16,120.5,628.5,813.2,1312.0
2018-03-17,27.2,329.7,371.1,1275.9
2018-03-18,33.7,367.3,419.0,1372.2
2018-03-19,35.5,358.4,413.0,1718.1
2018-03-20,26.5,355.9,396.6,1681.5
2018-03-21,166.1,745.4,1000.2,1153.3
2018-03-22,50.7,476.5,554.0,1545.3
2018-03-23,34.3,410.9,463.9,1868.2
2018-03-24,69.8,721.2,828.5,699.2
2018-03-25,152.4,633.7,867.5,950.9
2018-03-26,59.1,654.1,745.0,1420.4
2018-03-27,76.6,593.3,710.5,1361.9
2018-03-28,67.3,843.3,945.7,1118.0
2018-03-29,180.3,780.3,1056.5,1144.9
2018-03-30,69.6,741.0,847.7,1079.2
2018-03-31,53.0,390.0,471.4,1236.2
2018-04-01,34.2,451.5,503.8,1303.5
2018-04-02,46.6,604.9,676.6,1184.0
2018-04-03,34.1,418.1,470.2,1592.4
2018-04-04,34.9,397.0,450.5,1688.5
2018-04-05,43.0,367.5,433.6,1668.4
2018-04-06,166.2,731.6,986.8,1223.4
2018-04-07,247.9,824.0,1204.6,849.9
2018-04-08,47.6,598.7,672.0,835.3
2018-04-09,51.3,661.6,740.5,889.5
2018-04-10,64.3,721.8,820.8,961.3
2018-04-11,57.1,546.9,634.1,671.9
2018-04-12,58.7,402.9,493.1,813.7
2018-04-13,92.4,700.7,842.7,848.7
2018-04-14,88.6,773.5,909.6,1008.1
2018-04-15,61.7,641.3,736.0,1146.8
2018-04-16,29.7,397.9,443.5,1898.6
2018-04-17,35.9,428.2,483.5,1828.45
2018-04-18,51.9,674.3,754.4,1436.3
2018-04-19,281.0,1087.0,1517.4,1363.3
2018-04-20,87.1,693.5,827.5,1350.4
2018-04-21,106.5,896.2,1059.6,1221.3
2018-04-22,38.3,362.1,420.6,1773.7
2018-04-23,34.9,331.6,384.9,1642.2
2018-04-24,37.2,333.1,389.8,1430.4
2018-04-25,29.8,229.8,275.4,1703.5
2018-04-26,37.1,322.2,379.0,1664.4
2018-04-27,75.5,856.8,972.5,914.3
2018-04-28,21.5,268.1,301.6,1361.5
2018-04-29,15.2,145.2,168.6,1721.8
2018-04-30,23.7,290.0,325.9,1607.7
2018-05-01,73.3,445.2,557.3,1556.9
2018-05-02,37.5,480.5,537.8,1546.8
2018-05-03,99.9,603.2,756.2,1276.3
2018-05-04,60.6,635.5,728.6,1257.7
2018-05-05,110.7,686.8,856.2,1508.7
2018-05-06,31.9,600.8,649.6,1939.2
2018-05-07,42.6,802.8,868.3,1813.7
2018-05-08,199.3,830.3,1136.1,1477.4
2018-05-09,47.1,368.7,440.5,1409.1
2018-05-10,25.8,352.0,391.8,1563.6
2018-05-11,47.1,546.2,618.1,1369.6
2018-05-12,45.8,574.0,644.0,1089.0
2018-05-13,37.7,410.6,468.6,1152.1
2018-05-14,23.85,250.9,288.2,1591.3
2018-05-15,24.1,245.8,282.7,2004.8
2018-05-16,25.9,188.7,228.3,1596.2
2018-05-17,26.5,232.6,273.4,1516.4
2018-05-18,51.1,441.1,519.6,1262.4
2018-05-19,107.2,628.6,792.7,1179.4
2018-05-20,128.6,646.8,844.2,1088.7
2018-05-21,69.3,666.1,772.2,1301.7
2018-05-22,19.6,195.8,225.5,1990.7
2018-05-23,16.4,178.6,203.7,2067.9
2018-05-24,40.9,433.6,495.6,1548.0
2018-05-25,74.6,713.2,827.5,1078.1
2018-05-26,25.9,376.8,416.0,1970.9
2018-05-27,37.7,539.7,598.0,1502.5
2018-05-28,28.4,306.9,350.0,1404.8
2018-05-29,18.7,255.35,284.35,1727.1
2018-05-30,72.9,591.2,702.7,956.4
2018-05-31,50.5,566.3,644.0,1324.9
2018-06-01,46.2,582.8,653.5,1215.1
2018-06-02,24.2,340.2,377.3,1367.8
2018-06-03,35.7,429.4,484.5,1505.1
2018-06-04,26.6,303.6,343.9,1539.1
2018-06-05,26.8,276.3,317.1,1602.1
2018-06-06,30.1,297.7,344.0,1575.8
2018-06-07,30.7,351.1,397.9,1420.8
2018-06-08,31.4,315.1,362.8,1533.2
2018-06-09,28.6,333.8,378.0,1513.4
2018-06-10,27.1,260.7,302.8,1452.6
2018-06-11,48.55,337.45,411.95,1389.8
2018-06-12,30.3,325.7,372.5,1160.8
2018-06-13,65.6,410.7,510.6,1385.5
2018-06-14,31.2,315.0,362.7,1363.3
2018-06-15,35.4,345.2,399.6,1496.5
2018-06-16,29.5,291.7,336.7,1433.8
2018-06-17,23.8,210.5,247.3,1370.1
2018-06-18,29.2,223.7,268.3,1266.3
2018-06-19,54.0,235.1,317.7,767.8
2018-06-20,69.2,253.4,359.4,585.5
2018-06-21,25.5,170.2,209.5,1566.4
2018-06-22,30.5,297.8,344.3,1451.7
2018-06-23,29.5,347.1,392.5,1589.7
2018-06-24,25.7,404.0,442.9,1654.7
2018-06-25,36.3,505.5,560.9,2181.4
2018-06-26,75.5,600.9,716.5,1408.9
2018-06-27,31.2,313.0,360.8,1567.4
2018-06-28,29.0,245.5,289.9,1843.8
2018-06-29,31.7,243.5,292.4,1794.2
2018-06-30,22.6,192.7,227.5,2146.5
2018-07-01,28.8,364.3,408.8,2569.7
2018-07-02,29.5,333.5,378.9,2361.8
2018-07-03,26.9,250.8,292.0,2177.6
2018-07-04,50.2,536.8,613.5,1635.5
2018-07-05,79.3,705.4,826.9,241.64
2018-07-06,35.5,468.8,523.6,420.36
2018-07-07,41.2,441.6,505.1,599.08
2018-07-08,29.6,375.1,420.4,777.8
2018-07-09,55.85,460.65,546.45,1169.52
2018-07-10,26.4,137.8,178.2,1171.1
2018-07-11,25.0,178.7,217.4,1354.2
2018-07-12,33.9,371.8,423.4,1346.05
2018-07-13,47.3,476.8,549.4,1399.2
2018-07-14,65.5,505.1,605.9,1615.6
2018-07-15,36.4,439.2,495.1,1886.5
2018-07-16,35.0,384.3,438.4,1876.1
2018-07-17,44.4,297.9,365.8,1342.1
2018-07-18,54.7,484.9,569.1,1290.3
2018-07-19,142.5,774.5,993.7,1163.4
2018-07-20,66.0,737.2,838.2,1503.9
2018-07-21,28.7,374.1,417.9,2226.2
2018-07-22,34.3,443.35,495.9,1368.7
2018-07-23,54.1,424.9,507.9,815.16
2018-07-24,45.6,372.7,442.6,1224.12
2018-07-25,47.6,416.95,489.7,1812.12
2018-07-26,73.0,615.4,727.0,1738.7
2018-07-27,42.6,554.4,619.7,1559.4
2018-07-28,25.0,124.1,161.9,1372.9
2018-07-29,27.7,197.4,239.8,997.3
2018-07-30,46.0,193.7,264.3,783.7
2018-07-31,36.6,248.2,304.5,1252.5
2018-08-01,61.4,365.1,458.9,1302.9
2018-08-02,73.3,503.8,615.8,762.41
2018-08-03,82.1,481.6,607.4,972.59
2018-08-04,37.3,217.6,275.4,1191.75
2018-08-05,58.6,422.4,512.5,1410.91
2018-08-06,101.8,613.0,769.1,1630.07
2018-08-07,54.2,533.2,616.4,1890.48
2018-08-08,28.6,186.0,229.7,1154.8
2018-08-09,94.2,569.5,713.7,412.9
2018-08-10,56.2,382.8,469.2,619.5
2018-08-11,51.2,379.9,458.1,812.4
2018-08-12,26.0,234.9,275.3,972.0
2018-08-13,42.6,264.5,329.8,776.1
2018-08-14,39.9,237.5,298.8,977.8
2018-08-15,32.2,251.9,301.6,945.8
2018-08-16,58.5,369.5,459.0,618.4
2018-08-17,91.9,316.4,457.3,709.2
2018-08-18,32.4,245.4,295.2,773.2
2018-08-19,24.3,159.2,196.5,781.8
2018-08-20,53.1,310.2,392.2,661.1
2018-08-21,50.7,383.7,461.7,908.0
2018-08-22,67.7,483.2,587.1,493.3
2018-08-23,46.3,265.5,336.1,817.1
2018-08-24,38.3,243.6,302.5,937.5
2018-08-25,89.8,348.5,486.4,777.0
2018-08-26,193.7,443.5,740.7,633.0
2018-08-27,18.9,171.1,200.4,916.4
2018-08-28,61.0,467.9,560.9,789.7
2018-08-29,94.0,598.4,742.9,730.19
2018-08-30,44.2,369.3,437.2,1218.25
2018-08-31,123.2,691.6,880.2,1141.28
2018-09-01,276.6,608.3,1032.4,1064.32
2018-09-02,137.2,677.0,887.5,987.35
2018-09-03,116.95,658.9,838.4,1477.01
2018-09-04,21.5,272.9,306.0,1260.1
2018-09-05,19.4,222.4,251.5,1354.3
2018-09-06,66.0,409.5,510.7,910.9
2018-09-07,55.1,430.6,515.4,909.6
2018-09-08,46.5,460.1,531.6,901.6
2018-09-09,20.4,218.6,249.9,1356.4
2018-09-10,39.3,291.2,351.5,1183.0
2018-09-11,33.8,260.6,312.0,1053.9
2018-09-12,124.3,349.0,538.8,820.7
2018-09-13,336.5,658.5,1175.1,525.2
2018-09-14,87.3,637.0,771.2,704.2
2018-09-15,63.8,404.2,502.0,949.7
2018-09-16,25.6,317.5,357.0,1338.7
2018-09-17,27.0,379.4,421.3,1495.8
2018-09-18,22.0,214.7,248.7,1444.7
2018-09-19,27.0,198.0,239.9,1287.8
2018-09-20,27.4,196.6,238.0,1322.5
2018-09-21,32.7,200.8,251.1,1266.8
2018-09-22,57.3,512.1,599.8,752.2
2018-09-23,33.6,285.8,336.9,935.4
2018-09-24,161.7,568.2,816.2,659.9
2018-09-25,566.0,886.4,1754.5,568.6
2018-09-26,313.7,1081.7,1562.7,529.8
2018-09-27,211.6,947.9,1272.6,760.8
2018-09-28,52.9,376.0,457.0,990.0
2018-09-29,312.7,828.5,1307.7,483.1
2018-09-30,207.0,619.0,936.8,841.2
2018-10-01,102.95,477.45,635.75,921.0
2018-10-02,47.55,308.85,381.95,1054.5
2018-10-03,227.3,537.2,885.55,578.9
2018-10-04,130.05,528.25,727.5,352.4
2018-10-05,504.15,953.9,1726.65,275.0
2018-10-06,71.1,316.0,425.1,908.3
2018-10-07,103.15,458.6,617.35,826.7
2018-10-08,101.15,653.25,808.4,749.0
2018-10-09,286.4,747.1,1186.3,859.3
2018-10-10,514.65,957.05,1746.8,487.5
2018-10-11,57.35,443.55,531.35,1075.5
2018-10-12,32.3,295.2,344.55,1407.3
2018-10-13,29.7,311.7,357.5,1384.9
2018-10-14,25.25,169.25,207.9,1255.1
2018-10-15,48.0,449.6,522.7,683.1
2018-10-16,126.9,530.2,724.95,726.4
2018-10-17,146.5,671.45,896.8,479.4
2018-10-18,65.3,491.0,590.9,633.6
2018-10-19,394.8,686.75,1292.25,442.8
2018-10-20,1237.4,920.15,2817.3,263.0
2018-10-21,319.2,611.2,1100.55,544.3
2018-10-22,261.5,549.6,950.6,854.9
2018-10-23,115.5,568.65,745.35,712.3
2018-10-24,76.15,534.9,651.5,616.8
2018-10-25,156.15,551.35,790.35,767.7
2018-10-26,39.6,447.1,507.6,1047.2
2018-10-27,26.95,236.8,277.75,1116.5
2018-10-28,24.45,267.45,305.0,1124.3
2018-10-29,55.95,372.0,457.35,883.7
2018-10-30,93.4,532.0,675.65,604.5
2018-10-31,723.5,939.3,2049.15,338.3
2018-11-01,362.4,969.45,1525.25,159.6
2018-11-02,710.85,944.7,2034.85,399.4
2018-11-03,85.65,803.1,934.3,825.0
2018-11-04,87.25,680.0,814.15,771.4
2018-11-05,998.4,793.9,2325.0,63.9
2018-11-06,1077.9,550.1,2202.95,429.0
2018-11-07,40.65,435.55,497.8,967.8
2018-11-08,57.95,610.9,699.65,1008.8
2018-11-09,244.65,651.55,1026.55,717.9
2018-11-10,72.05,646.65,757.1,996.8
2018-11-11,35.5,551.65,606.7,1062.1
2018-11-12,72.45,699.55,810.95,913.9
2018-11-13,61.8,638.2,733.1,1053.7
2018-11-14,349.8,779.3,1316.0,757.3
2018-11-15,788.4,802.5,2011.45,173.1
2018-11-16,180.85,647.15,924.6,156.2
2018-11-17,263.6,789.7,1193.65,216.6
2018-11-18,167.5,589.65,846.8,602.1
2018-11-19,54.7,449.2,532.6,926.3
2018-11-20,64.6,543.9,643.5,688.3
2018-11-21,819.75,857.1,2113.2,205.8
2018-11-22,1453.65,933.25,3161.75,31.75
2018-11-23,490.7,989.8,1742.35,65.2
2018-11-24,192.6,856.15,1151.95,320.4
2018-11-25,63.0,523.9,620.5,489.0
2018-11-26,95.5,545.7,692.2,533.7
2018-11-27,307.75,894.95,1366.55,218.7
2018-11-28,36.55,548.35,604.25,1117.2
2018-11-29,28.2,351.45,394.85,1404.2
2018-11-30,57.85,592.05,680.75,1090.3
2018-12-01,36.2,510.8,565.7,1155.6
2018-12-02,26.3,294.5,334.3,1187.6
2018-12-03,43.6,454.6,522.0,1155.6
2018-12-04,807.5,1152.4,2390.1,202.4
2018-12-05,232.3,883.3,1239.6,539.9
2018-12-06,42.8,477.3,542.8,1080.3
2018-12-07,30.8,321.0,368.7,1393.7
2018-12-08,28.1,219.1,262.3,1594.0
2018-12-09,31.0,258.3,305.7,1438.5
2018-12-10,155.0,879.6,1117.3,552.6
2018-12-11,2645.7,1296.8,5353.6,37.4
2018-12-12,218.2,1002.5,1337.1,434.1
2018-12-13,504.0,1031.8,1804.6,192.2
2018-12-14,742.6,1079.4,2217.7,108.4
