MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,253.55,737.68,1126.2,1179.05,201.6,106.2
2018-01-02,769.55,1321.88,2501.92,669.35,307.1,178.5
2018-01-03,88.8,496.95,632.83,1518.85,391.0,232.0
2018-01-04,517.8,1058.28,1852.15,1014.3,186.3,115.8
2018-01-05,1289.0,1540.05,3516.1,689.3,217.9,126.6
2018-01-06,702.6,904.18,1981.5,494.75,355.1,265.4
2018-01-07,76.45,381.3,498.35,1099.7,249.0,116.4
2018-01-08,298.92,829.0,1287.47,377.55,447.6,307.8
2018-01-09,1548.42,1197.9,3572.25,73.0,698.2,552.3
2018-01-10,1835.22,1495.18,4308.75,388.7,356.15,253.35
2018-01-11,1355.37,1059.35,3137.78,30.5,609.8,518.7
2018-01-12,1200.62,1267.27,3107.75,142.15,564.1,477.7
2018-01-13,448.45,889.22,1576.9,522.3,535.7,454.5
2018-01-14,505.4,1106.97,1882.1,320.8,711.2,575.7
2018-01-15,335.92,887.78,1402.82,842.2,172.5,124.8
2018-01-16,202.63,786.22,1096.92,1250.35,153.9,86.1
2018-01-17,177.92,711.4,984.25,1235.35,239.8,125.3
2018-01-18,122.0,638.98,825.97,1286.15,161.3,82.1
2018-01-19,724.08,1386.38,2496.98,709.2,227.0,118.8
2018-01-20,403.15,1349.48,1967.67,582.1,208.3,140.1
2018-01-21,942.68,1414.9,2860.45,352.25,233.1,202.0
2018-01-22,397.07,1108.7,1717.5,674.55,290.9,162.0
2018-01-23,434.6,1072.62,1739.02,785.8,123.4,77.2
2018-01-24,300.73,923.32,1384.55,1109.7,122.4,73.8
2018-01-25,815.38,1493.98,2744.48,625.35,297.8,152.5
2018-01-26,1278.45,1376.15,3336.68,217.3,453.8,291.8
2018-01-27,610.15,1231.87,2167.63,463.7,230.1,185.4
2018-01-28,122.3,591.45,779.23,1210.75,79.4,54.7
2018-01-29,424.1,981.08,1631.57,941.85,140.0,74.1
2018-01-30,2755.1,1807.52,6032.48,233.09,293.8,185.5
2018-01-31,513.02,1030.43,1817.52,1041.61,123.7,67.6
2018-02-01,141.52,536.78,753.82,1151.05,248.3,110.2
2018-02-02,251.62,777.72,1163.55,761.15,360.0,178.7
2018-02-03,573.75,1374.02,2253.72,305.6,268.7,193.3
2018-02-04,45.88,318.83,389.02,1088.85,189.4,126.4
2018-02-05,138.07,692.62,904.15,792.05,317.3,198.2
2018-02-06,253.9,840.22,1229.6,690.65,470.0,342.8
2018-02-07,756.3,1187.23,2346.95,556.65,461.4,230.8
2018-02-08,1421.63,1726.62,3906.23,439.55,411.3,260.4
2018-02-09,146.55,640.88,865.57,1185.6,188.7,88.7
2018-02-10,741.02,1425.6,2561.73,565.9,153.1,94.8
2018-02-11,48.12,335.95,409.68,1507.95,114.3,59.0
2018-02-12,740.42,1425.3,2560.43,738.0,219.9,108.5
2018-02-13,440.8,1076.03,1751.78,899.9,163.7,99.6
2018-02-14,1092.52,1436.57,3112.03,525.2,193.0,124.8
2018-02-15,388.42,1050.18,1645.6,830.25,288.1,164.2
2018-02-16,1474.35,1719.68,3980.55,428.0,329.3,178.3
2018-02-17,1722.08,1774.92,4415.25,280.45,415.9,270.0
2018-02-18,871.38,1582.38,2918.55,421.05,344.7,271.5
2018-02-19,608.85,987.73,1921.53,454.6,365.3,291.1
2018-02-20,70.68,441.08,549.4,1088.3,261.6,186.7
2018-02-21,229.08,808.9,1160.5,740.95,900.1,747.4
2018-02-22,234.27,1102.1,1461.17,767.45,714.6,528.0
2018-02-23,282.25,1078.4,1511.22,708.95,686.0,468.0
2018-02-24,170.75,938.7,1200.58,802.9,789.5,533.7
2018-02-25,90.22,638.85,777.15,1157.8,459.1,251.3
2018-02-26,95.27,592.7,738.42,1314.95,332.9,159.7
2018-02-27,346.62,1089.15,1620.85,895.05,357.6,183.8
2018-02-28,312.43,917.18,1396.28,969.55,517.3,374.8
2018-03-01,103.35,740.02,898.6,1026.15,1058.1,739.2
2018-03-02,154.1,1011.48,1247.72,708.8,1156.6,899.4
2018-03-03,277.75,1278.58,1704.48,345.75,1691.4,1450.8
2018-03-04,580.0,1506.2,2395.5,479.85,464.2,368.8
2018-03-05,561.62,1259.58,2120.43,870.8,283.1,182.4
2018-03-06,945.82,1537.72,2988.18,604.55,219.05,157.2
2018-03-07,771.7,1454.1,2637.52,542.7,370.1,248.6
2018-03-08,430.25,1102.2,1761.8,1043.25,157.7,75.8
2018-03-09,1365.12,1582.45,3675.65,335.65,341.6,210.8
2018-03-10,753.75,1366.98,2522.55,437.3,396.7,256.4
2018-03-11,734.48,1333.82,2459.95,338.2,492.0,337.5
2018-03-12,262.62,939.82,1342.78,557.2,201.1,134.0
2018-03-13,595.52,1129.1,2041.95,629.6,275.7,190.1
2018-03-14,488.25,1046.2,1794.82,1015.45,228.4,145.7
2018-03-15,587.97,1330.75,2232.15,958.9,166.1,109.4
2018-03-16,687.08,1333.98,2387.5,885.85,311.7,169.1
2018-03-17,65.07,426.15,526.0,1199.8,400.1,279.7
2018-03-18,72.48,458.48,569.38,1269.2,656.0,411.8
2018-03-19,77.92,430.5,549.78,1656.2,448.3,247.9
2018-03-20,97.22,574.6,723.72,1517.85,361.2,164.2
2018-03-21,519.45,1106.17,1902.75,826.85,448.3,274.2
2018-03-22,297.45,961.82,1418.1,1188.85,310.7,181.3
2018-03-23,420.08,1139.95,1783.85,1298.85,287.0,151.0
2018-03-24,265.7,950.22,1357.38,535.7,561.4,472.9
2018-03-25,369.62,767.8,1334.62,773.9,786.0,636.9
2018-03-26,399.25,1285.03,1897.07,827.05,379.2,189.0
2018-03-27,395.02,954.58,1560.25,1080.7,162.0,96.1
2018-03-28,603.5,1275.08,2200.75,940.0,153.3,91.1
2018-03-29,1051.62,1625.45,3237.92,669.0,151.8,86.4
2018-03-30,320.32,1154.0,1644.88,786.3,181.5,129.4
2018-03-31,247.25,650.83,1030.05,1030.35,152.2,130.6
2018-04-01,163.4,647.05,897.27,1250.5,222.3,176.3
2018-04-02,487.82,1218.35,1966.22,785.2,178.0,135.4
2018-04-03,487.5,1220.08,1967.38,998.95,193.3,121.3
2018-04-04,331.85,941.82,1450.55,1281.45,213.35,127.25
2018-04-05,249.3,758.1,1140.58,1393.9,125.1,70.3
2018-04-06,735.12,1339.9,2467.02,906.8,399.5,253.9
2018-04-07,637.8,1460.4,2438.3,561.55,550.5,356.9
2018-04-08,310.7,905.68,1382.08,584.8,406.5,343.7
2018-04-09,269.75,1106.8,1520.7,548.8,453.9,375.4
2018-04-10,201.0,1085.92,1393.82,648.15,664.8,513.8
2018-04-11,134.38,687.16,892.45,675.5,885.9,768.0
2018-04-12,88.32,494.12,629.55,779.85,648.4,566.8
2018-04-13,550.65,1102.22,1946.28,539.9,535.5,438.0
2018-04-14,589.22,1289.58,2192.68,720.1,780.3,641.9
2018-04-15,420.52,1227.95,1872.7,754.65,599.7,494.8
2018-04-16,467.8,1217.8,1935.12,1172.65,334.1,180.1
2018-04-17,344.98,1104.32,1633.1,1271.0,314.1,148.0
2018-04-18,615.75,1383.05,2326.93,890.0,340.2,183.4
2018-04-19,806.95,1948.9,3185.98,828.05,722.1,404.2
2018-04-20,373.12,1003.42,1575.8,869.2,736.4,397.3
2018-04-21,375.9,1504.62,2081.12,971.45,838.6,581.9
2018-04-22,233.05,780.5,1137.85,1410.25,543.6,331.3
2018-04-23,331.63,822.42,1330.7,1241.25,228.6,100.4
2018-04-24,351.4,820.82,1359.52,963.05,186.5,100.0
2018-04-25,223.2,642.28,984.78,1344.7,202.7,95.3
2018-04-26,330.25,909.72,1416.12,1217.4,255.6,109.8
2018-04-27,580.35,1350.12,2239.72,618.85,283.2,179.1
2018-04-28,57.8,426.7,515.3,1277.65,210.4,145.4
2018-04-29,31.25,173.5,221.42,1726.45,160.9,90.8
2018-04-30,94.12,520.98,665.18,1457.55,286.2,126.7
2018-05-01,487.4,1166.45,1913.88,1062.35,194.9,109.7
2018-05-02,315.58,934.07,1417.65,1278.4,152.7,73.7
2018-05-03,632.08,1133.5,2102.6,871.95,307.7,154.9
2018-05-04,551.4,1133.1,1978.7,937.15,378.8,207.7
2018-05-05,577.97,1527.62,2414.38,1019.6,600.8,385.3
2018-05-06,157.88,1331.55,1573.72,1496.45,798.0,570.8
2018-05-07,288.4,1513.0,1954.68,1473.65,775.1,550.1
2018-05-08,724.7,1227.72,2338.6,1231.25,806.6,444.5
2018-05-09,287.5,811.97,1252.82,992.45,448.3,211.75
2018-05-10,215.6,748.1,1078.52,1289.35,324.8,136.5
2018-05-11,791.95,1441.35,2655.5,881.35,312.4,178.8
2018-05-12,497.12,1212.04,1974.45,738.2,285.7,202.1
2018-05-13,172.83,783.25,1048.0,934.75,355.3,250.7
2018-05-14,111.07,587.29,757.41,1466.22,276.3,135.6
2018-05-15,105.41,573.67,734.97,1718.0,294.0,121.7
