MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,189.15,484.65,778.9,276.95
2018-01-02,429.35,677.15,1342.35,445.4
2018-01-03,226.8,495.75,849.0,604.67
2018-01-04,375.5,798.55,1380.65,369.0
2018-01-05,715.7,1106.6,2217.25,353.6
2018-01-06,834.65,1024.05,2311.2,466.55
2018-01-07,125.75,424.35,622.35,317.15
2018-01-08,335.6,611.45,1133.4,459.75
2018-01-09,1168.25,1037.15,2834.8,760.5
2018-01-10,942.51,1232.23,2689.01,518.8
2018-01-11,940.04,954.52,2404.44,550.1
2018-01-12,927.3,1077.25,2487.55,603.9
2018-01-13,294.55,716.25,1173.5,593.8
2018-01-14,562.85,909.75,1785.1,668.3
2018-01-15,619.35,986.1,1946.1,322.55
2018-01-16,513.6,875.75,1672.3,325.2
2018-01-17,490.63,833.02,1593.58,428.2
2018-01-18,484.0,788.15,1537.55,306.45
2018-01-19,756.1,1274.95,2447.1,418.5
2018-01-20,427.6,1059.2,1719.9,253.2
2018-01-21,695.05,1225.25,2300.75,385.2
2018-01-22,807.1,1109.8,2355.45,397.95
2018-01-23,707.2,972.15,2062.45,269.75
2018-01-24,595.3,881.4,1787.05,261.1
2018-01-25,797.7,1160.15,2387.65,459.15
2018-01-26,775.95,1161.75,2356.6,431.85
2018-01-27,806.45,1142.7,2381.1,406.95
2018-01-28,310.45,565.9,1043.75,214.5
2018-01-29,592.1,843.25,1732.8,262.65
2018-01-30,1848.25,1663.7,4495.95,565.15
2018-01-31,530.92,871.92,1686.1,287.72
2018-02-01,521.15,793.35,1590.8,333.8
2018-02-02,810.05,991.1,2233.35,457.45
2018-02-03,689.45,1384.0,2437.55,367.85
2018-02-04,146.25,529.3,753.5,268.45
2018-02-05,290.55,714.35,1160.1,348.3
2018-02-06,432.05,919.25,1581.85,527.1
2018-02-07,825.15,1161.25,2431.7,512.75
2018-02-08,1209.55,1573.75,3419.6,554.25
2018-02-09,563.2,929.1,1792.75,318.9
2018-02-10,749.4,1243.85,2394.9,314.5
2018-02-11,282.3,512.55,945.35,211.15
2018-02-12,923.4,1351.7,2762.5,396.6
2018-02-13,524.45,987.3,1781.4,276.9
2018-02-14,998.3,1129.3,2659.85,374.45
2018-02-15,595.52,1121.5,2030.58,425.75
2018-02-16,1178.25,1561.7,3355.55,547.0
2018-02-17,1303.4,1632.3,3630.8,682.6
