MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3), Sulphur Dioxide (ug/m3)
2018-01-01,610.82,948.75,1885.52,750.25,110.4
2018-01-02,998.85,1224.35,2756.05,924.5,110.4
2018-01-03,462.52,667.7,1377.02,878.5,110.4
2018-01-04,833.28,1069.85,2347.3,473.75,110.4
2018-01-05,1383.05,1666.2,3787.2,639.5,110.4
2018-01-06,1654.98,1810.48,4348.42,681.75,110.4
2018-01-07,510.3,831.9,1614.62,426.0,110.4
2018-01-08,694.32,977.38,2042.15,595.35,110.4
2018-01-09,1434.5,1251.32,3450.95,1011.53,110.4
2018-01-10,2288.98,2016.28,5525.78,804.5,110.4
2018-01-11,2988.59,1915.62,6497.92,870.75,110.4
2018-01-12,1377.32,1457.85,3569.97,857.0,110.4
2018-01-13,401.67,788.42,1404.72,712.5,110.4
2018-01-14,1020.88,1310.95,2876.32,758.25,110.4
2018-01-15,817.55,1154.35,2407.95,329.75,110.4
2018-01-16,706.1,1136.35,2219.03,394.75,110.4
2018-01-17,803.87,1105.0,2337.93,506.25,110.4
2018-01-18,759.1,1186.1,2349.93,429.25,110.4
2018-01-19,1289.77,1679.1,3656.8,531.0,110.4
2018-01-20,1187.95,1870.85,3692.6,383.5,110.4
2018-01-21,899.42,1388.5,2767.42,475.25,110.4
2018-01-22,1615.47,1661.21,4138.17,536.65,110.4
2018-01-23,1021.25,1178.14,2743.95,423.62,85.1
2018-01-24,736.8,1028.77,2158.75,426.55,54.3
2018-01-25,1330.02,1587.35,3626.7,674.22,87.9
2018-01-26,2451.35,2267.8,6026.38,860.58,67.1
2018-01-27,1173.67,1451.3,3250.52,540.0,32.8
2018-01-28,487.2,738.75,1485.8,281.79,-2.2
2018-01-29,1058.97,1367.52,2991.2,402.46,24.5
2018-01-30,2247.9,2095.64,5542.18,697.75,92.3
2018-01-31,872.6,1264.38,2602.18,344.0,83.1
2018-02-01,1432.85,1535.35,3732.32,487.25,112.0
2018-02-02,2129.12,1877.55,5142.4,666.0,119.9
2018-02-03,1460.1,1899.6,4138.18,475.75,92.3
2018-02-04,739.22,1083.25,2216.6,356.25,6.7
2018-02-05,1126.37,1361.08,3088.44,643.76,16.8
2018-02-06,1465.1,1658.49,3904.88,792.74,45.6
2018-02-07,2209.25,2100.95,5488.35,823.0,71.8
2018-02-08,1788.49,2005.98,4748.23,894.25,101.3
2018-02-09,1455.7,1593.78,3825.73,574.88,107.1
2018-02-10,1240.4,1529.88,3431.98,536.75,87.5
2018-02-11,510.05,878.12,1660.45,410.5,74.2
2018-02-12,1361.22,1639.78,3726.7,706.5,90.9
2018-02-13,715.4,1195.5,2292.55,391.0,93.1
2018-02-14,1109.3,1400.45,3101.3,459.75,127.4
2018-02-15,1083.48,1450.45,3111.81,562.5,102.75
2018-02-16,1652.42,1944.8,4478.58,738.25,83.8
2018-02-17,1861.0,2071.07,4924.55,883.5,105.7
2018-02-18,1294.23,1607.28,3591.78,678.5,66.8
2018-02-19,2011.15,1821.8,4905.38,616.5,128.8
2018-02-20,1173.05,1389.78,3188.42,415.0,60.1
2018-02-21,1549.2,1697.38,4072.87,1267.0,50.0
2018-02-22,944.2,1461.65,2909.4,833.75,40.2
2018-02-23,1049.9,1570.92,3180.82,801.75,47.6
2018-02-24,689.42,1247.07,2304.07,858.25,44.6
2018-02-25,513.88,924.85,1712.82,512.75,5.0
2018-02-26,785.2,1066.72,2270.83,614.5,1.2
2018-02-27,1272.08,1761.78,3712.27,618.5,32.7
2018-02-28,866.48,1233.82,2562.48,702.38,52.5
2018-03-01,432.62,906.3,1570.01,1081.5,87.2
2018-03-02,387.05,1095.7,1688.85,1158.25,110.2
2018-03-03,700.8,1428.98,2503.43,1715.5,113.5
2018-03-04,914.92,1384.25,2787.25,587.75,144.0
2018-03-05,810.05,1271.05,2512.98,576.25,143.3
2018-03-06,1481.7,1831.08,4103.08,562.5,180.2
2018-03-07,1819.72,2062.9,4853.32,646.75,184.3
2018-03-08,873.05,1255.1,2593.72,429.75,129.0
2018-03-09,1244.4,1641.59,3549.5,666.25,148.05
2018-03-10,1058.32,1358.2,2981.08,730.25,124.6
2018-03-11,891.62,1533.82,2901.22,810.0,137.3
2018-03-12,1570.25,1616.92,4024.6,417.25,158.8
2018-03-13,1607.7,1699.7,4165.0,649.25,111.8
2018-03-14,519.08,834.55,1630.5,556.75,80.9
2018-03-15,680.55,1119.97,2163.3,507.75,132.2
2018-03-16,1110.03,1471.65,3173.38,762.75,113.9
2018-03-17,649.0,859.62,1854.7,586.5,49.2
2018-03-18,500.75,760.15,1528.18,831.75,41.5
2018-03-19,780.12,1090.3,2286.35,788.75,32.6
2018-03-20,1246.58,1564.05,3475.63,769.75,-8.1
2018-03-21,1598.83,1923.3,4374.86,816.0,44.7
2018-03-22,1087.47,1368.08,3035.52,678.0,59.0
2018-03-23,925.85,1213.92,2633.6,665.75,93.4
2018-03-24,899.97,1337.48,2717.55,984.25,96.2
2018-03-25,1261.55,1758.4,3693.05,1114.25,74.0
2018-03-26,1751.18,2086.98,4772.12,658.5,86.2
2018-03-27,1089.4,1382.07,3052.7,443.0,103.2
2018-03-28,1583.88,1934.52,4363.15,416.5,122.5
2018-03-29,972.12,1437.18,2927.58,568.5,107.3
2018-03-30,709.58,1259.52,2347.28,439.75,103.0
2018-03-31,1211.68,1350.38,3208.28,453.0,122.5
2018-04-01,777.1,1142.6,2334.22,496.25,65.4
2018-04-02,588.65,952.6,1855.13,409.0,89.3
2018-04-03,958.62,1191.58,2661.62,541.5,130.7
2018-04-04,684.92,997.95,2048.52,499.0,119.5
2018-04-05,1154.9,1242.08,3012.62,420.12,82.1
2018-04-06,586.92,1094.12,1994.28,601.76,78.5
2018-04-07,1072.07,1536.45,3180.35,791.7,98.5
2018-04-08,999.63,1546.07,3078.73,661.39,82.7
2018-04-09,1129.38,1537.9,3269.62,791.33,97.5
2018-04-10,1169.47,1783.82,3576.8,1079.02,113.6
2018-04-11,1524.05,1655.62,3992.75,1317.69,102.8
2018-04-12,1419.6,1526.67,3703.45,1211.75,104.2
2018-04-13,1398.6,1624.45,3769.05,863.75,119.7
2018-04-14,904.02,1431.3,2817.8,1140.25,69.4
2018-04-15,611.65,1131.5,2069.18,895.0,77.7
2018-04-16,867.55,1294.2,2624.25,749.75,73.8
2018-04-17,847.7,1324.37,2623.25,695.75,57.6
2018-04-18,920.65,1431.9,2842.88,758.5,57.2
2018-04-19,1626.8,2415.2,4909.7,1209.25,104.7
2018-04-20,1365.04,1972.06,4064.96,1130.38,80.95
2018-04-21,757.48,1655.35,2816.92,1393.38,73.8
2018-04-22,523.0,1051.97,1853.93,939.5,85.6
2018-04-23,725.67,996.08,2108.83,460.25,68.9
2018-04-24,800.05,950.52,2177.83,458.75,89.8
2018-04-25,810.35,1014.85,2257.52,456.75,87.2
