MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), Ozone (ug/m3), PM10 Particulate (ug/m3), PM2.5 Particulate (ug/m3)
2018-01-01,669.35,806.69,1675.9,314.4,256.47,273.6
2018-01-02,685.47,881.88,1851.41,314.4,314.45,273.6
2018-01-03,915.08,887.02,2116.16,314.4,455.12,273.6
2018-01-04,919.21,1014.73,2291.44,314.4,275.95,273.6
2018-01-05,1017.99,1137.37,2669.1,314.4,322.76,273.6
2018-01-06,1675.0,1335.61,3805.61,314.4,455.82,273.6
2018-01-07,628.86,768.64,1540.95,314.4,362.18,273.6
2018-01-08,1212.97,1018.26,2714.68,314.4,454.67,273.6
2018-01-09,1250.89,1082.31,2956.18,314.4,612.45,273.6
2018-01-10,2219.2,1453.12,4942.15,314.4,469.78,273.6
2018-01-11,2548.06,1245.98,5081.34,314.4,592.35,273.6
2018-01-12,1108.06,1140.43,2754.7,314.4,521.15,273.6
2018-01-13,778.28,937.72,1989.8,314.4,498.65,273.6
2018-01-14,898.51,1101.35,2360.4,314.4,562.4,273.6
2018-01-15,733.04,789.95,1788.68,314.4,278.42,273.6
2018-01-16,1091.85,1072.53,2621.31,314.4,270.92,273.6
2018-01-17,1019.56,1020.55,2453.59,314.4,352.45,273.6
2018-01-18,1247.78,1147.3,2920.3,314.4,248.04,273.6
2018-01-19,1522.04,1450.85,3724.58,314.4,322.65,273.6
2018-01-20,929.31,1269.61,2567.27,314.4,399.02,273.6
2018-01-21,1004.54,1237.94,2662.86,314.4,490.13,273.6
2018-01-22,1591.51,1395.52,3719.25,314.4,512.82,273.6
2018-01-23,479.46,616.21,1240.85,314.4,243.8,273.6
2018-01-24,532.81,629.59,1304.82,314.4,245.7,273.6
2018-01-25,468.85,730.39,1392.05,314.4,355.88,273.6
2018-01-26,1642.96,1372.41,3881.05,314.4,583.5,273.6
2018-01-27,618.44,909.59,1801.41,314.4,370.05,273.6
2018-01-28,789.66,882.46,1931.78,314.4,238.05,273.6
2018-01-29,828.87,948.0,2056.95,314.4,309.85,273.6
2018-01-30,1256.36,1282.49,3276.56,314.4,451.9,273.6
2018-01-31,961.31,1002.04,2344.0,314.4,260.8,273.6
2018-02-01,941.24,1038.36,2298.98,314.4,423.42,273.6
2018-02-02,1212.73,1169.62,2892.26,314.4,569.7,273.6
2018-02-03,1076.77,1359.56,2949.79,314.4,378.4,273.6
2018-02-04,635.8,777.71,1560.49,314.4,335.6,273.6
2018-02-05,1016.71,1116.11,2512.49,314.4,465.35,273.6
2018-02-06,1144.89,1227.44,2820.82,314.4,632.3,273.6
2018-02-07,1461.16,1437.39,3587.0,314.4,620.15,273.6
2018-02-08,882.74,1170.96,2568.9,314.4,393.4,273.6
2018-02-09,890.31,1053.54,2259.61,314.4,391.4,273.6
2018-02-10,578.93,891.91,1721.25,314.4,296.65,273.6
2018-02-11,736.04,883.68,1832.71,314.4,264.4,273.6
2018-02-12,1041.59,1176.57,2710.12,314.4,329.35,273.6
2018-02-13,618.78,825.37,1617.72,314.4,268.45,273.6
2018-02-14,592.03,835.04,1645.05,314.4,306.05,273.6
2018-02-15,1053.92,1138.82,2640.22,314.4,398.65,273.6
2018-02-16,1053.66,1402.81,3031.55,314.4,483.3,270.1
2018-02-17,1101.85,1330.74,3032.41,314.4,542.6,292.55
2018-02-18,608.84,932.61,1774.06,314.4,448.9,245.5
2018-02-19,1316.32,1191.32,3124.15,314.4,460.05,306.05
2018-02-20,879.85,888.65,2047.28,314.4,328.75,173.15
2018-02-21,1242.38,1333.34,3084.62,314.4,971.83,524.7
2018-02-22,985.21,1384.82,2737.89,314.4,618.32,357.65
2018-02-23,1104.28,1448.6,3025.62,314.4,529.27,311.65
2018-02-24,771.07,1208.62,2235.3,314.4,738.12,322.55
2018-02-25,675.3,1023.8,1873.95,314.4,498.35,194.55
2018-02-26,860.8,1068.53,2205.63,314.4,513.55,163.75
2018-02-27,1091.24,1395.72,2963.19,314.4,569.25,196.1
2018-02-28,991.09,1265.88,2664.85,314.4,518.65,268.3
2018-03-01,699.54,965.02,1857.04,314.4,821.0,420.5
2018-03-02,788.23,1074.04,2120.24,314.4,910.75,536.2
2018-03-03,833.08,1286.03,2430.5,314.4,1322.6,822.05
2018-03-04,629.02,983.07,1817.9,314.4,434.85,281.45
2018-03-05,521.04,815.92,1498.06,314.4,393.85,163.45
2018-03-06,706.21,1077.45,2132.69,314.4,385.25,189.7
2018-03-07,1437.85,1651.07,3787.14,314.4,469.33,265.55
2018-03-08,726.32,921.06,1912.94,314.4,318.47,133.2
2018-03-09,831.5,1258.85,2478.96,314.4,396.95,193.75
2018-03-10,481.8,717.37,1373.02,314.4,436.05,232.75
2018-03-11,784.26,1353.81,2452.77,314.4,541.2,263.3
2018-03-12,1093.37,1279.44,2809.32,314.4,392.8,254.45
2018-03-13,1125.03,1301.79,2925.78,314.4,446.65,238.55
2018-03-14,461.84,771.36,1329.76,314.4,306.15,152.85
2018-03-15,455.79,835.1,1395.04,314.4,278.05,146.05
2018-03-16,509.81,841.92,1541.18,314.4,430.05,191.65
2018-03-17,507.48,690.72,1279.24,314.4,434.9,233.0
2018-03-18,486.95,726.59,1280.71,314.4,583.7,293.7
2018-03-19,660.32,897.24,1726.29,314.4,561.15,232.75
2018-03-20,831.9,1115.26,2206.22,314.4,511.7,191.15
2018-03-21,1060.05,1413.05,2976.43,314.4,595.2,277.0
2018-03-22,931.56,1195.91,2495.12,314.4,532.79,232.0
2018-03-23,713.58,946.12,1932.28,314.4,466.06,186.6
2018-03-24,677.47,1088.11,1996.17,314.4,629.3,341.8
2018-03-25,789.48,1177.53,2288.55,314.4,788.95,420.8
2018-03-26,1021.68,1376.87,2856.81,314.4,496.25,212.95
2018-03-27,796.12,968.08,2047.21,314.4,335.25,173.25
2018-03-28,1035.28,1384.17,2862.55,314.4,324.48,194.05
2018-03-29,458.79,857.69,1448.93,314.4,293.15,150.2
2018-03-30,513.51,924.74,1570.46,314.4,283.85,152.2
2018-03-31,644.87,773.89,1633.85,314.4,305.2,200.1
2018-04-01,473.62,774.02,1335.43,314.4,334.0,186.85
2018-04-02,347.59,569.82,949.64,314.4,257.95,148.05
2018-04-03,363.64,539.55,974.28,314.4,305.62,165.2
2018-04-04,380.41,561.27,984.98,314.4,306.05,163.35
2018-04-05,596.74,757.18,1500.64,314.4,270.4,151.95
2018-04-06,478.66,851.16,1439.76,314.4,396.95,228.5
2018-04-07,630.56,1017.17,1878.45,314.4,610.6,360.2
2018-04-08,542.74,991.01,1673.35,314.4,427.15,276.15
2018-04-09,813.06,1151.14,2244.45,314.4,521.7,327.2
2018-04-10,857.66,1408.39,2591.64,314.4,698.9,400.3
2018-04-11,941.75,1128.07,2412.95,314.4,965.8,581.8
2018-04-12,895.89,939.28,2132.58,314.4,777.5,484.7
2018-04-13,842.49,1028.93,2227.78,314.4,562.85,343.05
2018-04-14,542.98,1113.79,1833.28,314.4,766.75,468.9
2018-04-15,381.19,763.32,1195.18,314.4,561.65,346.3
2018-04-16,404.14,615.18,1115.88,314.4,368.35,168.4
2018-04-17,316.75,559.12,919.22,314.4,332.05,171.6
2018-04-18,526.45,1000.0,1693.91,314.4,456.1,244.6
2018-04-19,1136.34,1645.68,3336.65,314.4,861.75,470.65
2018-04-20,968.46,1438.68,2822.34,314.4,689.95,398.4
