MeasurementDateGMT, Nitric Oxide (ug/m3), Nitrogen Dioxide (ug/m3), Oxides of Nitrogen (ug/m3), PM10 Particulate (ug/m3)
2018-01-01,70.55,483.45,591.55,268.0
2018-01-02,192.8,734.45,1029.85,392.0
2018-01-03,72.5,465.55,576.45,563.0
2018-01-04,150.4,687.55,918.1,300.5
2018-01-05,294.7,983.35,1435.25,321.5
2018-01-06,1109.1,1158.05,2858.7,531.5
2018-01-07,106.05,416.2,578.95,311.5
2018-01-08,152.85,563.0,797.5,460.25
2018-01-09,648.85,824.65,1819.3,825.5
2018-01-10,1102.6,1294.2,2985.05,523.0
2018-01-11,1078.85,1029.15,2683.25,678.5
2018-01-12,357.65,846.72,1394.98,599.0
2018-01-13,63.15,466.4,563.15,600.0
2018-01-14,227.0,729.15,1077.3,662.0
2018-01-15,114.3,601.35,776.7,241.5
2018-01-16,127.21,636.44,831.1,263.75
2018-01-17,153.21,620.79,855.05,407.75
2018-01-18,122.95,558.35,746.55,271.25
2018-01-19,192.25,902.75,1197.8,355.5
2018-01-20,194.65,919.75,1218.45,252.5
2018-01-21,296.2,991.8,1446.15,362.5
2018-01-22,279.7,959.2,1388.15,366.5
2018-01-23,113.25,556.2,730.18,211.8
2018-01-24,74.3,429.95,543.95,179.7
2018-01-25,165.05,727.5,980.75,405.0
2018-01-26,522.95,1182.5,1983.95,528.5
2018-01-27,242.8,792.15,1164.6,380.0
2018-01-28,52.1,367.05,446.95,155.0
2018-01-29,175.55,718.05,987.0,234.5
2018-01-30,774.35,1265.65,2452.85,465.5
2018-01-31,110.8,609.9,779.9,223.5
2018-02-01,190.75,692.35,984.6,354.5
2018-02-02,420.6,908.95,1553.7,407.5
2018-02-03,351.5,1174.1,1712.7,375.5
2018-02-04,178.8,498.65,772.95,276.0
2018-02-05,217.85,633.35,967.65,374.5
2018-02-06,416.45,907.45,1546.0,586.5
2018-02-07,637.75,1165.75,2143.6,565.0
2018-02-08,482.1,1114.15,1853.1,499.5
2018-02-09,165.1,718.75,971.8,294.5
2018-02-10,163.75,779.9,1030.85,241.5
2018-02-11,64.7,356.65,455.65,171.5
2018-02-12,231.5,865.95,1220.8,345.0
2018-02-13,151.9,588.55,821.7,266.5
2018-02-14,377.85,747.75,1326.85,328.5
2018-02-15,164.4,801.0,1052.85,398.0
2018-02-16,378.15,1153.3,1733.25,492.0
2018-02-17,692.6,1301.3,2363.25,680.0
2018-02-18,469.1,958.85,1678.05,568.0
2018-02-19,491.8,993.45,1747.35,416.0
