MeasurementDateGMT,NO,NO2,NOX,PM10
2018-01-07,969.4,1076.57,2562.96,541.21
2018-01-14,1636.22,1283.3,3792.27,708.89
2018-01-21,1190.64,1285.2,3110.94,492.58
2018-01-28,1429.09,1285.93,3477.13,471.27
2018-02-04,1545.02,1306.37,3675.45,543.8
2018-02-11,1395.65,1295.77,3436.45,607.25
2018-02-18,1870.66,1647.81,4516.18,706.83
2018-02-25,745.5,1063.32,2206.33,740.27
2018-03-04,556.39,1175.4,2028.54,871.42
2018-03-11,1700.11,1621.87,4228.42,683.75
2018-03-18,1103.58,1212.88,2904.84,617.04
2018-03-25,967.06,1198.48,2681.03,822.9
2018-04-01,1344.08,1455.04,3515.98,458.76
2018-04-08,962.49,1253.93,2729.73,557.51
2018-04-15,829.2,1273.07,2544.36,957.48
2018-04-22,931.19,1449.91,2877.76,981.81
2018-04-29,778.24,979.03,2172.38,497.07
2018-05-06,991.48,1313.77,2833.87,681.72
2018-05-13,974.79,1462.3,2956.94,809.24
2018-05-20,389.85,896.06,1493.73,646.09
2018-05-27,443.31,978.45,1658.19,909.08
2018-06-03,560.31,1162.09,2021.91,771.45
2018-06-10,696.22,1217.33,2285.83,604.54
2018-06-17,748.97,1183.31,2332.5,560.79
2018-06-24,782.35,1125.87,2326.18,514.12
2018-07-01,761.13,1198.65,2366.25,585.31
2018-07-08,768.46,1171.88,2350.59,697.49
2018-07-15,797.15,1096.17,2318.75,558.95
2018-07-22,831.54,1098.45,2373.6,656.09
2018-07-29,829.65,1006.36,2278.43,682.3
2018-08-05,873.42,963.92,2303.02,515.73
2018-08-12,960.49,1007.61,2479.79,552.0
2018-08-19,871.78,841.0,2177.36,503.41
2018-08-26,941.54,845.3,2288.53,457.86
2018-09-02,897.47,928.42,2303.96,498.33
2018-09-09,828.58,868.28,2138.12,547.58
2018-09-16,1010.01,826.53,2374.42,552.84
2018-09-23,742.51,720.15,1858.52,478.96
2018-09-30,1965.3,1411.57,4425.02,669.61
2018-10-07,1301.97,1120.98,3116.86,583.65
2018-10-14,1052.67,1097.04,2711.02,631.26
2018-10-21,1695.12,1261.69,3860.82,730.98
2018-10-28,1120.25,1052.96,2770.66,499.76
2018-11-04,1846.66,1325.21,4156.57,663.26
2018-11-11,1440.63,1144.48,3353.4,685.42
2018-11-18,1297.08,1194.82,3183.68,719.35
2018-11-25,1018.68,1038.89,2600.91,796.67
2018-12-02,1092.4,1059.29,2734.27,480.84
2018-12-09,1279.09,1091.04,3052.3,450.85
2018-12-16,1793.05,1481.61,4230.86,776.38
2018-12-23,1235.05,1191.01,3084.78,451.58
2018-12-30,2213.88,1351.93,4746.52,721.42
2019-01-06,801.39,1198.98,2427.64,592.86
2019-01-13,1021.73,1147.32,2713.81,648.26
2019-01-20,1250.55,1253.11,3170.49,583.79
2019-01-27,2020.25,1241.02,4338.86,591.8
2019-02-03,1595.96,1167.94,3615.02,599.0
2019-02-10,1134.03,985.68,2724.6,434.31
2019-02-17,2457.06,1703.6,5470.99,1062.12
2019-02-24,1640.8,1408.98,3924.69,913.69
2019-03-03,2219.6,1594.0,4997.17,1156.31
2019-03-10,735.89,846.17,1974.52,432.74
2019-03-17,507.81,720.18,1498.83,378.15
2019-03-24,1142.43,1305.23,3056.96,707.67
2019-03-31,1325.1,1500.34,3532.14,1040.28
2019-04-07,704.73,1120.41,2200.83,691.53
2019-04-14,357.99,904.99,1453.91,711.08
2019-04-21,402.31,1215.6,1832.48,1137.31
2019-04-28,394.91,980.65,1586.11,718.58
2019-05-05,599.17,1087.33,2005.99,650.09
2019-05-12,800.88,1135.11,2363.09,495.08
2019-05-19,335.38,935.92,1450.2,629.7
2019-05-26,626.05,1026.45,1986.37,561.07
2019-06-02,656.84,754.67,1761.73,459.99
2019-06-09,655.23,901.39,1905.92,509.63
2019-06-16,639.61,848.87,1829.58,362.22
2019-06-23,710.9,1021.99,2111.95,625.98
2019-06-30,415.86,807.05,1444.67,631.84
2019-07-07,503.04,842.32,1613.59,511.43
2019-07-14,675.5,876.0,1911.64,542.27
2019-07-21,779.41,880.12,2075.15,517.06
2019-07-28,700.63,1096.73,2171.08,616.35
2019-08-04,481.98,802.66,1541.62,466.91
2019-08-11,503.71,617.88,1390.22,482.75
2019-08-18,734.29,864.42,1990.26,412.71
2019-08-25,838.97,1276.87,2563.22,717.9
2019-09-01,782.65,1192.31,2392.31,770.44
2019-09-08,718.01,911.38,2012.27,549.04
2019-09-15,863.61,1095.44,2419.63,514.82
2019-09-22,658.09,1150.35,2159.37,603.93
2019-09-29,701.43,784.8,1860.35,344.49
2019-10-06,1108.2,1139.17,2838.38,487.38
2019-10-13,910.17,1025.96,2421.54,454.19
2019-10-20,1168.53,1181.04,2972.73,474.42
2019-10-27,1431.07,1211.71,3406.03,681.42
2019-11-03,912.62,1108.74,2508.12,910.08
2019-11-10,1589.84,1343.2,3780.95,821.83
2019-11-17,1276.33,1282.02,3239.13,780.81
2019-11-24,1422.8,1446.32,3627.99,825.33
2019-12-01,1252.97,1366.43,3287.72,641.82
2019-12-08,2271.15,1515.91,4998.36,840.7
2019-12-15,1063.21,1191.43,2821.58,609.91
2019-12-22,1317.1,1460.59,3479.59,636.08
2019-12-29,811.66,1034.59,2279.06,655.52
2020-01-05,711.59,1016.92,2108.16,672.68
2020-01-12,729.47,919.82,2038.21,587.78
2020-01-19,1080.05,1134.65,2790.71,550.33
2020-01-26,2244.89,1509.2,4951.19,910.47
2020-02-02,697.91,882.83,1952.9,521.88
2020-02-09,1227.74,1152.77,3035.34,805.89
2020-02-16,641.9,791.81,1776.07,464.05
2020-02-23,484.98,691.58,1435.22,492.03
2020-03-01,584.63,841.97,1738.39,416.81
2020-03-08,880.37,1111.49,2461.44,567.65
2020-03-15,506.77,710.71,1487.74,488.05
2020-03-22,400.63,706.97,1321.35,539.71
2020-03-29,291.5,749.3,1196.32,731.33
2020-04-05,352.39,699.94,1240.3,460.67
2020-04-12,230.49,898.59,1252.08,968.79
2020-04-19,153.75,556.88,792.61,630.04
2020-04-26,118.96,508.39,690.86,670.17
2020-05-03,314.97,609.26,1092.18,401.96
2020-05-10,189.68,658.73,949.55,558.83
2020-05-17,262.43,598.41,1000.8,384.83
2020-05-24,375.02,678.32,1253.37,538.21
2020-05-31,239.51,666.38,1033.66,460.89
2020-06-07,309.99,656.15,1131.53,377.85
2020-06-14,292.67,676.65,1125.45,419.94
2020-06-21,526.68,762.48,1570.02,356.18
2020-06-28,394.32,774.7,1379.76,496.11
2020-07-05,404.51,489.99,1110.29,420.87
2020-07-12,537.04,698.01,1521.45,393.16
2020-07-19,498.18,668.12,1431.89,434.96
2020-07-26,615.12,877.85,1821.63,501.84
2020-08-02,542.19,794.58,1625.84,568.13
2020-08-09,560.17,899.56,1758.14,618.11
2020-08-16,237.18,984.34,1347.87,820.99
2020-08-23,458.04,638.8,1340.93,559.14
2020-08-30,469.68,599.65,1319.6,561.58
2020-09-06,753.86,922.85,2078.51,608.68
2020-09-13,644.23,756.13,1743.74,550.34
2020-09-20,271.86,749.89,1166.56,788.3
2020-09-27,595.81,805.55,1718.92,522.53
2020-10-04,702.14,899.38,1976.0,435.51
2020-10-11,769.6,835.63,2015.54,422.6
2020-10-18,601.22,896.82,1818.58,458.98
2020-10-25,688.68,875.61,1931.31,475.83
2020-11-01,632.83,764.55,1735.08,419.78
2020-11-08,1562.5,1180.64,3576.56,953.66
2020-11-15,728.99,867.53,1985.45,620.27
2020-11-22,729.96,821.77,1941.06,479.42
2020-11-29,1212.71,1181.8,3041.41,832.07
2020-12-06,989.28,1083.49,2600.48,623.95
2020-12-13,1262.25,1145.91,3081.43,648.99
2020-12-20,832.51,946.32,2222.89,430.9
2020-12-27,449.78,686.67,1376.44,299.1
2021-01-03,648.18,829.63,1823.52,439.64
2021-01-10,649.76,803.21,1799.54,459.43
2021-01-17,793.54,950.51,2167.08,405.48
2021-01-24,774.04,932.11,2118.97,452.56
2021-01-31,890.96,1017.84,2383.88,415.21
2021-02-07,712.16,907.46,1999.54,471.41
2021-02-14,274.64,744.61,1165.8,477.53
2021-02-21,553.98,732.46,1581.96,597.45
2021-02-28,951.78,1026.51,2485.81,799.57
2021-03-07,460.61,864.18,1570.5,835.84
2021-03-14,569.44,732.42,1605.39,689.08
2021-03-21,402.12,796.47,1412.97,618.06
2021-03-28,646.92,906.92,1898.82,673.89
2021-04-04,769.13,1018.55,2197.88,1030.0
2021-04-11,438.55,737.61,1409.93,522.06
2021-04-18,631.94,1113.43,2082.16,598.11
2021-04-25,266.23,856.94,1264.96,779.09
2021-05-02,318.66,847.98,1336.84,649.37
2021-05-09,473.61,687.9,1414.09,519.14
2021-05-16,426.35,835.42,1489.23,557.09
2021-05-23,530.25,773.37,1586.38,423.59
2021-05-30,454.64,913.15,1610.29,496.72
2021-06-06,327.84,799.28,1301.86,598.74
2021-06-13,524.71,668.29,1472.79,630.5
2021-06-20,274.35,599.49,1020.17,527.28
2021-06-27,287.49,565.06,1005.87,574.69
2021-07-04,133.38,338.5,543.07,314.22
