MeasurementDateGMT,NO,NO2,NOX,PM10,PM25,O3,SO2
2018-01-07,1100.32,1056.75,2743.56,429.23,164.94,758.17,16.47
2018-01-14,1552.57,1184.65,3564.96,651.25,455.31,257.63,19.27
2018-01-21,1327.27,1229.21,3264.12,438.56,142.45,749.5,12.3
2018-01-28,1497.87,1235.12,3532.01,444.62,154.61,678.34,17.84
2018-02-04,1473.82,1241.65,3501.32,472.74,152.3,625.27,22.56
2018-02-11,1279.62,1219.59,3181.45,556.68,180.69,656.29,19.37
2018-02-18,2011.92,1557.62,4642.45,634.01,204.96,574.99,20.45
2018-02-25,763.96,1089.74,2261.25,656.29,412.0,636.46,19.07
2018-03-04,583.01,1079.48,1973.16,798.42,549.15,772.54,24.06
2018-03-11,1621.03,1513.62,3999.03,604.09,227.26,635.41,26.56
2018-03-18,1022.53,1142.24,2710.21,531.58,243.71,804.17,20.38
2018-03-25,1145.68,1219.08,2975.36,753.27,319.76,893.02,21.09
2018-04-01,1410.11,1392.48,3554.55,448.39,169.98,767.52,21.81
2018-04-08,1105.97,1044.39,2739.94,473.69,227.9,954.21,21.13
2018-04-15,823.15,1070.22,2332.35,794.6,631.98,574.92,18.06
2018-04-22,1176.39,1448.91,3252.89,839.06,448.42,923.81,21.43
2018-04-29,944.73,978.17,2426.39,402.47,148.0,1063.6,17.11
2018-05-06,1163.52,1367.95,3151.84,535.77,297.74,1005.72,19.09
2018-05-13,1139.4,1437.26,3183.82,625.13,365.67,926.15,23.31
2018-05-20,326.47,799.58,1300.05,493.49,270.18,1176.56,26.37
2018-05-27,473.92,981.31,1707.83,794.55,539.05,1208.71,10.97
2018-06-03,675.57,1055.59,2091.14,642.3,458.42,895.31,19.54
2018-06-10,283.11,706.4,1140.19,505.51,290.8,1017.39,13.87
2018-06-17,871.82,1013.7,2350.27,437.65,185.52,780.55,21.04
2018-06-24,813.88,897.55,2145.2,408.65,160.53,729.62,23.65
2018-07-01,389.93,878.09,1476.26,520.0,273.45,1174.44,19.93
2018-07-08,557.72,1119.6,1974.86,631.82,364.1,1153.38,24.41
2018-07-15,485.57,934.64,1679.09,500.32,257.31,918.57,17.53
2018-07-22,1053.21,1371.03,2985.83,480.19,241.76,853.16,30.2
2018-07-29,999.77,1239.45,2772.26,587.64,280.45,762.7,18.53
2018-08-05,955.08,992.0,2456.28,483.79,171.82,610.11,20.86
2018-08-12,1236.34,1214.55,3110.07,428.74,179.73,607.55,20.96
2018-08-19,1269.52,932.84,2879.77,460.07,158.31,459.28,11.96
2018-08-26,1292.2,998.84,2980.43,378.09,154.54,394.0,20.26
2018-09-02,1022.87,1144.1,2712.28,461.63,261.82,469.49,25.37
2018-09-09,1266.85,1004.11,2946.84,456.89,244.07,656.64,30.56
2018-09-16,1401.54,1127.96,3277.29,424.38,172.64,540.21,27.31
2018-09-23,897.7,861.93,2238.32,403.18,153.15,763.94,32.77
2018-09-30,1902.85,1486.91,4404.68,523.43,256.89,390.51,56.93
2018-10-07,1368.61,1100.52,3199.09,439.84,215.35,427.84,61.47
2018-10-14,1220.96,1116.06,2988.19,495.53,278.61,625.83,44.29
2018-10-21,1676.84,1296.09,3867.24,564.38,339.28,282.4,56.67
2018-10-28,1258.64,1105.52,3035.34,405.09,175.3,421.96,38.24
2018-11-04,1661.46,1331.58,3880.04,522.47,268.68,298.42,46.91
2018-11-11,1322.3,1057.22,3086.31,542.24,296.45,497.95,23.18
2018-11-18,1255.34,1128.21,3053.16,507.93,287.63,335.06,38.29
2018-11-25,1345.71,1054.14,3117.59,600.13,549.92,253.58,65.01
2018-12-02,1111.48,972.6,2676.79,330.54,142.77,633.92,29.09
2018-12-09,1016.8,983.68,2542.38,361.18,143.69,695.37,35.79
2018-12-16,1221.49,1196.44,3069.4,572.02,343.69,322.93,46.8
2018-12-23,1285.98,1088.5,3060.37,367.04,119.1,741.64,23.51
2018-12-30,2221.17,1367.04,4773.0,535.62,461.19,197.33,66.86
2019-01-06,740.67,1113.63,2249.27,465.3,314.69,534.98,50.51
2019-01-13,1141.11,1162.45,2912.18,497.95,278.92,510.8,51.33
2019-01-20,1259.63,1258.97,3190.02,504.85,258.5,443.74,51.65
2019-01-27,2074.42,1447.94,4628.79,568.73,368.9,480.12,42.64
2019-02-03,1667.28,1352.86,3909.26,558.82,260.37,488.72,33.62
2019-02-10,1368.73,1066.55,3166.5,331.25,135.45,804.06,18.55
2019-02-17,2124.69,1593.83,4852.2,800.26,432.19,372.45,36.74
2019-02-24,1561.43,1416.45,3810.69,720.89,426.36,477.77,58.7
2019-03-03,2267.41,1660.08,5136.54,988.83,667.85,484.88,103.62
2019-03-10,1040.34,941.32,2536.45,390.85,102.9,1047.35,66.36
2019-03-17,840.77,835.1,2124.29,324.3,87.15,1183.07,61.51
2019-03-24,1361.0,1340.59,3427.41,551.18,242.18,598.84,73.4
2019-03-31,1106.69,1358.29,3055.28,787.81,503.81,687.58,79.71
2019-04-07,651.04,982.19,1980.38,548.85,372.6,888.08,76.29
2019-04-14,416.37,907.71,1546.16,586.04,453.05,1105.84,72.44
2019-04-21,531.95,1273.57,2089.2,1068.27,900.13,895.57,94.16
2019-04-28,611.34,1040.57,1978.0,685.41,463.73,1080.62,77.83
2019-05-05,660.59,1021.16,2033.92,519.77,293.38,898.19,64.12
2019-05-12,926.7,1112.09,2532.86,431.44,229.09,908.3,68.46
2019-05-19,403.7,849.92,1468.99,534.08,363.05,1019.04,82.77
2019-05-26,704.24,1037.12,2116.86,463.94,222.39,926.79,65.77
2019-06-02,904.1,891.44,2277.66,400.78,156.49,683.99,70.73
2019-06-09,807.13,914.64,2152.22,395.37,168.49,745.74,59.71
2019-06-16,739.18,840.27,1973.69,304.58,137.83,620.24,62.59
2019-06-23,817.42,980.53,2234.06,426.26,235.24,626.05,56.77
2019-06-30,459.41,803.56,1506.27,504.9,285.78,691.15,58.29
2019-07-07,458.29,778.18,1481.08,382.8,176.18,657.91,56.8
2019-07-14,649.17,828.38,1824.69,376.98,169.41,683.31,57.87
2019-07-21,903.1,879.84,2264.62,382.24,150.42,576.01,55.68
2019-07-28,879.98,1058.1,2407.98,494.85,244.43,557.86,63.1
2019-08-04,617.62,730.56,1678.3,382.21,183.33,681.6,68.4
2019-08-11,791.12,687.76,1902.07,387.73,152.49,651.16,61.74
2019-08-18,957.62,832.28,2300.68,381.83,129.09,515.27,76.33
2019-08-25,913.92,1218.45,2619.77,604.54,344.42,664.32,70.67
2019-09-01,862.84,1193.07,2516.08,500.21,275.54,681.09,70.1
2019-09-08,767.06,835.68,2011.42,352.75,137.57,658.87,42.11
2019-09-15,1007.19,1030.36,2575.04,395.39,209.72,509.28,63.47
2019-09-22,705.08,1010.07,2090.78,462.46,263.15,603.11,73.99
2019-09-29,839.88,739.27,2026.96,325.5,120.03,659.9,72.29
2019-10-06,981.4,914.08,2418.69,351.34,185.66,497.27,61.77
2019-10-13,1014.3,882.02,2437.45,363.55,133.47,623.23,62.93
2019-10-20,1210.02,1059.85,2914.99,405.5,167.72,467.39,50.94
2019-10-27,1407.99,1033.93,3192.88,422.86,262.67,419.19,58.87
2019-11-03,995.85,1007.29,2534.33,439.67,306.29,431.0,70.37
2019-11-10,1448.27,1127.1,3347.54,435.76,259.7,326.06,81.02
2019-11-17,1329.02,1103.13,3140.9,406.28,254.02,375.91,91.66
2019-11-24,1240.45,1145.79,3047.82,445.91,334.8,404.14,102.31
2019-12-01,1249.55,1164.67,3080.86,363.92,203.73,522.65,112.95
2019-12-08,2327.28,1320.63,4889.45,536.62,303.95,564.55,123.6
2019-12-15,1134.66,983.36,2723.26,358.08,116.29,770.22,90.87
2019-12-22,1280.55,1122.51,3085.71,329.22,153.1,647.24,39.24
2019-12-29,1267.24,959.53,2902.65,388.81,265.76,518.78,50.51
2020-01-05,1174.02,1030.05,2830.17,463.69,366.2,364.86,56.0
2020-01-12,959.46,854.71,2325.98,428.19,149.21,673.1,52.8
2020-01-19,1163.94,1008.15,2792.91,394.83,153.15,652.32,52.8
2020-01-26,2451.0,1386.56,5144.67,676.71,537.28,300.13,52.8
2020-02-02,960.72,861.43,2334.67,406.82,120.46,791.27,52.8
2020-02-09,1507.91,1079.72,3391.75,594.31,283.14,660.41,52.8
2020-02-16,830.68,729.18,2002.81,395.1,96.1,1068.65,52.8
2020-02-23,736.87,701.25,1830.98,333.64,100.71,1043.48,52.8
2020-03-01,841.29,857.56,2147.5,399.99,79.55,873.95,52.8
2020-03-08,1024.93,1081.73,2653.16,496.97,161.64,707.85,52.8
2020-03-15,846.33,825.71,2123.34,383.01,84.88,948.87,52.8
2020-03-22,748.19,907.29,2054.87,435.52,168.99,832.68,52.8
2020-03-29,326.8,752.94,1254.11,684.16,384.46,1031.93,52.8
2020-04-05,418.95,746.76,1389.04,435.27,186.24,990.61,52.8
2020-04-12,378.49,1025.97,1606.23,839.75,597.77,883.31,52.8
2020-04-19,163.73,581.18,832.62,600.37,338.27,1158.81,52.8
2020-04-26,155.06,620.54,858.32,666.39,348.78,1289.04,52.8
2020-05-03,471.29,706.73,1429.62,378.78,216.87,1056.1,52.8
2020-05-10,237.14,772.23,1136.0,575.73,267.29,1308.75,52.8
2020-05-17,288.75,635.03,1077.77,362.9,131.78,1114.01,52.8
2020-05-24,570.8,829.78,1705.01,527.81,183.48,1082.04,52.8
