MeasurementDateGMT,NO,NO2,NOX,O3,PM10
2018-01-07,807.81,1374.39,2613.19,635.07,492.04
2018-01-14,935.17,1140.39,2574.31,264.56,604.59
2018-01-21,1264.01,1525.16,3462.81,498.29,421.67
2018-01-28,1116.86,1482.97,3195.11,494.04,446.09
2018-02-04,1236.21,1420.9,3316.33,544.53,417.79
2018-02-11,1095.8,1279.33,2959.04,603.33,467.3
2018-02-18,1353.51,1467.8,3543.07,531.73,535.81
2018-02-25,866.44,996.91,2325.49,736.06,608.63
2018-03-04,660.56,1019.29,2032.21,804.81,794.57
2018-03-11,1122.36,1549.25,3270.25,545.36,552.81
2018-03-18,859.04,1175.52,2492.85,847.66,461.11
2018-03-25,961.16,1299.99,2773.97,904.86,651.59
2018-04-01,960.2,1399.57,2871.93,810.1,388.67
2018-04-08,624.84,1202.94,2161.2,961.19,377.36
2018-04-15,748.61,1177.71,2325.59,685.33,764.89
2018-04-22,896.44,1643.06,3017.4,1013.54,801.3
2018-04-29,849.87,1254.86,2558.11,967.93,386.23
2018-05-06,1001.43,1555.14,3090.81,1045.29,566.11
2018-05-13,875.53,1563.74,2906.06,974.73,690.01
2018-05-20,403.46,825.64,1443.79,1312.11,561.46
2018-05-27,420.51,955.43,1600.16,1386.19,832.64
2018-06-03,566.59,1135.0,2003.69,1074.49,690.5
2018-06-10,450.66,789.17,1480.23,1261.04,527.76
2018-06-17,665.89,1046.04,2066.87,947.89,460.43
2018-06-24,614.63,898.77,1841.17,936.49,454.26
2018-07-01,536.5,1042.14,1864.67,1396.79,561.74
2018-07-08,581.66,1213.21,2105.06,1421.77,622.27
2018-07-15,541.6,1006.87,1837.23,1150.7,477.13
2018-07-22,784.04,1445.89,2647.97,994.6,506.27
2018-07-29,644.16,1243.69,2231.46,1026.51,559.31
2018-08-05,628.87,1032.61,1996.97,880.44,448.43
2018-08-12,794.16,1298.9,2516.56,793.89,455.06
2018-08-19,884.33,1099.03,2455.13,540.77,442.67
2018-08-26,886.8,1113.5,2473.24,500.3,392.24
2018-09-02,603.2,1056.29,1981.24,770.67,475.78
2018-09-09,619.67,1051.97,2002.13,866.64,471.91
2018-09-16,1009.53,1174.2,2722.13,600.54,456.43
2018-09-23,651.47,924.26,1923.2,848.76,473.71
2018-09-30,1430.94,1434.59,3628.76,522.01,557.09
2018-10-07,1440.41,1170.06,3378.43,470.49,473.97
2018-10-14,812.09,1152.57,2397.56,769.69,516.66
2018-10-21,1430.6,1234.33,3427.97,425.0,548.06
2018-10-28,1386.54,1097.59,3223.54,567.16,421.59
2018-11-04,1483.54,1215.3,3489.84,452.83,451.08
2018-11-11,963.27,1069.09,2546.04,586.17,475.77
2018-11-18,949.36,1143.74,2599.34,401.49,297.52
2018-11-25,1179.63,1010.1,2818.96,359.83,325.32
2018-12-02,841.26,1181.79,2471.67,578.89,353.13
2018-12-09,1185.15,1381.65,3199.44,560.69,416.12
2018-12-16,1294.05,1271.21,3255.35,309.04,621.25
2018-12-23,1105.16,1305.2,2999.84,565.41,456.3
2018-12-30,1834.46,1235.64,4048.44,223.26,583.76
2019-01-06,734.73,1032.96,2159.0,629.76,487.52
2019-01-13,912.84,1153.04,2552.64,543.76,549.0
2019-01-20,923.41,1299.69,2715.37,484.76,535.81
2019-01-27,1529.5,1466.53,3811.94,387.24,620.16
2019-02-03,1358.36,1264.54,3347.34,513.63,541.59
2019-02-10,863.5,1127.47,2451.66,726.29,436.98
2019-02-17,1142.37,1364.37,3115.87,430.17,740.0
2019-02-24,1086.4,1357.03,3023.1,472.84,792.37
2019-03-03,1618.54,1638.39,4119.7,486.0,988.71
2019-03-10,825.19,1208.44,2473.66,913.7,401.57
2019-03-17,817.87,1218.79,2472.79,955.83,366.13
2019-03-24,1184.4,1466.11,3282.06,519.1,502.13
2019-03-31,841.53,1387.87,2678.64,906.04,759.51
2019-04-07,602.56,1103.97,2027.83,991.29,544.59
2019-04-14,469.14,1022.27,1741.69,1220.27,585.07
2019-04-21,434.13,1435.53,2101.19,1144.99,1073.43
2019-04-28,444.02,1220.17,1900.89,1217.24,1002.54
2019-05-05,601.4,1139.1,2061.19,1023.93,840.52
2019-05-12,562.83,1171.6,2034.86,1093.5,739.9
2019-05-19,411.55,983.92,1614.85,1175.7,637.27
2019-05-26,637.14,1106.91,2083.87,897.33,491.79
2019-06-02,647.91,944.56,1937.95,672.49,438.87
2019-06-09,555.33,1004.81,1856.26,912.55,462.34
2019-06-16,400.1,834.46,1447.91,995.93,310.24
2019-06-23,619.8,1076.96,2027.37,879.42,485.73
2019-06-30,346.33,823.37,1354.47,1048.63,525.07
2019-07-07,414.69,819.71,1455.41,1022.03,381.76
2019-07-14,535.64,965.19,1786.56,963.87,422.22
2019-07-21,610.89,1037.76,1974.37,785.47,401.44
2019-07-28,794.43,1271.67,2489.87,804.86,541.39
2019-08-04,409.39,855.86,1483.54,1048.67,428.64
2019-08-11,492.89,846.37,1602.01,881.46,430.54
2019-08-18,703.06,1014.33,2092.34,583.27,356.93
2019-08-25,685.31,1345.93,2396.67,920.94,624.69
2019-09-01,678.2,1304.1,2344.03,894.86,497.43
2019-09-08,765.03,1032.13,2205.14,674.11,379.11
2019-09-15,778.44,1125.57,2319.29,540.37,424.41
2019-09-22,509.27,1035.11,1815.99,678.19,559.49
2019-09-29,649.56,930.36,1928.2,596.63,462.76
2019-10-06,759.57,981.31,2145.99,504.06,445.13
2019-10-13,722.83,1058.1,2166.4,529.87,412.89
2019-10-20,777.67,1094.93,2287.24,524.5,446.76
2019-10-27,960.01,1042.37,2514.34,470.06,500.96
2019-11-03,544.7,957.79,1793.07,533.84,498.2
2019-11-10,801.94,1057.36,2286.8,392.54,468.49
2019-11-17,887.23,1167.34,2527.71,334.07,450.03
2019-11-24,792.61,1117.03,2332.53,323.91,550.0
2019-12-01,783.74,1122.74,2324.33,486.96,383.07
2019-12-08,1455.03,1469.5,3700.29,380.39,551.3
2019-12-15,850.16,1264.5,2568.18,538.63,439.66
