MeasurementDateGMT,NO,NO2,NOX,O3,PM10,PM25
2018-01-07,528.25,920.04,1729.86,952.19,272.57,162.99
2018-01-14,1027.49,1120.7,2696.14,265.0,560.39,448.58
2018-01-21,415.48,1025.02,1662.15,893.94,199.41,125.6
2018-01-28,565.52,1114.01,1981.3,726.74,228.26,142.49
2018-02-04,672.14,975.2,2005.96,789.03,231.99,133.69
2018-02-11,500.8,978.45,1746.27,819.76,302.3,182.1
2018-02-18,961.42,1437.86,2912.03,588.98,279.23,173.84
2018-02-25,240.87,856.54,1225.94,817.28,596.6,429.46
2018-03-04,267.08,1019.33,1428.84,820.01,796.87,596.64
2018-03-11,794.68,1376.69,2595.15,596.06,322.89,209.81
2018-03-18,394.14,952.07,1556.37,930.86,319.87,205.69
2018-03-25,292.49,847.3,1295.74,1114.03,457.56,304.06
2018-04-01,454.34,1084.57,1781.17,940.56,200.33,128.41
2018-04-08,462.87,1120.62,1830.3,930.38,295.18,201.25
2018-04-15,321.98,999.11,1492.6,666.71,652.64,542.67
2018-04-22,459.65,1277.52,1982.27,1058.94,547.01,318.03
2018-04-29,272.27,735.08,1152.51,1198.48,218.27,117.26
2018-05-06,402.35,1106.75,1723.73,1160.49,388.44,232.69
2018-05-13,425.44,1105.35,1757.51,1077.29,472.6,282.06
2018-05-20,170.81,599.11,860.86,1378.25,398.81,214.44
2018-05-27,102.9,487.15,644.87,1496.48,689.39,465.79
2018-06-03,257.08,840.93,1234.73,1030.45,533.86,387.11
2018-06-10,74.88,367.59,482.28,1294.65,449.63,272.49
2018-06-17,221.59,653.96,993.71,998.52,333.75,158.49
2018-06-24,204.41,515.7,829.26,1020.21,287.53,121.59
2018-07-01,138.46,670.0,882.3,1574.76,454.79,221.71
2018-07-08,134.74,778.61,985.37,1600.04,501.3,246.66
2018-07-15,153.02,695.09,929.64,1184.71,446.99,237.07
2018-07-22,305.0,995.4,1463.01,1105.34,405.76,180.73
2018-07-29,326.05,1019.7,1519.56,956.03,390.96,190.11
2018-08-05,355.41,761.05,1305.97,834.86,288.53,118.54
2018-08-12,404.35,959.99,1580.0,760.63,299.09,124.59
2018-08-19,306.98,607.53,1078.15,645.34,244.04,120.64
2018-08-26,447.83,689.54,1376.3,573.99,271.29,121.65
2018-09-02,671.62,913.06,1942.91,411.64,547.83,311.98
2018-09-09,251.17,666.4,1051.65,836.12,351.0,184.37
2018-09-16,528.01,919.27,1728.81,665.64,227.37,111.59
2018-09-23,305.78,717.9,1186.82,893.11,230.41,122.09
2018-09-30,1635.61,1273.95,3781.82,573.09,330.1,161.46
2018-10-07,454.32,669.08,1365.69,659.46,306.24,153.53
2018-10-14,573.55,934.85,1814.08,725.42,327.1,187.56
2018-10-21,810.11,882.14,2124.26,395.41,373.19,238.91
2018-10-28,286.94,577.32,1017.21,768.73,278.67,138.7
2018-11-04,871.42,1060.73,2396.88,411.36,343.64,222.96
2018-11-11,817.42,1144.22,2397.63,496.61,368.54,232.74
2018-11-18,767.92,1137.39,2314.99,354.42,398.49,259.09
2018-11-25,720.11,940.09,2044.21,349.33,638.27,466.9
2018-12-02,475.98,976.73,1706.44,622.83,216.46,135.39
2018-12-09,512.12,801.3,1586.52,820.39,190.0,109.33
2018-12-16,1212.71,1253.99,3113.5,295.62,439.69,283.33
2018-12-23,508.95,1052.09,1832.2,701.52,197.53,110.16
2018-12-30,693.01,841.95,1904.56,253.01,402.21,305.44
2019-01-06,138.72,773.24,986.27,793.49,421.04,295.03
2019-01-13,248.63,796.51,1177.74,782.53,366.91,246.41
2019-01-20,701.2,1158.48,2233.68,569.71,329.59,218.57
2019-01-27,1235.95,1198.27,3093.38,588.39,413.86,326.3
2019-02-03,1059.85,1183.11,2808.11,669.21,336.69,234.79
2019-02-10,595.95,1043.24,1957.14,943.72,175.79,119.68
2019-02-17,1405.4,1619.4,3774.31,329.47,537.1,394.69
2019-02-24,1050.99,1550.14,3161.66,479.51,510.19,377.93
2019-03-03,1764.27,1743.54,4448.48,606.56,848.3,569.97
2019-03-10,307.43,793.07,1264.4,1209.42,175.97,101.67
2019-03-17,54.46,282.64,365.76,1515.54,155.51,86.71
2019-03-24,105.94,543.72,706.0,778.63,315.61,206.06
2019-03-31,808.07,1167.89,2406.68,935.09,704.5,445.64
2019-04-07,340.2,920.7,1442.47,974.4,464.57,334.55
2019-04-14,151.08,731.12,962.65,1253.91,600.27,438.86
2019-04-21,227.69,1137.41,1486.65,1165.22,1152.44,860.96
2019-04-28,259.96,993.58,1392.21,1226.59,558.23,355.71
2019-05-05,204.3,745.24,1058.45,1047.59,405.11,250.81
2019-05-12,343.2,886.96,1413.29,969.07,293.6,190.88
2019-05-19,186.37,720.56,1006.33,1161.5,439.0,258.23
2019-05-26,170.97,679.32,941.39,1138.74,314.16,166.51
2019-06-02,335.65,735.89,1250.58,762.39,210.49,109.11
2019-06-09,275.5,793.76,1216.24,913.31,220.86,110.9
2019-06-16,286.29,689.67,1128.66,856.08,164.67,99.44
2019-06-23,274.57,756.28,1177.34,947.21,288.7,173.04
2019-06-30,209.6,629.61,950.89,1052.19,442.77,261.53
2019-07-07,153.5,521.83,757.26,972.04,327.4,137.0
2019-07-14,241.49,599.66,969.93,973.13,325.9,139.31
2019-07-21,328.71,720.54,1224.47,803.31,283.79,134.4
2019-07-28,394.15,806.56,1410.84,873.46,368.84,177.44
2019-08-04,279.49,694.65,1123.09,957.08,271.07,148.9
2019-08-11,298.89,636.26,1094.59,876.61,242.79,128.33
