MeasurementDateGMT,PM10,PM25,CO,NO,NO2,NOX,O3,SO2
2018-01-07,295.59,194.12,3.59,14.4,297.6,876.0,1149.24,38.4
2018-01-14,528.2,315.3,4.29,14.4,297.6,1749.54,407.07,38.4
2018-01-21,212.14,172.84,3.09,14.4,297.6,933.79,1040.61,38.4
2018-01-28,230.56,177.07,3.14,14.4,297.6,1024.74,978.69,38.4
2018-02-04,233.24,176.26,3.8,14.4,297.6,1299.24,839.7,38.4
2018-02-11,292.0,194.46,3.39,14.4,297.6,1254.94,816.06,38.4
2018-02-18,290.38,193.12,3.7,14.4,297.6,1284.36,871.68,38.4
2018-02-25,549.72,305.42,2.99,14.4,297.6,1041.96,882.42,38.4
2018-03-04,735.56,387.0,4.47,14.4,297.6,1179.03,929.03,38.4
2018-03-11,326.29,210.71,3.36,14.4,297.6,1355.25,882.5,38.4
2018-03-18,341.12,215.31,2.87,14.4,297.6,999.76,1114.9,38.4
2018-03-25,450.41,255.33,2.88,14.4,297.6,920.21,1261.16,38.4
2018-04-01,200.87,170.89,2.84,18.01,319.54,873.73,1220.66,37.29
2018-04-08,280.94,189.29,2.83,61.41,601.06,695.25,1371.5,27.97
2018-04-15,645.34,533.59,3.56,114.03,843.8,1018.63,855.57,28.03
2018-04-22,548.0,331.67,3.93,132.41,787.54,990.69,1596.09,35.19
2018-04-29,204.09,114.01,2.76,55.94,469.27,554.87,1479.07,24.83
2018-05-06,352.26,222.94,3.17,113.63,793.47,967.7,1497.63,31.99
2018-05-13,420.53,284.15,3.76,98.91,772.11,923.84,1506.59,38.9
2018-05-20,402.71,223.33,3.04,77.96,550.15,669.61,1577.38,39.64
2018-05-27,618.66,434.9,3.29,54.63,574.84,658.51,1763.5,32.86
2018-06-03,496.57,383.25,3.62,67.87,646.46,750.6,1350.51,24.45
2018-06-10,381.66,242.26,2.8,39.41,418.79,479.24,1543.96,32.04
2018-06-17,248.94,134.24,2.56,57.36,427.93,516.04,1300.97,31.32
2018-06-24,214.99,103.05,2.94,45.17,353.0,422.49,1243.0,24.13
2018-07-01,372.21,189.69,3.09,60.26,540.1,632.53,1827.6,30.53
2018-07-08,429.84,233.77,3.5,56.66,569.51,656.59,1894.39,29.51
2018-07-15,328.51,183.28,2.8,48.56,501.16,575.6,1506.77,27.96
2018-07-22,294.19,154.01,3.09,45.63,572.06,642.16,1538.0,27.23
2018-07-29,327.59,170.56,3.0,43.85,469.08,536.48,1508.96,25.57
2018-08-05,204.29,98.23,2.73,45.01,425.67,494.71,1145.78,35.79
2018-08-12,210.36,105.57,3.21,73.66,525.27,638.12,1110.22,34.32
2018-08-19,206.18,111.94,2.57,55.04,371.06,455.64,839.76,28.96
2018-08-26,174.21,92.33,3.04,113.89,458.43,633.15,738.1,33.34
2018-09-02,252.75,150.51,3.33,98.9,644.09,795.8,938.76,36.51
2018-09-09,312.47,168.03,3.01,84.97,564.91,695.37,1121.49,33.59
2018-09-16,213.55,114.22,3.46,242.56,552.01,923.89,900.66,37.4
2018-09-23,245.66,121.06,2.73,36.81,407.56,464.19,1190.79,39.39
2018-09-30,277.66,160.24,5.67,612.37,1015.71,1954.59,709.47,46.51
2018-10-07,268.47,150.31,3.89,156.75,660.94,901.25,760.53,25.66
2018-10-14,309.41,191.17,3.27,185.44,705.36,989.7,1084.99,40.81
2018-10-21,346.11,240.59,5.63,550.46,893.57,1737.63,589.96,51.61
2018-10-28,242.39,136.01,3.29,194.26,702.69,1000.63,792.34,57.64
2018-11-04,303.69,198.79,4.5,414.28,934.85,1570.14,560.91,40.11
2018-11-11,375.29,241.98,4.16,296.99,715.81,1171.21,834.8,38.3
2018-11-18,386.26,258.46,3.69,188.27,832.06,1120.6,574.55,28.06
2018-11-25,586.82,456.08,4.04,488.07,984.07,1732.53,377.1,35.2
2018-12-02,232.04,144.75,3.16,118.63,662.32,844.39,954.14,28.71
2018-12-09,210.25,120.21,3.09,196.43,717.13,1018.59,989.19,31.37
2018-12-16,406.57,280.73,4.26,409.94,1095.66,1724.17,426.94,46.28
2018-12-23,225.43,125.08,2.91,65.24,679.9,780.0,1040.53,27.97
2018-12-30,446.26,355.8,6.74,1030.0,1079.03,2658.37,340.64,51.34
2019-01-06,386.53,282.81,3.2,88.34,792.79,928.36,829.98,28.99
2019-01-13,342.26,228.04,3.39,169.41,838.9,1098.64,793.74,33.74
2019-01-20,326.77,222.74,4.03,188.87,944.5,1234.03,769.61,32.41
2019-01-27,417.31,322.99,5.47,764.09,1010.34,2181.96,769.55,52.9
2019-02-03,317.46,222.45,5.1,598.59,1032.61,1950.58,773.34,53.56
2019-02-10,195.94,126.43,3.26,96.51,580.97,728.91,1199.97,29.58
2019-02-17,499.91,364.07,4.49,302.64,1065.14,1529.1,682.7,38.59
2019-02-24,521.64,389.41,4.2,364.46,968.17,1526.97,897.56,39.46
2019-03-03,746.07,543.2,5.19,757.13,1247.4,2408.59,956.68,58.74
2019-03-10,200.81,110.04,3.01,50.66,446.36,523.93,1567.51,31.11
2019-03-17,189.38,100.44,2.76,25.87,336.76,376.59,1736.93,38.74
2019-03-24,336.64,223.02,3.17,71.04,702.39,811.41,1053.4,43.66
2019-03-31,663.98,462.44,5.2,392.05,944.52,1545.6,1331.19,75.42
2019-04-07,479.04,349.03,4.56,92.97,673.66,816.27,1476.57,51.36
2019-04-14,582.61,442.0,4.53,83.26,615.9,743.61,1636.84,50.29
2019-04-21,1093.35,843.85,3.86,120.19,975.7,1160.02,1673.07,42.7
2019-04-28,567.66,380.81,3.76,49.83,642.44,718.96,1862.16,36.63
2019-05-05,373.39,254.64,3.14,61.51,602.23,696.59,1492.17,38.79
2019-05-12,270.2,187.46,3.87,89.56,547.09,684.4,1628.19,38.71
2019-05-19,384.32,254.04,3.19,68.06,578.84,683.47,1533.23,42.11
2019-05-26,254.46,149.19,3.07,43.81,439.92,507.03,1651.17,31.31
2019-06-02,186.55,103.84,3.63,56.87,357.74,444.81,1287.96,34.6
2019-06-09,227.01,119.31,3.34,44.32,383.26,451.36,1392.94,39.27
