MeasurementDateGMT,NO,NO2,NOX,PM10,PM25
2018-01-07,588.2,818.68,1720.6,403.9,199.21
2018-01-14,1486.23,1227.08,3505.84,657.17,560.0
2018-01-21,663.79,942.02,1959.76,333.63,163.86
2018-01-28,936.49,1038.81,2474.8,412.53,153.71
2018-02-04,1056.46,1141.97,2761.86,390.22,148.14
2018-02-11,870.71,1155.56,2490.69,434.4,172.5
2018-02-18,1108.58,1349.88,3049.68,480.82,184.0
2018-02-25,640.0,1011.17,1992.48,634.66,417.43
2018-03-04,516.15,996.31,1787.66,728.06,536.0
2018-03-11,1060.43,1311.0,2937.08,538.84,211.93
2018-03-18,806.77,1032.62,2269.61,510.68,247.71
2018-03-25,633.64,1011.89,1983.41,637.0,317.36
2018-04-01,1015.99,1247.52,2805.31,377.08,176.43
2018-04-08,660.62,1030.05,2043.03,502.61,234.0
2018-04-15,607.05,1091.82,2022.49,858.99,693.86
2018-04-22,763.89,1261.47,2432.88,755.41,410.14
2018-04-29,660.57,858.59,1871.48,412.76,189.14
2018-05-06,777.09,1187.12,2378.71,569.16,287.86
2018-05-13,838.67,1285.37,2571.33,660.98,368.29
2018-05-20,376.95,800.07,1378.05,511.52,259.43
2018-05-27,513.5,967.27,1754.59,857.71,630.22
2018-06-03,525.8,933.98,1740.2,587.08,493.93
2018-06-10,246.79,660.71,1039.16,518.48,219.0
2018-06-17,636.08,872.92,1848.36,404.83,123.93
2018-06-24,651.0,819.93,1818.11,363.72,141.79
2018-07-01,291.08,759.84,1206.12,513.4,251.5
2018-07-08,467.34,1086.7,1803.17,598.84,316.27
2018-07-15,462.61,945.61,1654.89,491.49,263.3
2018-07-22,766.46,1227.09,2402.37,450.09,220.86
2018-07-29,709.55,1153.46,2241.56,504.34,235.14
2018-08-05,714.16,1013.84,2108.88,413.99,157.57
2018-08-12,859.25,1148.64,2466.15,431.66,185.29
2018-08-19,823.24,840.95,2103.21,408.24,184.14
2018-08-26,847.43,902.1,2201.49,348.88,170.71
2018-09-02,894.98,1165.3,2537.68,458.44,235.0
2018-09-09,770.42,998.59,2179.79,449.7,231.0
2018-09-16,994.83,1037.99,2563.41,404.36,162.0
2018-09-23,736.41,899.81,2028.9,437.45,173.93
